[0:0.000,0:1.580,0]  欢迎收听地下关
[31:38.080,31:42.160,0]  对他那个行至是不是完全是乾隆舌燥的我这个不太清楚
[31:42.760,31:45.860,1]  呃文革其实大家都很少去
[31:45.960,31:47.590,1]  就是在那个
[31:47.590,31:49.980,1]  文华殿就是陶瓷馆后边儿
[31:50.220,31:51.510,1]  那我们有我们有
[31:51.510,32:0.540,0]  是不是走道就超人也在那个两小时也在我们不走到那个文渊阁前边儿了吗好像然后我看着和宁波那边一个挺像的
[32:1.830,32:12.070,0]  那意思也是那个反正就是一个那个一层的那个然后前面有个两层的楼前面有有点水啊什么的然后那个屋顶也很像还有点假山
[32:12.230,32:14.280,1]  没有呃假设的侧面对
[32:14.880,32:16.830,1]  呃有一个它都有一个呗
[32:16.960,32:26.080,0]  因为你说的那个区呀你说到他建了四套阁的话那个是到了这个钱龙休七号他是乾隆修的四库全书以后
[32:26.920,32:34.620,0]  就是说他收了四库全书以后他在这个四期各地方南边有南边有三个北边有四个八
[32:34.740,32:50.340,0]  南边有南边是镇江扬州啊不不还不不还是北边四个北边有四个这个这个故宫一个完了这个文员阁元约一个承德一个还有一个在那个沈阳故宫一个
[32:51.560,33:24.490,0]  沈阳呃南边的是三个镇江一个扬州一个完了杭州扬州杭州对对对讲这个大这个基本上不呃仿造都是仿造这个常数罗天一阁天一阁暂时好像中国的这个常熟的这个老祖宗一样的一个地方这个复制的其实其实乾隆复制的东西挺多的还有一个就讲到这乾隆不是个孝子吗全都是个孝子他带着他他老妈还去过这个五台山好几次就是这他不还说自己是完了去了五台山他最爱去的地方就是说相似对呀那
[33:24.490,33:27.640,1]  就跟咱们去承德的那个他那个加密
[33:27.640,33:32.060,0]  哎对呀承德下面概率属相是其实你这超市你知道在北京也盖了个属相
[33:32.670,33:39.210,0]  他就是那个你知道网上现在大家传挺多就是就是香山附近有个叫呃旭华之阁
[33:41.030,33:50.670,0]  对松堂松堂就说他在那个地方就是就是在香山的南路就是靠近这个建瑞盈的那个演武厅
[33:51.350,33:57.200,0]  就是那小团团成那那呃有一个那个就是叫无梁殿它是一个
[33:58.580,34:0.050,1]  然后就
[34:0.090,34:1.770,0]  对那个
[34:1.930,34:6.370,0]  哦了解那就那个吧他原来叫什么呢他的大名叫宝相寺
[34:8.010,34:29.750,0]  其实就是也是就是乾隆那时候到了这个书像寺完了看了那个书像寺的文殊不再觉得很好玩了也是同样的差不多时候盖了一个这个就是这个不是就是仿造殊像寺盖了一个房子然后叫这个他现在还剩一个但是相比之下那个咱们去看过那个大承德的那个竖向四
[34:29.840,34:31.630,0]  保存的东西更多一点吧
[34:33.910,34:36.775,1]  承德那个跟他绅士有直接的关系
[34:36.775,34:46.330,0]  对呀那个但是我觉得这可能也是就说他生的那个承德的吗是什么那个那个就是承德的这个避暑山庄外边的这个
[34:47.170,34:51.550,0]  不知道这个到底是也有人说他只是生在雍和宫的
[34:53.330,35:8.500,1]  从心理上来说吧呃谁会天天吃到处说自己生的雍和宫呢呵呵这个乾隆经常写我生的邮购我生的有几个东西就要说我说没用谁要这么一辈子背书这件事儿
[35:8.500,35:11.960,0]  就是越是越是越是没有人他就要说这事儿
[35:13.140,35:30.090,1]  对特别特别诡异的心态因为我们拍这个乾隆时期的背啊什么的就经常发现要把这个挂在开大势哈就是明显的不自信的明显的有问题嗯就是我们就是刚才你说那个他是大孝子吗他不是把这个
[35:30.240,35:31.180,1]  这个
[35:31.670,35:33.650,1]  重庆皇太后的这个
[35:33.870,35:51.170,1]  预算做了这个趋势之后做了禁赛他原来这个金发卡在这个真保管后来去年这个林树老师他们弄的这个这个寿康宫的原状陈列之后就又把金卡柏回收成功了就是重庆皇太后住的
[35:51.170,35:53.430,0]  就售空折就他妈原来住的对不对
[35:54.120,36:9.750,1]  对对对就是就是晚养老的地儿吗那个但是我们其实想过一件事其实就是潜力股在他妈的这个头盔HM使的重大的那个因为点点
[36:9.750,36:10.850,0]  呃哎真的
[36:10.850,36:11.790,1]  呃估计这里
[36:11.790,36:13.690,0]  其实是可以敢做是不是
[36:13.690,36:21.100,1]  但是这个这个肯定得惊动这个清水会的这种程度但是国家重大考古项目
[36:21.100,36:36.030,0]  哎其实我觉得他们说的我就想到另外一件事就是那个他们那个青史我忘了市人大还是哪儿了他们做过那个那个光绪允许你说是不是给批NR对呀他就是
[36:36.030,36:46.930,1]  结论就是光绪是这样的光迅那个那个结果是他头发理这个申超标嘛但是那个时代的人啊其实吃这个
[36:47.170,36:51.780,1]  吃这个中药很多那中药里边儿大量的用有毒物质
[36:52.110,36:55.820,1]  所以他那个头子里漫长的这个
[36:55.930,36:58.590,1]  砒霜的积累是很正常
[36:59.130,37:5.190,0]  所以不一定能认为就说是是那天晚上被就是说死的那天那天晚上一下
[37:5.190,37:26.860,1]  不至于造成头发里都有这个乘机就是说要不就是他长期慢性中毒要不就是因为他长期吃中药的问题但是呃康光绪是堵死来说吧我们有其他的直接证据就是说那个呃也是故宫里的一个员工他们家呢
[37:26.950,37:31.380,1]  祖上有一个日就是有一个祖先是
[37:31.610,37:35.140,1]  在试读过程中光绪年间是读的时候死掉了
[37:35.420,37:36.840,0]  什么什么事毒死
[37:38.250,37:42.650,0]  就是试读菜场ay啊
[37:42.650,37:48.130,1]  他们每天换人每天换人在它祖先那个常菜的那天
[37:48.200,37:49.200,1]  当场死的
[37:49.200,37:51.030,0]  那就是有人下毒的了是吗
[37:51.480,38:2.500,1]  对呃就是肯定有人毒害它但是我我一直觉得就是说那个拿那个说光去头发李生超标来说光绪是堵死的不是特别
[38:2.500,38:4.010,0]  嗯嗯对对对因为他
[38:4.010,38:10.330,1]  因为你长期吃汤药的人我相信你现在测也是申抄表的头
[38:10.330,38:18.340,0]  不过你讲的这个去测这个测这个皇太后的头发根根乾隆的这个这个MBA这个我觉得是非常靠谱
[38:18.970,38:57.120,0]  因为因为你因为你知道吗因为你这明天还有好多人传说说啥钱隆是什么害人的孩子所以为什么乾隆六下江南是为了去找他的什么亲生父母或什么什么反正就是那时候当然好多吃吃有些嗤之以鼻说你害人自己反复反清复明不良你就拿这个东西来来来做一个阿Q式的这个嗯但我觉得这个挺有意思这这其实这个基金考古哎哟我觉得这个应该是是是是非常我觉得哎那那个咱们刚才聊了这书上是有两个其实我觉得乾隆对那个见藏传佛教寺院也是有挺大的这个
[38:58.830,39:7.840,0]  啊对呀你去年那个超市你去那个就是也差不多这个时候你去那个承德拍那个什么你去过那个什么班禅行宫
[39:8.140,39:11.750,0]  对吧反正他是那个布达拉宫就见了好几套吧
[39:11.870,39:19.200,0]  小布达拉宫没有布达拉宫不是搬啦都没有见其实那个什么事件了这个班禅行宫借了两
[39:19.560,39:22.590,0]  只需明不受支持只需不知道自己
[39:22.590,39:34.410,1]  我我觉得这个这个其实是能算作这个乾隆的主要攻击这满族皇帝通过这个归信这个喇叭叫来
[39:34.530,39:42.050,1]  这个稳定西藏和蒙古这个两大边疆的这个政治所以
[39:42.330,39:44.080,1]  多进点无法
[39:44.080,40:23.190,0]  其实其实这个就说他利用这个宗教来这个稳固这个中国的这个边疆或者是使得中国的这个版图这个比这个前面这个要扩大了不知道这个宗教的这个东西的确是非常有用的一个而且你知道吗还有一个人就说这个满族人之所以拿宗教去这个还有一个黑有人说觉得这个很险恶的一个用心啊你知道什么就说因为藏族人原来跟蒙古族人都是非常彪悍的他们要用这个宗教是让他们去出家让他们去这个等于一下子你这个一出家以后你不不生育了也不那什么了使得
[40:23.550,40:29.550,0]  其实也不是为着因为蒙古他们好像三四个人就一个要出家吧好像这个
[40:30.040,40:31.700,1]  嗯有要求的这个比例
[40:31.700,40:33.300,0]  是使得就说你哎
[40:33.300,40:35.880,1]  让他减减少这个人口
[40:35.880,40:38.860,0]  对你你反过来你看满足了他就没有这个要求吧
[40:40.290,40:41.040,0]  对吧
[40:41.040,41:13.950,1]  但是就是这个是至少是他这个稳定了这个两大扁担但是通过怀柔政策因为像去年嗯就是我们在没跟你们俩一起吗这承德我们干完了这个就是拍完了承诺的这些东西我我跟我们那个当时自己成出版社的编辑上了那个围场ou嘉兴玉杯就是那个为厂里的七块呗有一块就很有意思就是那个古长城书
[41:14.180,41:29.970,1]  他是乾隆当时围猎的时候这个这个发现了一个就是就只随同的这个互通的官员说哎这有一个汉长城然后潜龙就奚落了长城一份就是说那个北池写平移
[41:30.170,41:40.910,1]  就是说那个就是说你古代这个汉人靠这个长城来防御边患但是我今天是靠这个怀柔蒙古和这个
[41:41.120,41:56.600,1]  和这个西藏回不等等来这个扩大版图而且疆域稳定然后就是这这个其实态度是ad对你看明朝的那个国庆theft
[41:56.600,42:1.550,0]  对呀是啊所以我觉得从清朝这个就是说他的这个这种
[42:1.880,42:13.440,0]  两手两手这个又文又武又是这个军事又是这个宗教我觉得这个还是非常起作用的这个把他们这些少数民族都都冷落的非常的这个
[42:13.870,42:21.950,0]  我觉得很成功这个而且呢所以我我觉得到承德去我觉得这个外八庙比避暑山庄还值得看
[42:22.270,42:36.780,1]  但是不知道这个这个这个当时的拿来了吗看着那个假不成功是什么时间左右一人一个实行的山呵呵呵那
[42:36.830,43:12.820,0]  哎那说说起这个乾隆复制建筑其实在北京市还有两个很好的例子就是乾隆把那个五塔寺那个那个中学金刚座给又做了两套对吧语音输入SF西黄寺对希望是BS基本也是在那个年代的这个碧云寺那个金额宝座打是在1748年乾隆早期一点西黄寺那个呢是在1782年就说是那个60单程那个呃圆寂了以后就来来这儿因为雅思天花了后来死了就在原地在这个北京后来做了一个这两个
[43:13.140,43:14.330,0]  这还不太一样
[43:14.350,43:22.550,0]  那个碧云寺那个很像那个真角色的那个那个西华室内好像不太一样哎我不知道那个谁超市你去看过西黄寺那个吗
[43:22.850,43:23.790,1]  嗯没有
[43:24.090,43:27.510,1]  呃不不是特别感兴趣对
[43:27.930,43:47.600,0]  其实梳理梳理在北京现成的一些这个历史建筑啊其实和乾隆真是有很多莫大的关系我还我又想到一个例子就是其实和我们陛下光辉也有关系是我们那个会员有一位这个山大的一个孩子他们他毕业旅行去转了一圈然后最后到北京他
[43:47.600,44:4.030,0]  他到了这个pu看见那个pu觉得哎很感触然后发在那个朋友圈里然后还在下面这个不应阜阳的留了两个也留了言但但是其实这个平心而论啊用这个建筑还是有一点特色的
[44:5.640,44:36.910,0]  对呀因为PF这个房子好像也是这个钱的时候这个灶的吗他那个等于也是呃乾隆这个人吧他还愿意付费一些这个好像呃典故就是古古代这些这些这些这些什么怎么怎么讲的这个屁用不是也讲这个呃帝王什么样亮亮陵水要怎么样做所以他他不仅建那个建筑啊作为他哇一圈这个水要完全要要符合这个跟这个古古典的这个这个点击里面讲的这个东西是一样的
[44:37.790,44:49.760,0]  对呀反正屁用就是这么个船尖顶的这么个方形的房子然后边上有水然后水然后四面又是这个门那你不觉得这个听和那个北海的小西天特项目
[44:51.100,45:15.550,0]  不要小期间那个比拼应该规模还稍微大那边小一天但又是为了给他妈祝寿用的啊这个小一天后面有个万佛楼在外国人后来50年60年再被拆了他那小区贴完了里没有对应须弥山完了四面有牌楼也是中间有一圈水完了哇一个这个东西其实这个就说我个人觉得我发现乾隆其实挺喜欢这个
[45:18.480,45:20.430,0]  哎其实我也很赶
[45:20.430,45:25.030,1]  你他妈修的那个慈宁宫花园里边儿的那个
[45:25.030,45:28.290,1]  中间的那个也跟pian很像也是四周陵水
[45:28.290,45:34.400,0]  对呀是哎你说哎超市你说慈宁宫慈宁宫花里面哪个就是中间那个房子是吧
[45:35.160,45:35.890,1]  对对对
[45:35.890,45:41.910,0]  呃我一下名字想不起来对对对你去去年刚开放的是个单眼的好像也是个方形的一个东西对吧
[45:43.410,46:6.070,0]  对完了那个因为咱们扩散一下想你看那个其实那个呃我不知道这个事有没有这个因为那个有没有什么出就是联系啊你去那个班禅行宫跟那个小布达拉宫那里面那个中间那个就是他那个叫中间那个那个送经停也好什么就是万法归一殿那个也是个方形的一个船尖顶呢
[46:6.520,46:7.700,0]  这样的一个
[46:9.230,46:15.500,1]  对那个基本是按照就是至少那个小布达拉宫那个是按照过布达拉宫那个
[46:15.840,46:17.690,1]  呃红宫顶层
[46:17.690,46:41.130,0]  啊经常对那个好像在藏式建筑里面叫什么啊刚都市这个什么那个刚都是建筑对他当中就是有一个方形的这么一个所以我觉得乾隆可能对这个方形的这个团尖顶的这个房子的这个癖好是不是受到很多藏式据我估计还有跟藏式佛教的这个有些想法可能有关系因为这个刚都市的这个东西就是中
[46:41.130,46:43.010,1]  雨花阁是您您嗯
[46:43.540,46:49.710,1]  你刚才语法也放的呀格雨花阁就是故宫里唯一一个这个藏式的屋顶
[46:49.900,46:53.300,1]  其他的都是这个流利吧只有那个是同
[46:53.300,47:0.290,0]  哎对那个那个那个跟你那个就是超人给你拍的那个就那个须弥福寿之庙那个就那个那个
[47:0.590,47:1.650,1]  对一样
[47:1.650,47:15.660,0]  一样的基本上也是这个几条大龙对呀我们这七座汇源通信应该把这两个建筑发给大家看看我觉得真的很很可以比较一下雨花阁的雨花阁的照片拍那个顶子比较难拍因为他比较高
[47:16.000,47:17.030,1]  嗯我有
[47:17.030,47:37.180,0]  远远的呵呵原老师呃那你记得这个超人气的这个会员统一的时候把这张照片给给发一下因为我觉得的确那个顶是特别的那个想而且我估计都是那个龙就是看起来好像是一一块儿大家那个算是一样似的对啊只是这个尺度大小
[47:38.120,47:44.675,1]  就不是传统的这个挤瘦了就是藏式的这个摩羯啊隆啊什么的
[47:44.675,47:58.500,0]  对呀不过呢这个呢当然我想到一个问题这个成人的咱去年那个咱们一起去那个五台山的那个金阁寺嗯说那个传传说中这个金阁寺就说那个唐代建的金阁寺那个堵啊都是
[47:58.600,48:22.520,0]  就是跟这个样子都是为什么金阁寺呢他就是都是那个就是那种铜溜金的那个娃嘛就是好像就是这个样子的就是所以我就说这个只是历史上这这个有记载没见过实物啊实物只能见到的就是这个呃承德的这个因为承德这个须弥福寿之庙那个顶大比那个比那个就是那个雨花阁那顶大不少
[48:23.960,48:27.280,0]  哎而且我我有点忘了那个就是万法归一殿就是
[48:27.360,48:29.460,0]  那个那个也是这样的鼎吗
[48:30.000,48:33.570,1]  对也是也是通过的话咱们确实正在修呢
[48:33.570,48:40.460,0]  对对对对对拉起来再再修对而且旁边有几个那个那个就照着上面的亭子好像也是童话
[48:41.230,48:46.380,1]  对因为藏式的本身就是同安那个国家公金鼎啊大昭寺
[48:46.490,48:48.230,1]  金鼎啊都是铜管
[48:48.710,48:54.940,1]  其实咱们谈这个这个乾隆的审美吧他其实有几个主要的主线
[48:55.040,48:58.800,1]  一个呢就是刚才我跟老师说的集大成
[48:59.720,49:3.640,1]  吉喜欢集大成就把所有东西都在一起
[49:4.520,49:6.540,1]  然后一个就是复古
[49:7.880,49:10.340,1]  是吧你们还能想出来别的这个是
[49:10.360,49:12.330,1]  他的这个审美情绪了
[49:12.490,49:30.080,0]  其实我觉得还有一个这个其实这个钱隆的什么群其实乾隆其实好多时候他是呃跟他爹一样其实他是不太排斥这个好多这个外来的一些呃为我所用的一些艺术形式也好或者是这个他的这些这个
[49:30.570,49:58.330,0]  什么呀我所以我想说的是什么就是就是前段时间当然跟康熙比我觉得有一点不一样就是超市你跟他讲康熙他学外来的这个数学学外来天文那乾隆可能这方面就差点他学的外来什么的他就学外来的珐琅彩他用外来的钟表他让外来的传教士给他建这个圆明园的这个夕阳龙弄这个十二生肖的这个大水法这这这是跟他爹我跟他爷爷不一样的地方
[50:0.420,50:10.220,1]  其实从这个就是这个入口中国的这个征服民族来说吧蒙古人其实还能准确地认识世界
[50:10.310,50:11.075,1]  到
[50:11.075,50:12.185,1]  清朝
[50:12.185,50:18.240,1]  这个之前那个像康熙也能准确的人是借到钱隆这一下就
[50:18.770,50:23.850,1]  就是也看不清自己也看不清这个世界的状况
[50:24.880,50:53.090,0]  对他反正就生活在自己的这个其实我觉得这个刚才奇侠讲的这个生活自己是很很很有意思其实你看咱们那个如果因为这个奖店铺那个潜龙花园其实你到潜龙花园你就可以看见他前任完全是在营造一个他自己想象中的一个就是呃讲到一个词就是自己翻他自己的一个一个一个场景一个世界里面他他他这个这个还有很很多表现在乾隆的很多这个行乐图里面
[50:54.640,50:57.580,0]  他这个他把自己
[50:58.190,51:6.780,0]  描绘成一个比方说有一个有一份故宫的还有名字叫什么十一十二图是吧就是呃仿的这个南宋的那个人
[51:6.780,51:7.690,1]  换了好多张
[51:7.690,51:9.930,0]  呃对花了五六张七八点对吧
[51:10.300,51:21.600,0]  呃最早一张是丁鹏坏的完了就是坐在那个长踏上穿着汉服完了旁边挂一个也是英国队宾馆旁对机关童话的那个所以他就是
[51:21.600,51:29.180,1]  这个谷歌你得好好说说这个就是你原来常说的就是它允许就自己穿汉服不让你们专焊惨
[51:29.180,51:47.120,0]  是吧其实这个它不是传他从来没有穿过汉服他这个都是所以我觉得为什么他他这个会话是一种三层就是是一种呃三次这个词范特呃应该叫范特西是吧这个不是说周杰伦还有一个有有一个专辑叫范特西就是范这些应该订一层就是他的一种
[51:47.120,51:51.630,0]  一种虚构一种想象或者他的一种古怪的一种
[51:54.200,51:57.040,0]  对呀那这个是不是和乾隆的性格有什么性格
[51:57.480,52:32.090,0]  哎你看比如说这乾隆他这个给在他钱隆花园里给他自己设计设设设计的那些小的空间它收藏字画的一些地方哎不都是一个像设计成一个小格子然后空间都很小然后里头反正必有就说有一个博古架然后有一张床他到哪走到哪都能躺下来然后把它顺手这个拿一个卷轴哎弹开看一会儿然后怎么样的就是就像一个是说说故宫哪幅画王乐说有一副画上乾隆题的多大有四五十个那个
[52:32.250,52:46.220,0]  几把就说给给鸡巴给写满了就是那个他们没事大概看一遍看一遍对啊对他是有但我不知道心理学上有些有一个对这种情况有什么样的描述就是它是跟那个密集恐惧症相反
[52:48.880,52:50.700,0]  呵呵呵
[52:50.700,52:55.090,1]  是任任性么任性的这个小朋友
[52:55.090,53:4.880,0]  钱就任性那毕呃立即恐惧症的人是觉得这个觉得这个多的东西太多了他觉得他是返回来就是说他他越密集越好觉着就是这个
[53:4.880,53:5.930,1]  繁富吗
[53:6.580,53:15.760,0]  而且你们觉得乾隆这人有一个癖好是他特追求极致嘛就是殊途同归不管怎么样但是你在给我达到一种项目
[53:15.990,53:34.400,0]  就像他做最想做一个简单的窗纱似的你不管用多少种方法呃这个克斯的也好刺绣的也好怎么样这个你都得给我打到这同一个项目那不是那那最有名的是那个故宫藏正常的那个叫什么各色釉大瓶儿就是好像那个
[53:34.400,54:0.800,1]  哎呦别别我跟你说吧嗯咱们准备这期节目然后说实在话我从来没仔细看过那个东西我每次一进陶瓷馆因为故宫男的当脸蛋放在最前面正中间儿我都扭头就看别地就我从来没正视过那东西实在是就是觉得如果看了就得去那个就洗脸怎么洗眼哎实在是太
[54:0.800,54:12.890,0]  但是咱这个我觉得那个东西我觉得特别代表乾隆时代的这个风貌跟着审美就说他在那个时代他的这个就是应该说在封建社会的这个生产力到了乾隆的这个时期已经达到了这个
[54:13.740,54:37.910,0]  呃应该是达到了顶峰了就是说他在技术上就是在前工业社会他已经达到了顶峰所以他那个在一个那个瓶子上能烧出16种不同的右侧完了集在一起完了又是这边是清华那边是五彩这边就是人才那边的是斗彩那边又是什么这个这个指针达到极致而且又充分的反映出了他的这个审美凭据他就是喜欢一个
[54:37.910,54:38.730,1]  实在太恶心
[54:38.730,54:44.150,0]  呵呵但这个就说我们说到这儿呢就是说这个的确我们在这个
[54:44.930,54:53.200,0]  现在的社会中其实还受到了很多的乾隆时期的审美情趣对我们影响你不觉得吗康雍乾三次油
[54:53.200,54:59.680,1]  我觉得这种审美情绪就是一种暴发户心态造成的就是一种没见过世面的心态造成
[54:59.680,55:3.130,0]  你该接着演的那个叫什么农家乐心态
[55:3.370,55:11.640,1]  对对对我觉得就是这种农家乐包括假山石啊这都是农家乐喜闻乐见的形式对我觉得我觉得
[55:11.640,55:16.230,0]  我觉得你你又犯了这个新的词来形容抢就是农家乐呵呵
[55:17.920,55:20.130,0]  但是哎呀但是我我觉得这
[55:20.130,56:18.190,1]  是Charles其实特别有有有一个同感就是怎么说呢就是说我爹在90年代给我们家装修的时候就是它看见什么都想装到自己家里就跟乾隆修这个修这个潜龙花园的心态一样他见过的东西只要比如说见过玉雕他就要装修的时候把这个东西抠在窗户上见过克斯就要做窗帘儿然后我我我就是有印象我我这个小时候90年代就是当时经济刚刚发展是吧就是像我毕业开始给家里装修他他主要在外面见过什么东西他觉得好他就会装在我家里然后我们家就就特别可怕特别农家乐然后后来我我把自己这个在郊区弄了一个稍微大点的房子就要弄假山然后特别特别恶心就是什么什么什么什么那个农家乐的题材都会往自己家里注意所以我特别能理解这个钱龙腾四海
[56:18.190,56:20.560,0]  但茄子可不能算是暴发户啊
[56:20.860,56:33.660,1]  呃我我如果我们分析心态的话啊就是当然这不是我们这个节目制专业的我们很业余只能闲聊就是说他他的他爷爷和他爹其实都很凶险的才登机的
[56:33.660,56:34.710,0]  嗯对对
[56:34.860,56:42.080,1]  他他他很顺的他很任性啊他从小就等于生活的很平稳生活的很富足
[56:42.210,56:50.300,1]  他他这他就是一个很任性的这个小朋友的心态来给干这事儿
[56:50.630,57:8.490,0]  但是另一说的话你想乾隆其实他身世有可能有点复杂吧但他能熬到就是能让他爹看中他然后怎么样就说其实开始挺能装的以后就是说就像超人说的就是就是他能任性的时候其实是不不这个我觉得不一样其实应该是乾隆还他钱
[57:8.490,57:10.620,1]  就是让他他爷爷喜欢
[57:11.410,57:12.520,1]  对他是
[57:12.520,57:23.190,0]  哎呦这个都是他自己编出来的这个也呃这个都只能自己做了皇帝话说他爷爷喜欢他怎么给他的这个李家的那哪有其实史诗并不一定是这样
[57:23.680,57:29.490,1]  但是在在康新时代的这个这个围场的几次记录里边是还是挺喜
[57:29.490,57:36.070,0]  哎有一个我我我还我还说的就是哎那个那个哎那个超市你见过填入自己画的画儿
[57:36.490,57:43.450,1]  我特别恐怖我见过哈哈就是我还我还转发过那换外星人罗
[57:43.450,57:44.920,0]  我想到这个问题我觉得
[57:44.920,57:47.820,1]  我给你找出来这段话给大家发送通知
[57:47.820,58:20.770,0]  哎我突然想起我觉得是这样的其实有的人来学的就说有的认为乾隆这个的我个人认为乾隆毕竟他还是一个满族人他还不是汉人他对中国传统文化的这种这种理解我个人认为还是处于一个一知半解的他认为自己很饱读诗书什么中国这个东西其实文化上来因为为什么我这么讲因为你虽然大家觉得好像呃相比这个清代的皇帝明代的皇帝好像都显得这这这都是坏人都是他妈的但是明代的皇帝里面
[58:21.250,58:32.770,0]  其实明代的皇帝尤其明代初期的就跟乾隆相对位置名代表第三第四个皇帝下面名人中明宣宗他们的绘画水平都是相当高的这个有有有华留下来的
[58:35.050,58:37.360,0]  对挺多的嗯所以所以
[58:37.360,58:41.000,1]  我说他是暴发户心态其实就是因为他在这个
[58:41.230,58:49.960,1]  满洲在承德还在睡大炕的这种程度突然就看到很多好东西就不知道怎么办了
[58:51.020,58:52.340,1]  内心就是
[58:52.650,58:58.000,1]  懵逼崩溃了所以他才就所有东西都要攒在一起才觉得好
[58:58.130,58:59.730,0]  所以这个呢的确
[58:59.730,59:25.570,1]  所以所以才会有这个大瓶所以才会有毁坏那么多中国历代书画到处盖章您说那个心态其实跟一个呃我这个小学一二年级的时候盖小红花一样我就想让老师多给我在本儿上盖几个小红花是吧我玩儿印章我就到处干就是玩就是这个心态我做十几套印章我就是我看着什么都想着我
[59:25.570,59:54.670,0]  其实我觉得这个有我忘了是哪个哪篇文章讲挺逗说那个说乾隆不是特别推崇是赵孟俯的字嘛所以他在那个赵孟俯的这个淑华自选都是一学校题写神笔什么什么什么完了这个完了有一个什么有人说评级各种神对完了有一个人他都说那个哎说录播眼睛不瞎的话就能看出来全都是字各脏腑的字简直不是一个类型的为什么他一天到晚说自己是仿造孟府
[59:55.310,60:0.800,0]  哎谁楼市扭来扭去的这个至少说这个笔画的出去怎么不行
[60:0.800,60:4.340,1]  要不你不要侮辱张不服啊我求你了
[60:4.340,60:8.240,0]  呵呵e
[60:8.240,60:26.830,1]  这个这个美院啊什么的这个各有一切老师都做过一些事儿就是就是把这个钱隆毁坏的书换把他的印章把他的提拔通过这个现代技术啊啊去掉然后展现这个
[60:27.060,60:28.290,1]  我们这个
[60:28.740,60:31.770,1]  好不容易留下来这些东西的园嘛其实
[60:32.290,60:33.700,1]  看着还是很痛苦
[60:34.100,60:36.800,0]  其实那时候想起来绝对因为它
[60:36.800,60:40.580,1]  他这个他这个心态有的时候就已经就是
[60:40.910,60:43.740,1]  就很离谱了他要在华欣体字是吧
[60:43.870,60:55.000,1]  这个直接往山上网坏了一开始往坏的空白处后来就直接往山上网坏了这个本这个化学这个重要的东西
[60:55.000,60:57.030,0]  就差点没把图片盖脸上
[60:57.230,60:57.600,0]  鸡
[60:57.600,61:13.100,1]  舅舅到那种程度了吗就是你看那个孺最近这个故宫的主要展主要展那很多宋代流传下来就一共全世界大概90几1000几件汝窑那个清宫旧藏那个基本都被他克了那这
[61:13.100,61:14.710,0]  对他他在那个汝阳那上
[61:14.710,61:19.740,1]  一节课是克师而且它是它是就是完全是
[61:20.840,61:23.840,1]  外航的嘛所以他克了很多错的东西
[61:24.150,61:25.420,1]  就是他他
[61:25.930,61:26.800,1]  短贷啊
[61:26.800,61:40.550,0]  讲的这个外行他这个鉴赏能力不是最有名的就是王公望的这个这个富春山居图嘛他得了一个假的呃的赝品嘴巴特好哎哟又省花儿真的来了以后无数那个
[61:40.550,61:47.900,1]  上面的题吧真是密集恐惧症那个真是密集恐惧那真的是往山上写字的那款幸亏是一个假花
[61:48.240,61:53.420,0]  所以呆但这话说回来那你说乾隆有没有留给我们一些正面的一些来给
[61:55.150,61:58.920,1]  正面我咱们不是刚才说了嘛就是第二次
[61:58.920,62:19.840,0]  其实我们这个主线我觉得都聊了很多钱隆的好的事儿比如说他的一些建筑的复制也好呀发展也好呀就是把有些藏族建筑的一些优良的一些建筑这个行质押这个引进到这个旱地啊一些汉藏结合的这个自愿啦建筑啊也好还有一些说园林啊怎么样对吧
[62:20.100,62:32.300,1]  你看现在这个就是真保管走到最后边走的服务那个福旺阁前面不是挡住那个顶级革命皮革就是还不开放不让男生进房就放了一张那个
[62:33.260,62:34.730,1]  那个土尔扈特
[62:34.880,62:42.740,1]  回归的那张霍尔嘛就是在咱们那个咱们去过的那个办法规定alley说法那个
[62:43.180,62:48.680,1]  对那个那个达赖喇嘛和班禅额尔德尼都坐在底下
[62:49.480,62:54.720,1]  单程和张家我忘了然后这个土尔扈特那个东归的那几个
[62:54.850,62:56.130,1]  重要首领
[62:56.320,63:1.680,1]  在那个万法归一店里接受他的接近就是这个都是
[63:1.680,63:4.920,1]  应该说他的主要攻击吧在他这个时代
[63:4.920,63:15.930,0]  那就是说我到讲到你这这个其实呃讲到园林啊就说因为就跟那个好像这个咱们讲的一些史诗就是明星的小说是一个
[63:16.190,63:21.340,0]  代表这个文化的一个就是文学上的一个成就一样就是好多人把这个
[63:21.610,63:26.800,0]  北京这个皇家园林的这个这个建设呢代表就是说中国好像这个
[63:27.000,63:29.650,0]  悠久的园林史到了这儿还有一个
[63:30.110,63:49.990,0]  像个总结是也是一个归纳但我觉得个人因为大家现在好多人觉得哎呀圆明园是万园之园圆明园被烧毁了多么的可惜其实从我觉得从从我自己现在看到缘灭那些资料的时候我觉得其实其实于河源我觉得比圆明园我觉得现在能保证下我觉得更更更有一定的创意在
[63:51.240,64:14.900,0]  呃圆明园其实完全是一个这个我我这个我是从圆明园完全是一个级别人打打上太多乾隆烙印的太多钱隆贸易的一个乾隆的一个个人的一个作品我认为就是个即景就是就是一堆就是全都是各种各样的东西完了把他火在一起这样一个一个东西奇缘其实相对来说我觉着一个元它还是有一定的这个
