[0:0.155,0:5.200,0]  欢迎收听地下关今天势必下关的第22期大家好我是酒店
[31:34.490,31:41.010,1]  玩什么都没有对那时候都没有那像什么糖蜜这种没有唐莉唐莉好像有点
[31:41.010,31:42.590,0]  也是躺在才开始用
[31:42.590,31:44.310,1]  常德才有教堂一吗
[31:44.530,31:49.180,0]  有早期的一些早期的杂密或者什么有一些的
[31:49.830,32:6.750,0]  早期的一些大成信仰吧就是他跟佛经有关系的这个这个这个这个就是说你比如说你要看那个有有名额的照片其实可能是那个罚金的流程啊就是有一些小区的大乘经典他讲的都是这些关于来事啊关于这个或者弥勒下生啊就是未来和吗
[32:6.910,32:11.140,0]  其实都是一些对未来的处理因为现在太苦了就是字好多人各种战乱
[32:12.300,32:19.070,0]  呃包括观音也是救苦救难的这些这些照相的流行都是因为他们有祈福的这个功能
[32:19.450,32:26.140,1]  所以这里面我觉得嗯呃我当然我我引一个另外一个我觉得这个
[32:26.730,32:46.210,1]  这个不是跟艺术有关系的话就是说你你一边应该讲到就是他们那时候的佛教的这种盛行是因为太苦了那么人事太空了催单但跟现在这个这个大家流行佛教那是另外一种scenario对吧但是结果是一样的就是大家蜂拥地去造一些东西
[32:47.450,32:56.470,0]  因为我觉得你是流行这种流流行这种交易吗就是跟跟佛进行各种交易就是我给你我来给你来一大哥的然后你给我一个价格
[33:0.690,33:12.290,0]  嗯说到那个说道说道救苦救难其实其实那个我们刚才提到的那个定金的那个那个就是gag那也是一个非常典型的就是
[33:12.310,33:21.730,0]  人他人他人还特别注意到那个在一坨屎入的这个这篇颂文里面有有有血流写成合适吧有这样的这种
[33:22.670,33:27.610,0]  当时也是那个度了周德荣企业六镇起义然后就
[33:28.610,33:30.170,0]  死伤无数吧这个当时
[33:30.270,33:32.490,0]  那那边只是一个乱葬岗
[33:33.610,33:35.900,0]  是的利率这么一个纪念碑
[33:35.900,33:52.670,1]  我也我也我也想说一个这个问题啊就说其实我们有时候也当然这个拨开历史看现象有时候也挺残酷的就说我们在欣赏这个博物馆精美的造像的时候我们可能往往忽略了很多就是它这上面写的就是发愿文这一点要提出一点就说
[33:53.720,33:59.260,1]  曲阳出土这批较长这个发跃文是最多是它的一个很大的一个特色
[33:59.720,34:24.620,1]  那么这里面就发愿文有好多东西就得到了很多的历史信息这个当然我也是看书看来有人注意到这一点要有一个就是说有一有一个照相呗他的发言人非常就是说发愿文上面写的就有200个人集资来造这个造像只是就是就是集资人最多众筹人最多的一个造像碑讲的就是什么呢就是你刚才讲的就剁周恭敬定州那一天
[34:24.680,34:29.800,1]  就是他们纪念那一天的那个那个人其实就是那天死亡了很多很多的人
[34:30.240,34:39.680,1]  所以这个就是一个就是说从这个文献能看出来这个照相背背后的这个就是超人你刚才讲的是血流成河的历史
[34:40.460,34:44.050,0]  整个北朝的这种大量的小型的照相都是
[34:44.090,34:46.690,0]  跟这些有关系其实背后都有一些很惨故事
[34:47.640,34:52.530,0]  说到这个题第十有意思就是那个当年曲阳的这批窖藏
[34:52.600,35:0.250,0]  是现在是算在各科大博物馆然后当年跟他女朋友提到正理中去领导的这个发觉所以
[35:0.350,35:5.420,0]  故宫有得到挺多的一一批而且很多都是有体力的都出来的
[35:6.180,35:8.660,0]  都被堂入藏故宫了
[35:8.910,35:11.070,0]  现在那个如果去
[35:11.100,35:13.380,0]  新开放的故宫博物院的
[35:13.530,35:15.720,0]  那个那个紫云公交宿管
[35:15.890,35:19.210,0]  对也是专辟了一个一个一个展厅
[35:22.260,35:25.490,0]  然后可能在那个国家博物馆有一
[35:26.550,35:28.480,0]  然后还有一大批是在
[35:33.250,35:37.300,0]  好像还在好像还在想本月庙里我们这次也看到了
[35:37.300,35:42.680,1]  咱们在北苑庙里看了大概有几个呃还有一个高做车的
[35:42.790,35:44.390,0]  啊对对对旁边的人
[35:45.950,35:50.970,0]  嗯哎对我想做回到一个还是回到更感性的话题吧就是
[35:51.040,36:0.830,0]  因为我们也谈到这个所谓刚才叶城风格或者定州模式那么您您觉得您觉得这个风格上而而言你们有什么感受吗
[36:2.710,36:10.850,1]  就是你看你看他那个刻画方式呃因为我们也也看到现在的公章在做了吗他的课堂方式他把大型做
[36:12.250,36:35.670,1]  呃也有人抠相对细致的抠一遍细行再有一个那个工匠比如说他的这个造诣最高或者是他就是这个丢丢的这个负责人导演或者是师傅他再把所有的细节再累一遍就是让这个东西都有一个统一风格就能看得出来整个曲阳地区的这个操作模式都很羡慕
[36:36.110,36:41.830,0]  嗯所以你的意思就是说曲阳这个地区的模式有比较强的识别性
[36:42.170,36:46.450,1]  对我觉得这个整个从叶城临漳到这个
[36:46.670,36:50.040,1]  旭阳前后都是比较好识别
[36:50.280,36:52.220,1]  而且他体量也好识别
[36:52.580,36:55.900,1]  就是它的体量总体的就是这种
[37:3.810,37:14.360,0]  呃不这不能较好识别吧因为它大的也有哎那你如果说你说他因为小的特别多所以你看到小的你就你就很容易识别至曲阳那你看到大吗
[37:14.360,37:20.070,1]  嗯对我觉得我觉得这个材质是一个最最容易识别的一个东西
[37:22.590,37:27.870,0]  是这这当然了就是那如果抛开材质本身呢就是从风格上从这个
[37:28.650,37:30.220,0]  是觉得这个角度来看
[37:30.220,38:6.360,1]  还有一个就是造型的东西比比方有些东西的那个就说因为我就我我必须得承认就说有些如果抛开材质它被平时的有些东西照相可能识别起来更轻松的比我作为我我不是专家的话看起来就就但是我还是用传真另外呢就是造型可能不太一样它的这个比方那些那些龙树是被评的他曲阳的特点对不对我觉得比较比较熟如果说纯爱风格来说说能说不是曲阳的我就是觉得北岳庙那特大哥的那个和那西瓜村特大哥你也看不出来是当地的风格
[38:8.230,38:17.740,0]  对但那个呢那个待会再聊我觉得又又又比较奇怪的现象但是就是说我跟贾村有一个类似的感想就是我觉得
[38:17.780,38:23.290,0]  呃沈阳地区的风格好像识别性不是很强因为它其实
[38:23.650,38:26.240,0]  可能量也挺大的其实他那个
[38:26.370,38:27.630,0]  呃从
[38:27.730,38:31.710,0]  应该你能看出来他从工匠的水准差别也蛮大的
[38:32.120,38:41.320,0]  呃就是好多层次的东西就是他从床加的一直到那种就最民间的东西都有有集体简略和粗糙的
[38:41.720,38:43.270,0]  呃然后
[38:43.270,38:46.850,0]  所以说不像青州就会相对来说一次性强得多
[38:47.240,38:49.210,1]  对的确一致性强得多
[38:49.210,38:58.680,0]  是你如果你再结合不是我是这样想就是如果你再结合那个曲阳地区地面儿或者从其他来源看到的东西你比如说小汤山
[38:59.430,39:4.350,0]  你你如果说悦城是小汤山的呃是曲阳的这个
[39:4.870,39:9.240,0]  下辖的一个范围里面的一部分的话你必须得把马上也放进去
[39:9.660,39:11.780,0]  还有就是我们在那个
[39:13.670,39:15.960,0]  零售的尤其是那单村
[39:16.900,39:22.870,0]  就是叫什么高高郡王高睿那个赵郡王高瑞高瑞的那个稻香
[39:23.950,39:33.670,0]  它又是另外一种我觉得挺极致的那个水水准的表现但是他们他们之间的你说你觉得他们之间的那种识别性强吗嗯我就
[39:33.670,39:50.430,1]  哎我我我挺同意的页边你的看法我我觉得就是说每一类的实际上不强但是而不是就是就是就是美每一个种类之间的这个看不出来是同样的这种识别性但是我觉得每一一类里边新日好识别的
[39:53.300,39:55.270,1]  呃就是比如说这个
[39:55.540,40:1.430,1]  呃这个这个两两蒲塞这个对做的就是
[40:3.780,40:19.820,1]  还有这种这个被评有这个菩提树的这种你看雕工你看那个细节的处理你看布局其实还能使病但是说分开类别比如说你拿皇家的民间的第二笔我觉得不太好识别只能靠材质
[40:22.880,40:29.540,1]  赵县无论在叶城发现鳞状发现还是在修德寺发现都比较容易识别都比较像
[40:29.540,40:35.200,0]  嗯是这一个时期的呢你是说比如说北朝晚期的还是说你觉得甚至包括其他
[40:35.200,40:39.240,1]  哎对北朝晚期就是说谁也是识别随堂
[40:40.740,40:57.300,1]  就是在这个整个这个地区出土的随着也能识别出来一种风格然后躺着也能识别出来一种风格但是说这些分门别类之后呢只能靠材质识别就像嗯其实咱们在北京就看故宫的那个管是最明显的
[40:57.690,41:2.030,1]  人管理都是200是但是你看他的北朝造像
[41:2.270,41:24.360,1]  其实能使都比较像无论开联是吧然后谁我问一个我问一个你们的问问一个你们问题因为那个我只见过这个故宫的那个曲阳的这个教堂对吧你们这次去了看了北古装的就说我想问一下就北屋装东西跟故宫东西这么比你们给一个给一个给一个见一个你们的观察呢
[41:26.550,41:30.590,0]  嗯不是故宫故宫的是曲阳
[41:30.590,41:42.180,1]  对对对因为收到这些东西应该说相对来说它的这个风格或者他的这个比较专一嘛因为它是一一就拿这两个窖藏比你们给出一些什么样的呢
[41:42.180,41:46.240,0]  四个比较明显的一些特点是他可能明天的东西
[41:47.200,41:50.380,0]  根据故宫的那个小型的其实很多都是明天的
[41:50.650,41:57.420,0]  还有有有两三尊大的就是离开就很精致就还要随堂的那可能这个
[41:57.550,41:59.560,0]  供养人的背景不一样对
[41:59.750,42:8.090,0]  但是但是那个补妆的就就可能有更多加背景呃出自富裕家庭或者会员
[42:8.090,42:9.700,1]  即刻上面题库能看
[42:10.200,42:40.900,1]  因为这个的确是因为那个曲阳的就是教堂的这批东西它主要是一般的老百姓最多就是一些低层的一些官员所以他的这个级别肯定是不是很高所以我总的印象来说呢就说是一种民间的民风比较重的一些东西谈不上有些什么皇家气犯的这种样子的东西那么呃北吴庄的这些东西应该说靠着当时的京畿很近是不是这批东西他就因为我从那个超人拍的照片我感觉好像这个精美程度好像比这个
[42:41.260,42:44.460,1]  比这个就是曲阳的这个教堂要要来的
[42:47.590,42:56.120,0]  别其实呃我觉得嗯有有这方面的那个可以可以这么说吧就是其实还有一个说说到识别性啊就是那个在
[42:56.200,43:2.560,0]  没有这么晚这个不算肯定也注意到过就是有有有一尊明显是应该可以
[43:2.560,43:7.440,0]  可以比较有把握的说其实是外来的就是说去青州立即过来的一一早餐
[43:7.740,43:11.500,0]  所以它的实质它不是70不是白色的侵蚀其实他那个
[43:11.720,43:20.090,0]  他的整个照相的那种风格的识别性就是我为什么会说青州比较是比较强的就是那那次看一看一眼一看就知道哎这个
[43:21.100,43:24.580,1]  你说的那个就是在那个楼管中间那个是不是
[43:24.970,43:31.150,0]  嗯对然后还有这次在那个呃临漳也有一种有一个小的被评
[43:31.480,43:33.040,0]  呃我觉得肯定
[43:33.150,43:43.530,0]  呃应该也比较容易识别就是它也是全国地区因为它有比较标志性的就是新车必须有那种融合莲花组合的那种那种连坐
[43:43.640,43:53.210,0]  在学是不算就一个大的被评倍频一般是佛阿佛菩萨三村那那个两个鞋子不算小夏的莲花都是和龙的有一个组合
[43:54.220,43:55.980,0]  这个是青州利率比较
[43:56.060,44:4.140,0]  特殊的一个一种你说那两个是照相照相模式对对然后他那个还好也不是白
[44:4.140,44:5.210,1]  嗯嗯
[44:5.210,44:10.390,0]  呃所以就从这两点还说就我觉得这个很有把握这可能也是来自忻州地区
[44:11.850,44:18.130,0]  所以说QQ的那个那种识别性就其实相当强这怎么说呃但是
[44:18.230,44:23.880,0]  这不从目前的我们能看到的东西而已但是可能也我这种说法可能也是其实可能比较草率
[44:23.880,44:45.660,1]  但是但是但是这个我也要其他问题就是说也不是完蛋青州地区因为如果就说抛开材质但是我觉得抛开材质这一点是很难做到因为他都有材质在上面但是青州地区其实也是你比方他那个呃龙兴寺出土的东西跟周围有些别的地方出土度也也有一些些的这个差
[44:45.860,44:53.160,1]  别把呃页面你也知我讲什么只要他对这个脸型他有的有些地方出土那个脸型他比较短
[44:53.240,45:7.010,1]  对吧那个脸颧骨比较高也有这个脸型比较长这个这个比较脸比较长远的这种呃也还是有些不一样的这些这些风格上的区别就开脸上我说的是
[45:7.340,45:20.280,0]  那那我这次这个可能偏主观了就是因为我就说我自己啊可能我的主观印象就是我觉得他周围的我也看过几个博物馆了他领取合租出人去看过嗯呃我个人印象就是说他们
[45:20.280,45:25.200,0]  他们还有有点有一种抑制性是什么就是他们看起来都比较呃
[45:25.540,45:33.310,0]  纤秀然后你对这种表情和那种脸的结构的策划就是其实微妙的东西比较多就是他很
[45:33.480,45:37.750,0]  他他不是一个那种模式化的或者那种完美的就比如说我们
[45:37.750,45:46.070,0]  讲那个古希腊的第二项是一种理想理想的那种人的美就是青州风格的那种呃佛像就是好多
[45:46.070,45:54.710,0]  并不是哈就是像像一个一个真实存在的人但他也不是那种写实的那种所谓的正事儿是他每个人都有都有自己的特点而且那种特点并不是完美
[45:54.710,45:55.340,1]  嗯嗯
[45:55.700,45:57.110,0]  他有很多微妙的东西
[45:58.130,46:10.380,0]  然后整体风格又偏偏弱然后又跟他这个整个这个身材呢就是那种一块儿一块儿保本儿的那种感觉又又比较一致这我是我觉得这是一个忻州地区的一种
[46:10.590,47:0.880,1]  是因为那个因为在这个故宫里面曲阳的这个造像对吧他那个大象一个不多那么大象呢相对来说它的我个人认为他的有几个大家眉头那大象的这个风格就说因为跟青州来比青州大象很多所以这一点比呢就说看不出去养的这个特点我认为呢就是曲阳这边的这个造像呃一个很大的一个特点就他这种跟印象比较深的就是他这种龙树是被评的这种照相这种高空镂雕的这种形式这个是曲阳呃青州所没有的这次中国银行现在就是说那个超人拍的一个就是它是一个应该是一个塔吧但卡的那个自助没有了就有一个就是像四方的一个塔四面开哎那个给我哎四门打字这样一个这个我觉得是特别能反映就是说呃
[47:1.050,47:17.050,1]  旭阳地区的这种这种特点我觉得就是说他能够能够把这个雕刻因为雕刻咱们也就有什么高有服务第二高浮雕有什么透雕什么高透掉什么价就说我觉得沈阳的这个是是代表他们一个一个特点
[47:17.050,47:18.980,0]  是是是没错没错
[47:19.160,47:22.425,0]  那个老板还说过有他他见过有
[47:22.425,47:24.190,0]  扣掉了九层的
[47:25.870,47:28.900,0]  有有有九层不同的城市
[47:28.900,47:33.850,1]  这个相对来说是非常非常难的比如说在哪儿在哪儿进呢
[47:34.120,47:36.460,0]  我忘了他说好像是不是什么
[47:36.720,47:45.680,1]  那有可能是那个那个我我我们我那天跟聊天分析了我们说在下面店的话有可能都是合作的
[47:46.460,47:47.580,1]  哈哈
[47:47.580,47:49.340,0]  对所以也不排除认可
[47:49.340,47:52.950,1]  这这就引出了下一个话题了呵呵
[47:52.950,48:0.110,0]  嗯对对对我们这次这个仿古之余又去访问了一下曲阳的这个
[48:0.400,48:4.200,0]  呃一些镖客做法因为现在沈阳其实如果
[48:4.350,48:10.060,0]  我知我很建议大家那个听说有有机会不妨去考察一下曲阳县
[48:10.340,48:12.400,0]  现成的这个南部
[48:12.440,48:14.630,0]  的这种雕刻一条街吧他从
[48:16.080,48:21.120,0]  雕塑广场曲阳照相广场还是雕刻广场往南有一条
[48:22.440,48:25.120,0]  十公里左右的一条这个
[48:27.570,48:32.040,0]  通向他们下面的一个卷子这个卷子就是所有的雕刻作坊
[48:32.150,48:37.610,0]  就汇集的哪个地方整个这条路边上全都不都是没有别的任何东西全部都指着
[48:39.210,48:41.740,0]  改了十公里长的石狮子
[48:41.960,48:46.120,0]  呃以及其他各种佛像维纳斯毛主席呢
[48:46.120,48:51.050,1]  那你这个说十公里长不跟天不跟长安街一样长了传接呵呵
[48:52.160,48:54.310,1]  等着发会员通讯吗大概
[48:54.920,48:58.830,1]  啊这这地下城视觉可能效果还比较震撼
[48:59.450,49:6.400,0]  是是今天我们这期可能讲了太多的这种关于视觉的东西就是如果只是听可能会比较
[49:7.810,49:14.440,0]  这个男生呃那个我们当然我们会在我们会员通讯里面把这个相关的一些
[49:14.680,49:16.020,0]  视觉的素材
[49:16.020,49:27.900,1]  对我所以我我我觉得是这样肯定要先看一下我们的树会员通讯的素材有再来听我们讲的可能就就比较那塞死了还有就是会去这四个博物馆看这个
[49:30.740,50:10.740,1]  其其实这里面的确就我也插一个就是咱们这个会有呃会员就是说听友也经常问个问题说哎呀这个我我去看过怎么好像看不懂啊或者看不就是看不明白啊什么的这里面我也想说就是有些事情的确是就是不不可能是一蹴而就的就跟我们其实也是在一个不断学习的过程可能大家也听也需要有点耐心自己慢慢的来积累一些看东西的眼力吧我想可能这也是需要有一个慢慢积累的过程不可能说听我一期节目一刻就变成变成什么都懂了可能也不太现实我们一我跟业边这次就是刷新了眼力的三观
[50:12.110,50:14.140,0]  对完全世界观被颠覆掉了
[50:14.140,50:18.160,1]  我家怎么边付吧我觉得咱们录制是不是有生命危险啊
[50:19.350,50:33.130,0]  不可能不是我没说什么呀我们就是说一些正常我们到因为我们还是想看一些那个做这个呃做雕刻的旭阳当今的这些呃工人的水准然后我们确实也发现了一些
[50:35.580,50:38.240,1]  就是我们想看看现在的最高水准
[50:41.340,50:47.440,1]  呃仿古到这样然后我们发现高档已经我们
[50:49.590,50:54.590,1]  就是不知道这个我们看的博物馆到底是不是真的了已经
[50:54.750,50:59.380,0]  对这确实有一些水准还非常高的一人
[50:59.380,51:17.900,1]  呃这个我我都觉得这个特别这个听着你们讲都很吃惊就说因为你们有一个就等于是没有一个试卷延误就你们刚看了比方博物馆这些东西对吧隔天就去现场看他们在星座的这些东西难道没有觉得有任何的这个转换吗
[51:18.810,51:21.510,1]  我觉得单从成本上来讲
[51:21.730,51:23.580,1]  其实做的更好
[51:26.040,51:29.580,0]  比至少比那个大多数是德寺出土的
[51:29.810,51:33.360,0]  那种民间的很粗糙的那个角度小学校
[51:33.360,51:54.600,1]  是这样啊这个有一个这个古玩界的神话就是文物剑神换就老觉得有些东西到某某时代达到极致后人就在也做不出来反不聊了这不不成立的因为呃从美术上来讲从工艺工艺上来讲就是我们有新的工具新的材料新的科技
[51:55.010,52:2.590,1]  呃只要我们用成本和用心用这个踏踏实实认真的去做一定会比前
[52:4.590,52:15.840,1]  呃我想模仿全日制非常容易的呃那我想问一下那个超人我知道你也去过景德镇那你说比方说元青花真的是可以超越的吗
[52:16.080,52:18.040,1]  元青花是真的可以做出来的
[52:18.460,52:22.770,1]  就是我觉得你我的意思就是说真的可以仿制的就是天衣无缝吗
[52:22.940,52:32.940,1]  呃我相信你现在这些博物馆里收藏的捐赠的或者是一些来路不明的元青花儿就是景德镇选座
[52:34.760,52:54.140,1]  哇那这个呵呵这个对大家这个这有一个问题啊这个这个东西一旦坐实了以后我觉得对于这个美术爱好者或者对于这个传统文化的爱好者那个这个打击是非常大的这个等于我我我我看了半天的东西叫你告诉我全都是当代做的那那你说这是多大的打击
[52:54.250,53:10.010,0]  对我觉得一方面是打击的但是另外方面我觉得这是一个非常必要的教育就是因为我我我只知道那个人他人在你们这里徘徊了一段时间然后之前我们也虽然我并不是对书画有特别深的原因但是我们也看过很多这方面的一些那个研究吗
[53:10.340,53:12.190,0]  说话新中国的这个说话的
[53:12.190,53:13.630,1]  这点问题
[53:14.010,53:17.280,1]  昨天昨天不有一个听友还问我们说话问题
[53:17.280,53:23.470,0]  呃其实我们的一个心得其实是说我自己吧至少我觉得那个如果我待在
[53:24.260,53:33.370,0]  看到或者任何地方看到所谓的那种北朝造像以前我因为我觉得自己看还蛮多的我还觉得自己挺已经培养一定的那个
[53:33.740,53:41.080,0]  呃鉴赏能力但是以后我决定如果没有明确的出处而且是考古发掘的出租的话我可能就不太不太会在当真了
[53:41.690,53:45.090,0]  所以我就不考虑这个问题了就是我不会把他在当做一个
[53:45.730,53:47.630,0]  有确定来了那个
[53:47.630,53:50.980,1]  包括包括这个艺术史一部分来看的只要是工艺品
[53:50.980,53:52.830,0]  嗯对我我就不考虑了
[53:52.830,54:16.890,1]  直播课比如说我的伦敦好像画廊他们卖这些号称ipad流出的这个箭头了我这次盗抢之后我都认为那个可能就去银行地区也做箭头风格再访这些东西那实质是不一样箭头有一个很重要的他的这种石材是适当的特权地区进口石材做接口
[54:18.670,54:27.710,0]  那个黑色骗人不这个是我们听说的就是我们确实没有见我们确实听说在平常也有人做进口这个骗钱来做
[54:27.740,54:29.090,0]  键头风格的岛
[54:29.810,54:49.910,1]  哎但是我有这样一个问题啊那个因为我我翻了些那个就是网上也好书籍也好就是有些介绍曲阳就是他当然是介绍曲阳县的石雕工业的这个东西里面他也讲他们现在好好好多文艺复兴守在什么比方大卫纺这个什么这些这些呃但我一看我就知道就
[54:52.110,54:56.280,1]  肯定有问题就是肯定不是像大卫那样那种你看的是低保
[54:56.860,55:21.340,1]  呵呵我没有时间我没有现场看我只看他们这个宣传资料啊是这样是这样的呢我还继续我刚才话题说就是说这个东西我们后人在做的时候如果我们给他的成本不够就是或者是他的这个利润不够的时候他可能就一般的工匠在做的方那我们一眼就能看朴是吧我们看的多的话
[55:21.690,55:24.360,1]  呃不是包着捡漏心态去买的话
[55:27.090,55:36.380,1]  一旦艺术家参与到这里呢最长景德镇一样整个正呃可能就是工艺美术大师或者是陶瓷学院的艺术家
[55:41.620,56:41.620,1]  但但是我我比如我比如我我想我想就是问一个我的问题啊因为的确比方说你我拿一个东西我原样去造一个就是复制一个这样的东西我可以做的跟这个东西一样现在我这做元青花好多都在这么做就是说仿一些题型比较有这样处理回复子下山我我这弄了好好几十个跟鬼谷下山有关系的然后我就变成呃最韩信我就变成什么关公耍大刀这个类似这样东西完了就对吧这这但是就说这是一种还是一种就是淘宝就是在模仿对但这个东西是还是很容易被人看出破绽的因为因为你稍微比方说你想上稍微发挥一点可能你就发挥错了你你就不知道当时人家为什么这么做的一个原因就是因为他不知道一些佛教仪轨啊佛教这些东西可能就容易出纰漏就跟打个比方人家看那个古代绘画唉你这笔没什么话都像是唐代的结果一看人家看你这个妇女的比较装饰不是唐代的哎一下你就知道你这个话是是假的
[56:41.621,56:44.090,1]  有没有这样的可能性也还是可以识别出来
[56:44.090,56:52.990,0]  对我觉得我其实我挺同意补充你刚才说的这一点但但现在的这个现状是这样的就是佛在佛教艺术的这个研究其实
[56:53.180,57:1.720,0]  他的水准我我当然我都在说这这么一句话其实在国内甚至整个学姐其实还是相当低的
[57:2.810,57:6.210,0]  那个也许将来系统性的研究越来越深入
[57:6.270,57:8.370,0]  只能发现一些现在发送不了
[57:8.930,57:19.470,1]  但是但是但是我我持一个悲观的态度就是说什么呢就说如果越来越多的水货参加进来的话指的这个研究艺术史的这个专家嘛都会把眼睛给
[57:19.470,57:21.080,0]  对呀也也会有这个问
[57:21.080,57:32.530,1]  对这是太危险的事情就这这个就说弄得就说这是颠覆呃不是毁三观是颠覆所有的价值观的一个一次包括包括什么这些来路不明的简
[57:32.920,58:3.700,1]  就是各各个大学都收很多点有些是来路不明的有一些我们现在想想他们就可能就在白研究一辈子研究工匠们现代人在村里对我觉得所说这个角度来讲我真的去这个学术好多都感觉很悲哀那你说就跟超人跟你讲人家穷经皓首研究一辈子最后告诉我这这是个呃几十年前新做的那你说那人不得不得不得吐血而亡啊而且我们现在就是甚至我们现在怀疑有一些出土的都是假的
[58:3.990,58:6.110,1]  就是为了正极外地人
[58:9.150,58:12.050,1]  哎有一个看到了这个东西
[58:12.420,58:13.640,1]  所以这个也
[58:13.640,58:17.510,0]  也是一个祸害社会的另外一个样本哈
[58:17.510,58:30.930,1]  那问题是就是你现在就是取消回来后你觉得你毁了三观就说那曲阳东西真的就说你把这个取消东西放在放在比方这个故宫博物院的蒋蒋经理跟那个曲阳那个赵教堂东西在一起的话你会觉得就完全是分别不出来了
[58:30.930,58:33.670,0]  但是我也不是真的我肯定没有
[58:33.670,58:37.490,1]  嗯我把咱们这就是一个高级发烧友
[58:38.960,58:50.160,0]  啊对我反正我觉得很多人是充电不出来这是也这也是非常常见的事情吗你想想他有很多这种例子你比如当年那个洛阳那个南山村的那个现在也是
[58:50.160,58:53.020,0]  全国工艺美术大师他造了一批唐三彩
[58:53.090,58:55.970,0]  他不是后来在他三年就背一直背
[58:55.990,58:57.250,0]  就被被文物部门
[58:57.250,59:1.980,1]  对对对这个这个国博好像删了很大一批就是说当成
[59:1.980,59:4.390,0]  当时我说了一大批吗是吗
[59:5.260,59:6.230,1]  嗯
[59:6.230,59:8.610,0]  就是现在那个村子现在还在造啊着急
[59:8.610,59:31.230,1]  就是是这样就说你到没意识到的时候你觉得这是真的但人家告诉你这东西是假的时候你有时候在看你继续那你说这种心理暗示让你发现是有假的地方还是说哎哟这的确我们当当时没看到就是有一些假的东西在里面不是我我想跟你说的就是说你们在站在的是从文物鉴定的角度上来说我我想说的是他们在工艺上真的非常热
[59:31.810,59:33.610,1]  他们甚至就是
[59:34.050,59:36.510,1]  在模拟古代工匠的这个心理
[59:38.800,59:41.690,1]  那他们他们的工具也是用古代工匠的工具吗
[59:42.450,59:43.860,1]  呃
[59:46.100,59:55.420,1]  最后一步会是这前台就电电电子电电脑店什么因为你给我打磨的时候苦力的部分不需要我用古代的方法
[59:55.610,59:58.340,1]  就只要最后最后的课换最后呢
[60:1.290,60:4.270,1]  过去的人呢心里过去的这个
[60:6.180,60:20.720,1]  哎那我我小孩说一个比较我我可能不是特别懂啊就打个比方来说这个问题我知道比方说在景德镇烧窑的时候古代人是用柴窑它的火候是不能控制所以他烧出来的东西有一种自然的一种一种
[60:21.940,60:23.440,0]  现在都用柴窑啊
[60:23.440,60:44.750,1]  请问高考是吗现在高考都是那就是他还是要把工具然后返程以前的样子就是说那我的我我我的我的问题就是说如果你刚才讲了下小陈跟你讲的就如果他们都是用的是一种呃现代的工具但有些东西可能再用古代就不可能实现的一些东西现在就可以实现了那这样的话他就等于是不是一种
[60:45.780,60:56.060,1]  不是一种一种一种一种现实的东西的对不对是这样的人家都有房本的人家这个拿这都是故宫出的图录各各个
[60:56.340,61:0.210,1]  大名头的出版社出的造成研究的书的
[61:1.570,61:6.400,0]  比现在的姑娘真的是ad回报高回报
[61:6.400,61:10.010,1]  现在爱好者认真多了对一个专项来说都是专家
[61:10.940,61:30.400,1]  嗯咱们是涉猎涉猎广泛因为我我我始终有这么一个信念但是你可能你可能你们可能已经已经被颠覆了但我始终有一次我就觉得仿的毕竟是仿的不可能是真的就是他肯定三亩就是就有地方会露出破绽来的难道不是吗
[61:30.400,61:39.340,0]  我觉得你说对了但是还是因为这个我觉得研究不够你看我我觉得有点感慨是我扯远一点我扯远一点或者你再说吧
[61:39.340,61:49.750,1]  你是站在这个鉴定的角度上说一定他们我都看得出来破绽但只要高人提点他们一下立刻那个破绽就变成特别杀人
[61:50.540,61:53.630,1]  那这就是意思就是还是有破绽的对吧
[61:53.970,62:4.820,0]  这是一个应该能应该这么理解吧这是一个道高一尺魔高一丈的这个过程就是大家会一直在追就是你你有你有你的造假的方式我有我的研究的进一步深入来说
[62:4.820,62:11.990,1]  因为研究的人只有看到他们这个才知道造假到什么程度因为你没有看到你是不是所以对
[62:11.990,62:33.530,0]  但是我觉得现在佛造像这个领域呢就是现在属于那个研究还确实比较浅度呃我我想刚才想还发感慨的地方是另外一个一件事就是也是我们这是仿古的另外一个收获吧就是我们去呃曲阳这个县城周围有有呃有有两个丽在露天的两个大
[62:34.470,62:36.750,0]  呃一个是在北岳庙有什么意思
[62:37.070,62:42.990,0]  北岳庙背村是在那个是他原来是在也是在一个村子里的在曲阳县的一个叫
[62:43.130,62:44.760,0]  东诸侯村
[62:44.840,62:54.260,0]  的一个祥定制啊有这么一种大我大概五米左右嗯然后这个村子后来后来把这个字毁掉了就把这个大湖就搬到北苑
[62:54.260,62:55.320,1]  这个我见过嗯
[62:55.320,63:1.190,0]  他也没有对他也没有为他立一个什么那个展示他舅舅的照片嗯但是那个
[63:1.190,63:3.300,0]  在线雕刻的那个也比较
[63:3.300,63:5.730,1]  那个好像脑袋脑袋是个假的是吧
[63:5.880,63:7.980,0]  脑袋都是都被
[63:8.410,63:13.150,0]  就已经没了就被换掉了换了一个新的然后手好像也换了
[63:13.320,63:14.520,0]  呃
[63:14.800,63:15.790,0]  那个
[63:16.070,63:22.160,0]  还有就是在我们这次专门去考察去在那个叫西郭村也有怎么打和呃
[63:22.230,63:27.990,0]  差不多整个这个造成的模模式呃样式啊什么包括这个这个
[63:28.470,63:31.670,0]  风格都是很相似呃在西公司
