[0:0.240,0:5.480,0]  欢迎收听碧霞关，今天势必下关的第八其大家好，我是不存。
[44:46.200,45:23.610,1]  八甲的那个上来不就是内裤和内裤门那儿，这种明显看过这原来有木门对对对对木门就木结构的东西，咱们看到的有那个洞口呢，咱们看到昨天那个三号库它那是等于有这个木头的这个很近，但是木头都已经没有了对吧，他早也木得很，还还有的看了有木头还在对吧，还看到木头变成了石头的，但是还是这个样子，木头是不是后补的我，我觉得木头不可能啊，就是说2000多年的木头一点不太坏的，哈拉那个木头，那么还那么好，有点儿那估计可能是后来可能有。
[45:24.940,45:53.890,1]  哎，这就一但是这个过渡能看得出来完了就变成扫墓，房屋完了就是石头的这个东西就没有任何公对，然后还有那个他就是门，嗯美吗，这开始就比较迟，对吧，翻过来都会最后就恨不得变成3G罗拉秘史已经只是一个示意性的东西艺术都是有捡到伞就这样的方法还是嘉实多越来越花哨，对基本上是这样。
[45:58.770,46:10.340,1]  你那个看书真的看不行就是一定要来时尤尤其这种感谢一下建筑啊，这种石窟啊，空间大体量。
[46:12.760,46:31.020,1]  三个小东西的时候，你只要特别清晰的照片，还能装备，你一定要感受一下他们那个光影效果对他的石窟耐心，比如说他爱浪费光通道一下子几十年都能打到最后这样的还是那个内饰的祖宗还剩两次，这个肯定要不起，而且那个塔是吧。
[46:36.300,46:43.970,1]  所以我们这个虽然来了来运作看的是印度e时代其实我们心里想的还是中国的这些都不是主要是有个对比了都，我觉得这个。
[46:43.970,46:53.560,0]  因为其实我觉得出门看很重要，因为这个大家如果只是说看书或者自己看自己的东西往往会产生一种不正当。
[46:53.560,47:10.440,1]  嗯，自己的这个认识，如果你出来以后你再再远的地方，再看自己的话，我觉得这种认识就比较完整，对，其实我觉得很重要对既不能妄自菲薄，也不能妄自尊大，这个通过行万里路，读万卷书，这个就都能够所以这个我们。
[47:10.440,47:39.670,0]  键了，在机场马上可能就要登机回到这个伟大的主播，但是我觉得但是我觉得我们是非常这个对这是印度我觉得非常值得来，从无论从从文化方面来说，旅游方有这些都是非常值得到印度来由的，所以希望我们的这个听众朋友们，有机会或者我们以后在不远，将来也可以咱们结伴再到印度来玩也在来看这些石窟。
[47:42.580,47:53.160,0]  对我觉得我们反正也谈了他们录给大家提供点这个经验，嗯，这个什么那行，那咱们谢谢这个老师，谢谢竹子。
[47:59.130,48:19.970,0]  我们这一期的节目就到此结束了，非常感谢大家收听，也希望大家喜欢我们的节目逢周四上线，推荐大家使用泛用型播客客户端订阅收听在必须要关点，Com可以找到于每期节目内容相关的链接供大家按图索骥，你也可以在微信。
[48:20.110,48:22.540,0]  新浪微博关注陛下关。
[48:22.700,48:34.530,0]  我们非常欢迎您以各种形式给我们提供意见和反馈，如果您喜欢发邮件的话，我们邮件是B下关艾特ipn.i。
[48:34.890,48:38.840,0]  同时，也欢迎收听IP不可网络旗下的其他节目。
[48:41.090,48:46.820,0]  不物质内核恐慌，太一来了流行通讯嗨，Sorry。
[48:47.250,48:50.330,0]  嗯，影像无次元和选美。
[48:50.720,48:51.710,0]  我们下周借。
