[0:0.185,0:4.140,1]  今天势必下关的第18期，大家好，我是竹子。
[34:34.820,34:59.840,1]  嗯，好好像还不是这个是之前的一个好像新华的一个设计就是规划设计，最后好像没有是否了，呵呵，OK我我印象中好像没有，没有实时因为当时还很担心，如果整个玻璃把它罩起来的话很容易发现他临江那其实挺容易发现，那个就渗水，导致这个水带对潮气会拒绝。
[34:59.840,35:1.460,0]  热水器太大这样。
[35:1.460,35:16.920,1]  对我记得第二次去的时候，好像这个没有采用，但是栈道是修了，就是还是按照原来的那个设计呃有离这个像有一米历史库友谊，然后有一条站到大家可以很。
[35:17.120,35:19.770,1]  很清晰地看到，但是。
[35:19.960,35:25.950,1]  嗯嗯，摸不到我我我记得好像是这样的，没有没有照片来。
[35:25.950,35:38.900,0]  也挺好，其实它这个因为刚才讲到这个轻松呀，是不是一层一层的吗，有好多时光，你要不休，一些站到的话，你上面几层的这个事故是看不见的，所以它这个栈道修了以后能够很。
[35:39.000,35:45.440,0]  近距离的平是这样看这些呃是造像的话，那是相当应该是相当好的一个。
[35:46.270,35:53.500,1]  游戏有很多题迹，如果你不是近的话也确实一点都看不到，但是他这个脾气还挺有意思的。
[35:54.720,36:1.700,0]  所以这个讲到这个题题迹，或者这个水边因为对呀，这个四川大部分的这个。
[36:2.440,36:5.550,0]  照相这个就摩崖千佛崖都是在这个。
[36:6.120,36:8.890,0]  水边的比如说有什么夹江千佛崖。
[36:10.760,36:14.420,0]  这个我们要再讲的另外一千五啊，其实就是只要这个。
[36:15.130,36:17.670,0]  呃，是就是就是讲的这个。
[36:18.120,36:21.110,1]  锦霞电话泉花园那个只要给我元康。
[36:21.110,36:49.960,0]  那个地方风景很好，首先它这个一边有有水，然后咱我记得咱们去还专门做了青弋江吗，让那个百度摆到不和对象在百度上玩玩那个百度人说，哎，能不能坐船上去所上不去了，说上边两公里的地方就修了个水库，所以这就是使的就是我们没有办法再按照这个以前的这个呃流动跟他们这个顺流而下或者逆流而上的这种这种方式来但是站在水边看这个。
[36:50.270,36:53.160,0]  看这个是不跟林俊楷也还是感觉。
[36:53.950,36:56.290,0]  啥叫幸福牙，他规模比较小。
[36:56.710,37:11.120,0]  呃年代呢，基本上是唐代吧，完了那个在后盐一切对嗯，但是呢，也有他的特色就是挺有意思的，而且跟老照片比较的，他们也还算是保护的比较好的。
[37:16.580,37:40.320,0]  其实我觉得我们最后还要讲一个有意思的千佛呀，有事另外一个钱佛呀，这个千花崖山不在江边，但是我觉得对于营造学社1939年的这么一次考察是特别有意义，就是就是word梓潼那个卧龙山的钱佛牙，这就是大家大王那个都很硬都很都很激动啊，因为在那个千佛崖的有一个大的一个一个一个大看的一个。
[37:40.540,38:12.820,0]  两侧A11册的这个石壁上还留下了当年也行到学社考察时的一段没书，好像我这就提在那东看的一的一个呀，对呀，对呀提在北侧有些字迹看不太清楚的有些自己还看的挺清楚的，但是你能清楚的看到就上面写着呃，中国银造学社什么什么什么，然后路子头名ru1939年嘛，后来就就在这一段就是学着他们考察写的这段没输提及上边，后来又有一块这个。
[38:13.420,38:38.920,0]  琦琦也是就不久写的就是这个机器很清楚了就写的叫中央古物保管委员会就是要这个保护古严禁重妆，然后是也是民国28年就1939年嘛，12月2号怎么样，所以后来我们对着对了一个刘先生他们的调查日记，我们才知道，其实这个怎么回事儿呢，这个是就是因为刘先生他们没有去。
[38:39.020,39:2.960,0]  呃，这个紫铜这个卧龙山的钱包呀，是梁先生和睦东江他们来办，因为他们当时兵分两路嘛，一路先去这个其他地方来，然后两两先生墓中下来来到这后来，这个我们看着自己吧，感觉就挺像那个陌陌先生的这个这个，这个，这个，这个手笔的大概怎么回事儿呢，大概因为他们就是要让这些村名啊不要。
[39:3.590,39:18.100,0]  改动和重庄这些石窟，因为明天吗，这些装装这个装完佛像是非常非常频繁的嘛，所以就把原来的一些老的这个佛像这个风格呀面嘛都弄的面目全非了吗。
[39:18.900,39:20.930,0]  所以爱他们就把这个。
[39:21.330,39:34.680,0]  可能他们已经看到了有些当地村民在在在做这些事儿，所以他们就把这个事情报告，县政府六天以后呢，就县里派人来，然后就用什么中央贾宝委员，中央古物保护委员会的这个名义呢，就卷舌那条。
[39:34.910,39:43.640,0]  眼镜重装了，怎么个告示，所以这也是当年这些学社前辈们他们怎么关心啊，保护这些古代文物的这么一个事情。
[39:44.150,39:52.860,0]  所以，但是有一点我觉得挺遗憾的，就是我们当时不是学社，他们拍了一些照片吗，两项他们拍的，然后我们对照今天。
[39:53.200,40:48.590,0]  千佛崖我卧龙山千峰呀，那些形象，我们看到其实其实改动还就就即使在他们当时已经被改动还挺大的，这个有些东西后来特别装了，好像他们的这个脾气没管什么用，那你想想看，我们那时候在生活牙的时候不来看见那个他们当地的村民在做法师还挺逗的做法是吧，而且还是个到是在哪里还记得完了那个当然信仰不容这个，咱们这个反正民间的信仰也很也很庞杂，融合另外呢，它这个有这个信仰，他就不能一直他要有时候去法院啊，他要去重庄啊，不要去做点什么各种各样的事情，在那里，所以这也是一种但是，所以事情都是双刃剑，既因为这个信仰的这些东西得以保存到今天这些但也因为这个信仰呢，他有些东西呢也就变的这个比较。
[40:48.590,40:50.460,1]  对对对，所以小店。
[40:50.460,40:52.980,0]  组织不能做十全十美地这个在于这个。
[40:54.520,41:12.410,0]  那么回过来就讲到这个，咱们这个这个刚才这个照相讲了这么多千佛崖实际上还有更很多篇佛牙这个，但是这个这个我们可能不能在一一的去讲这些千佛崖的这个造型，但总而言之呢，就是在四川地区很多的这个佛教宜春。
[41:14.020,41:17.910,0]  呃，大家有这个兴趣的话呢，可以一去走访。
[41:19.420,41:20.240,0]  嗯。
[41:20.330,41:34.780,0]  下面的我觉得我们要再回到这个一个影子来讲，这个这个长的另外一个事情就是我们在那个夹江千佛崖的时候，你知道吗，还看见很多奇迹有一个奇迹很有意思，讲到就是这个永利。
[41:36.160,41:46.870,0]  大家可能查史书比知道历史啊勇呃，一般正规的历史讲起来就是中国的阿民贷是王于崇祯17年就是公元164。
[41:48.750,41:53.430,0]  那么这个所以甲申年吗，这个工作，而且我假设300年级，这样很有名的这个。
[41:54.340,42:4.750,0]  但是呢，永利二年实际上是很厚的到底一五级145几年了，那这位这是就是新有意思，一个事情就是接力的结实的另外一个历史，在这个。
[42:5.420,42:12.940,0]  就是我们所知道就是说在您末的时候，四川成经经历了一个翻天覆地的一个大的一个变动。
[42:13.450,42:18.110,0]  就是首先这个这个张献忠张献忠完了跑到这个。
[42:19.650,42:39.040,0]  四川对吧，在四川做了皇帝完了以后在四川大四的这个焚烧处理了一份包括前两前不久那个不是还发现了四川张献忠沉船的那个宝藏，在四川被发现了吗，就是张献忠抢了好多金财宝就放在船上存到了就就好像是在夹江还是什么江附近的有一个。
[42:39.690,42:48.700,0]  一个一个一个什么地方来了就存在，那现在这样虽然发现了这个，这个我，我看到这个新闻，我还很感触啊，就是原来我们这个。
[42:48.870,43:48.870,0]  这个我们享受学的这些历史书上都是哎呀，这个是这个是封建地主阶级，对于这个农民起义的领袖的污蔑说这些张先生这些事都不可靠，你看这人家就根据这些文献记载还真把战线出的这些采访团这点捞出来了，说明当时就很多记载是非常准，但是呢，但是我想说的是历史有时候都是很怎么个意思就是说，呃都不是非常浸染的，就是说在这个讲干扰张眼中对吧，既然既否定专业中刷刷墙里是不对的，但是呢，你看了那个名没写的比方像什么属B呀，什么数，那这个这些这个明末的这些呃，幸存的人是写的，这个里面又讲了就在这个名目的这个天翻地覆的这个变化尤其张献忠的这个这个图穿的这个设计以后呢，就是整个四川好像就应该是这个变成了荒芜之地，比如像整个成都就没有人了，这个全都是荒僻也是有这个原因，所以后来清初的时候来湖广填四川重复。
[43:48.871,44:12.670,0]  牡丹湖广就湖南湖北什么这些地方找好多人跑到四就把人弄的四川所以现在这两地的方言啊，实属啊，都很近，就是因为那时候是四川人，其实都从这个现在四川都说湖南湖北这些地方去的，但是呢，给我一个假象，就是好像四川到了明末的时候就是是不是前朝的古建筑古计，就我，我说的木构建筑是不是都没有了呢。
[44:12.860,44:16.210,0]  这个呢，的确又是一个给我们的一个。
[44:18.470,44:20.660,0]  其实在四川。
[44:20.790,44:40.770,0]  您以前的建筑，当然你不能追溯到很远那个，但是元代的建筑保存下来的还是有相当一些的，并不是说好像您以前就是明波，因为这个张献忠的事情移到以后就全都没有了还而且有些元代的建筑保留的离职这个成都平原还不是特别远，这个也挺有意。
[44:48.050,44:51.510,0]  其实我们举个例子来说吧，其实很重要的一个元代的一个目标。
[44:51.510,44:54.320,1]  建筑就是就是峨眉山山脚下，那非来电。
[44:54.320,45:0.810,0]  对那算对那是一个那个就是呃，虽然那第一个讲那个那个庙应该是东园秒。
[45:4.900,45:29.050,0]  对他其实在峨眉山市就现在峨峨眉山是吗，就是北边两公里外叫现在叫飞来寺，他这个名字其实是得名于他脚下的那个就是他是在现在一片山岗上嘛，所以叫飞来港，但是我们根据这个碑刻记在就觉得他其实原来不是佛斯是是东岳庙见古城说的是祭祀泰山省的东岳庙。
[45:29.400,45:36.590,0]  好像是始建于大概北宋时期吧，因为那个时期对东岳东岳大帝东岳庙的这个信阳市北宋设达到极盛。
[45:37.270,45:38.970,0]  大庙应该就建在那个时候。
[45:40.310,45:45.740,0]  那么就是呃，因为现在因为厂里文宝，但是他只只都说叫非来电。
[45:47.950,45:57.410,0]  他这个庙的主殿，其实这个庙规模还挺大，一进一进的对吧，那么讲到这个元代这个建筑的就是他的一个组件，世遗叫现在叫非来电。
[45:57.630,46:4.090,0]  那么，其实看起来呢，也是一个三间，但这个三件是个大三天的一个一个见山的一个。
[46:5.080,46:11.190,0]  呃，后来是因为维修的时候好像是发现在瓦几还是什么地方有元代的这个。
[46:11.430,46:14.620,0]  几年的题迹，所以后来就订没他是。
[46:15.840,46:23.360,0]  那当时这个刘珍珍他们去考察的时候，他并没有发现他他们只是好像是根据这个记载啊行至啊什么。
[46:27.120,46:56.830,0]  对补充一下就是，其实那非来电呢，我们现在看啊很大的，其实那电梯的应该是五开间的，但是它的前沿啊，减了减掉两个延住所，以就看起来像三间，但是就是跨度特长了，所以这个挺有意思的，另外一个就是说形式上看，当然了他的这个测脚丫那个身体啊，而且整个造型看起来是比较轻盈的很，舒展，应该是很早期的这个这个木构。
[46:57.080,47:15.750,0]  呃，然后那不有，有一些做法呢，我们看他的那种也挺高的，然后他的一些这个做法看起来也像是接近于这个宋末呀，原初和江南很多这个元代建筑的手法还是挺接近，其实，为什么判断他的是元代建筑呢，就是当年。
[47:16.090,47:20.780,0]  就是就是，梁先生墓东江他们去考察非来电的时候，他们在这个。
[47:22.550,47:28.290,0]  金岭下就在一个岭桥下发现了这个洪武24年重建这么一个默契。
[47:28.920,47:34.860,0]  又红馆时间说是要重建，所以他们判断可能非来电的见您就大概就是您出。
[47:37.130,47:44.000,0]  进到80年代，后来这个建筑落架的时候说是发现了里面就有课有元代年号的铁钉。
[47:44.340,47:49.420,0]  这样你有缘，但您好铁钉这样这个非来电可能是这个原带这个。
[47:49.990,47:51.610,0]  就说木构的这个。
[47:55.610,48:2.250,0]  对，不管怎么说吧，这罐头这个房子的确是就是在原如果说是到元代的话应该。
[48:5.400,48:7.910,0]  呃，有特色，也规模相对来说比较大的。
[48:8.960,48:10.420,0]  那么呃。
[48:10.590,48:21.640,0]  嗯，很有意思，其实四川在这个建国以后的这个文物普查当中的发现了好几处的元代建，但是我们没有都一一走到不要我们走到几个一还有一个就是那个。
[48:22.380,48:24.680,0]  庐山的这个青龙寺。
[48:25.100,48:27.220,0]  那个也是一个幼儿园带的。
[48:27.720,48:29.190,0]  还也挺有特色。
[48:31.150,48:44.160,0]  呃，是庐山青丝，当时学校他们去了庐山，但他们没发现青龙寺青龙寺是这个我见过以后然后发现的这么一个建筑对因为也是在一个小镇的一个坝，咱们叫爸爸。
[48:46.060,48:50.570,0]  有一个现在到维修的也也维修好了，一直好像是当什么。
[48:52.760,48:53.570,0]  那么。
[48:53.740,49:1.330,0]  呃，另外我们还去走访过，就是在这个川北的阆中阆中县也是个现在等于是个旅游的热点。
[49:3.480,49:20.860,0]  他不在阆中城里了，只阆中的就下面有一个叫农药的一个文昌宫，这也是一个元代建筑啊，这个是有一个我记得这个是有明确的号木梳就是也是有体积在一个这个木木构建上，但现在好像也看不见了。
[49:22.070,50:3.710,0]  对说是修完了以后就看不见了，呵呵，这个很能他们那儿可能当时维修的人，他们没有没有注意到这个这个没输提气的重要性嘛，可能就把这没书怎么给清理了，反正现在我们去找是没没找到这个这个原单魔术，但是据说当时发现的时候是找到这个没熟，对，因为这个没书才提的，他确定的这个这个大阆中的可能因为是离这个这个成都平原比较远一点，所以在附近还有一些这个这个古建筑啊，因为的确像这个那边还有永安寺啊什么的，我们都没有，没有办法，因为交通的确也是不是很方便，所以不是特别能去的了，但是我印象中就是说好像在这个成都平安附近像像在那个。
[50:4.190,50:18.430,0]  现在成都南面一点薪金还是什么地方不是那还发现了一个观音观音四对吧，还不还发现一个小的一个寺院好像有元旦的一个一个一个G，我们没有本身没有去，但是我们那个我们有朋友去过，好像这个。
[50:20.610,50:25.050,0]  你这个很小的小店，而且那个地方离这离成都的直线距离很近。
[50:25.630,50:32.690,0]  嗯，也很有意思，反正那个也算是个元代建筑能够在这个名目这样乱世中能够存留下来。
[50:35.150,50:36.950,0]  很不容易的一件事情。
[50:38.280,50:47.420,0]  哎呀，但是刚才不是你提到了古城提到了阆中吗，其实，嗯有有有一点意思，因为阆中现在也是这个穿穿。
[50:49.830,51:9.740,0]  好的相当保存的相当好的一个古城，但是其实和张先生也有关系啊，就是这张献忠右图川吗，把程度骗人都都都杀的差不多了，后来就是清朝啊，当时满洲人刚到了四川其实在早期的大概前几十年里，因为成都太破败了，所以他的四川的，它是省会就设在阆中。
[51:9.940,51:13.840,0]  以后等成都逐渐恢复了以后才把审核再签到。
[51:15.380,51:17.270,0]  对这这这是一段这个。
[51:18.880,51:23.520,0]  这个我们就在讲到这个古建筑的时候，就是我们乐寻访了很。
[51:28.220,51:30.000,0]  我就有一个让我比较赶。
[51:31.850,51:53.380,0]  就是这个纠风四纠风四，这个是在这个他们的考察中，呃，就是饿着了很多笔墨来写的一个寺院，而且也拍了交锋是在蓬溪的蓬溪蓬溪县，这个纠风四完了，那个那个当时这个有照片对吧，还说这个寺院那时候当时说很。
[51:57.770,52:9.320,0]  那么，后来我们就想看这个纠纷四当然知道这个纠风四现在已经是不错啦就是但是我们很想这个试图想知道一下他到底后面的这个身是什么样的一个情况。
[52:9.810,52:27.260,0]  那所以我们特意到了这个这个蓬溪对吧，去到巨峰寺的原值去看那现在这个原值呢，它是个医院，对吧，是个人民医院，对人民医院那个比较比较这个闭塞的一个地方就是唯一就是纠风斯的遗迹，在原址呢，就是还有一个大。
[52:27.500,52:28.610,1]  这个专场。
[52:28.650,52:37.060,0]  嗯，对这个这也是砖塔，这个当时那个他们在这个学校的这个记在里面也有这个砖塔是相当于是在纠风似地这个东边的这个。
[52:38.720,52:41.380,0]  鹫峰寺原来有三进三进建筑。
[52:42.630,53:22.780,0]  咱们后来问了他那个后来包括那个见到那个他们审炮什么务局的那个副局长也请假这个问题，其实他这个房子就封的房子并没有完全的消失，它有因为在解放以后，因为它这个地方变成医院以后呢，就医院不断地要扩建，所以不断的这几站地，原来古建筑的这个这个地盘或者就把这个古建筑他们倒是倒也是四川人还是有这样的这个意识就没有把它全拆掉就把这个古建都还把那个山门呢，标挪到了一个水库里面挡放在那了完把那个后面后店呢就挪到了什么，一个公园里面玩了把它放在那儿了，就是说在纠风四等于就是被医院给占了地方以后创业塔罗不。
[53:22.780,53:28.110,1]  各大钟表店是在一个山上，然后天王殿是给到了一个岛上。
[53:28.780,53:34.930,1]  对什么湖心岛还在，反正都都没那个什么东西就把它给四分五裂。
[53:36.060,53:41.400,0]  对完了，我还问这个车让我说什么时候能不能能不能把这个医院签掉，把这些把这。
[53:41.400,53:42.360,1]  直接回来。
[53:42.360,53:49.490,0]  在切过来这这在这这个这个这个估计这个可能性也也挺渺茫，因为还是有这个可能因为什么。
[53:51.460,53:57.140,0]  对于一个坐标来说，他的这个什么是还在的，他的这个塔在他坐标就还在。
[53:58.050,54:1.630,1]  可是他们医院好像效率还挺挺挺挺大的。
[54:2.490,54:24.160,0]  对他是腾讯县人民医院的，所以这是一个一个有意思的一个一个事情就是，但这种就是说但是也有这个比方说像那个咱们另外去那个广德广德那就是广德苏对吧，在绥宁的广州市属于宁波那个寺院的基本上房子建筑什么都都都很完整的还。
[54:29.120,54:35.290,0]  但是遗憾的是广州市虽然建筑都还在，但是它广州的环境改变。
[54:35.960,54:58.620,0]  这个也，我觉得这些前面修了个很大的一个，那个这个原来你想原来就是说青山长股市就很清幽的你从一个很清幽的环境，小溪小衫这个小衫的谷，然后慢慢的走进一个曲曲折折地走进寺院，现在好吗，这个现况的是前面先开瓶了，做了一个大的停车停车场广场，然后把原来那桥吧，又没有。
[54:58.620,55:1.350,1]  八六这个廊桥完全感觉。
[55:1.350,55:2.870,0]  就很奇怪的那条。
[55:3.210,55:9.290,0]  最后，在广场上吃出了一个莫名其妙的时候特别小，因为他自己填了嘛，然后。
[55:9.290,55:27.360,1]  现在已经不觉得那个是调了，觉得像一个叫山轮或者名字一样的，然后就叫回郎，雨就是游廊这么一个一个东西就好像想不起原来的那种环境他，他这个调应该在那个感觉这个确实。
[55:27.730,56:10.930,0]  对呀，而且广州市当地他们在宣传一个什么观音故里挂心故里，然后在这个广场外面修一个特别大的一个一个一个寺庙吗，就是因为广德广德是他自己是文保单位，他不能乱修乱改，他就在外面啊，见一个估计要见一个特别大的一个庙，所以，哎，这也是我们的一个地方特色，所以真的真的文物古建不是很好的这个保护就是在外边捡一些这些新的稀有就说现在提出要对这个历史文物要有这个敬畏之心，我觉得很重要，因为不能说借的保护知名实际上是在这这时破坏知识他就完全他就是个口号是个幌子而已。
[56:12.180,56:55.800,0]  那么讲到这个其实这个他们在这个营造学社在四川考察死到尾，长长短短有四个月，那么考走了30多个县考察了很多的这个上百处的这个网络估计啊这个有的现在还有有的现在没有也有一个现在这个比以前还这个还这个新浪就就是那童子寺的那个文具文昌宫对那我记得那个他们去的时候，那很衰呗，对吧，完了那个睡在里面说说去山大就像打表很衰呗，完了那个还在县政府要专门要派人来保护什么，这个地方等我们去这个地方好不得了，那个地方现在是是那你刚才那个谁说的是观音故里，那是叫文曲星故里。
[56:57.820,57:8.030,0]  是全国都有人去烧香，为了考大学什么的进学什么的，有事文曲星鼓励完了那个说是什么宋代只有那个硕士是宋代好像就有这一个。
[57:8.830,57:47.750,0]  他当然这个建筑规模很大了，但是这年代呢，都是比较晚进一些时代的，但保存完整，现在不得了是哪一天烧香什么24小时上万人，几万人，那个呢，他是在一个古道古道上，那段时间，一个古道叫那个就叫翠云廊嘛，对吧是吧，就在过去对对对这是真的是骨刀完了那个还有很多这个股这个柏树在在这个边上，但那个好像是有一个店就咱们没没进去那个建设也是一个元代的点，那我的有点有点怀疑，就是有一个呃规模和一个很小的，因为那个地方我估计要要在这个张哎，那还有意思的事情，这还要提提里还有张献忠庙。
[57:49.050,58:3.870,0]  嘿嘿，礼拜有个例子给给张雪都离那个离那个离那个这个那个像完了还供着，所以这个挺有意思，到底这个历史人物怎么评价这个东西还真是一个不能现在都不能盖棺定论的一个说法。
[58:7.080,58:13.260,0]  那么，呃对那么其实讲到这个就是三九年的这个呃，三八年的。
[58:13.920,58:15.620,0]  晚些时候完了那个。
[58:16.170,58:29.350,0]  梁思成一边在这个这个外婆考察这个跟林辉通讯的时候，林辉刚才说这个这个房间哈哈哈这个昆明的这个。
[58:29.350,58:30.550,1]  我是觉得合理的喔。
[58:30.550,59:30.550,0]  那这个弄的差不多了，完了，他们就回去了，回去大概三九年租了半年多好笑，三九年的八月份还是几月份完了，他们就是因为11索要这个，因为，因为这里面有一个原因，就是说因为两营造学社，他是个私营机构嘛嘛，因为在这个抗战期间呢，因为他们的这个经费来源什么都有一些这个问题，所以他们当时呢就就等于就跟这个中央研究院的历史语言研究所挂钩等于成为他们的一个好像呃暑外围这YY只有接受他们一些娟，这个资资金的援助，所以呢，食欲是很很重要的一个原因，其实还很专业原因就是当时他们做研究，要利用11所的图书馆啊，对所以所以十余所签到哪他们就对这个讲到这个十月所这个是一个很重要的一个概念，这个这个在中国这个近现代这个这个文文化史上一个很重要的这个中央研究院历史语言研究所。
[59:30.551,59:45.400,0]  这里面有有李季现在还呃，这个在台湾了，这个有理G对吧，以前这个这个付斯年都是这个属于所的所长，这个大名鼎鼎的学者在里面很多，那么这个11组坏当时呢，就要签到这个。
[59:46.100,60:13.050,0]  四川的这宜宾南边一点的这个李庄，那么他们只好也跟着一块潜力庄这个地方呢，呃，当时在战争当中的是也的确是一个大后方的一个文化聚集的一个地方，那么有大学有中央研究院的11所还有一些各种各样的公司机构都在那里，那么他们呢，就是只能放弃了这个昆明刚刚营造好的这个呃，温馨的一个对。
[60:13.120,60:24.110,1]  其其实梁思成就没有怎么在这个这个房间里呆过是吧，因为他在建房的时候都都在考察的考察回来，他们三九年有半年40年就走。
[60:25.040,60:33.600,0]  就是大家知道这个呃离婚身体不好，因为他有这个费费用毛病，其实昆明那个气候啊，非常适合零岁。
[60:33.600,60:34.640,1]  还挺适合的。
[60:34.640,61:4.900,0]  对很适合他，其实呢，我们注意看现在有些老照片留下来这个林徽因带着小小的梁从诫和这个梁再冰这个一家就说他这个非常很多非常温馨的照片呀，影像资料留在那儿就是他们那个龙头村的那个小房子里，当时您婚姻状态其实还挺不错的，但是宜宾那个地方的气候，可真的不是和一个一个一个一个肺病的病人，因为竹子你还记得不记得我们第二次去宜宾的时候好像也只是五月份还是六月份吧。
[61:5.470,61:7.360,1]  嗯那个。
[61:7.360,61:24.220,0]  嗯，好热的应该用的我去上海和梁很凉快的，到了一定就觉得就像到了三伏天的夏天，就是整个水汽真的热气蒸腾啊，这个人是非常的非常难受的，所以林辉一到宜宾就病倒了。
[61:24.710,61:45.650,0]  但是在他们在宜宾呢，反正待了大概有四年多的时间嘛，他们好像是338年的年底要3339年，年底选择一直到一直到44年45年完了，从那儿66年六年初回这个儿中间的这个营造学社呢，等于等于营造学社，最后也是终结在了宜宾的里。
[61:47.540,61:52.120,0]  对完了这个等于宜宾，对于引导学生来说就是他们的这个。
[61:52.770,62:32.010,0]  呃，终点，那么在宜宾的时候呢，完了那个在42年四年吗，刘珍珍先生，他们也离开了完了，最后就是两次成夫妇，他们还在还加上这个那时候招的一个小伙子的这个罗哲文，呵呵呵呵，对吧还在呢，坚持完了这所以这个他们在当时呢，在宜宾附近还做一些小的调查，比方说螺旋店啊，李斌镇上有些古记啊，这些他们都还做了一些研究那么呃，令人欣慰的就是他们的营造学社最后的这个这个遗址呢，现在这个小院呢，还保存在那里好像也是全国重点文物保护单位了。
[62:33.580,62:46.780,0]  哦，是吧，我印象中我呃，可能我一向不喜欢，但反正这是很有意义的一个地方对对象就是月亮填志愿填离那个离李庄那个老街大概走，还有大概两三公里的样子是吧。
[62:47.000,62:50.490,0]  那个所以所以基本上就是在那儿就是。
[62:51.580,63:10.210,0]  营造学社的一个重点，因为呃到了四五年，那个就是抗战胜利了，以后完了梁思成的就接到了清华大学的这个邀请完了交警他去组建清华大学的建筑系并呃担任这个系主任的这个职务，那么老子成分也就接受了这个因为件。
[63:10.230,63:14.060,0]  因为那时候这个国家经历的战乱，大家都。
[63:14.500,63:26.390,0]  希望这个是一个新中国建立的开始对吧，那时候国民党也提出这个民主建国啊什么的抗战复兴啊，这种这种这种口号，所以所有的学员都展望了一个。
[63:26.660,63:37.950,0]  一个新中国浆染的，在这个地平线升起，所以大家都想去，这个投入到一个对国家建设的一个奉献当中，所以梁思成那也就是等于是。
[63:38.310,63:59.540,0]  因为因缘际会吧，这个营造学社等于也就把他终结了以后准备投入到这个对新中国的一个建设，所以这个也是让很让人感慨就说是新中国在聊城那时候在清华对吧，也对这个北京的建设啊，什么提出很多的宏伟的蓝图啊，要怎么样又保护又建设怎么但是。
[63:59.710,64:9.420,0]  所有的一切都没有按照这个梁先生的这个鸿运来进行，那么现在时隔了50年60年以后再看呢，历史等越拐了个大弯。
[64:14.900,64:18.600,1]  我查了一下中，中国银到学社旧址确实是。
[64:18.600,64:42.140,0]  哦，就是到了吧，对，所以我觉得有机会去，因为现在李庄从宜宾到李庄非常近，就大概半个多小时的车程就能到，那么我觉得大家有兴趣进来，听说要开一天要坐船呀，听说从从宜宾区离这一天，然后坐船，所以我觉得我觉得这个东西让大家觉得很有意思，就说领导学社发单与北平北京。
[64:42.290,64:44.160,0]  在终结与四川的这个。
[64:45.360,64:52.710,0]  那么我们等于带着大家把就是一到学士所有研究呢，也是这样完了，发短于这个。
[64:54.710,65:0.180,0]  最早北京的故宫什么级天台什么呃，最后他们的最后的绝唱是在这个。
[65:0.740,65:28.790,0]  是在这个四川的研究包括他们营造学社会刊，最后两期也都是在这个月两天出的最后两集，还有梁先生著名的图像，中国建筑史也就在在在月亮田的那个那个那个房子里大家包括对普光寺的一个那个考察报告的这个看行，当然，呃都当时那时候很很很艰苦啊，只能是手写的油印的这种这种这种方式来出，因为都。
[65:28.970,65:33.540,0]  换不成签签字，而且还是这个多方这个，这个这个。
[65:33.790,65:38.210,0]  是我现在用现在用现在对因为现在的直播时髦的话说。
[65:38.210,65:40.920,1]  捐款个人捐款众筹。
[65:40.920,65:43.830,0]  哎，这个我看后面那个体积就是那个。
[65:43.830,65:44.670,1]  嗯。
[65:44.670,65:53.650,0]  就是做研究的人都没钱嘛，就是做practice都还有些那个阳平法师除了最大的呵呵，对他们，反正这样的话等于就是我们。
[65:54.650,65:59.210,0]  我们的这个行程跟着营造学社都应该是就在刘庄这就。
[65:59.920,66:9.560,0]  以后就是其实量四升先生以后的一些东西，关于直播，我们可以再另辟话题还在聊，我觉得嗯是一个暂时是一个沉重的话题。
[66:9.930,66:24.060,1]  对，而且最沉重的事就是他们，他们唯一还他们建设过就是昆明这个故居还算在咱这住的时间最短也是他们唯一为自己建造就在其他地方都不在。
[66:25.480,66:28.860,1]  对我我我因为我我想起来就聊天。
[66:28.880,66:32.170,1]  怎么写的那篇文章是我们为什么研究这个古建筑。
[66:32.670,66:37.080,1]  呃，第一句话就是，这是一个历史带的工作就是这院士。
[66:38.210,66:41.920,1]  不合时宜，但是又河大历史的史。
[66:42.400,66:45.170,1]  这个是是是个人力量。
[66:45.800,66:47.990,1]  历史的这个一个一个。
[66:49.530,66:51.130,1]  是很让人感慨。
[66:52.760,66:56.030,1]  我们在以后在有时间再。
[66:56.540,66:58.050,1]  那就是其他的。
[66:59.400,67:27.250,1]  那么这一期的必须要关注到此结束，感谢收听，也希望大家喜欢我们的节目逢周四上线，推荐大家使用泛用性播客客户端订阅收听在地下观点，Com可以找到一每期节目内容有关的链接，供大家按图索骥，您也可以在微信和新浪微博关注一下关，我们非常欢迎您以各种形式给我们提出意见和反馈，如果您喜欢发邮件，我们的邮箱是B下关sipandy。
[67:27.570,67:39.110,1]  同时，也欢迎收听IP播客网络旗下在其他节目IP空论未知道博物志那个恐慌，他一来了流星通讯haaser英语项目自然选美我们下周见。
