[0:0.000,0:3.870,0]  今天是必须要关的第23期，大家好，我是竹子。
[31:42.570,32:12.270,0]  离离他不到40公里住了好几年，虽然对而且那姑娘是不是知道的，对，就居然不知道他更近就这么大的一个木构建筑也北北京庙北京店我也我也我也买熟的，但是就是就这个真的是看那个什么看那个一代宗师的时候，我还就是没概念，我还我也没去过独乐寺呢，我当时以为是独乐寺我就一直想去独乐寺看这个我没想到在关外。
[32:13.430,32:18.550,0]  回来我去独乐寺我就傻了，我说哎怎么是一个关心，不是七个佛像。
[32:18.650,32:21.450,0]  呵呵，哈哈，嘿嘿。
[32:21.450,32:31.530,1]  这些那个聊天室，我们其实我们有时候我们下载我跟那提议我们坐一起就那个电影里的古建筑，我觉得特别有意思，就是电影里这这这。
[32:31.530,32:33.630,0]  行李的效率，四点，另一个股东。
[32:34.490,32:39.760,1]  呃，店里的那个店里的检查和电影里的那个古建筑也挺多的。
[32:39.760,32:41.050,0]  对对沈阳。
[32:41.050,32:50.810,1]  嗯，对，所以我觉得挺有意思，我觉得店有时候它内容是有大以后越来越少，这个古建筑允许去那里面拍电影，我估计这这是一个现实情。
[32:50.810,32:52.060,0]  九点咖啡好练。
[32:52.060,32:52.890,1]  谢谢啊，就是。
[32:53.170,32:54.410,1]  对都得靠很低。
[32:54.410,32:58.550,0]  谢谢你的大一点儿，有文化的古建就不能官们，故宫和圆明园。
[32:59.500,33:15.560,0]  呵呵，这这样说不定就提高了这个古建筑，就像你们上回说的曲阳的这个工匠一样，有人去在我法国带的工匠去做，真的，这个目勾儿，不像现在好多发烧友在做那个模拟串那个叫什么。
[33:15.620,33:24.900,0]  我们的朋友们在从做那个泡沫塑料的佛像，现在做真佛下了吗，敢给那个几个人弟弟。
[33:26.220,33:28.270,1]  啊是吧，已经开始做征服。
[33:28.270,33:34.610,0]  没有资料啊，现在就慢慢的就按照真的这个至少就是财智会更厚重一点吗。
[33:36.490,33:39.160,1]  那个咱们再回到这个这个送过去。
[33:39.160,33:42.470,0]  我也是回来回大辽国。
[33:42.470,34:19.540,1]  对，因为你因为咱们讲到这个这个大辽国的这个建筑啊，因为一个为什么咱们看着大家因为从他身上就跟我刚开始讲的就能依稀的看见一些这个唐代建筑的影子，因为咱们这堂过线，只有佛光寺对吧，曙光，四是这个这个景色的一个大的一个唐代的能够表现大唐气象的一个建筑，那么其他的这个糖够就就有点小就是没看出咱们大唐盛世的这个这个，这个，这个这个堂皇的气象来，但是，呃看了这个聊够也依稀还能看见堂购的影子在里面，因为聊。
[34:19.540,34:31.580,0]  而且我回来我回来拍了我看我拍的照片，我有一个也是从侧面拍的，如果是我之前没有就给别人看的话，他会第一眼可能看，哎，这个有点像佛光寺。
[34:31.930,34:35.545,0]  很像就是出言远一个问题。
[34:35.545,34:40.270,0]  你你我我的直观感受就是聊个还是比堂哥要笨。
[34:41.160,34:45.140,1]  呃呃，你你，你别你说笨你你指什么。
[34:45.140,34:53.340,0]  比如说五点嘛，佛光寺的这个出言和狗狗就特别出演吧，我觉得能体现如灰丝飞是吧。
[34:53.530,35:14.640,0]  这个嗯人家抢的更更有一个，然后他有一个很美的曲线儿，你看这几个聊个我们看的都是这个，这个，这个，这个怎么说就是很值，就很很很就是平直的那个我觉得他可能有点更更融合，少数民族的那种。
[35:14.890,35:18.310,0]  这种气势就是它更更更更值得就。
[35:18.500,35:22.310,0]  他更不是那种平直挺健的这样一个空。
[35:22.310,35:37.070,1]  想的是这样一个就是咱们好多问题要考虑到一个历史的一个场景啊，就是说其实见这些辽代这些佛寺的这些工匠肯定都是汉人对不对，而且很有可能这些害人都是被当成奴隶裸到这个。
[35:37.290,36:33.100,1]  呃，聊过去的对吧，那么这个当然我觉得这种这种情形下的一个呢，就是说他们的高层的这种这个统治者的这个这个审美情趣，可能还不如这个唐代那些统治者那么那么那么高，对吧，另外一个的工匠对攻将是在一种这个非常这个不不舒服的一种环境下，在工作对吧，这个可能也有有碍于这个工匠发挥他们的这个创造性跟这个智慧的这个这个对吧，所以我我就问，那我去我去是不是有一定的原因，再留我这是我自己的个人的一个，但是呃不错，的确是这个超人跟你们的这个观察是是是是有这个有这个道理的，就是说他跟了，当然，我们那个堂哥的确看的少，就除了佛光寺你的基本上看不到别的，嗯，所以呢，这种比较呢，还不能特别的说明很多。
[36:33.100,36:35.130,0]  我最近就看他们那个。
[36:35.280,36:39.710,0]  那个推荐的那个那个辽代白话时刻。
[36:39.730,36:50.490,0]  就是辽代石刻概述里边的那个写那个辽代白话呗，就把这个看着和这个文献上记载的结合在一起，就特别明显的感。
[36:50.490,36:52.820,1]  聊的聊聊戴着白花飞太原的。
[36:52.820,36:54.970,0]  哎，有点的百花呗，就是。
[36:54.970,36:56.890,1]  要聊哦，OK他们。
[36:57.440,37:0.390,0]  推荐推荐看的，然后特别好玩。
[37:1.560,37:3.940,1]  因为因为元旦那白话呗，也挺好的。
[37:3.940,37:12.990,0]  治疗的更早啊，留的是里边那个里边全是东北话，什么媳妇儿什么下牛下洋就是当。
[37:12.990,37:14.000,1]  那个口。
[37:14.000,37:15.840,0]  就是口语特别高。
[37:17.140,38:2.030,1]  但其实呢，这个因为还要隐身一点就是辽代的这个艺术啊，的确也是呃，应该说是非常有特色的，虽然就是说呃，可能大家一般都认为辽代是北国比较这三帮对吧，传统的这种正统王行啊，这思想里面觉得他们这个辽金啊，都是属于这个都属于这个话外或者是属于这个北方的这个草原民族，其实他们的这个艺术尤其辽代比方咱们讲到流程下来一些辽代的比方，现在考古发掘出来，在这个辽上京的这个西餐坡遗址发掘出来的这些塑像，包括流程到海外去的易县的这个三台辽代三彩的罗汉那给大家的感觉，这个艺术的这个高度已经攀到了一个非常高的一个高度了。
[38:3.020,38:18.780,1]  而且这个这个比起唐代遗留下来，它又往前，我觉得有有又又又又进步了，就是说，呃，在这个我说的这个速效这方面啊，这个大家建筑有可能它有它的一些特点，比方呃潮人观察到的。
[38:18.780,38:24.190,0]  交流的多吧，还是还是比这个不可能闭关锁国的状态交流的多得多。
[38:24.590,38:30.660,1]  而且他这个交流可能是全方位的，不仅是跟中原的交流可能还要跟跟别地地区的这个。
[38:32.940,38:38.260,0]  多宣传大聊国内北方还好多国家还觉得咱们是大聊呢。
[38:38.370,38:49.800,1]  哎，大聊，因为挺有意思，因为大聊过后来被金灭完了以后那个液氯大石签到，西边建那个西凉西凉完了，又又又又都那都影响到了新余。
[38:49.800,39:2.160,0]  嗯嗯，不是你看语言啊，就是说辽代不是老换国号吗，一会儿就要大气的一会儿就要大聊是吧，好像是这个顺国四就至少应该是在较大，契丹数减的。
[39:3.250,39:6.810,1]  呃，他两居室辽代一层换了九次。
[39:6.810,39:15.410,0]  嗯，好，那个北方所有的国家到现在就是国家和民族的语言里，至少还管中海明共和国教起的。
[39:16.630,39:29.810,0]  你看那俄语里俄语里的额玉立说中国和中国人都是期待呃，都是皮带，那个新疆维吾尔语里管这个汉人还叫ki贷也还叫齐的人。
[39:30.480,39:32.630,1]  嗯，就是问题，假期大爷。
[39:32.630,39:38.500,0]  对，就是外就是，但我知道他他也是单人房易贷也。
[39:39.020,39:48.790,0]  你看从南面接触中国的人就是从海路从南面接触中国的人，比如说阿拉伯语管中国叫朱火就是中华。
[39:49.760,39:50.550,1]  啊中华。
[39:50.550,39:55.770,0]  对，但是从北边接触的就是因为就是分开了吗，在这个时间段。
[39:55.790,39:58.910,1]  对的确是因为额，他北边接触都是草原。
[39:58.910,40:3.340,0]  对，所以就到今天都管中国叫起单，所以我们现在还是大气的。
[40:4.390,40:5.410,1]  哈哈，就是。
[40:5.410,40:13.770,0]  如遇里管中，中国，中国的翻译资料，契丹人民共和国优优惠，如果说其他你突然想起好像是是。
[40:14.080,40:17.240,0]  是哪一个寺庙的朝向试试。
[40:18.120,40:19.540,0]  是东西向的。
[40:19.540,40:23.090,1]  那那像话自己呃，那个华阴市就上海市环境适中。
[40:23.090,40:30.610,0]  世华演示说是因为是契丹契丹族的习惯是朝日，所以就才要要。
[40:30.630,40:31.950,0]  因为要是这样。
[40:32.070,40:35.900,0]  就是东西向，但是奉国寺时效是南北。
[40:35.900,40:39.130,1]  哎，对这大部分是所以我觉得就是说。
[40:39.130,40:46.620,0]  所以对我就想问你这个聊够里面是不是呃，就他的条件果然是和其他民族习惯有关系。
[40:46.700,40:49.500,0]  那个读了硕士不是东西的呀。
[40:49.920,40:51.350,1]  没有多少岁是南北的。
[40:51.620,41:0.000,1]  只有这个只有华严寺是东西向的哦，那个大二呢，有些比较有些东西相比较北京的有一个叫大觉寺的。
[41:0.360,41:5.310,1]  大觉寺也是东西向的，因为大学是据说也是始建于辽有这个。
[41:5.310,41:12.040,0]  有一个地形有关系吗，比如说佛光寺东大殿那就是因为地线试试地形。
[41:12.040,41:15.160,1]  所以这个也不能一概而论啊这个。
[41:15.160,41:23.000,0]  对啊，对对那，那我们回来补充我们讲讲到底聊够有哪些比较明显的特点。
[41:23.080,41:28.400,1]  呃，其实呃，其实聊过就是说，我觉得是这样，就是说，呃。
[41:28.860,42:0.330,1]  大家先就是讲一下就是说我们看到的是小狗，不因为我们只能说我们看到两个人什么特点，因为因为我看不到聊过那些特点，我们也没法总结，对吧，就是我们看到的比较高，就是说他也是什么，在编一个他就说比起就是说他跟当同时期的送过来说就是因为实际上是同时期的，因为你看咱们那个奉国410101020年102年什么也干，因为二零年已经在这个送人中的时候，已经就是过了宋真宗的这个禅缘之盟了。
[42:0.460,42:32.400,1]  就说送粮圣疗之间已经够和完了一个大家互相之间就已经就是不打仗了那个阶段就那么你可以因为同时期的，只要宋代的建筑也有比方说那个咱们那个晋祠的那个呃，晋祠的那个圣母地对吧，那个稍微晚一点稍微晚一点呃，但是呢，都都是在这一零几几年这样一个范围之内，那么可以明显比出来这个不一样的这个地方对吧，那么就跟那个梁思成先相对说分的，就是说在在那时候咱们已经进入到醇和期了。
[42:32.730,42:49.190,0]  对，那么这对他说的，他说有婴儿还记得她说恪守辽代的什么就是他恪守唐代的那个风格和技术的，然后在在南边已经发展就是送那边已经发展下唇和这方面过度。
[42:49.190,42:57.260,1]  嗯，那么他一个叫叫他叫还是比较有点雄浑的这种感觉对吧，学文感觉一个就出言比较深源多贡都拱比较硕大。
[42:57.260,42:58.040,0]  加大。
[42:58.040,43:11.180,1]  对都比较适合比较粗，那么比较有这个这个一般来说，就这个尺度，因为奉国寺大概是怎样一个概念呢，就是说它是宽九间大概是在50几50米左右。
[43:11.550,43:35.770,1]  那么晋升多名哎，50这么晋升呢，是五间五间大概在五二十五米左右就是什么概念，就一间大概就是五米乘五米这样一个概念，九节就是他比我比较宽，因为它大概它都是这个心间，当时就中间那一间更宽一点完了到四间稍尖到没间，就一点点稍微有点小这个是还有一个呢就是说，比如他这个。
[43:36.780,43:49.830,1]  呃，刚讲到的出言比较讲到的，它这个这个斗拱权衡比较大，还有的他还有升旗右侧脚身体就是彼此身体，就是说它的这个柱子呀，就是就是外面的柱子。
[43:50.360,43:59.010,1]  柱子从中间往外越来越高高一点高一点，高一点，所以他这房子就是形成一个有有一定的宏度对吧，测讲呢，就是他这个。
[43:59.180,44:3.140,1]  他这个柱子，那就越往外的柱子稍微有点往里往里倾斜。
[44:3.820,44:6.500,1]  就是就叫测交，那么这个。
[44:6.650,44:10.390,1]  就是这种这种早期木构的这种特点的就比较明显。
[44:10.710,44:13.310,1]  但遇到遇到晚上就这种这种这种。
[44:13.870,44:32.980,1]  就比较小了比较像这个APP1对比方说那个宋代好多，接着向模拟电冶宋代的对吧，那个这个晋祠也是宋代他就相对来说比较比较谦虚的就没有那么那么雄浑泉河没有那么大多拱没有那么多对吧，像这个奉国寺总是欺负做。
[44:33.280,44:59.590,1]  是不做的做工也是相对来说是很大，而且，专家们研究的，它的这个目的性才就是按照这个营造学社当然，其实它这个这个奉国寺建造的时代比这个营造法式成熟一点，再还还早对但但引导法师才是总结的地熟人的这个经验吗，就是它里面讲到用的这个才送国是用材都是大概是一套一套法师的话用的是当时最大的。
[45:0.070,45:15.600,1]  就说嗯，就是木木头的锻炼都是指最大的，而且呃专家文就差这个木头断面还比较科学，都大概是3:2这样一个比例的这种属于木材的比较，这个合理的一个，这个长宽比的一个。
[45:18.840,45:21.760,1]  哎，基本上是这样，因为，因为你太短了他。
[45:21.890,45:27.770,1]  就说双的也不和就是从木头的这个木高尔夫的一些性格来讲，哎对。
[45:29.570,45:38.640,1]  所以他基本上那个讲的这个就说而且有有晨鸣达成明达在他的书里面就是提过一个就是古建筑的急。
[45:38.750,46:6.490,1]  几个模式，他说有一个的是像这个国光四形式的对吧，还有一个呢，是这样海汇电学舍海景凤谷，那我解释一下是什么意思啊，是说对在这个营造学社呃，叫这个营造法式里面的他古代的建筑呢，他按照等级的分成的几种做法一种呢，比如将厅堂造厅堂造的是比较低的低一点，再往上一级呢，教教殿阁皂。
[46:7.190,46:12.660,1]  剑阁到就是比较那殿阁造成的变革造就可以付费到就是说，呃福光速。
[46:14.030,46:24.870,1]  不光是就是电子早就它有一个特点就是他有那个平按就是有天花板的有着急，还有什么剧就比较高规格的一般来说呢，它里面的住网络特别规整的。
[46:25.860,47:0.110,1]  比方说山丘三成五就三成55个柱子底下七层七层四九二十八个字只有一班是不缺的就是一个一个一个萝卜一个坑，住民教普光寺就是这样，那么海慧寺是什么呢，海会寺咱们有照片可以看到它是一个属于这个厅堂，做就是稍微呃低等级一点也剪了，它是还有一个他的天花板是鹿鸣的，也有就是术语轿车上路车上路名叫对吧，这车上路明他是这个海慧寺，世界那么奉国寺，为什么他说是一种形式呢，它就是说它是介于。
[47:0.480,47:19.410,1]  剑阁更厅堂混着的一种形式，这他就说，所以说陈明达的就把这个就说这叫凤火速是是这样的一个人就这么一种解释，它既有佛光寺的特点，他又有海慧寺的特定，那么他就是形成了一种叫凤和四这样。
[47:20.660,47:35.790,1]  就比如说待回忆奉国寺里面他这个他其实柱子是是一处建筑的那么，另外，他的这个天花板，它好像是车上，唉，他是没有这个凿井啊，也没有这个什么，就是那个天花板。
[47:35.790,47:36.900,0]  嗯，对。
[47:39.420,47:53.120,0]  但当时我以为是以为故意而为止，就是他就是为了要显示这个塑像的那个庞大，这个这个宏伟，所以它上面也没有挡的，然后这个柱子也减了，就是说他所有的。
[47:53.500,48:15.410,0]  当我当时我的理解就是他所有的这个建筑空间都是为了营造一个这样的一个礼拜场所，就他他也让人们一来就被变得就被这个塑像的高大来包括他塑像救她佛陀就他博坐佛和菩萨的那个比例都让你一下子就。
[48:15.550,48:20.940,0]  就矮了，呵呵，就人就不由自主的规下去了，就就是有这个。
[48:20.940,48:25.860,1]  哎呀，所以说所有的宗教场所，所营造的氛围，就是要达到这样的一种目的，对。
[48:25.860,48:31.510,0]  嗯，他就已经到了一个极致的那个感觉，所以我我还在想是不是为了。
[48:31.910,48:36.640,0]  就是为了这这样这个目的，所以才做的这种我觉得特别恶心。
[48:36.640,49:21.440,1]  推断是完全成立的就是说，但是呢，就是没有任何文献可以佐证啊，这是，咱们这个所一害的地方就说，因为工匠们做这些东西，当时怎么想的，我们只能进行推断，但是从现实效果来讲，的确是这样，就说，我们不仅是看了这个聊过以后，比如我们在这样规模的那相比的就是那个尚华S的一个大雄宝殿至今够对吧，那大效果有有异曲同工之妙，它里面是个是是五个火象完了，周边有那个二二十周天对吧，那样就就说这种给人一种这种感觉就是可以想象，这种当时早早期的大型佛事都有给人一种这样的一种一种感觉，就是说能够达到一种宗教就是你在你在神明面前，你说你的非常渺小的。
[49:21.690,49:27.290,0]  就是除了空间和这个体量感之外，其实还有。
[49:27.370,49:28.900,0]  光线和味道。
[49:30.330,49:31.550,1]  哎喂到你想我。
[49:31.550,49:44.630,0]  服务费的是是不是再说蝙蝠的粪便醇香啊，从印度传来的各种各种迷幻药物，这个完了之后人就很high是吧，然后就各种幻觉。
[49:44.910,49:48.830,0]  然后看着这种摇曳的光还会产生很多。
[49:49.860,49:52.600,0]  这个观感我。
[49:52.600,50:13.260,1]  特别我觉得我觉得这个这个这个超人讲得特别好，而且还是你这个你这个又又挑战了这个什么挑战了限制，这个这个B2的这个这个呃，这个体现aa2是现在能给人三维的这种虚拟现实，但是如果能加进位置来说，那就更牛逼了，呵呵。
[50:13.260,50:30.490,0]  古代是这样的古代古代我我猜啊，我猜就是说那个嗯，那么我给你一个幻觉是吧，你在这里边儿置换了，那么你当时的感觉是很真实的，然后你又兑现是你出了这个庙之后，你看到的。
[50:31.040,50:37.140,0]  也不一定是真实的是吧，这个至少负责符合他那个宗教里的这种感受。
[50:38.210,51:16.310,1]  我也挺同意这个超人的观察，呃，其实我们进了一些佛寺哈，如果他还有大，因为现在因为那个文物保护的原因，他不允许在店内永明和啊或者那种相见，但是的确是有些古老的佛寺，呃，你进去以后你是会感觉有一种气场就是气场的确还有味觉的东西，因为你想成年累月的呃，烧这个香足完了，他这个这种味道跟木头的这种本身的一种味道，或者油漆什么这种东西混合在一起，他就会形成一种很特殊的一种一种味道，这种味道就说你在进了佛殿以后你就能感觉到你出了佛殿就没有了。
[51:16.920,51:20.110,0]  所以他其实就通过传统的方法。
[51:20.180,51:23.370,0]  不用高科技也会让你体会到一种。
[51:23.520,51:24.560,0]  这个。
[51:28.900,51:31.950,0]  我觉得古村那个叫主动置换。
[51:32.240,51:47.530,0]  就说他自己本身好股的这个心态对就如果他问到古旧的味道，包括泥土，包括霉烂的木头，包括可能就像丁洋说的那个才才通过。
[51:48.030,52:1.790,0]  别人这个蝙蝠的粪便就大概知道这这个应该是在比如说是千年以上还是他，他会救他，我觉得他是一种主动弃患的一种唉，我觉得其实。
[52:1.790,52:15.760,1]  你别说啊，这个倒提醒我一个很有意思的一个一个线不是搞这个古建筑的这个这个就是那个缎带用什么碳14什么的，那丁丁老师来讲的其实拿这个拿这个，这个这个。
[52:15.760,52:23.050,0]  跟别人别人真的是也可以，但在出这个固定价格嘛是吧，最下面可能结婚是不是。
[52:23.320,52:50.750,1]  对呀，一说这点不用付最下面只有1200年哇，那这房子得到什么时候是这个办的确是这样，就说我觉得国内虽然咱们号称有很多的这个古计哈，但真正就是说像这种奉国寺金融应该说是很原汁原味，很就是说，基本上这些东西虽然背后是呃装裱过一些啦，充装，但是它的彩绘他的木架结构，呃，基本上是。
[52:50.910,52:56.730,1]  原汁原味的就这种感觉还是非常的非常的其实很少的不太多，有这样的地方了。
[52:58.450,53:1.950,0]  不是当地人还对他很有感情也这也比较。
[53:2.920,53:15.790,0]  对，这就像我们再说就分公司还有一点让人很感动的就是它的，它的原生态，他不光是它这个寺庙的原声，他还是他周围环境的原生态，因为，因为宋国字这个他，他前面。
[53:15.890,53:17.190,0]  就是大凌河。
[53:17.190,53:18.410,1]  后面后面后。
[53:18.410,53:19.600,0]  您是大连和。
[53:19.600,53:20.990,1]  大凌河在他的北边。
[53:21.350,53:28.980,0]  嗯嗯，对对它的北面北，因为他在大连河的南岸嘛，对他布吕山是在他的。
[53:29.120,53:37.390,0]  在东面就北边那个方向吗，就是山横过来应该是是去冬眠，反正你看地图。
[53:37.390,53:38.980,1]  大队大方向对的对。
[53:38.980,54:0.400,0]  大概是是一个这样子好像然后这个周围都有变就是说，如果我们我们还登的上去的话在高处的话，你就为的确，他还仍然是最宏大的这为什么我一去就产生错觉的一个一个原因，他对他周围的环境也也也是出险了他的宏伟。
[54:0.400,54:4.600,1]  其实这个呢，的确也是很难得，因为我呢，第一次去是十年前。
[54:5.230,54:19.030,1]  张老师年2006年去，嗯，基本上那，所以那那那个不是咱们在跟那个蒋现场座谈的时候，我白说了，我说我说这个十年过去了，这很欣慰的就说咱们这个宋国寺周边的环境，不像其他地方。
[54:19.030,54:32.670,0]  现场最不爱听，只是发的鼓励，哈哈，卖片是在批评我们说你只载我来回折腾，我说，我这真心的夸你根本不是批评，因为你，你可以。
[54:32.670,54:40.680,1]  啊，你你去你看别的地方你别说你别说是大桶大桶也就算大同，更更不能说你就是那个观音寺就是观音阁边上。
[54:40.680,54:44.990,0]  温格对red对啊对对对。
[54:44.990,54:51.660,1]  啊，那原来那个观音阁边上，你看那个老照片，那也是北北边的那个山啊，什么都看得很清楚，现在观音阁基本上。
[54:51.660,55:1.500,0]  我们索性就把环境比一下，我们现在已经说了木塔不用说了，应谢幕查就是盖了一大房子，感觉那个是。
[55:1.730,55:22.510,1]  呃，就是其实掉了阁院寺那个比较小，估计周围还还还差不多这个样子，对吧，开善寺，因为是在农村基本上现在连县城都不是的，一个是以前的老县城呃，这就为那个其他地方的那些那些那个大同大同的那个大同就别说对吧，虽然周围的环境。
[55:22.510,55:29.020,0]  行都改变了，是吧，所以说就是当年狗现场都是快撑地了，我觉得。
[55:29.360,55:49.400,0]  呵呵，大同市最可怜为什么就我，我为什么有这种错觉，因为我去的也比较晚已经全部都在在动工了，等到我第二次再去的时候，那硕大了他已经起来了，那么大的地宫，然后那么大的大便就就已经把国家交战和大雄宝殿就写没了。
[55:49.400,56:3.400,1]  其实，其实说一说一点，就是原来那个大雄宝殿，那个就说你在国家加上这个角度看着大雄宝殿周围没有什么高仿的时候就特别觉得他硕大，因为现在好好就在这前面盖了一个特大的一个房子。
[56:3.400,56:11.810,0]  那我还是就是我还是很感动，这个当年我跟古村老师还能爬上呐，图强看哈咱们群。
[56:11.810,56:14.860,1]  啊，对啊，咱们现在是还没盖那个那个那个房子。
[56:14.860,56:19.990,0]  过了天地，真是的，当时咱们看的是跟老照片几乎一样的。
[56:20.300,56:23.840,0]  是吧，对那个土坡什么的都是老照片，有的。
[56:24.020,56:26.730,0]  现在你们开幸福了。
[56:27.100,56:29.940,0]  我就看着大同新城起来了。
[56:33.780,56:47.460,1]  哎，去去这个咱们所以说这个预告一下咱们还会做一些大同这个再来这个但是我觉得真的我也不是很乐观，就是如果咱们再过十年再去看凤国资会是什么样的一个情况，因为您。
[56:47.460,56:52.650,0]  嗯哼，我这种势力各种势力已经那个蠢蠢欲动了。
[56:53.750,57:30.990,1]  嗯，因为的确因为因为我不知道你们住那个旅馆那个我们我住那房间正好看出去能看见奉国寺的那个大店那个就是还是挺挺让人感觉因为我住在那个房子三楼对看出去，因为周围他都是那小平房对吧，那大店正好出在这上面完了再往远看有点山，但是在远处已经有一些商品房的影子在那儿，但是还不是很近，但我不知道这种这种情况能保持多久了，希望当地的政府能够把这种环境能够吧，因为东北说，在地地god足够大，你何必偏要盖到人家房子盖得他那个庙的话。
[57:30.990,57:36.250,0]  嗯，是那个父母是别把那后边那个那个大店在给付建起来就丢了。
[57:36.960,58:1.710,0]  呵呵，对如果把你你说的后面的高隔阂两篇的格都既然不是卖也不是没有可能的都天天在那个现场耳边是这样就是他，他他在遗址的所有遗址就考古都已经很清楚就说我觉这个一次见我就完全可以坚持，嗯，的确是这样。
[58:1.710,58:6.780,1]  对，所以这里面反而是永久的话题就是保护跟开发到底应该怎么样平衡。
[58:7.020,58:26.010,1]  对吧，那个因为也有人认为就不不开发也达不到保护那，反正大家这个仁者见仁智者见智了，这个就是这个就很难就是很难一个统一的标准，但我觉得维持现状对我来说我认为是最好，但是可能人民群众不一定愿意维持现状，但是如。
[58:26.620,58:28.360,0]  不是人民群众的问题。
[58:29.310,58:30.790,0]  人们其实无所谓。
[58:30.870,58:36.370,0]  对人民群众可能还是还是求发展，但实际上也不一样，我觉得如果你你。
[58:36.370,58:46.140,0]  培养出他这个自豪改为以后他可能就不一样了，就是保护指的是就关键是你要不要让1000年之后再看。
[58:47.510,58:51.230,0]  现在1000年2000年之后，能不能还看到这些东西。
[58:52.070,58:55.820,0]  过度开发的风险就是您有可能看不到。
[58:56.260,58:59.990,0]  对那，那如果是1000年以后的事儿，那的确是没人管了。
[59:0.560,59:6.390,0]  都是木有钱，但是现在这学期数学，但是电脑可能也没有想是千年。
[59:6.600,59:11.760,0]  建造一一百年105年之后就经常了就大聊都没了。
[59:13.180,59:19.190,1]  那么就说其实这回到就凤和四台一个就是这个七佛也是比较有特点的这个。
[59:19.190,59:22.280,0]  对对这个是不是也是唯一的就。
[59:22.280,59:24.540,0]  这里面是所有佛寺里面。
[59:25.040,59:29.140,0]  呃一的是吧，呃呃呃。
[59:29.140,59:33.550,1]  名字的话，还有就是说全国各地你查七佛寺能查出来。
[59:33.550,59:38.830,0]  就是说齐国的这个题材就是说七佛的塑像的这种形式的店。
[59:38.830,59:43.320,1]  嗯，那是那现在当然那当然是唯一比如仅有的现在只有一个对吧。
[59:43.320,59:45.270,0]  因为尽管题材还是蛮常见。
[59:45.270,59:48.520,1]  对，而且七分的塑像，包括石窟。
[59:49.140,59:50.220,0]  嗯，对对。
[59:50.220,60:14.300,1]  对这里面就是这里面就是咱们就引进另外一个看点就能就是就七和八塔的这个这个这个所谓的这个概念哈，但西方跟八塔实在是两个不同的东西不是算一起啊，这巴叉跟这个凤国字是没有任何关系的，他欺负我呢，的确是一个呃，就是说，呃，因为我也不是这个佛教的专家不是很有多的研究，但是西佛重南北朝。
[60:14.660,60:28.830,1]  在那个南北是故事开始教区佛表，这个是辽代的区域和到这个元代青花四的那个七佛的壁画，这倒是一个比较长久的一个呃，七佛信仰的崇拜的一个线索。
[60:30.210,60:32.030,0]  对，但是那个是吧。
[60:32.340,60:41.800,1]  对对对那其他的相对那些七伯，那就七所变成变成塑像，现在这个这个在这个在这个凤和字是。
[60:41.800,60:46.220,1]  酒精有的，而且这个基本上保持了辽代塑像的一些这个。
[60:47.100,60:57.270,1]  虽然他从装过，但是这个这个辽代的风格还是能够而且专家认为这个做就有那个七佛下面那个做也是也是辽代的那个原物。
[60:58.690,61:1.310,0]  但是我怀疑他的倍频股市。
[61:1.740,61:4.240,0]  因为那个行至特别像轻的。
[61:4.400,61:7.190,0]  呃，有可能77的那个北路。
[61:7.190,61:10.210,1]  有可能因为包括他被他那个。
[61:10.670,61:12.520,1]  背后的到做的观音。
[61:12.710,61:21.850,1]  对吧，倒坐观音就是就是明白万利小区名对所以就比较他那四壁的那个现在就是东西两壁的那个。
[61:22.540,61:25.690,1]  呃，壁画，那个大家认为应该是元代的。
[61:25.720,61:47.390,1]  那么后来就变成南山的南墙的，接下来那个罗汉的，就现在不放在那个尹放在那个后面那个影背墙后面那题那那个应该是明代的，虽然他也是他也是不同的时期有不同的这个曾姐，但是我觉得最值得这个看，因为我觉得超人你应该更有跟我们分享的就是那个量房量，加上那个元代的谈话。
[61:48.170,61:51.050,0]  才会对对对这个是非常难得的。
[61:52.600,61:54.100,0]  嗯，这个一拍。
[61:54.100,61:57.500,1]  这个飞天呢，有些什么有些什么观察或者是什么意思。
[61:57.500,62:4.920,0]  嗯嗯，拍，毕竟比比比你肉眼看的要清楚一些吗，就是我建议，反正大家如果要去。
[62:5.350,62:10.090,0]  这个分公司至少得带个长焦镜头吧，或者是带个望远镜。
[62:13.220,62:15.830,1]  那除了外径你不打灯是不也看不见。
[62:16.090,62:23.120,0]  冬天去的话，那个光线就是正午光线角度好，能看见关键咱们缺一张车。
[62:23.660,62:29.240,0]  要冬天下雪的时候，父母寺，宁波最好是特别多，因为那10万。
[62:29.240,62:33.150,1]  白的光线白就慢慢反射进去很很强，就是特别好。
[62:33.630,62:38.430,0]  就是咱们去的时候，这次去的确这个风雨大作吗这个。
[62:38.790,62:40.350,0]  里边特别暗。
[62:40.640,62:50.680,1]  那那你还有一个你，你拍的时候你你就是你发现没有，就是说呃，因为他那个壁画的保存的这个状态不太一样，就是说最比较好的是要在哪个部分。
[62:50.770,63:3.620,0]  就所有的所有的下面就是所有的这个下期底底面下品面是早晨最好的那个我上次跟丁瑶去的时候，我们还就是看了一下柱子上到底有没有彩绘。
[63:4.680,63:19.860,0]  就是我妈怀疑住的时候原来也是全由彩绘的嘛，我们反正就就就拿照照相机拍这个所有的柱子柱头或者是稍微有一点遮挡的部分应该是柱子上原来也有彩绘的现在都没了。
