[0:0.165,0:5.010,0]  大家好欢迎收听地下关我是IBM包括网络的不2万如一
[30:42.750,31:2.600,0]  照理说应该原址保护的话还是要把这个他整个这个目的这个周围的把他掏空掏空了一个坐上啊坐上防潮这样他原值才能保要不然你只是放在原址的话它还是会受到这个自然这个自然条件的这个青史所以所以那个选秀穆迪确实比那个
[31:2.610,31:6.200,0]  就是那个照片可以对比啊比刚刚那个发觉的时候就是还是
[31:8.120,31:13.720,0]  那楼类目我觉得就就是更就是好像呃多灾多难
[31:14.900,31:18.180,0]  咱们这一路看过了还是就是越看越好
[31:20.920,31:38.140,0]  反正咱们看那个我就水泉梁那个我觉得这样的这种保护方式如果娄睿墓以后也能按照这水平亮那种保护方式我觉得比他现在像那个什么呃一块一块的放在那个那个那个那个叫什么那个那个什么过密集柜里面要我觉得瑶瑶要好得多
[31:38.440,31:45.480,0]  因为不知道以前的风貌什么样楼任务跟那个什么似的吧就是那个九元港式的他只有墓道壁画了
[31:45.520,31:48.075,0]  而但是墓道好像还是比较全的
[31:48.075,31:55.680,1]  这个必须得通讯地址讲这个故事这个故事一定讲啊就是为什么墓室壁画没有目标而不是被
[31:55.680,31:57.020,1]  到物理破坏了
[31:57.510,32:2.460,1]  哦个税可以可以说贝贝盗墓者破坏但是这个盗墓者呢是
[32:2.810,32:4.340,1]  这个当地的村民
[32:4.690,32:6.840,1]  对同时说吧就是从头就是
[32:6.970,32:7.930,1]  呃
[32:8.160,32:11.120,1]  从头到尾都是一个痛心疾首50也翻了好几层
[32:11.440,32:16.250,1]  1979年的时候就最早发现这个墓是怎么回事因为当时考古所在
[32:17.840,32:22.240,1]  就是娄睿墓所在这个地方是就在太原西郊
[32:22.420,32:24.200,1]  离香山很直不稳定
[32:24.410,32:26.980,1]  嗯叫牛家口村他们那儿发觉
[32:26.980,32:29.730,1]  当地的一个大土堆说这个可能是
[32:29.840,32:32.460,1]  呃明天他说这是一个姓姓王的名
[32:32.460,32:33.360,1]  姓王零
[32:33.400,32:41.040,1]  结果钻探了半天呢就是说它不是其实是这明代修理甲木就是学纪念的性质那种
[32:41.340,32:42.660,1]  嗯然后呢
[32:42.810,32:44.970,1]  就很失望呗其实就
[32:44.980,32:47.370,1]  当地看热闹的村民就说了说
[32:47.740,32:49.880,1]  旁边那村有有一大幕
[32:51.270,32:52.410,1]  就赶紧去看
[32:52.970,32:56.030,1]  去旁边也是叫王沟村王沟村
[32:56.380,33:0.800,1]  当年在文革的时候它这个时候已经是七九年了就是文革结束了
[33:0.880,33:4.250,1]  但说明在文革期间他们曾经就是
[33:4.370,33:7.190,1]  集体照哇我是你的一个一个达摩
[33:7.720,33:10.570,1]  呃当时是就是说想
[33:10.730,33:19.770,1]  支付宝变活宝和地理也有好东西咱们把豆瓣出来咱们对那个大铃铛给他干嘛那时候不太理想总之就是要把它给给珠宝店活宝
[33:19.880,33:20.740,1]  呃
[33:21.010,33:22.960,1]  然后呢这个就是
[33:23.150,33:27.530,1]  当时怎么发的呢就是从入门上头挖了一个大坑
[33:27.780,33:29.490,1]  然后已经看见壁画了
[33:29.890,33:36.140,1]  这块儿看你看的清楚非常颜色非常近呃什么人人拉马就是看了很很鲜活
[33:36.510,33:37.460,1]  都拉出来了
[33:37.780,33:43.090,1]  但这个时候呢就当时的文管会太阳龙岗会就出来了就赶紧制止和这个普通话
[33:43.230,33:46.430,1]  人心不干事这怎么不能拉着周四就啊
[33:46.670,33:48.150,1]  然后就
[33:49.600,33:55.430,1]  文管会为了说服他们说别管给了村里5000块钱这当年绝对是句话
[33:55.490,34:10.560,1]  然后这个村没有估计是没得到因为这个我看的这个我是在客户报告里看了说是村干部责任吧跟他不拿了5000块钱但是大队然后就指着这个昆明停止反正总之就是不挖了完了以后呢
[34:11.600,34:14.150,1]  银土呃饮水冲突
[34:14.270,34:18.010,1]  把这个坑给填上了就是往里灌水然后把图给充进去
[34:18.270,34:22.120,1]  从你把坑填上了以后呢又抓鸡再来回家了几遍
[34:22.690,34:28.070,1]  嗯这个时候是文革啊我们刚才说七九年这个扣费的呢发觉
[34:29.970,34:35.670,1]  重新抢救发掘这个墓就说知道这个这儿有一个大木里头是有壁画而且已经被破坏了
[34:35.920,34:37.950,1]  然后就赶紧去去年就开始玩
[34:37.980,34:41.890,1]  玩了很长时间我也花了十几个月吧完了
[34:42.450,34:45.210,1]  嗯一年078个月
[34:45.370,34:49.130,1]  就感觉挺不错的他心里东西就把它给关了但是呢
[34:49.310,34:53.280,1]  这个木质一打开这个考古人员就说了就说
[34:53.990,34:58.500,1]  因为目标里全是积水然后先是排水最起码应该把水泵把水都排出去
[34:58.580,35:0.200,1]  完了以后打开木门
[35:2.160,35:6.890,1]  的也还是能看见的嗯这个墓室里的壁画的内容是看得很清楚的
[35:7.000,35:8.320,1]  但是因为
[35:10.470,35:16.060,1]  就是很快就总是这这不知道叫不叫时间沙漏的效应就是很快就
[35:16.450,35:18.550,1]  这个这个地方就都已经做坏掉了
[35:18.920,35:21.370,1]  就变成了烂泥了
[35:22.730,35:25.330,1]  就在这个考古学者就当时是
[35:25.370,35:30.620,1]  赶紧冲着这个墙壁就当时就写生字把那个线条图给换了就是
[35:30.870,35:35.740,1]  嗯正定的内容我们现在是知道的就是我们有一间苗族你看到的是他跟
[35:35.820,35:37.845,1]  其他的北京同事用不到
[35:37.845,35:43.490,1]  内容是一样对就是就是路人嘛就墓主人住宿的这个作业影
[35:43.880,35:56.010,1]  然后两边是什么地域然后姨丈俩人是不是然后那个马顺风车就是这个场面是一样的但是就是他非常的繁华不理它这个返话费的程度是
[35:56.220,35:59.430,1]  高于想选秀啊想其他我不知道
[36:0.790,36:2.050,0]  这个墓主人的手
[36:2.050,36:3.730,1]  这个就因为他是
[36:3.740,36:9.370,1]  呃他也出土了那个木质嘛对知道这是谁就是这个公安花楼瑞
[36:10.590,36:18.620,1]  嗯这个这个这个分两头甲楼为这个事也很集合有趋势楼瑞是谁你他为什么他的目的可能会有这种
[36:18.880,36:25.460,1]  你这种水平的墓葬壁画这这也是会留的原因的但是现在这种排名还会讲那个
[36:25.820,36:28.800,1]  这个那种令人痛心的厉害一个故事
[36:30.040,36:32.040,0]  这这个祸不单行
[36:34.120,36:41.070,1]  这是文革期间村民的破坏是这个墓道墓室里大量积水然后导致墓室壁画
[36:41.650,36:42.960,1]  对人为破坏掉
[36:43.400,36:47.500,1]  嗯在接下来的这个还是出土了
[36:48.950,36:52.870,1]  送到地方是大学出来了你知道地方那个益出什么来一看好吧
[36:54.150,36:59.490,1]  那个识货的增加学什么就口语相传以至于全国
[36:59.540,37:2.760,1]  各界人士都知道了说那个开元图文
[37:9.240,37:10.910,1]  这一来呢就是
[37:11.400,37:17.920,1]  全国各地呗就都来了都开始往从从各地往太原赶然后开元网这个王国松
[37:18.410,37:21.490,1]  当时这个地方的道路很差然后那个
[37:21.810,37:23.190,1]  嗯又是雨季
[37:25.470,37:27.420,1]  以至于他们
[37:27.830,37:34.920,1]  呃另外一件悲剧发生了这个靠谱报告也这么久红包的这个执笔的口语加
[37:35.170,37:37.415,1]  是痛惜之情依然
[37:37.415,37:43.270,1]  毅然于言表抑郁就是不能跃然纸上就是
[37:43.390,37:52.760,1]  呃八月底就是你来工地参观的领导同事很多道路泥泞汽车不变进出有个别同志不按科学办事
[37:52.830,37:54.500,1]  故意改变泄洪道
[37:54.570,37:57.760,1]  结果将计划基础泡软年级大面积塌方
[37:58.510,38:0.050,1]  损坏壁画
[38:0.120,38:2.200,1]  一月20平米真是令人痛
[38:3.860,38:6.490,1]  嗯发掘过程中因为有
[38:6.820,38:8.860,1]  各种大元要来看
[38:9.130,38:10.880,1]  为了这个
[38:10.920,38:12.610,1]  汽车容易通行
[38:15.830,38:17.720,1]  呃第二次做饭
[38:17.720,38:23.960,0]  这个就是说这个就跟咱们这个可以理解这个九元岗发现以后去看人也络绎不绝
[38:24.390,38:35.740,1]  好在那边交通还好呵呵我也吃还和我绝对也是那些东西的好处可能就是在于它不太容易被这种呃轻易的破坏了当时是
[38:36.380,38:37.890,1]  估计大家也
[38:37.890,38:44.350,0]  嗯因为现在我觉得补充个小细节我觉得咱们那次去那个看着九元岗的时候是冬天对吧
[38:44.900,39:15.400,0]  你还记得那个瞿老师发明了一个土办法就是那个他那个邯郸那个暖气把那个就是那个地方给给保护一下对吧因为冬天的话它容易形成那个接入接入的话也呃凝露也容易赢就是破坏那个壁画所以他那个现在条件当然比那时候好了还搭上棚子里面再弄了土暖气见过他这个整个的那个环境就容易使得这个壁画对干燥一点要不然的话他也也容易把这个壁画所以这个
[39:15.640,39:17.390,0]  这个也是一个很重要的
[39:17.390,39:23.630,1]  好像他说是在那个九八年发掘锦绣目的时候发发明的这么一个班
[39:24.370,39:25.680,0]  对对对喘气的
[39:26.600,39:37.170,0]  对呀那就是听得页面这个故事啊觉得很痛惜啊但是即便如此我们现在看到的保存下来的娄睿墓的部分墓道壁画那也是相当是相当的精
[39:37.170,39:48.490,1]  对我不我那个我得我得打听一下就是说后期的故事还没完然后而且那个如果这个故事不发生的话或者只发生一半的话呢我们现在能看到可能更
[39:48.860,39:53.640,1]  我们就能更有眼福吧就是接下来又发生什么事了接下来其实发生一件好事
[39:53.790,39:58.830,1]  呃就是山西省的那个政府请政府的人
[40:0.440,40:5.540,1]  就是全国的学者专家艺术家独特重视这个地方你觉得这块儿
[40:8.010,40:12.290,1]  嗯于是呢他们就特意播出了4万美元的外汇
[40:12.940,40:14.300,1]  嗯当时更是巨款
[40:15.380,40:17.350,1]  呃从美国进口
[40:17.620,40:19.710,1]  那个柯达彩色定标片
[40:20.240,40:24.540,1]  然后又从这个中央新影就是新闻电影制片厂
[40:24.780,40:30.580,1]  本来那个水平来了一个纯著名摄影师叫李敏宽他当年是拍这个
[40:31.050,40:32.400,1]  大寨纪录片
[40:33.130,40:42.580,1]  你这样你能拿到你的这个是专门跑请他过来拿这个钻每人买的电影胶片彩色垫胶片当时肯定也是机械呗必须得进口
[40:43.220,40:44.670,1]  然后来给
[40:45.030,40:47.270,1]  娄睿墓的壁画拍纪录片
[40:48.530,40:50.330,1]  这肯定是好事对吧因为
[40:50.630,41:1.840,1]  嗯如果你这东西留下这个资料的话那将来这个这块儿颜色越来越退掉或者怎么样食用菌病害呢可能还能从中国里边来看
[41:2.380,41:3.440,1]  但是呢
[41:3.950,41:7.690,1]  这个花费巨大代价获得这个影像资料最后
[41:8.010,41:9.930,1]  开完了就搁在仓库
[41:10.910,41:12.990,1]  或者你还发现保存不上
[41:13.440,41:15.290,1]  然后现在也没法用
[41:16.540,41:36.740,0]  太遗憾了太遗憾这种其实这种这种痛心疾首的事情也挺多的像有的那个有些地方比方说无论是把古建筑还把墓葬说那个原值保护不了迁移迁移了以后完了对着那个仓库一堆几十年等要在富源的时候就已经不可能复原了因为就已经坏了
[41:38.020,41:58.330,0]  所以希望这个咱们这个酒店港现在不也从原值已经切割了吗希望这个能够尽快的能够把它复原起来而不是把它对待顾客现在条件好了在酒店港必呃计划切割以前已经都做了这个很清晰的这个数字化的记录对所以这个应该也算是一个进步
[41:58.850,42:3.610,1]  当时这个娄睿墓的照片不知道拍的怎么我好像没有看到特别呃
[42:3.610,42:6.250,0]  没有看到特别清楚呢还都是那么
[42:6.250,42:14.520,1]  工作照好像因为我从那个财务报告里看到的照片当然是那是足够大的拍过照片了但是拍的并不是那种比较专业的人
[42:14.520,42:26.190,0]  其实其实讲的这个再讲一个小插曲也挺也挺让人觉得有遗憾的这个感觉因为在楼类目就不是您刚才说的是那个王郭村对吧在几十贼
[42:26.250,42:27.390,0]  七九年
[42:27.530,42:33.500,0]  几十年以后到了97年九几年不是后来发现了这个两年
[42:34.330,42:37.110,0]  九九年对于红木也在王国春
[42:37.110,42:42.970,1]  于红木是在王河村的南边儿然后这个留任在毛泽东的北边
[42:43.210,43:7.220,0]  市北的对也是块风水宝地了这于洪这个人也相当了得他虽然是这个墓葬下账的时候是在随带但这个人本身活动的时间是在北极的这个年代里面市北区的一个赛宝对他这个墓就我讲的是什么呢于洪墓发掘的时候他是个石棺相当相当这个漂亮的一个时光这个石棺哎石锅啊就是石头的现在也是不完整了
[43:7.440,43:12.100,0]  据那个瞿老师讲这个石锅的这个这个就是那个
[43:12.160,43:22.540,0]  最精美帝那个四壁啊是被拿到了呃山西省博但是那个屋顶那个顶现在还在这个这个呃咱们上去看见的
[43:22.680,43:27.360,0]  那个这次我们四月份去看还在那个考考古那个工作站里
[43:28.830,43:30.880,0]  完了那个说下面的那个
[43:31.660,43:46.410,0]  就在那个他们那个那个就是那个呃他们那个山西就太原市考古考务所在这个晋阳这个就是现在这个太原见有一个考站在这个现在这个晋阳县的这个文庙里面
[43:47.410,43:51.700,0]  那个两那个那个鱼红木的那个那个那个石头的那个那
[43:51.700,43:54.070,1]  不应该啊这个因为他那个点很重要
[43:54.380,44:1.360,1]  但是我觉得我要我想说这次那个我跟他说这个来说多一点那个知识点挺挺有意思的
[44:1.440,44:3.610,1]  就这个鱼红木
[44:3.670,44:7.170,1]  很特殊的地方在于它它的屋顶是一个
[44:7.830,44:11.590,1]  是不是是一个山顶是一个汉式的屋顶
[44:11.700,44:14.980,1]  然后它的字地他的浮雕的壁画
[44:15.070,44:16.340,1]  天津人叫比划吧
[44:16.600,44:17.790,1]  等他胡椒
[44:17.960,44:18.950,1]  和剑客
[44:19.070,44:23.660,1]  他主要是付掉了呃是完全没有任何
[44:24.170,44:25.810,1]  汉文化色彩的
[44:26.300,44:28.570,1]  诚然西域的内容的地方
[44:28.730,44:46.140,1]  对这是一个很有意思瘸子对她的他的把他这个墓墓葬持股做成了一个汉式的就是他其实想想有中原的一些文化因素赞同然后他的计划呢就从来没有而这墓主人呢其实是一个是一个库存那个东亚的雨果人
[44:46.470,44:52.760,1]  嗯对他长期呆在他还能在那电影然后他才导致这种矛盾也很有意思就是
[44:53.020,44:56.970,1]  他的壁画的内容是从来没有收到你的他可见他
[44:56.970,45:33.720,0]  所以所以这也这也就是说呃就是我想用这个来论证于我刚节目开始说的一个就是说在那个时期文化交流的时候好多时候形式还采取那种中原的形式带好多内容吸收了很多这个外来文化的这个影响就是这样这鱼红木他本身他的藏智实际上是一种西就说一种中西合璧的增值对吧他这个是因为这个粟特人他是讲的是呃那种就是呃具体特有点像那天藏那样把那个尸体给狗吃吃了以后剩下的贾贾海以后把它收起来以后放在那木的那个关时关上
[45:33.720,45:37.650,1]  对我是让余额木就是这样他们那个呃好像
[45:40.120,45:41.480,1]  我是徐选秀
[45:41.560,45:43.090,0]  选秀里面有关床吗
[45:43.090,45:50.370,1]  呃没有发现关系但是发现很多骨头这些骨头就不是同不是同一个人的哎有小孩儿的有成年人的都有
[45:50.830,45:54.450,0]  对而且好像有些骨骼是在那个木门的Y
[45:54.450,45:55.970,1]  对对对对对
[45:55.970,46:1.890,0]  木就是这个没到的就是这个连接牧师和睦道的那个那个走到那边
[46:2.090,46:30.020,0]  好像这个反正咱这是这实验项目因为也是被被盗过吗历史上就被盗过所以那个挺挺传奇的也是那个尤其我记得那个那个瞿老师说那个就是说在那个山那个太原太原那个不那个就是山西省博里面有一没那个选秀发现那个戒指嗯对好像是什么东罗马帝国的那个那个一个什么戒指好像就是在一个图发哩哎这是徐老师一看就这个在那个土沟
[46:30.020,46:38.010,1]  还是还是那个界面是一个蓝宝石然后上面刻的是一个头戴面具的一个一个贷款的跳舞的那么一个小人
[46:38.170,46:44.450,1]  嗯所以说因为从这个材质和样式来说都肯定是你肯定典型的西方的特色
[46:45.400,46:48.190,0]  对就是舶来品反正就是进口的一个人
[46:48.190,46:51.520,1]  这个也说到就是我看的材料是这样说就是说
[46:51.620,46:55.650,1]  这个键屏幕三他最早是在薪金贷可能就被盗过
[46:55.850,46:56.870,1]  但是
[46:57.510,47:3.280,1]  这个尸骨存在有好多个人的不全而且不全的这个问题其实跟
[47:3.280,47:5.350,1]  盗墓什么关系就是
[47:5.610,47:9.590,1]  呃主要是因为心脏病在在野外的这种片战场
[47:10.260,47:11.650,1]  嗯收拾好多盘
[47:11.650,47:15.770,0]  选课也是这个按这个flash的叫
[47:16.670,47:17.270,0]  嗯
[47:17.270,47:29.470,1]  这个没有没有任何资料可以证明这些因为现在就在文献里是就是在在北池里面是有记载但是没有太多的就跟他关于他没有什么太多的信息然后他的木质里也没有
[47:29.750,47:32.450,1]  嗯讲了一点事情也没有说他为什么
[47:33.000,47:35.440,0]  北朝这是很流行的宗教
[47:35.670,47:42.870,0]  这就说明北齐当时的一个特点就是当时不管你什么民族也好他们就是上层统治阶级他胡话的特别厉害
[47:43.110,47:47.080,0]  就接收了好多这个从西域啊先背或者是
[47:47.080,47:56.320,1]  就是说嘛上次反正也说过不是他那个因为什么后主高纬是就是重庆尖叫吗然后那个太原就近阳城里面是有好多天葬场
[47:56.830,48:10.170,0]  因为这个讲到这个先叫这个要补充一个知识点啊这个仙子仙子就是一个那个社字旁完了一个天因为他只跟那个崇拜就是说跟那个崇拜有关系它是个天子
[48:10.480,48:33.380,0]  完了这个是外来宗教的一种就说而且这个随着近几年的考古发现的发觉这个这个先觉的这个影响跟仙家这些东西更加多的浮出水面了这个引起了很多这个专家学者的兴趣而且在国内外各大博物馆现在都有很多这个先将墓葬的这个文物啊这个所以我觉得我们可以以后专门有这个我觉得有意思可以在
[48:33.380,48:41.850,1]  你先教的魅力在于它的起源很古老就是他是从等他是发生在波斯嘛是非常早公元前五六世纪可能还要早
[48:42.730,48:44.470,1]  嗯我不太确定
[48:44.470,48:47.340,0]  这种宗教现在现在还有人在在那
[48:47.340,48:59.040,1]  因为它沿着西路包括到南亚这个传播是非常非常广的然后他跟当地的这些公交又进行了广泛的工作所以他产生了很多非常丰富的艺术和这个工作量是
[48:59.240,49:0.540,1]  嗯比如说
[49:0.540,49:3.060,0]  介绍一个主要特点就是败火对
[49:3.160,49:8.880,1]  这个最最远其实按理说应该现在来说的话最远可能算是传到了
[49:11.420,49:16.090,1]  潮安吗保安室那个摩尼教的对呀
[49:16.270,49:20.110,0]  对对模拟一下模拟卷SF
[49:20.110,49:33.720,1]  不是牵扯到摩尼教一定是混合了索亚索调的这个就是他有拜火教的成分因为没因为我们现在说先叫基本上指的是这个西亚这这块的呃剩余能带股票
[49:34.770,49:41.210,0]  对因为它已经传播功能说跟那个伊朗高原的那个现价已经有些不一样的这个代理
[49:41.210,49:46.120,1]  你的意思就是说在那个印度其实一直到19世纪20局
[49:46.210,49:48.750,1]  他们还有一批就是胜景
[49:49.030,49:51.270,1]  怎么样得调的这个公司人在
[49:52.400,50:7.580,0]  那是就是因为那个波斯高原在这个波斯高原好像就是一人划的时候有人逃逃避完了就跑到了好像就是印度的sarapan
[50:8.290,50:11.020,0]  对对对他只有一批就是那个
[50:11.020,50:12.620,1]  就是公司嘛就是国四
[50:12.620,50:17.740,0]  咱咱在收齐再收回来这个这个这这几幅壁画的这个我觉得
[50:17.900,50:27.380,0]  重庆从这个会话的这个水平来讲我觉得我认为应该是任务的水平最高对不对而且龙瑞墓里面那个大家都认为这个码
[50:27.690,50:30.520,0]  这个画的这个相当的这个有水准
[50:30.520,50:33.270,1]  这个好像超人忒有感觉少女运动
[50:33.270,50:34.980,0]  画了一些这个
[50:36.130,50:38.300,0]  你就关键咱们上次讲就是说
[50:38.440,50:47.940,0]  你看谁留了一个单子钱是吧你这个嗯这个送唐宋以前的内衣一个纸片留下来现在多大价值
[50:48.430,50:50.650,0]  然后这个B花木就是
[50:51.180,50:54.550,0]  是这个能保存所以以前的这个会话
[50:55.020,50:56.450,0]  这个图像呢
[50:57.420,51:1.440,0]  重要的甾体嘛又不是特别被重视像书画那样
[51:1.770,51:3.670,0]  反正就第一次看这个
[51:3.820,51:6.180,0]  楼人墓就看到他那个对
[51:6.500,51:11.460,0]  马和这个马上呢这五是的这个生动的这个描写
[51:11.880,51:15.110,0]  这个是很少能在这个
[51:15.550,51:17.650,0]  唐宋绘画里看到
[51:17.820,51:23.290,0]  就是很多咱们比如说看实习保级啊这个送话啊都很细致是吧
[51:24.030,51:26.400,0]  线条很优美流畅但是
[51:26.920,51:29.600,0]  有的时候少了一些生动
[51:29.850,51:55.435,0]  但是他就是一种城城市化的一种画法它不是那种基于这个生活或者这个有有一些有一些是比如说计划啊或者是就是说这个宫廷画师的那个训练造成的但是就在楼任务能看到就是那种对写生对这个生活的这个了解这艺术家对这个这个动态的这种把握了如指掌
[51:55.435,51:59.080,0]  只有一个两个人两个五是那个经常出现的一个
[51:59.430,52:7.130,0]  伦墓壁画儿就是大家在网上搜能搜到一个翻身上马的50就是他那个算是上网那动作就是
[52:8.100,52:9.260,0]  照相术
[52:9.260,52:10.890,0]  就是出现之前
[52:11.020,52:13.670,0]  能捕捉这种人物动态非常不容易
[52:13.670,52:17.760,0]  他一一些很简单的曲线线条表现了一个洞是
[52:17.910,52:21.950,0]  这个在就是哪怕唐宋绘画都画得很多静态的
[52:23.600,52:31.440,0]  没没我演教图啊就大家都换了一些进静态的花画面很少去描绘一个动态的这个
[52:32.270,52:42.920,0]  所以这个轮牧这些就挺震撼的包括说对马的一些描写马的一些比如说吗很紧张有的时候这个有一个五是真的
[52:43.070,52:51.560,0]  拽这个隐这个吗手然后立马就是头就往回扭这样然后那个你看那个马屁股后面就是满
[52:51.560,52:53.130,0]  立刻就拉了一坨
[52:53.740,53:53.740,0]  就是紧张的过程就是特别有意思还留了好多小细节我觉得那个比方说跟你刚才讲的这个龙瑞木比方说好多码的这个细节是跟这个原因这个非常仔细的对马的一种真实观察另外还有一个我觉得也是一种反方向的就是说对马上就动作那种夸张比方说我们讲的那个九九元港那个大木里面那个码那这个叫咱们甲醛都讲一字一叫那个叫什么一字是就那马斯两条两条前腿往前两条后腿这种这种奔跑的形式在马的真实生真实中是不可能这样最好的但是在这个幻化终很多时候出现这种这种绘画在那个东西方都有就是在抓树值钱因为买的动作非常快人们一直不不知道马的那个寺提示怎么落地的所以你看那个照相术之前人换马的腿部动作的时候都是比较混乱的不知道他那个怎么怎么跑经常会es
[53:53.741,54:2.000,0]  但是你看其实恰恰是那个楼任务的那个码都比较和爱一样就是生动合理的那个状态啊
[54:2.000,54:10.350,1]  你你是想说什么你是至少他那个没有这样的它就封号做到了这一点他观察到了他真实的
[54:10.500,54:11.730,1]  合理的动作吗
[54:12.070,54:13.450,0]  他观察的更多
[54:13.600,54:21.930,0]  就是你你可以通过马的慢行来那个就是他那个关节的动作和怎么导不来
[54:21.940,54:25.890,0]  那个来想他这个飞奔快型的状态
[54:26.060,54:28.920,0]  但是就是明显的是他这个画师
[54:28.940,54:31.010,0]  对这个生活观察的更多
[54:31.040,54:36.430,0]  对马提的那个弱点什么的更更有把握更合理看着
[54:36.760,54:45.020,0]  对超人的意思可能就是说这些这些画师吧第一个它是基于这个大量这个写生和观察的基础上第二个它提炼的也比较
[54:46.000,54:48.285,0]  抓住了那个马和人的一些
[54:48.285,54:58.760,0]  心存鞋瞬间对这个这个他肯定是有大量的这个实践这个为基础而且说明有理论基础所以这次这个北芪会话一个非常高
[54:59.290,55:3.780,0]  而且我们在钱袋我们汉代北魏的这些这些绘画上是看不到的
[55:4.490,55:10.160,0]  咱咱刚才说到这个咱们说酒云港其实景阳岗处比较触动我的
[55:10.330,55:13.670,0]  呃一个就是它那最上面的那些那个
[55:13.670,55:15.530,0]  山海经里边的那些
[55:15.720,55:19.780,0]  桂桂林乱什嘛然后当时其次一个就是
[55:19.930,55:21.700,0]  一定要说的就是
[55:21.800,55:30.710,0]  他的那个里边的风景里边的是就是他那个首列是发生在这自然环境中丛林啊山川当中的
[55:30.830,55:32.760,0]  它里面的那个
[55:33.590,55:36.190,0]  嗯山川画的那个
[55:36.440,55:38.050,0]  感觉跟那个
[55:38.060,55:40.905,0]  隋展子虔游春特别像
[55:40.905,55:50.265,0]  就是这这个很有意思这个超人提了一个特别好的一个特别仔细的一个观察就是说比如说他这个人和马吧他画的是相当的
[55:50.265,55:54.440,0]  有特色但是它那个山水这个表达好像还是
[55:54.600,56:14.290,0]  比较传统的这个从汉代以来这个中国式的因为在类似的里头我们也看到这个和林格尔壁画目的有一些比较相似的一些元素它把这个山水一非常写意的形式七区几笔把它勾了在这个这个画面的作为一个背景这个这个展现出来呃非常有意思
[56:14.410,56:16.540,0]  后市山水吧这个
[56:16.750,56:19.020,0]  就包括大家耳熟能详的像什么
[56:19.650,56:22.110,0]  就是你花山啊之类的哈
[56:22.390,56:24.360,0]  就是只上了我说就是说
[56:25.350,56:28.570,0]  对植被的表现一种是描绘一种点染
[56:30.520,56:31.980,0]  但是就是在这个
[56:31.990,56:35.860,0]  九元岗和这个游春图上你看他画的远树
[56:36.040,56:39.320,0]  是一种状态的就是有点儿像今天那个
[56:39.890,56:43.440,0]  卡通的那种画法就是把那树冠换成一个
[56:43.970,56:47.860,0]  区域然后里边填填上那个数的颜色绿色
[56:48.220,57:2.830,0]  就是它不是不是像逆战像这个后事的这些人这样描绘深水就是比较概括他早早它是一个早期的早期的他很概括的话那个树冠的边界然后里边吃设色这种感觉
[57:3.600,57:19.160,0]  另外我觉得那个九元港币花园的墓道壁画比较完整吗因为所以提供给我们观察一个这个北朝墓葬壁画的一个另外一个就是那个木门上面那个忘喽对吧那个也是是应该是至今为止这个发现的一个比较
[57:19.470,57:23.840,0]  完整清晰的一个北朝时期建筑的一个
[57:24.700,57:27.430,0]  行那那个没有栏杆是怎么回事儿啊
[57:27.850,57:28.730,1]  呃
[57:28.880,57:38.110,1]  王楼其实也是你在胃镜甚至汉代的墓葬雨一直都看到了就是包括那个什么名气其实也是就是
[57:38.970,57:40.340,1]  表现的是这个王龙
[57:40.340,57:43.620,1]  他是就是身边的一个程序吧呃因为
[57:43.680,57:47.590,1]  不是说汉代汉人拍拍贷人开始重视这个死后升天
[57:47.640,57:51.660,1]  他的这个这个事儿嗯对对墓葬非常重视嘛那他这个
[57:51.900,57:53.140,1]  呃入账
[57:53.140,57:57.190,1]  下葬之后它的这个当时能理解这样就是这人
[57:57.430,57:59.260,1]  死了然后下的墓葬
[57:59.350,58:0.400,1]  路上里呢
[58:1.730,58:6.810,1]  这个失手和他的破事留着目的就是人是有不是说做的
[58:8.530,58:9.970,1]  然后破事
[58:9.980,58:12.110,1]  呃跟师生在
[58:12.450,58:14.680,1]  然后人死了以后你就坐在那里
[58:15.230,58:16.870,1]  但是你这混蛋这是就跑
[58:17.290,58:19.440,1]  就是要通过一系列的孔道
[58:20.430,58:23.880,1]  这时候你再那个什么汉墓你都能看到就是观察还是有空
[58:24.440,58:27.060,1]  哎然后那个这个火车从那口也就出来了
[58:30.330,58:34.790,1]  从木门里导出一出门就从木门上方那个旺龙就上楼
[58:36.650,58:41.460,1]  呃然后这个这个忘喽表现的是什么这网络地址说表现知识边界
[58:41.580,58:46.360,1]  嗯就是天津市一般会这个门是半开着的里面有时候还出现一个
[58:47.170,58:56.610,1]  一个一个一个一个一个市里啊之类的野蛮的人物对对对然后这个门楼上方呢一般是一些天津的形象有像这个
[58:56.660,58:58.810,1]  在云岗那块出现的是
[58:58.940,59:4.510,1]  其实我记得没错他们在当时还睁一说这事到底是一个火盆还是一朵莲花
[59:4.660,59:6.650,1]  嗯然后两边有两只这个
[59:8.690,59:15.100,1]  对吧这到底是拜火教的意思这个图像呢还是佛教的不像你如果是莲花的话就是国家的股票
[59:15.320,59:23.020,1]  如果是火盆的话就是在我这样子但是我记得那个徐老师说的是还是这还是有一个有点争议没有最后定案
[59:23.150,59:28.180,1]  嗯不管怎么样就是说呃这是一个表现天界入口
[59:29.170,59:31.110,1]  那个印象不是那个王龙
[59:31.950,59:38.160,1]  所以当时就没有栏杆了因为因为因为这个你生先生到这儿以后你就直接要要从这个门进去了
