[0:0.490,0:4.340,0]  今年势必下关的第17期大家好我是竹子
[36:9.160,36:49.180,1]  但是那些就只是原来肯定都是有自由他后来现在呢就只有一个塔另外只有九折而且形形式基本上也差不多都是那个属于方的这个密檐式的正方形面试来着完了大理城内呢他们倒是这个看见的这个报告比较少因为大里程因为大理应经过因为大理市当时这个杜文秀农民其这个回民起义的这个呃总司令部等于就设在大理城里所以肯定是经过战乱的这好多东西也都呃毁坏了那现在这个大理城内有些东西比方我前两天刚看了新闻好像大理那个就是那个文庙好像又重新怎么
[36:49.780,37:13.460,1]  是文庙还是那个就我们我们去看那门关着的一个一个库是北京市原来给军队es修复了还是一个大理城内有一些这样的但这些古建筑基本上当时都是在这个就是战乱以后就是呃应该是同治年以后才才重新修复的一个
[37:13.870,37:35.830,1]  对对对其实大理城里有一个所谓的古建筑也可以和大家介绍一下吗就是就是那个天主堂虽然学生没有在报告里写我觉得也还挺有意思的这个天主堂是建于1927年的应该是在他比较有特色的就是它的结构和建筑的装饰啊基本上是中式的这个在
[37:36.030,37:40.560,1]  这个民国时代的天主教堂里是不太多的
[37:41.050,37:46.800,1]  嗯当然这个在这个西南地区因为阻止你去过那个
[37:47.270,37:55.970,1]  那个就是什么地方那个天主堂就是呃呃自自动调查那个是是个是个是个夕阳是的吧
[37:56.260,38:10.470,0]  对这种是不那个是这样式的但是他他实际上是有点儿结合了把中心无论是在装饰上还是在外观上它是有一个结合的
[38:10.570,38:25.800,0]  比如说他把他的什么微商的那个本来是应该放钟楼的地方阿才算是我记得我去的时候是用来微商然后里面的那个装饰是把中式的比如钱花的这个这个
[38:26.870,38:32.670,0]  那个装饰比如说花草什么这些东西的元素放到这个
[38:32.890,38:39.270,0]  这个教堂里面的装饰里但他原来比如说在空间感上还是教堂的空间
[38:39.670,38:42.130,0]  就在外观上看起来也行
[38:42.130,39:42.130,1]  这这其实也是挺有意思的一个现象啊就是呃当然宗教建筑我们可能以后还会单P一个这个一个专题来讲这个挺有意思的一个文化现象就是宗教的这个建筑啊它有一个这样一个过程一开始呢先是这个中式的中式了以后呢完了还要变成西式的吸收以后呢又回归到一个中式比方说那个天主教堂天主教堂一开始在中国来他因为这个要跟中国的习惯什么的他就都是都是按照中国的民居式样后来到了一二片战争以后完了西方的这个等于腰杆子硬了就有后台了以后他们就教堂基本上好多都改成了这个这个西式的这个哥特式大煎饼啊什么的后来但是呢义和团运动被烧掉以后完了被那个以后呢那时候又生又出来大批教堂就包括那个二级人家那个叫啥呢又都变成了一个中式的一个缴纳这个咱们见的很多除了中教会大学也是这样就比方说这个
[39:42.131,39:59.710,1]  什么华西医大啊什么这些都有变成忠实的一个方法那这些年在覆盖教堂现在又改成这个这个西式的这个大的这个这个骡马市的或者哥特式的这样一个就这个这个现象也挺值得挺值得大家去分析分析后面的原因的
[40:0.190,40:7.030,1]  但是古村你说的只是这个中国天主教基督教建设发展但是如果你想想看
[40:7.030,40:8.220,0]  应该是就不吃了
[40:8.220,40:14.600,1]  蓝调意思啊对呀我和他讲一样啊其实伊斯兰伊斯兰教也是这样的轨迹
[40:15.780,41:15.780,1]  呃我觉得就是说至少在现代吧因为很多可能他们那个教会他们那个钱是从这个阿拉伯国家来的所以他们现在新建的教堂基本上全是这样这也是这样你看你还记得这个咱这个车源就是那个杭州凤凰寺他这个对他是他他是还是有点这个呃当时的一还有穹顶对吧一个三个群岭连在一起这样一个一个一个包括这个你看那泉州那个那个那个也是这样的一个但后来那个好多停车场牛街清真寺啊什么都都是中式的对吧完了但现在新盖的清真寺他又是变成了阿拉伯什么那种忒高忒大了你挂掉SF也有这样一个一个情况就是大这个这个地址咱们其实这个现象至于就这么一个表象但是背后的这个原因咱们还可以套以后给咱们有机会碰到以后可以详细讨论对对对那么其实啊说起说起大理啊
[41:15.781,41:33.820,1]  我觉得现在很多朋友去大理玩都只是大理城里然后就直奔洱海去了哎呦看山色去了其实我觉得在大理有一个地儿逛逛还挺有意思的可能被很多朋友忽视了其实就是大理的那个城墙可以去看看我印象里我们当时从这个东门然后
[41:33.980,41:36.970,1]  东海叫洱海门八门然后早上城墙
[41:37.720,41:45.760,1]  呃他是买卖东门东门吧东门我定下去东门然后那个陈啊很宽因为我觉得大理城吧他
[41:46.040,42:21.420,1]  至少有一点他做的挺好的他这个城市的限高还不错你登高登在城墙很高嘛你看大理就是往那个三塔那方向看然后就看到大理城的这个格局还是挺清楚的而且城里还有一片很宽阔的水面的在大概在东南角那个地儿然后就好像这个整个这个大里程就不在这你在车上看就像浮在水面上一样的然后远处就是这个儿这个苍山然后就是三塔然后古城特别漂亮不过对我来说那次印象很深刻对大理的那个就是他基本城墙的这个
[42:21.880,42:29.860,1]  应该是基址或者是夯土墙这一圈基本上比较完整就是没有虽然虽然这个包装可能没有了但是这个
[42:30.220,42:39.550,1]  原来的格局还能看出来嗯四边四个门当都是就是后后来修的但是还是暗示成员的这个结构啊比较完整
[42:40.240,43:24.650,1]  这个因为陈浙大里程跟我们上面讲的丽江就完全不一样大理呃还有很多的这个就是他有城墙它有一些这个汉族的虽然大理主体民族也是白煮蛋他有些汉族的这个很多的这个影响在里面但是我们到了丽江的话丽江是咱们这个等于呃世界文化遗产对吧这个两个这个保存完好的这个中国的古城之一一个是山西的平遥那是是汉民族的一个典型的一个城池的一个小一个一一个标标标准那么丽江等于就是一个纳西族的一个古城他这个但他这个成就是其实是没有城墙的就是不太是咱们中国传统意义上的城的一个概念
[43:25.610,43:30.360,0]  它是靠水气维维续下来的而且丽江太小
[43:30.680,43:52.620,1]  对他就周五有几个山在这个中间完了他他也没什么好像那时候可能估计那儿也没什么防卫系统就是也不用造成强反正就这么一个这个就叫什么大研古镇对吧对大冶镇这是她说那个言字哈就是盐没就是好像是有这个意思吧就是好像是个是烟台的意思还是怎么样的一个好像我
[43:53.160,44:2.320,1]  当时有这么一个有这么一个感觉啊对当时那个刘珍他们在这个大理古城还这个里里外外考察的挺详细的
[44:2.450,44:46.360,1]  是丽江啊对对对我说错的丽江而且他们从大理去丽江好像一路上还挺折腾因为现在我当然好像高速是新修了吧我们那时候去的时候高速还没修呢经过古太古跳峡看到这个大山大水这个风景是很壮丽啊那个你你你这你总直接寄错了虎跳峡从丽江到那个香格里拉油条下下雨了完了那个从从那个现在这个其实因为我后来又去了一次那个现在从大理到那个丽江的高速修通了这这条高速有人说是中国最美地这个高素质的确是很很美因为它这个过去一路上这个正好一边山一边是大川吗呃是很嗅美的一个
[44:46.820,44:48.720,1]  一小高速公路的确很漂亮
[44:48.980,44:51.790,0]  但是他们当年闲情这条路不容易
[44:51.790,45:8.680,1]  对当年的事这不仅不容易因为那个那个云南的叫山高路险完了那个组还不安全后来还那个就派了那个冰就是当地政府派了士兵保护他们从大理完了走完了到丽江因为路上说有土匪啊什么的
[45:9.040,45:37.650,1]  所以这个当时真是很不容易这个对于冒着这个生命危险去做好多事情这个讲的这个要求是的确有一呃这个大家知道那个我们讲那个广胜寺的时候就广胜寺不知道30年带有那个教程京藏被发现这个南京有个学者讲违心地去调查写了本书就讲微信这个人后来在三五年的时候到那个还在四川去调查另外一个佛寺的时候就被土匪绑架后来被土匪杀害了
[45:37.750,45:39.550,1]  所以你看那个时候还真是
[45:39.550,45:40.330,0]  没关系
[45:40.330,46:17.150,1]  这个写呃嗯嗯对所以很不容易所以他们当初后来到了到了丽江还是这个完了再接洽都是先到一个地方去到县政府去去这个去去去去跟那个他们第一站都是县政府去拜访现场然后找像我们现在找批文找公函然后让现场然后再派人来这个怎么协调保护哎那个西游记里面那个唐僧不到一定也在宦官什么关房啊对呀哎但其实我们说到丽江啊虽然要当然想到我们学社的考察其实还有一个外国人我们也不得不
[46:17.150,46:27.300,0]  刚才我就想提对刚才讲你知道为什么呢是因为我想哎哟他们怎么不去找这个纳西勇士18勇士去给他们保护呢
[46:27.730,46:35.600,1]  嘿嘿洛克当时在在到处走也是有保护的哦哎那时候洛克好像那时候洛克好像不在吧已经不在了
[46:35.600,46:36.760,0]  回去了
[46:37.770,46:40.690,0]  我看洛克那个时候没有
[46:40.890,46:45.250,0]  还真没有落课最后走的时候都已经是四年了
[46:45.910,46:48.170,0]  四二年孩子里面所以他
[46:48.170,46:56.890,1]  不那中间他有不是那是他那那是洛克是抗战胜利以后又回到那个地方然后到四几年再走了抗战那段时间洛克不在
[46:56.890,46:58.250,0]  对因为他在
[46:58.330,47:1.695,0]  他在不断地来来往往吗就是
[47:1.695,47:12.430,1]  哎那个我们不能跳跃的太快啊我们我建议这个古村还是厨子给大家在这个补充一下这个洛克这个R这人是谁啊他他他都做些什么事儿啊
[47:12.690,47:19.180,0]  录播课本来是一个这个值植物学家是我看啊他是受
[47:19.870,47:23.610,0]  是英国还是还是美国的应该是美国
[47:23.850,47:24.970,0]  美国
[47:25.420,47:29.780,0]  这委托去找就是当时能够治这个
[47:29.960,47:34.340,0]  就叫就叫大风子树就找这个树种折
[47:34.510,47:44.840,0]  那他实际上刚开始也也也没有说去去中国时间是在缅甸东南亚地区来新的后来就从这个钟点店
[47:45.350,47:49.620,0]  就进入云南地区然后他后来到了丽江以后
[47:49.620,47:57.280,0]  就找到了这个归宿所以他在他在丽江实际上是断断续续长期了很多
[47:58.350,48:5.880,0]  他差不多把后半生都放在这儿但是这里面还有一个差距就是他他在这个时候他给国家地理
[48:6.080,48:12.025,0]  写的写的东西而且就后来为国家地理做了这个差不多九片
[48:12.025,48:22.890,0]  长篇报道就是这个地方的他就对他转而就研究了垃圾文化包括他们的民宿包括就从对就变成了人类学家
[48:22.890,48:45.470,1]  时间差不多是在时间差不多在20年代224025年开始玩一直到大概抗战前这样一段时间那个因为它除了丽江它以丽江为中心了对对这个对咱们现在讲到的这个叫什么周就是三江源这个整个这个滇西跟藏
[48:45.470,48:47.120,0]  四川然后包括
[48:47.120,49:9.060,1]  对就这个这个大的一个范围它反正就对他做了一个很很很很新区的一个调查因为很多这个西方人对于这这个地区的这个了解都是从这个洛克的这个文章跟拍的照片才得到的而且洛克的确他那些照片很多是现在是很珍贵的这个影像资料
[49:10.240,49:18.440,1]  对呀我记得呃通过刘刘珍珍先生的这个转述吧好像洛克当时还记录了那吸毒的语言说是特别了不起
[49:18.570,49:23.580,0]  对对对而且他他出了一本那个词典吗就是那西语的四点
[49:23.770,49:29.270,0]  这个是他很很大的一个工具就他他已经做过编程它被称为难医学之父
[49:29.640,50:27.480,1]  对讲到那期又引申到就是这个纳西族这个主体民族它这个也是这个丽丽江的这个主体民族而且那期在丽江它有一个这个牟氏家族对吧木就是木头的木这木氏家族在纳西延续的大概明清两代的一个土司政权啊他在那儿的一个等于是像个地方独立小王国是这样的一个一个情况对吧这个其实对这个呢对也挺有意思因为呃有这个墓室这个幕府这个才有的这个假期整个的他的这个这个这个古城的建设呀什么都是跟这个跟那个纳西这个这个这个墓室政权有关系好像陌生政权一我印象中好他们的祖先好像是蒙古就是说从就是跟着那个救援长的时候从那个那那个蒙古人怎么过来还好跟当地怎么样完了这个这个法很复杂的一个一个历史
[50:27.770,51:1.000,1]  对对这个丽江城里不还一个大很大规模很大的幕府那是那是后建的一个一个假古董但是当初留的甄先生去的时候那个但是刘先生的报告里写木写的很像对对对但是我很大的接我觉得建筑现在建的可能比那时候又翻大因为为什么这么说呢因为因为那个幕府有一个楼有一个建筑后来被清见到那个黑龙潭公园里面那个房子我去看了规模不是很很很大很小但现在在原址建了一个类似一个房子好像我觉得基本按照1.5倍的比例给它放大
[51:2.280,51:14.410,1]  呵呵哦天呐黑龙潭那个幕府楼市就关闭了好像应该是这个这个当时还有一个什么常熟楼那个好像被拆掉了文科就那个整个那个就是幕府那那一块
[51:14.720,51:43.670,1]  全是这个等于是呃新建的一个一个东西挺可惜的就是说我们也按照这个流程均线当初那个记载的一些去找这个虽然纳西古镇是保护的就是说就是大理古镇保护的比较好对变成了世界文化遗产哎丽江古镇变成世界文化遗产但是刘珍珍当时记录的几个就是这个大就是这个丽丽江里面的几个这个重点的几个古建筑现在都找不到
[51:43.920,51:52.030,1]  这这个我觉得也是挺遗憾的也是有有几个古建筑一个都找不到那么相反反而是那个就是呃
[51:52.520,51:56.140,1]  丽江旁边的一个白沙古镇
[51:56.360,52:9.410,1]  还没说据说好像那个古镇还是原来这个幕府的这个什么发祥地啊之类的一个白沙古镇那个他记录的一些这个建筑到现在还基本完好的保存下来
[52:9.900,52:12.870,1]  对就白沙的环境可好了
[52:13.120,52:17.680,1]  哎那个白沙天好的时候他能看到玉龙雪山是那个那个四楼Kappa
[52:17.930,52:19.935,0]  咱现在玉龙雪山也没有使
[52:19.935,52:22.580,1]  哈哈哈哈
[52:22.580,52:23.830,0]  SF
[52:23.830,52:58.270,1]  我去白沙路上然后那个我看到就是原来经常在电视里做广告的那个关房还有那个悦榕庄那两个豪华酒店就在白沙镇阁对对对它那一定不错白沙镇那个当时那个那个聊天记录的吗有这个大宝积宫对吧完了那个很详细因为现在呢它里面的店它里面那个当时留的那些记载的它里面有有些就是说呃流程那些这个壁画很珍贵啊这个这个这这个壁画呢的确也是保存到了现在但我觉得主要的一些没有保存下来
[52:59.200,53:23.430,1]  嗯因为就前面那个因为它是两个前后两个店嘛前面那个店的那个壁画基本没有了然后我看那刘德珍主要技术的好像前面后面有有一部分现在前面那个店叫刘丽店对那个刘先生要写的是流利店里的壁画现在我们看到是后面那个大宝提供的那个壁画反正就说意思还有吧有一点儿这个挺折腾的这种感觉但是
[53:24.560,53:56.020,1]  水平吧应该是不如就是呃另外一个周围那个那个大学公在哪个那个烫呢就是现在也忒火了复合对对束河对对对束河对比笔数和那个大学宫的壁画好像是要差一些反正总体来说保护点不是特别好这个保存的状况也不是特别理想就是但是不管怎么说呢他总是这个流动性在30年代看到东西我们今天又看见了这个对我们来说已经是呃很不容易的一件事情
[53:57.130,54:17.900,1]  是啊而且他那个那个就白沙古镇去还挺值得去他那个就有一个是那个祠堂吧好像就一进去有一个祠堂它里面不是有那些那个那个住处就那种大那种那种莲花很就很夸张那种莲花那种还有那当初我记得还有那个那个流动来说还有好像还有木柱处啊什么
[54:19.260,54:32.250,1]  那这个就没看到了嗯但那种连注册还有我那个我看到的就是在那个你还没去在那个在那个黑龙潭黑龙潭里面有一个从也是从外面一个别的佛斯迁过来的一个
[54:32.490,55:11.770,1]  一个楼他那个楼挺逗他也都是那种有点像那个三层啊中间那个顶是有点山花十字时自己的山花的这样的一个地就跟那个柳贞贞先生拍的那个就是在那个丽江城里面被拆掉的幕府的那个一个常熟龙那时差不多形式的东西他们那个就是丽江就把周围几个司因为丽江原来说是周围有南东西南北四个大四把把那些司法也都不保存不了后来就把那些房子和孩子都都拆了以后一部分都放在那个黑龙潭公园里面了哎呦这个这个是差个扇门的那个自拆一个什么场景楼啊反正就都都就把它都放在那里了
[55:13.150,55:50.230,1]  呵呵哎我觉得我们今天这个其实说营造学社在云南的考察呀大部分其实都是讲的刘铮先生的事情我们是不是也应该把这个刘敦先生的这个升平啊他的贡献啊再稍微跟大家解释一下呀介绍对对对对这个对刘刘敦桢先生的他实际上是在这个建筑史上面其实跟梁思成可以毫不夸张的说跟梁思成是齐名的就是刘敦桢梁思成因为他们当初在这个营造学社的时候也是各负一摊就是两个人是这个一个是法师部主任一个是这个
[55:50.570,56:24.210,1]  呃文献部主任吧对吧那么留留真正现在的年纪呢略这个就是长鱼这个梁思成先生几岁他呢是这个是留日的一个学生在这个日本的这个叫东京高等工业学校就现在东京工业大学学的建筑呃他二一年就毕业了梁思成先生好像是到二七年才毕业对吧就可以看出这个刘先生给这个梁先生还是年长了一些而且量那个刘先生是这个当时中央大街他进学校之前就已经是中央大学建筑系的创办者
[56:24.830,56:26.880,1]  在建筑系当当教授了已经
[56:28.230,56:39.190,1]  所以我觉得当时刘先生能放弃这个中央大学的价值能够毅然决然的加入到营造学社这么一个民间团体这么一个私人的一个研究
[56:39.380,56:53.510,1]  机构我觉得这个刘先生坚持这个研究古建筑的这个信念是真是分不开的对他特别他的这个他的一个履历是基本上就是说我觉得因为刘先生本身他是哪儿人呢他是湖南人
[56:54.660,57:12.140,1]  他是湖南人所以他他日本留学回来以后他曾经有一段时间是担任了湖南大学的这个土木系的一个老师完了后来呢就是那个中央大学那时候成立建筑系加20就是二七年以后2000以后南京政府才开始成立
[57:12.140,57:47.230,1]  组织中山大学后来就到了这个南京就是南京中山大学当地建筑系的副教授后来呢在三零年呢就是因为受到出钱的邀请后来呢认证先生就北上后来就参加了这个中国引导学生后来一直在中国营造学社一直到李庄时间也在后来一直到了1943年1943年后来他的这个原来那个学校就是中山大学就是在重庆的时候要招人重庆重庆然后呢他就去单人的中央大学在这个重庆的这个建筑系的这个系主任后来呢重庆中山大学后来
[57:47.580,57:57.980,1]  解放以后就是现在的这个南京工业大南京工业学院就是较难南宫就现在的东南大学等于啊后来他一直是在这个南京任教
[57:58.090,58:2.300,1]  一直灶台那个呃在文科期间去世他都在从事这个
[58:3.380,58:17.230,1]  这个对刘先生的这个工具也是相当了得因为尤其像比如我们那时候在在这个学校念书的时候那个读的这个中国建筑史这个教科书就是那个刘德珍先生那时候领衔主编的一
[58:19.180,58:23.070,0]  而且刘先生的这个儿子也也
[58:23.070,58:24.710,1]  对对对对
[58:24.830,58:28.840,0]  这个还挺难得的建筑是现实是这样
[58:28.840,58:37.160,1]  所以说这个反正也是这个非很多这个东西其实呃有刘先生很大的这个功劳在里面
[58:37.780,59:37.780,1]  哎我觉得我们今天时间差不多了因为也都这么长时间我们不妨这个把下一批也给大家介绍一下我觉得因为内容还挺多的嘛下一期我觉得就是说嗯今今天我们主要讲的是营造学社在云南的考察下期呢就是要讲这个营造学社在四川的一个考察但有一点要和大家说明就是当时呢呃营造学社地点呢还在昆明而且呃梁林他们家的那个房子刚在那个龙头扣盖好了然后但是梁思成呢他身体恢复了就是又能够这个外出考察了所以呢呃营造学士四川考察呢有这个梁先生和您这个刘珍珍先生了解签证他们是他们一起这个这个这个这个行动的所以他们大概考察前后考察了四个月对一起行动但是有有的时候都是兵分两路的就有一路这边一路那边所以这次考察是相当重要而且也可以说这
[59:37.781,59:59.460,1]  自考是而且这次考察是营造学社作为一个学术机构调查中国古建筑的最后一次考察也等于就是是决绝想所以这个这个这个非常令人唏嘘而且这个这些事情呢我们在这个下一期的节目呢跟咱们这个厅有一期再来分享好不好
[59:59.640,60:16.070,0]  那么这一期的地下关注到此结束感谢收听也希望大家喜欢我们的节目从周四上线推荐大家使用泛用型播客客户端订阅收听在地下关点com可以找到于每期节目内容有关的链接
[60:16.380,60:43.150,0]  空大家您也可以在微信和新浪微博关注一下观非常欢迎您各种形式给我们提出意见和反馈如果您喜欢发邮件我们的邮箱是地下关爱ipn.y同时也欢迎收听idm波克网络旗下的其他点IP公路为制造国物质内核恐慌差一来了流行通讯还sorry映像泗阳选美容下证件
