[0:0.220,0:4.595,1]  欢迎收听并下关今天势必霞光的第16期大家伙事业编
[31:14.050,31:17.400,1]  呃就是就完全北齐时期的坦有有四个浮雕
[31:17.510,31:19.610,1]  嗯所以也很也很有意思
[31:19.940,31:20.730,1]  就这个弹
[31:20.730,31:42.880,0]  你这个对所以我们看一下这塔当然了我们刚刚才夜间主要谈的是这个卡的一个大概的一个一个行这个形制了如果我们再看一下这塔的细节其实有些细节还挺挺有意思的就比如说我们看地下面一层那个就是密檐下的那个塔生吧他是12边形的然后他除了开四个券门以外他其他美编它都有一个
[31:43.020,31:47.030,0]  浮雕了一个方形的一个就是单层塔
[31:48.340,32:6.690,0]  这种卡的形式其实我们现在能看到的一些食物就是以前我们在北齐那个那些介绍过的那个就是在安阳灵泉寺的那些会升塔吗但是那些贵宾卡其实他的这个行就是说嗯当然最早的形象我们云岗石窟就能看到了但是担心到时候那个比较矮吗
[32:7.940,32:20.740,0]  一个单词的像这个中介斯塔的这种龟申卡的这种形式其实也就是大概在北齐可能到到北区晚期一直倒水一直到塘出这么一个阶段当时这种卡是比较流行的
[32:21.080,32:25.460,1]  所以其实也有人说那个也有人认为作业斯塔市北区
[32:26.600,32:39.000,0]  哎对呀其实还有一个有细节的是什么就是我们看到没有它就是12边他每天都有备注吗备注上的他的那个柱子的柱式的形式它是一个顶着一个一个妇联加上一个宝珠吗
[32:39.820,33:8.205,0]  其实这个我们能看到其实只是在在中国的建筑实际上只是在非常短的一段时间也就是在大概北齐的那个时候我们看到在响堂山石窟啦在现在的这个高端运动啊看到有这样的这个雕刻以后就就就就没有这样了大概也就前后二三十年的这个这个才出现的这么一种建筑形式所以插个题外话这个我们这次不是到印度去考察吗然后那个那个建筑史家这个
[33:8.205,33:11.920,0]  钟小青老师还拜托我们看看印度石窟里能不能
[33:12.250,33:18.240,0]  W能发现这个类似的这个这个这个建筑形式因为这个
[33:18.350,33:21.630,0]  这个很多印度导致词库前面也立柱吗
[33:22.070,33:28.190,0]  有相论什么的看看有没有类似这样的这个这个形象呢其实我们注意了还真是没有看到
[33:29.430,33:33.100,0]  然后他那个你们说辉生产的底下是两个狮子是吧
[33:34.320,33:35.690,0]  刚传进来的
[33:37.840,33:40.920,0]  就是那个灰升塔底下有两个那种
[33:41.300,33:44.410,0]  是看B开始的然后里边有两个动物
[33:45.040,33:46.780,1]  一般都是有两只是但是
[33:46.780,33:53.020,0]  他师资不对着不像那个雪域师资是对着它是一个侧着一个政治一个测试一个政治
[33:53.720,33:54.770,0]  就不对称
[33:55.770,33:57.430,0]  呃也有对策能
[33:58.920,34:33.580,0]  所以我们回过头来再来看这个所谓的这个峰乐寺塔的这个时代争议我在想啊当然了就是说觉得送给他不到北朝的有这么个观点认为他在北朝找不到这个parallel的例子那他在唐朝也找不到他red的例子呀对他开元是在而且现在我们开元时代留下来的建筑遗迹还多应该我们有更大的这个商铺能够证明就是说如果他是建在开源的时候应该在唐朝有更更大可能性能找到相似的例子但没有谁给我解释解释这个先造了流线型塔为什么又燥死人胸卡
[34:33.850,34:34.730,1]  好到了
[34:35.020,34:37.430,0]  但是四边形的不是特别容易倒吗
[34:37.620,34:38.920,0]  那怎么会容易倒呢
[34:39.310,34:43.360,0]  此类型都是单纯的呀就是说在那个打印台词
[34:43.360,34:44.560,1]  有有有
[34:44.560,34:51.990,0]  小雁塔都不是单层的大部分都倒了因为它不抗风吗这流线型的那个风比较比较抗风的节奏
[34:51.990,34:58.690,1]  中国人什么时候追求过这个建筑的耐久啊就是追求容易好多地方啊我觉得
[34:58.690,35:4.130,0]  从原来不是说是唐代从四边形遍八遍行主要是为了抗风吗
[35:4.690,35:45.290,0]  有一定的这个结构上的道理因为但是比较永宁寺塔那都是那不是躺在那唐代更早的那些楼阁式塔布那有的人不是还认为中国它分两种一种是楼阁是一种是什么密檐式对吧咱楼阁式塔呢一开始从四边形等于房子搭起来怎么不要冲去云岗石窟什么都能看出这个例子对完了灭失卡这个呢呃就是他一边说的可能是不是那密檐就是从那个相论那个地方来完了就这样就完了呢那个呢倒是有语文完了往往往里剪就是游园的变成十六边形12边形八边形就能哎其实后来的晚期的密檐塔不就八边形
[35:46.270,35:51.330,0]  像那个但是其实其实我觉得还应该再补充一点啊就是
[35:51.610,36:3.570,0]  我觉得这件事他怎么说都是一个孤立因为你不能就说这个因为有松叶斯坦你就觉得北朝的那个卡是多边形的其实我觉得当时的主流还是应该是四边形的因为
[36:3.710,36:11.770,0]  自自编形的卡就是方形塔一直在唐唐朝还是朱德底下坏的这个他这第二层的这些塔哈都是四边形
[36:14.030,36:27.280,0]  对呀但是其实挺有意思就讲到这个卡的这个形状嘛其实在松山啊还有一座非常有意思他知道的人不多但是这个文物爱好者应该都比较清楚就是
[36:27.370,36:33.410,0]  就有唐朝的一个单程塔叫净藏禅师塔他是一个多边形塔那个塔因为是在一个
[36:33.410,36:37.450,1]  哎那个是不是在经理呃没没办法看对
[36:37.450,36:39.590,0]  不太好看但是也能反正
[36:39.710,36:42.270,0]  混进去看有可能被人骂出来是吗
[36:42.780,36:44.170,0]  对那是个多边形的
[36:45.240,36:48.790,1]  呃你们会进去了难道我说我们就那个
[36:48.840,36:50.980,0]  就是我没敢过去那个是吗
[36:55.400,36:58.280,0]  不是不是这个差额就是那个房寺
[36:59.100,37:2.060,1]  不是那种太内都可以去
[37:2.480,37:8.320,0]  那个那个想查不清楚记录这个翻一个悬崖这个超人胆子稍微小点
[37:8.990,37:12.140,0]  对我恐高症太太太悬了我觉得
[37:12.570,37:15.430,0]  我因为我远远的看见了我觉得够了就是
[37:15.970,37:17.320,1]  呵呵
[37:19.190,37:21.800,0]  那我不记得咱们去看军营里那个
[37:22.090,37:27.430,0]  印象不深了就没去没有对对那这次煤气是我们以前去的对
[37:27.920,37:32.975,1]  好啊那你们接着往下这个从越过越过北朝的塔
[37:32.975,37:35.430,1]  还有什么该到唐代了是吧
[37:35.430,37:47.380,0]  对就是旁边还有一个就是说在嵩山还有很重要的一致就是那个嵩阳书院里不有一块大的那个开源的一块大的这个松阳什么背吗那个呗也是比较气势非凡啊
[37:48.690,37:49.990,0]  哎要不你没去过吗
[37:49.990,37:58.280,1]  没去过我没没去过那边儿我其实我去中山都是每次都是那种陪着旅游团之类的那种区别
[37:58.280,38:2.510,0]  咱们咱们是早上去底下看了一个照相呗是吧去
[38:5.010,38:8.470,0]  流杯的是留黑色的那个对对对对
[38:8.920,38:10.900,1]  哦那是在那个村流水是吧
[38:10.900,38:17.610,0]  对刘绯色是个北齐的一块打呗然后当年营造学社刘敦桢先生去考察过
[38:17.940,38:19.500,0]  这个还是挺壮观的
[38:20.090,38:21.340,0]  尺度非常大
[38:22.460,38:33.550,0]  就是保存的不太好还有一个比较遗憾就是说它上面有些照相都是后就是晚期可能到宋金时期又重新抠了一做过所以有一点儿是是而非的感觉了已经
[38:33.750,38:36.620,1]  对留V字的呗也是唐代的是吗
[38:37.100,38:38.320,0]  呃北齐的
[38:38.320,38:40.600,1]  我北齐的还是哦对对对
[38:41.010,38:48.200,0]  嗯附近那个磨牙好像是唐代的就是那个什么武则天什么敌对摩崖是这个五那个武则天时期的
[38:48.200,38:51.730,1]  嗯哦不你说那个磨牙是那个十岁算是吧
[38:51.730,38:54.880,0]  其实其实我们找半天没找着可能都已经被破坏
[38:55.520,39:10.410,0]  因为那个地方环境现在其实挺遗憾的因为从文献上我们知道这个是从那边是流水潺潺然后是个避暑胜地啊有山有水的现在那就是一个巨大的工业区这个到处都是烟囱然后这个
[39:10.410,39:15.250,1]  工厂店地铁挨着这个石头的和有一个古代工厂对
[39:15.250,39:16.730,0]  对啊就特别大的工厂
[39:16.730,39:24.130,1]  嗯不过那个地方看起来是很很有道理的就是说它离那个高层的观音台
[39:24.130,39:31.640,1]  就是正泰特别近所以很可能就是那边去什么风扇做了一些各种仪式活动之后就跑下来两块两块
[39:33.650,39:45.550,0]  对呀对呀好像我不知道我印象有没有做好像说十层的摩崖上还有那个武则天特别喜欢那张是这两个兄弟的这个这个施什么的这个不知道是八卦还是
[39:45.550,39:49.210,1]  嗯就是那个硬质师是吧一共说有十几首吧好像我记得
[39:49.210,39:53.970,0]  啊对呀所以我觉得大家有有心人不妨再去这个探访探访
[39:55.610,39:58.855,1]  其实说起这个我觉得松山这个
[39:58.855,40:5.220,1]  整个可以跟跟武则天关系特别大就是是他在他的影响之下这个中越的地位才
[40:5.520,40:7.690,1]  才才一跃而起的
[40:8.930,40:14.230,1]  嗯而且他那个其实我我不知道你们有没有呃注意哈其实在
[40:14.350,40:22.050,1]  这个这个嵩山到洛阳这条路上还有一个比较重要的点其实很有关系的
[40:22.570,40:30.260,1]  就是在中山之外了就是你从你现在大家现在一般去嵩山是走那个南部吗就从东丰县城里上去
[40:30.450,40:34.440,1]  从南边进去的但是以前他们从洛阳去可不是这么走的
[40:35.190,40:46.270,1]  他以前他们走是从演示那边过来的然后走这个呃就是少是跟态势中间的有一个有一个有一条路那个那是而且是当时洛阳的一个重要的关口叫玄关
[40:47.870,40:53.490,1]  嗯那个光线可能分程度还在当年那个黄奕防盗什么嵩洛访碑
[40:53.700,40:57.980,1]  就也也到过那个地方然后他再往西就是就就
[40:58.110,41:2.540,1]  往洛阳方向去的话那个你们肯定应该知道就是有一个有一个
[41:2.770,41:7.570,1]  不是不是有一个嗯也是一个国宝是那个叫升仙太子碑
[41:7.570,41:10.535,0]  太子妃啊偃师的就是工龄吗
[41:10.535,41:18.990,1]  不是不是alley是当年武则天就是来从洛阳去中山的时候在那停留那有一个删掉高山
[41:19.230,41:23.750,1]  就是都是的勾勾是是是那个玄奘的出生地啊
[41:23.760,41:25.950,1]  那就是坊旁边就是玄奘故里
[41:26.080,41:28.880,1]  虽然咱们物理南边有一个小山叫沟山
[41:29.080,41:35.780,1]  然后当时那上面有一个有一个生鲜生鲜工还是什么时间段一个道观中间罐然后那个
[41:35.780,41:38.800,1]  就是我昨天到嵩山来风扇的时候是
[41:38.800,41:47.210,1]  钱一晚上没住在那儿停着的然后下面再有大概几十里路就到工商就是等于钱还有一天的路程的那个那那么一个地方
[41:47.500,41:51.400,1]  然后他停在那儿然后那个武则天就在给这个生鲜观
[41:51.850,41:56.560,1]  就是提了个每一个一个大杯是行书的呗那呗现在还在
[41:56.560,41:57.690,0]  那个很有名的一块
[41:57.690,41:58.590,1]  明天孩子呗
[41:58.810,42:0.970,1]  对对对对那个是也是国贸
[42:1.980,42:12.560,0]  OK我这个还真得谢谢页边因为我我因为这个以前也是不求甚解啊这个我以为升仙太子微视和那个那个龚琳娜藏的那个那个那个那个
[42:12.560,42:22.000,1]  那个钱有关系呢对对对OK所以这个其实这个就是能看出一个路线的关系吧就是那时候从去去嵩山这么走
[42:22.350,42:29.800,1]  嗯他从从这个从这个高山再往再往西再往东然后就走一段那个叫18盘的那个山路
[42:30.020,42:31.520,1]  然后就上玄关
[42:31.560,42:33.050,1]  学完了就就
[42:33.050,42:35.620,1]  宣威过来上山就到手了
[42:38.000,42:47.800,0]  因为这个的确武则天因为跟他的这个政治意图有关系吗所以他就不去封这个泰山他去封这个松山他就跟他的这个
[42:47.830,42:54.520,0]  所谓的他以后要登记做皇帝啊或者这些东西反正其实跟政治很有关系的一样
[42:55.220,43:0.360,0]  我就记得那个现在是不是河南省博物院大修呢大概看不了了
[43:0.950,43:5.210,0]  就是那个我就记得那里边有那个武则天那精简是不是在那儿
[43:6.630,43:15.720,0]  对的是的SF8882年一个那个放羊的人从山涧里怎么不知道怎么减出来了
[43:16.360,43:17.740,1]  就是同学嘛是吧
[43:17.740,43:32.190,0]  不是喉咙不是头罗不是头不是是不是就是武则天登封泰登封嵩山然后就是疯玩了以后他就把yeso
[43:33.880,43:37.950,0]  丫头龙头往水里放好像是人好像也有往山里饭馆
[43:37.990,43:42.290,0]  有啊如果是我家里反正都要投当时反正就上交国家了
[43:42.290,43:44.800,1]  哦等于是就是被放羊的给点着了是吗
[43:44.800,43:47.680,0]  你想1000多年没人把这东西抠
[43:47.680,43:48.510,1]  对啊
[43:49.110,44:11.200,0]  就是这样一兆就是祥瑞对呀所以现在我们他松山区能看到所有的这个实物的证明投这个当时这个头龙呃这个减精简是是一个吗另外就是武则天封就是封登封完了以后他还要占地吗他上哪儿那个大飞现在还那个拉倒了埋地里了对吧
[44:12.460,44:14.850,0]  对现在我们去看的时候在地里不知道现在
[44:14.850,44:16.000,1]  倒在地上应该
[44:16.000,44:17.630,0]  我怎么记得是没了
[44:18.070,44:20.190,0]  就是咱们去打地上了
[44:20.680,44:22.510,0]  就这个印象可深
[44:23.740,44:27.560,0]  对我还有一张照片儿这个古村站在那个背上
[44:27.770,44:29.700,0]  回头看着讷
[44:29.910,44:38.920,0]  但但是就是说挺有意思反正就是因为武则天吗松山的地位给拔那么高但是武则天以后呢这个因为
[44:39.120,44:47.870,0]  所谓风扇房地风扇的以前都是分开山然后武则天封了嵩山但是武则天以后呢这个以后的皇帝在风扇的话又分为泰山去
[44:49.180,44:56.620,1]  还有一个他作为一个女性的地方所以他那个选择了这个中越嘛是吧好像有有一定的道理和联系
[44:58.310,45:1.190,0]  就是那块那块精简就是讲的这个对吧
[45:2.100,45:13.470,0]  就是他那年好像是在公元690几年就他去峰峰松山然后什么钱还改了然后就东风所以就叫这地名吗我记得登封御
[45:13.470,45:15.145,0]  万岁登封是不是
[45:15.145,45:17.290,0]  对所以原来叫松阳县
[45:17.920,45:22.820,1]  登封跟造成都是听这个不是好友关系对
[45:23.310,45:25.700,1]  呃阳城县改的那个高层
[45:25.700,45:30.990,0]  对一个叫登封到登封完了以后成就是完成了叫什么就这俩
[45:33.910,45:39.180,0]  那我们在随着时间的这个这个推一我们在往宋代
[45:39.390,45:57.560,0]  对呀宋代因为这里面其实呃天下有句俗话叫天下名名山曾占多其实这个其实这个布景的这个和尚愿意抢这个名山其实这个倒是也抢的名称讲到宋代的话其实就是报警
[45:58.970,46:2.410,0]  很重要的一个位置因为这个宋代的这个皇帝
[46:2.450,46:6.050,0]  基本上都比较重新造假尤其后来到那个宋徽宗的时候
[46:6.350,46:9.720,0]  在那个嵩山不盖了一个很大的一个道观叫那个
[46:10.910,46:26.695,0]  重复工对吧从非常大那个你只现在还能看见完了那个30年代那时候那个刘珍珍先生他们去的时候还能看见那个有一个大的一个流杯亭的一个曲水流殇的一个一个一个实时的机制就是我想
[46:26.695,46:32.850,0]  这个可能是这不应该说最早吧反正这个这个我觉得故宫那个就完全跟那个是是模仿
[46:33.850,46:35.560,0]  就特别小对
[46:35.680,46:38.200,0]  咱这个东西咱们是不是看着妹妹
[46:38.200,46:40.390,1]  留微信是吧刘备行到处都是
[46:40.390,46:45.460,0]  那个就那个就跟那到时候是基本都是明呃这个就清朝那时候全都弄的
[46:45.530,46:46.490,1]  晚了
[46:46.490,46:49.870,0]  他那个是完全那个那个那个就那个样子就是那个
[46:50.000,47:16.500,0]  布置的那个那个那个取件是一模一样的证券故宫但是ad啊因为在营造法式里就有这个流杯亭的这个这个图一样不一样所以那个是不是重复工呃就是你刚说的那个是咱们的维修装修一新的原来住处desliang文革的时候呗
[47:18.770,47:21.720,0]  我会我们去看一大坑就是
[47:23.430,47:32.940,0]  我记得咱们当时一行五人唏嘘不已对呀是啊而且把那大的那个最我知道我不知道现在住宿到底是怎么样那时候告诉
[47:32.940,47:42.970,0]  咱们那个文宝局长那局长说是什么展示放贷完了还准备怎么着那跟垃圾跟那建筑垃圾放在一起说不定被人偷了或者怎么着的都有可能
[47:44.510,47:51.750,0]  反正打那个注册咱们就咱们五个人能围一圈那个页面就跟打你看过那个男生拍照那住宿吗
[47:51.880,47:53.320,1]  嗯那杭州的那个
[47:53.320,47:55.240,0]  对对对就跟那个有一拼
[47:55.240,48:4.180,1]  嗯看过对就是那有一片嘴唇喔我没看到过哎那你刚才不是说重复中有一个塘背吗那就是他其实不是宋徽宗始建
[48:4.300,48:10.200,0]  不是重复没有塘背啊唐飞在那个那个输液室弘扬书院书院书院
[48:10.670,48:13.980,1]  哦哦哦搞错啦搞错但是你们提交电子版与
[48:13.980,48:16.390,0]  总共是那个是是宋代那个
[48:16.980,48:18.220,1]  送的时间是到
[48:18.220,48:20.840,0]  就是那个宋徽宗那时候不重庆道教吗
[48:22.440,48:24.670,0]  所以那时候就说初中时候吧
[48:25.510,48:27.600,0]  涵盖了很多的这个道观
[48:28.820,48:30.880,0]  所以那那段时间呢就是
[48:31.830,48:33.290,0]  道教占了优势
[48:33.480,48:36.690,1]  那个唐代不是也是重庆招标唐代没有盖
[48:36.690,48:43.960,0]  武则天时期没有对我昨天武则天不是还搞什么大云经啊什么的天下都建议做大圆月大于40人
[48:44.770,48:52.660,1]  武则天因为唐代帝王姓李吗所以他心里干老子也姓李吗对奉老子为主西药
[48:53.450,49:9.980,0]  对呀所以唐代的在中山的建筑一一致我们看到就是基本上就是那个法王寺呀永泰寺那几个那个颜卡还有一个就是开那松阳那个苏苑里的那个大的那个开源的一块巨大的一个呗而且我都印象里都没见过比这个还要大的唐呗
[49:9.980,49:11.300,0]  特别特别了不起
[49:12.490,49:19.790,1]  黄色的那个还有很多小的那个就是木塔也不知道他是自己做的
[49:19.790,49:22.090,0]  那个就是超人没有改过的地方
[49:22.970,49:24.160,1]  噢那
[49:24.160,49:26.780,0]  哎很遗憾的叫法王设备重建的乱七八糟
[49:31.190,49:39.620,1]  说起来说实话啊整个这个中山地区是从旅游体验上并不是特别好对不对因为太多游客
[49:40.060,49:47.030,0]  这个呢其实这个我都不同意我觉得有可能都集中在上048是吧主要是少林寺
[49:47.670,49:52.710,1]  那其他量不多嘛因为我去过好多年没去过不知道呃其实就是其他地方还
[49:52.710,50:8.110,0]  还好还好因为我觉得如果你只是去就真的是去看文物古迹的话呢大部分地方人还不是特别多比如说乐思呀都没什么人但是三区现在因为还没怎么开放就说看不了但是其他几个塔呀
[50:8.180,50:10.720,1]  可是你要是去看初祖庵肯定也是人生
[50:10.720,50:13.620,0]  嗯出走沙漠安本身没什么人
[50:13.650,50:18.320,0]  嗯嗯但是少林寺观感体验特别的差
[50:19.300,50:25.220,1]  对对还有那个二组安逸我记得是不是也在这个上一次这个范围
[50:25.220,50:29.010,0]  就是现在出岸附近吧应该是抽完再往再往山里走
[50:30.000,50:30.930,1]  对对
[50:31.610,50:33.510,0]  出去玩可是个了不起的建筑啊
[50:33.510,50:38.430,0]  是不应该这么说就出主啊应该是整个这个河南地区
[50:38.490,50:39.530,0]  最重要的一个
[50:41.250,50:42.415,1]  目前做点
[50:42.415,50:45.480,0]  是最重要啊但呃年纪的话
[50:46.840,50:48.910,1]  嗯应该是吧应该是
[50:50.320,50:53.230,0]  因为整个河南还是起坐北宋街比方说
[50:53.490,50:57.100,0]  说是风穴自身该有当然有人说是金寨人
[50:58.840,51:0.740,1]  但这个对嗯
[51:0.740,51:1.755,0]  现在出租按提取
[51:1.755,51:4.700,1]  分别是在汝州好像是叫什么
[51:6.630,51:7.910,1]  现在还在泸州
[51:8.010,51:10.190,1]  哎呀我最近才看了一天那个
[51:10.190,51:14.650,1]  这个GQ中文版和文章我操对煮粥有全新的概念
[51:15.160,51:23.000,1]  嗯我这就有点儿太远了就是泸州出一个打电子游戏打得最好的时候吃的冠军这么牛
[51:23.400,51:26.620,1]  嗯对那个地儿反正是一个神话般的人物
[51:26.620,51:36.350,0]  那个地儿反正不打电子游戏也没什么东西他那个再回来就讲那个这个出团因为住宅大家去玩少林寺的时候很容易这个
[51:38.520,51:43.060,0]  对因为他在少林寺不是说一点儿边还边挺多的一个地
[51:44.910,51:47.660,0]  应该是西边吧西边的一个删删
[51:48.920,51:53.890,0]  那么他之所以这个他注册这个值得一提的地方因为他是一个本
[51:59.000,51:59.990,0]  非常像
[52:0.560,52:17.280,0]  而且就是出租按着这个木木结构还有一些建筑的一些细节吧都还挺原汁原味的就就是保保持了北宋就是当时这个一些小型的这么一个这个建筑的这么一个基本的一个特点所以嗯观赏性还是比较强的
[52:17.730,52:29.970,0]  比如说我我印象比较深刻的是出租按照这个时购比如说他的延住吧全是拿青石做的里面的这个精铸也是拿两根精铸雕刻特别精美也是轻食粽
[52:31.030,52:34.830,1]  标的那个是什么天王还是什么是吧
[52:34.890,52:38.800,0]  还有就是那个那那个周围那个墙下面那个砖雕
[52:38.910,52:43.620,1]  啊对什么什么什么呃罗汉寺es
[52:43.620,52:48.210,0]  而且非常的这个我觉得也是非常生动而且还有一定的夸张性在里头
[52:48.210,52:48.680,1]  对
[52:48.680,52:52.090,0]  在保存的就是很难能可贵保存的特别完整
[52:52.960,52:56.990,0]  这些基本上那个而且基本上跟30年那种照片对比
[53:0.440,53:4.460,0]  所以这车主安的确是这个在在这个古建筑来讲是非常重要的
[53:9.900,53:16.250,0]  北宋时期的因为咱们以前讲过这个咱们上一节讲的南宋那个就是江南地区的这个北宋时期的
[53:17.490,53:20.180,0]  其实我觉得出团根宝和四
[53:20.300,53:22.410,0]  对于宋代建筑就是南北双壁
[53:22.610,53:25.465,0]  估计这期节目做完之后这个地儿也就
[53:25.465,53:33.590,0]  没那么清静呵呵哎哎不过你要讲到这个其实少林寺也是很值得一游的这个虽然他那个
[53:34.330,53:40.660,0]  寺庙本身好多东西都是这个民国被烧掉以后重建的对吧但那个塔陵可是还是很
[53:42.610,53:48.860,0]  因为由其他有几个塔其实还是有点这个标志以及那个也是那个方的像
[53:52.100,54:5.850,0]  我这我反正印象你说那些印象不是我印象最深就是那个速记阐释塔你说的薪资卡了上面什么什么电脑啊什么飞机啊汽车电脑飞机高铁
[54:5.850,54:12.770,1]  坐席还当年是主要挺有名的一个五升的就是属于备份很高的是那个是那个谁的那个
[54:12.770,54:15.590,0]  是吧是那个释永信的是吗
[54:15.590,54:16.400,1]  进不去啊
[54:16.810,54:19.420,1]  应该是他当年是当过方正的好像
[54:19.940,54:38.040,0]  就是讲讲到这个Sally里面我还看见你那个超人你还记得吗就是那个有一个那个大的那个食量还是柱子什么放在那就是因为其实少林寺嗯被毁以前其实好多房子也都是从老照片看都是元代的
[54:44.720,54:46.910,0]  但现在盖那房子都比以前要
[54:52.010,54:59.620,1]  所以其实这个中山地区的古建筑是非常多的哈其实那个密度其实在河南也是罕见的我觉得我觉得挺
[54:59.620,55:1.250,0]  全国也是独一无二的呀
[55:1.780,55:2.830,1]  啊真的吗
[55:2.830,55:8.410,0]  对呀其实页面你想想看隐藏着这个时代的跨度
[55:8.450,55:9.900,0]  类型的多样
[55:10.150,55:16.540,0]  然后这个呃密度数量我都想象不到哪儿还能在和风山比
[55:16.540,55:17.840,1]  山西啊山西天
[55:17.840,55:29.780,0]  但是山西就山西大的大山西的古建之乡但是就就这么方圆这么几十公里的范围内能有那么多的这个不是red高明比不聊了
[55:30.280,55:40.550,0]  对呀有有那么多的唐塔还有北这个这么多的中国南波万的这个主建筑我觉得松山真是这个南部玩呵呵
[55:41.580,55:44.300,1]  特别是得起哦这么说还真是
[55:44.300,55:53.290,0]  那个其实元旦还有测测甬台元旦元旦还有那个就是那个在那个进站尽量谈卡边上有一个那个叫
[55:53.420,55:56.310,0]  开善寺八扇灰色深灰色大店
[55:56.410,56:4.510,1]  呃对会员智慧单词湖山寺也是在那个算是他的这个事宜里面的一个一个单位的对
[56:4.510,56:6.070,0]  所以元代一个
[56:6.070,56:11.200,1]  这个永泰寺反倒不是永泰是法王寺跟会善寺对对对
[56:11.580,56:15.990,0]  那个会上他那个大电视一个这个就是也算是比较
[56:19.290,56:20.690,0]  呃西山的
[56:21.090,56:22.600,0]  好像是五间呢还是
[56:22.780,56:26.490,1]  这这些也是你们去的时候也是还还好是吧不是很热闹
[56:26.490,56:33.300,0]  这个都不不是属于那种特别热那种哦我觉得唯一看着游客就汉阙吧
[56:33.760,56:37.620,0]  因为要爬山吗他都是盘那个泰山的人
[56:38.290,56:46.470,0]  嗯然后另外一个就是在那个就是那个什么松岳庙那个门口儿那个学院是游客比较多
[56:47.510,56:49.890,1]  中岳庙人很多的这样
[56:49.890,56:54.550,0]  对中间庙人很多就别别其实页面你知不知道登封还有南岳庙
[56:55.580,56:58.720,1]  金地您如果但是我没去过
[56:58.900,57:1.250,0]  在那个南面那个叫什么镇
[57:2.260,57:3.760,0]  金店镇TS
[57:4.700,57:6.570,0]  那打金店镇好像是
[57:6.860,57:22.980,0]  那个就是哎所以说那个经代人也要把自己变成一个这个天下之中嘛其实那一想这个真的南岳在南宋这边呢那怎么办呢那我们就在这个松山南边大概没多少路的地方介意南岳庙完了这样的话
[57:23.510,57:25.280,0]  北边的一个是转拳了呢
[57:27.310,57:35.520,0]  对因为五月有四月这个好像唉哗哗山是在SF归归南
[57:37.300,57:44.740,0]  OK反正那个就是建了个南岳挺逗的那个防晒呃号称是金代的建筑反正也还有点那么个意思
[57:46.540,57:47.810,0]  就是规模不大
[57:51.610,57:55.940,0]  还那个我们确实还放着这个马列思茅四大导师的像
[57:56.860,57:58.020,0]  是个学校
[57:59.480,58:6.520,0]  其实我我不知道我其实还想其其实还挺想说说这个周公啊去测那个侧影就是关心台
[58:6.570,58:10.680,0]  这个其实挺有意思的就因为这个元旦的那个郭守敬有关
[58:13.020,58:16.660,0]  天文学家他那时候好像其实全国盖了这样的
[58:16.790,58:21.540,0]  关于那个关心才盖了不止一个就是好多盖了一系列嘛完了他为了
[58:21.630,58:24.840,0]  边那个日那个大他那个那时候的利用
[58:25.410,58:27.670,0]  但这个是保存下来比较好
[58:28.160,58:39.220,0]  这个也算是就是说在这个在这个因为在这个松山就是说他这个还很有意思的一个是就是他的这个古建筑的类型时间的跨度这方面都是属于
[58:43.160,58:46.820,0]  对那当时还说那个古观象台没有那个
[58:51.170,58:57.470,0]  圭表然后后来我前一段时间去那个建国门古观象台在院里有一个小的贵表
[58:57.640,59:0.700,0]  啊就你这就北京的那个是吧对对对
[59:1.650,59:15.740,0]  因为这个天文这个东西在中国古代是非常重要的一个因为它这个国家就干这个事儿吗瘦石吗不受时他因为这君权神授他要跟这个跟这个黄泉联系在一起重要的一个
[59:16.260,59:25.150,0]  我记得是那个那个朱红武当的那个管理以后把天碟这个多少个这个知天文的人都都都捐到北京
[59:25.210,59:42.920,0]  完了问一遍就是考试合格的好像200个人就盯着那个青天借其他不合格的这些全都一律打包发送到这个天涯海角去流放因为它就是说不许这些名接人搞这些东西来祸乱这个舆论这个影响这个皇帝的权威
[59:43.000,59:43.580,1]  还有什么
[59:43.580,59:54.400,0]  晚期的呢那其实大家就只有中岳庙可以看看中页面呢其实和东岳庙就泰山那泰山脚下的东西面有一点像因为大部分建筑都是这个清代建筑
[59:54.520,59:57.040,0]  但是他有一个重要的就有一个赠送绝妙图
[59:59.400,60:14.490,0]  这个庙除非是北宋的对这是一个比较重要的一个就是说从历史文物来讲因为它化了因为国国内我现在想想有多少个妙途被阿姨屈指可数有这么几个一个就是那个坟茔后土祠的那个妙途对对吧
[60:15.450,60:17.340,0]  对的还有一个是
[60:18.470,60:19.580,0]  华山有个庙
[60:20.030,60:22.860,0]  如果早期能找到北宋的也就没有几块
[60:22.960,60:28.880,0]  那个那个你说那个呃就像你说那个庙图呗是是宋代的
[60:29.380,60:31.470,0]  北岳庙那是什么曲阳那个
[60:33.290,60:38.460,0]  北岳庙曲阳那个呀那个我印象不是应该到不了北宋吧
[60:39.880,60:51.270,0]  反正比较有名的就是那个冯英那个后土祠这个这个庙图呗和这个然后我们讲的这个嵩山中岳庙头呗应该都是都是北宋时代的因为这个真的是也可以说是双币
[60:51.670,60:58.360,0]  基本上把就是把北宋时代中岳庙还有这反应后土庙的这个整个这个建筑的平面也画得非常的细
[60:58.520,61:4.020,0]  基本上我们都能按照这个尿多倍的形式把它这个建筑都能复原出来大概什么样子
[61:4.050,61:7.890,1]  晚期的内容应该蛮多的是吧那个那个老师
