[0:0.310,0:5.270,1]  欢迎收听地下关今天势必下关的第九期大家好我是竹子
[36:24.220,36:45.410,0]  为了交流可能因为对对对无论他最少的这个婆罗门教这些婆罗门那些雅利安人是从这个北方过来的包括这个我们中国过去的肉之人因为我们讲到这个印度是不是现在地理政治地理意义上的印度共和国而是一个大印度的一个概念包括了今天的印度
[36:47.180,36:53.110,0]  巴基斯坦甚至阿富汗这个整个的一个范畴都包括在也是他们的运动
[36:53.110,36:56.850,1]  是东道东头孟加拉西大武汉就这意思
[36:56.850,37:1.490,0]  维维蛤蚧吧因为就是也所谓的印度人讲的印度斯坦的这个这个
[37:4.360,37:30.720,1]  所以再回过来我们在讲到这个早期时刻我们这里看到早期石窟的雕刻是比较这个少的就是说除了这个有些读卡就是佛塔雕刻以外就是它有一些基本上是比较很简单的而是佛像的但是还没有出现而博上出现就是健陀罗艺术就是说在箭头地区在北部地区西北部地区大兴了以后2324G30g40几直到14世纪50级才在南印度开始大量
[37:30.720,37:35.875,1]  打两流行所以这是我们看到为什么以后这个极多时代以后这个在
[37:35.875,37:49.170,1]  二单涂的新的开发就出现了那么多这个这个佛像的这个教课而且我们还看到这个即使在怕假在更合理这些早期的石窟在一些老的时空里我们就看到新开了照相对不对
[37:49.550,37:54.640,1]  就是很明显的很多倒像是以后在四五十级天天见偏早的
[37:55.580,38:0.440,0]  这里面就是说也要讲到一个就很有意思的一个就在那个就在那个
[38:1.620,38:19.700,0]  更合理的这个第九石窟咱们这个看见了这个唯一这次看见一次这个汉字的这个题迹在这个更这样这个也是其实也验证了一个这个印度后来到佛教到晚期跟这个海外的一些交流
[38:23.430,38:37.380,0]  讲的是这个呃南无妙法莲花经南无日脸谱散那么这个因为大家后来分析一下认为这可能是跟日本的这个日莲宗可能有一定的关联在里面那么日本的日莲宗大概可能也是在
[38:41.540,38:51.670,0]  那么我们可以假设那时候有日本的商旅远渡重洋跑到了这个印度的那个但那时候印度的佛教已经很示威了在那时候
[39:1.900,39:13.580,0]  这我觉得也是一个非常有意思的一个文化现象啊这是我们看到的因为我们其他那个那些早期的这个巴黎文什么我们也是看不懂啊这是我们唯一能看得懂的一段这个
[39:15.120,39:27.840,1]  对所以古城说到更合理吗我想多彻底去根合理是我们这次这次15天的印度之旅看得其实最后一最后一次说老实话这个因为看到最后吗人
[39:28.130,39:47.380,1]  大家都已经看了很多了有一些审美疲劳了而且嗯未满附近偏又非常炎热大概有30多度那个我们去那天大家都很疲劳但是我对我到了正课你现在人那么疲劳而且又有什么美的这些疲倦但是在更合理我觉得我还是非常享受的这个特别亲切
[39:47.480,39:56.890,1]  我觉得有几个原因一个就是更合理石窟的开凿的年代啊它跨度非常长他大概是从公元一世纪开始一直到大概公元十世纪左右
[39:57.470,40:6.950,1]  是是公园后的是17左右就公元一世纪到公元十世纪这么一个漫长的时代就是说它的这个因为开放时间长吗所以他的骨的
[40:7.020,40:41.165,1]  行至啊就是说变化比较多而且特别在很晚期的这些石窟我们看到了和中国更更接近的一些比赛融合像摩尔的这么一种感觉就你能更熟悉哎这种不行我在中国也看到了而且我们在更合理就是说在他的一些晚期时故里看到有很多大乘佛教的一些表示比如说有他有千佛的形象啊他有十一面观音啊他有更多的这个不算形象啊这都是这个在早期石窟你看不到的这么一个情况还有一个就像古城刚才说的我们居然还看到了汉字的这个脾气大概就是
[40:41.165,40:42.340,1]  扎拿模
[40:42.510,40:59.740,1]  电话电话进行把握这个日联大幅他这么一个就是看着特别亲切你不管是日本森任其的还是怎么样但是总总之来说就是我最尊重你的感觉特别好其实跟和你的那个地理环境我觉得也蛮像中国的其实我当时感觉有点像樱桃沟
[40:59.960,41:14.990,1]  哦是吧对真的我我当时不就是说只是说他可能更高一点但的确是是两扇就两边是山中间是一个那个你还能看到那个溪水因为每一个哭前面都有都有都要放一个蓄水池吗
[41:15.280,41:17.830,1]  所以其他试水一直跟着我们走的
[41:17.870,41:33.020,1]  如果想如果我们雨季去这个这个更合理的话肯定是溪水潺潺这个四周都是郁郁葱葱非常漂亮更有可能我们会再谈谈的水平的伴侣之下一路看过来而且他他总是变化的
[41:33.630,42:0.020,1]  对那是我见到唯一一个石窟前面全是就每一个石窟每一个石窟前面都有一个去吃它可是100多个石窟但是你知道吗这蓄水池其实是两用的就说他一种蓄水池其实你注意到没有一种蓄水池蓄水的就是饮用水吗他在山上它需要饮用水它还有一种蓄水池其实他是有还接下去其实洗澡真是传说中那个是传说中那个吗
[42:9.420,42:16.405,1]  呃这个不是这个他是一个单独的空间不是那个可以向那个流水那么串起来那种这个没有
[42:16.405,42:19.490,1]  不是除了樱桃沟以外数字你还记得吗其实我们
[42:19.560,42:40.540,1]  在前面几天比如说去奥兰加巴德去那些课石窟还有去这个怕石窟好像远远的看每天都是像孩子想唐山市的那个环境啊这个风景区和那个飞享堂的鼓山的特别像石窟就开在这个山腰里对不对但你知道每次到小塘山爬上去以后吧
[42:41.330,43:25.200,1]  就总有点悲凉因为老看不到河头哇然后让他印度盖着印度就不存在那个关系哎我们是不是可以到基多时期了因为确实我我这次终于对极多艺术产生直就是有的直接上的美的认识也给我最深刻的一个印象就是我在中国看石窟的时候呢我觉得我我这样说是不是很不幸啊啊这就是我总是觉得主尊不是那么漂亮总是有点呆板没有见到太多如果说给我主尊尚印象比较深刻还就是我们碗碗怂唐宋时期就四川的安岳的这个石窟但是在在印度的时候我觉得主尊总是
[43:26.090,43:53.360,1]  都很美这个工匠速率主尊的时候这个心里放不开压力大这很重要哈不是我觉得可能在苏大象的时候更不容易把握或者是对对对对就是此也许在ori很多画家的那个那个草稿都比他最后那个完成
[43:57.350,44:14.880,1]  那就是印度叫人更放得开了真的是集中艺术就给我最深刻就是总分一个一个都很漂亮一点都不逊就是很就是一样的就我不再说哎只是对着菩萨派来才去的只是觉得哎都很美这个给我印象
[44:14.930,44:17.040,1]  就是很强烈的一个一个
[44:17.450,44:22.640,1]  就看数据库感觉的一个反差这个当然这个
[44:22.910,44:51.300,1]  就现在这个我觉得除了你的这个观察也是很很很很对的因为想到吉多吗许多了在这个公园大公园40G50G的是事情他当然是结结合了印度以前的所有的这个艺术成就就让箭头罗呀曼陀罗呀马图拉呀然后它形成了这么一个基多风格然后可以看到他这个真的是呃非常非常也灿烂这次我们在这个特别就是粘坨
[44:51.440,44:54.230,1]  就看到了一系列这个代表许多艺术
[44:54.300,45:18.360,1]  成就最高峰的一些一些一些一些一些雕刻而且不光是雕刻啦看到了这个会话看到了这个建筑对吧都是有这个这个这个非常的这个豪华然后这个很绚烂就像你讲的这个组织的雕刻我觉得也很有意思他这个很生动而且这个这个这个身体的这个
[45:18.870,45:31.410,1]  身材这种刻画呀对这个表情的这个表达呀都非常非常的幸运啊太远特别姿势也非常非常的自然整个就是就是非常的好
[45:34.070,45:55.240,1]  对其实我们看的我我当时说北提北平艺术给人最动人就是人性和神性的那个结合他总是很沉静然后从心里往外的就是你能从开脸从他的面部表情能够能够体会的到我自己还有这么的感觉啊当然只是一个一种感觉而已就是
[45:56.350,46:0.290,1]  可以说是在北齐之前吧在很多比如说
[46:0.410,46:13.550,1]  嗯这个我们中元节佛教艺术很多我觉得是做了这个中亚的影响因为中亚从印度传过来然后再传我们中国的而但是到了从北区以后我觉得直接收到来自这个车多的影响这个
[46:13.550,46:27.740,1]  更大所以在很多在响堂嗯这个代代代表这个北齐的时候可以看到很多这个直接从印度而来的这个这个影响这点对我来说这次这印度考察的我的印象就是更更加加深了
[46:29.770,46:31.290,1]  你们怎么看我说你怎么办
[46:31.630,46:40.360,0]  这个我觉得是这样因为其实集中风格对中国的影响应该说这个也是不是很长因为到了唐代那些
[46:41.430,46:53.230,0]  影响会影响我们还是按照自己的这个脉络在发展我觉得这个外来影响到晚期来说对中国就看看着变弱了尤其我觉得像宋代啊什么这些
[46:53.230,47:8.260,1]  但是我觉得这有一个问题就是他因为他的源头弱了因为在我们中国就是从这个北北朝从大唐以后送这个发展印度自己在佛教摔了他也创造不出什么东西来而且她自己本身的艺术也和印度教开始河流
[47:8.450,47:20.300,0]  这里面这里面这里面就有几个友谊区有意思的一个观察就是一个其实中国佛教的这个绝大多数的直接影响并不是来自印度是来自中亚这是
[47:20.300,47:22.040,1]  早期来说是这个是很重要
[47:22.040,47:46.020,0]  对完了另外呢就直接从印度来影响当然我们刚才讲到的这集多可能是直接来自印度的一些影响那么比方说我觉得像咱们因为我们去过这个这个新疆的这个克孜尔对吧那么如果现在回头看刻字儿的好多石窟跟这个印度的这个石窟就有些地方就是对的上一直刻字儿有很多残酷这个就跟那个印度我们看到了这个这个是因为
[47:46.020,47:47.310,1]  哥哥也是小窗口
[47:47.310,47:57.170,0]  对因为这个我们在内陆地区什么因为内陆地区流行的都是大乘佛教所以他没有这种产出这种尤其中国的石窟那么多但是呃没有
[48:0.770,48:5.160,1]  但但东航是个例外中华有很多匹克罗库就是那个金属
[48:5.160,48:11.280,0]  对敦煌因为它这个保存的比较多因为敦化也有有时候没看到一些这个别的隐
[48:11.730,48:30.560,1]  敦煌的那个唐代还是感觉受到这个印度影响比较多的哈呵呵对呀就不像那个受到重要影响那么多的那种感觉对我觉得就是我还是坚持我就是一种就是说我前面一批想法就是就是早期来说中国国家函授这中亚的
[48:32.200,48:54.350,1]  就是这个合同地区啊这个就现在的这个乌兹别克啊那个那个塔吉克呀还有这个新疆地区的影响比较多而到了后期因为谁的这个可能交流的更更密切了直接受到来自印度的影响我觉得这个可能是一个一方面吧而且而且这也是我们这次去看印度石窟的一个一个我想是一个体会吧
[48:54.990,49:13.790,0]  因为敦煌它这个本身他这个因为保存的比较多嘛各种各样的这个哭行啊什么都比较完整因为它跨度也比较大敦煌不像是这个云岗比较云岗他的跨度可能只有一呃北魏这么一段时间那敦煌他这个从这个早期这个
[49:14.470,49:21.260,0]  呃南北朝北魏到晚期的那个原带什么都有这个开早所以他的这个集合了很多的这个
[49:24.180,49:34.320,0]  那个所以说有有些就说看到了有些枯根敦煌市有一定的相似之处的但只是敦煌的这个规模可能没有这个咱们看到比较沾土
[49:35.830,49:48.000,1]  是我其实有一个问题你们在这个这个印度这么游历你们觉得这个佛教和这个印度教这个这个心气衰弱的这个关系
[49:51.450,49:54.320,0]  其实其实佛教在印度
[49:54.650,49:57.290,0]  从来没有就是说完全占有一个
[50:1.230,50:11.950,0]  这个在印度并存了好几种印度教对吧印度教大网校应该早就在囫囵觉完了还有这个其大叫佛教它就只要是三教并行的
[50:13.670,50:45.140,0]  佛教从来没有就是说佛教也不是说所谓的排查的他这个一直是这个都有的那么佛教只在有一段时间的比较鑫盛那么因为当时是阿育王啊什么这些还有一个呢好多信封印度教人其实他也在支持一些佛教的一些设施建设就有一段时间他们是互相借鉴很多但是后来佛教就开始示威完了那个印度就是普罗门教借用了印度教的这个形式又进行复兴那么彻底的就取代了佛教在印度的这个
[50:51.300,50:56.370,0]  他这个跟结构跟佛教不一样印度教的这个他的这个中教的这个
[50:56.790,51:0.380,0]  呃他是没有像佛教内有分团出价它是一种比较
[51:5.450,51:52.220,0]  对完了他的这个社印度这个社会结构是靠付即可印度教来维系不是靠佛教就跟中国在这个传统社会的时候也不是靠佛教是靠儒教靠这种什么这种儒家的这种法统完了把这个农村这种因为硬度也是跟中国一样是很广袤的一个一个一个农耕社会嘛他怎么样把他们都联系起来也都考所以为什么印度教植入到社会的各个方面使得就说后来晚期这个很多外来入侵者想在印度进行伊斯兰化碰到很大的问题就是印度教的事例实在是非常强大所以后来印度教跟伊斯兰教又形成一种妥协他们互相之间又进行了一些互相的借鉴所以印度教跟佛教起严格意义上是不一样印度这样人我看有些介绍说印度教实际上也是一种
[51:54.650,52:7.050,0]  它不是一省论但也不是要佛教那样那种中沉沦的这种宗教他有点借鉴了很多伊斯兰教的一些一些一些一些一些东西在里头和历史的就是中印度就说变成一个非常
[52:11.460,52:21.320,0]  呃这个这个这个这个多元的一个社会这个跟中国试试我觉得有很大差距甚至包括印度教本身他也是比较丰富的
[52:21.790,52:54.980,0]  他也是他也是有很多的杂糅在里面只要我们遇到一些什么样他这个什么样供奉的有点像这种就是其实是个真实的一个人那这个人就变成神了大家都共同四乡八零的人都去那儿那个我报那个什么什么咱们路过把那些人谈的这些就还是古代山西似的排的各种各样的这个举着题材的香火对完了去去供奉这个去去膜拜那个那个那个这个这个这个什么这个这个也就是印度教好像有点像这个中国那个什么就任何人好像都可以玩死了以后就可以变成一种
[52:56.970,53:12.290,0]  这也是这个印度的一个特点因为我们因为是浮光掠影的看印度的但是没有没有很深刻的一个印象另外就是印度他这个各种宗教是并存你不犯我我不犯你叫什么喜大叫啊穆斯林啊什么大家互相
[53:12.290,53:14.950,1]  而且新相互之间都是有交融的
[53:15.230,53:34.360,1]  所以我我觉得印度是一个很有很有趣的一个国家就是他把什么都混在一块儿和和他那个咖喱是专属于语态他把所有东西都都混在一块而且他不介意这样就是其实并不是个和谐社会真的知道这个为什么印度失败的一个
[53:36.930,54:15.440,0]  其实我觉得从严格意义上说佛教到了中国也被中国画这个印度意义上的佛教跟咱们中国现在流传的这个佛教呃还不太一样但是中国这个佛教的这个鑫盛啊要怎么来看其实中国佛教在唐代以后实际上它也是处于一个萎缩的状态那个而且中国的佛教是一直委身于中国的皇权才能够存在他并不是像这个好多欧洲宗教是在这个社会上占有一个主导的地方尤其宋代以后中国的这个如实到三教合流变成了一种
[54:15.600,54:20.640,0]  大杂烩的一个中国人的意识形态这也是中国的一个今天我等支持这个
[54:23.840,54:34.500,0]  呃因为佛教到了中国我觉得应该说是变成了一个比较比较呃就是不那么出事了比较入市的一个宗教了
[54:35.980,54:38.300,1]  那在日本呢日本
[54:38.300,54:44.000,0]  本身佛教比中国海尔我觉得还要入时因为据我所知日本那些佛教有的
[54:46.580,54:57.470,0]  完了日本的和尚没有像中国很那么多清规戒律什么不许结婚啊不许吃肉啊什么这些这些都是中国在梁武帝的时候新出来的好多这个各种各样的这个
[55:2.540,55:4.650,0]  佛教更变成一种职业了
[55:4.780,55:14.830,0]  就是说它是一种就是日本的和尚就是寺庙的一个值是他的好多这个这个就是其实变的我觉得非常的这个
[55:23.110,55:40.220,0]  中国的佛教实际上在清代是受到打压的那个清代的皇帝是支持哪个叫但是是其实是排斥这个汉传佛教的所以你可以看看在清代这个基本上没有这个事件的这个
[55:47.130,55:53.040,0]  印度呃这个佛教在中国实际上也是在在慢慢的在示威
[55:53.450,56:3.470,0]  刚才我觉得我们这个刚才跟竹子在在聊天的时候讲到就是我觉得在印度我觉得印象最深的一个词在我脑海中出现就是原生态
[56:6.740,56:26.240,0]  对这个颜色呢我觉得可以演绎到很多方面啊一个我觉得自然环境的一个原生态对吧他的这个这个这个这个我觉得这个污染在农村基本上是不存在的当然农村很脏但是他没有中国这个很多地方的这个乡镇企业呀或者厂矿遍地这样这种
[56:26.240,56:29.340,1]  乡村风景特别美我现在还在怀念
[56:31.230,57:6.100,0]  农产品啊看起来就没有中国各大我怀疑可能跟他们用的化肥农药比较少可能有关系这也是我觉得也是原生态的一点另外我还有一个观察就印度啊他那个就是基本上人民生活的这个水准比较低所以它的这个生活琐事所产生的各种垃圾也比较少所以也是基本上是比较原生态的一种一种生活方式这是我觉得我认为这个印度从这个自然环境比方说他的这个河流基本上如果枯水的话没有水但咱们路过有水的河流基本上都是好好汤汤的大
[57:6.100,57:7.490,1]  对咱们通过了多少条
[57:9.090,57:36.390,0]  这个而且这个和基本还都是和水还是挺清澈这我觉得是自然环境的原生态对吧还有一个咱们讲的就是他的这个人文的原生态他的这个各种宗教的这个并存各种这个人人各种人种的杂和这个大家的这个你在印度可以看见基本上各种人总从肤色的深浅到五官的这个好像基本上什么样的人都都几乎都能遇到过
[57:36.810,57:40.210,1]  但是我现在有一点事有一些有一些悲伤的就是
[57:40.250,57:43.160,1]  这个至少虽然我们这次我们还没去过北
[57:43.160,57:47.905,1]  北印度不知道那边的佛教什么情况我们至少在南印度看到这个
[57:47.905,57:55.040,1]  虽然一句还在佛教的史记还在但是佛教自己是非常的印度是很是喂
[57:55.400,58:9.500,0]  这个刚才你上以前上来以前我们也谈了几个那个超人刚才也举的这个例子说这个印度的佛教为什么会会示威啊这个这个我觉得有很多原因因为其实印度佛教从来也没有
[58:9.740,58:32.190,0]  就咱们的推广就是呃非常这个占据一个印度社会的呃绝对统呃就是领导地位这样一个地位因为其实印度的佛教虽然呃流行也这个传播很广但是他在印度本土实际上还是处于一个三教就是印度教佛教跟其他叫三教并行的一个状态
[58:34.320,58:40.430,1]  对就是现在你还记得我们那个司机对这个佛教徒也是非常的这个青叶
[58:40.450,59:8.530,1]  这个但是因为我们这次时间有限我们也没有去探索一下这个印度这个三人的一些现在的这个他是怎么修行或者是怎么怎么怎么那个的我们在群里属于什么心态我想知道不知道比如说我举个例子我们这次去那个奥兰加巴德石窟然后山脚下就有一个新建的四页有一些印度的森人在哪儿然后我们刚刚跑进我们路过的时候他们虽然看见我们来了知道我们是来看石窟的以为一开始以为拿
[59:8.530,59:40.930,1]  那泰语和我们打招呼以为是我们泰国人我估计这个泰国人去那朝圣的可能还不少后来我们说是来自中国的哎他们还非常的这个清这个热情然后我们在奥兰加巴德这个看完一圈以后他有两个裤裙吗我们先看了这个第一酷刑然后第二不行的时候那些虽然已经带着鲜花在那等着我们了然后说给我们献花给我们念一段这个那个起起伏的这个铂金这个这个为我们起伏大家都挺感动的后来下山了以后回到那个
[59:41.020,59:54.670,1]  我们那个坐的车里的司机听说了就非常轻蔑觉得哎呦说是这些和啥意思就是说他们都想几个只是骗钱的人士的所以这个之后感觉还是挺挺挺挺不好的
[59:54.670,60:23.170,0]  因为这里面我觉得是有两个原因一个就是说这个印度社会现在明显的还是一个总性社会虽然明面上大家不讲是人品了实际上是还有种姓只要我们的司机他就说他自己他们是属于那个好像是属于插地利吧哎对是等于是属于高等数学而且印度呢很多佛教的信徒实际上他们都属于这个比较低的一个中性呃这个呢这个当然我觉得他们有一个这个天生的一种
[60:25.980,60:48.850,0]  这是一方面还有一方面呢就是跟这个寺庙的供养关系不一样我不太清楚印度教寺庙因为印度教印度教它是没有生铝的他就是有祭司好像是这些对所以它这个寺庙的这个他不用养很大的这个森旅集团而佛教呢他这个僧侣注定它是要吃斋的他不能他就是要靠靠人家
[60:49.930,60:57.830,0]  其实所以说印度他就认为佛教好像那些佛教徒跟那个乞丐有点类似就都靠别人施舍来
[60:58.950,61:58.030,0]  这是不是也是他们有点这个这个提示这个佛教的一个原因就是我是这么认为啊因为这个因为在咱们这司机来说他认为这个印度这个好多这个街上的乞丐他们这个并不是天生围棋儿他们自愿选择因为说是政府给他们帮助他们拒绝他们就愿意过一种行乞丐的要饭的这个生活什么的这是这个当那个司机跟我怎么交流的时候给我的这样的一个答案所以我觉得这里面可能有一些这个社会的这个职业在里面但有一点这个印度教在中在印度的是微这个是非常明显的呃基本上印度教在中在在国家啊说错了佛教在印度是属于一个非常呃若是若是非常少小众的一个一个范围好多在印度进行佛教的一些都是一些藏传佛教在那些南南平呢什么剧情大会什么的
[62:4.320,62:30.500,0]  这包括前两天那个新闻里讲的那个咱们国内的这个明星到印度去参加什么大会什么居然什么居然跟什么什么坐在一起那因为他那些返回都是由这个政策的方向我们也碰到我们也碰到很多在我们在那个阿旃檀不是碰见很多呃像藏族一样的人去那个去去朝拜还还给钱什么的那个谁听你还说换多少换1万卢比什么的
[62:33.360,63:6.960,0]  是这样一个但是我觉得就是说我们还回到印度的观感我觉得其实呃印度我去以前把他想的呃就比较条件的的确好多东西是没有出我的所料但是我个人认为我还是挺喜欢运动我觉得印度他有一点就是原生态不做作就原生态不做的不仅是印度的人员身材不错印度的环境包括我们参观的这个文物古迹我觉得都有这样一种比较自然的一种状态而不是像国内搞得就是有点虽然有的东西很豪华或者条件物质条件比印度好的多但是
[63:10.820,63:14.280,1]  就是就同样是世界文化遗产吧也也
[63:14.330,63:37.190,1]  印度也很少这种什么大型停车场然后这个大的就是你要经过很多这种小小伤害其实也有但是没有没有那么恐怖然后尤其是你进入这个门以后他基本就就不会说在这里还在新建一个景区所以所以那次古村旁那个
[63:45.240,63:53.220,1]  这就是因为佛光寺在中国这样环境太难能可贵了可是我们去印度发现您在每一个地方都是这样
[63:54.010,64:26.180,0]  大人就是说咱们去可能就是向导什么的要稍微这个有点商业化的一些一些一些其他地方我觉得都没有而且还有一点就是说印度他的这些文物古迹它基本上都是属于这个就印度有个叫这个印度考古局这样一个机构来来那个管理对吧并没有很多地方政府什么搞价中国这种什么什么发展旅游什么什么什么鬼原波什么哎就是搞的一些这个什么什么旅游搭台经济唱戏之类的这种呃发展什么迪
[64:27.980,64:32.760,1]  海分红人南昌说要把南昌打着打造成第二个西安呢
[64:32.760,65:13.140,0]  哈哈这个所以我就说这是大家不同的这个理念所以我我觉得这个印度跟中国选择的是完全两条不同的道路再再走呃但是呃虽然从目前来看就是印度是比中国发展的慢呃也没有应中国那么那么因为印度人就跟我说说这个中国比印度领先一一百年这个说这个怎么怎么样但是但是从可持续来讲呢起码印度还有青山绿水还有这个这个蓝天白云还是有很多可持续的这个发展的这个空间这是我认为但是人口我觉得印度是比较
[65:14.640,65:15.690,1]  人家可怕的
[65:15.690,65:25.460,0]  一样可怕你是喝这个人人人实在是太多一家我们碰到的印度的家庭起码最少是三个
[65:26.900,65:32.200,0]  对吧五六个什么那都是都都是很正常的这个我觉得是一个
[65:38.240,65:44.200,0]  其实还有我觉得超人这个我们还讲到这个因为我讲了很多这个佛教的东西其实因为
[65:44.800,65:57.850,0]  呃其实印度其实还有很多东西我觉得很可观的就是他们这些就大街比较晚期了就是大概十四十五世纪以后16世纪尤其是那个呃卧莫尔王朝就是这个
[65:57.850,65:59.510,1]  我尔老反
[65:59.510,66:2.980,0]  网上就是叫什么叫忽觉华呃
[66:2.980,66:3.950,1]  对韩国人
[66:3.950,66:26.020,0]  突厥化的蒙古人对应该这这个他们其实给印度的这个给印度的这个痕迹也是挺深的到处都是就说那个司机说只要印度的地名里面加什么什么巴德什么奥兰加巴德海拉吧得什么时候巴德的地方全都是全都是这些就是这个莫卧尔王朝这些
[66:39.380,66:48.030,0]  呃业余的趋势北方那个伊斯兰化那反正近期人事要拖鞋嗯就这点儿但是印度就是
[66:48.030,66:52.260,1]  他不光是清真寺拖鞋他进这个印度教资源都是拖鞋
[66:53.240,66:55.690,0]  但是干净不干净的好像没有太大的
[66:56.500,67:15.270,0]  但是这个因为那个因为梁老师这个因为刚刚跟你跟超人你们去过波斯了因为那个古波斯看了很多这个东西因为他到了印度以后就觉得很多东西似曾相识的因为的确是因为这些建议印度的这些ess
[67:15.270,67:33.570,1]  不光是挨着因为这个木耳他他能够在印度能够站住脚跟它是受到了当时这个伊朗的那个那个那个那个那个那个当时打了败仗都讨论那个ess了在这个
[67:33.570,67:51.290,1]  这个啊在筹码用然后是那个在这个伊朗的知识上有重回印度对es可能公平你的建筑设计师啊什么都是老人所以他的这个公平alley老人支持他改信实业本来是选的然后
[67:53.580,67:57.470,1]  就是为了让依兰支持在伊朗改性的实业
[67:57.470,68:11.090,0]  班里面有一个挺有意思的现象就是因为那个就是那个陌陌儿王朝它实际上是一五级几年开始的吗他这个繁盛的他有一段时间其实他跟是中国的这个康乾是并行的
[68:11.180,68:27.920,0]  对吧康乾时代是并行他的这个很多审美情趣我不知道谁影响谁啊就很多东西我们我们是的确发现了很多这个乾隆皇帝的这个这个兴趣爱好在这个在他们的这个上面是影响是看见了这个比
[68:27.920,68:30.200,1]  因为在泰姬陵最明显
[68:30.200,68:34.150,0]  比较繁复的雕塑啊还有他那个比较那个我们在那个就是那个
[68:34.150,68:36.500,1]  是这个法特普尔这里的地方
[68:36.500,68:37.730,0]  对一个人那个行
[68:37.730,68:38.730,1]  这个供电对
[68:38.730,68:52.670,0]  对他的那个漏窗的那个那个膈疝的这个雕刻那个中国的那个那个那个格林窗棂就是之林那个就窗户是完全是一就是一异曲同工的一种效果而且这个图案是意思
[68:54.590,68:58.140,0]  就是那种木头的这个万就是各种各样的拼花的这种
[68:58.140,69:0.910,1]  就是叫叫叫什么李冰凌
[69:1.650,69:6.800,1]  冰凌这有点像哎对对对冰裂纹的那个那个那个有
[69:11.550,69:15.410,0]  但我觉得有可能是中国可能借鉴了一些这方面的一些
[69:22.130,70:9.350,1]  中可实际上是受了东方化的影响所以说是东方影响到欧洲才出现了洛可可是的是的就是大家那段时间都喜欢这个没法看到几何拼图这几何图案这个强烈的追求就是特别繁琐的这种这种各种各样的组合这个这个很重然后不断在重复相似不同材料但是印度MV的是什么呢我们都是木头雕掏钱石头开到石头用用用砖我们在这里我们在这里看见那个境界厅的那个窗林才看见他的那些就说那种衡量有些很细部的这种雕刻哎呀真是烦死还有泰姬陵ru
[70:9.350,70:13.110,0]  金属的金属公寓你说什么事
[70:20.100,70:28.670,0]  呃这个他博物馆有博物馆有咱们那个印度那个国家博物馆不有专门有一个那个ese
[70:28.670,70:30.040,1]  就包括瓶瓶罐罐
[70:30.040,70:32.060,0]  对对对因为我们
[70:33.680,70:46.240,0]  哎看见了还有那些那个那个经营首饰各种干工艺品那个因为那个我们在那个里面还看到了一些那个塔西拉出土的这个经营首饰
[70:57.480,71:8.220,1]  哈哈哈哈呵呵因为这个伊斯兰教认为留白在建筑上带什么东西啊留白是会让那个魔鬼的其中穿行
[71:34.690,71:36.290,1]  印度的工艺还是很
[71:36.290,72:0.370,0]  嗯而且我觉得是还有一点我觉得印象比较深的就是说可能印度啊因为它这个整整个的蓝牙四大陆气候什么环境非常有利于这农耕啊他的这个物产很丰富所以印度可能历史没有什么太多饥荒还有一个呢就是印度人吃的这东西实际上实际上这个这个选择范围比较少不是什么叫中国什么都吃他只吃几样东西其他东西他不吃
[72:3.350,72:27.620,0]  不是什么都吃那就说明不我是说另外一方面就是说进度他的这个其实立在传统意义上他的这个他的经济实力还是挺强大的因为他一个他没有饥荒第二个他自然丰富所以他的这个这个劳动生产率我觉得应该是很高因为看他那个看看到那个营建的这个承保的宫殿但这个东西我觉得按照中国来讲那真是要要要要很多人力
[72:27.620,72:34.780,1]  耗费民力哈那个所以人家才发展出哲学吗人家不用考虑这个这个填饱肚子这件事儿
[72:36.280,73:25.210,0]  不是因为我们也很那个什么比较那些我还说呢我说咱们到山西去这个什么庙里面湿几根石柱那是很大的功能那几个石柱子要放在印度来看看简直就是呃就就中国人民吃饱饭就是这个石的加工石材加工还他们在建筑工建筑这个技术我觉得相当发达他那个那么大的石窟能这么开出来这个而且包括他那个卧莫尔王朝世纪盖的那个什么这个保那个保的这个就这么大的这个建筑而且他们那当时这些保尤其咱们去那个刮掉或者是儿卡他只是一个很小的一个土包它不是说一个什么中央帝国的一个大皇帝他只是当地的一个小土皇帝他就能干出很大很高的这个承保啊什么就说明他们
[73:25.210,73:29.310,1]  对而且装饰那么多那么繁琐都是费工的手指
[73:39.030,73:41.500,0]  反正那个这个我觉得是印度
[73:50.720,73:58.030,0]  而且中人民也都比较有信仰所以大家没有太多天灾人祸大家的心态也比较好
[74:0.000,74:6.430,0]  虽然印度人也是一个挺鸡贼的我觉得这这是不可否认的但是但是他他
[74:6.430,74:9.630,1]  呃哎哎你们不说鸡贼的人都跑哪
[74:9.630,74:19.650,0]  啊不是尽量的还有英国呃呃包括像银行的那个不是银行那个旅馆那个算账老算不清楚我觉得这个
[74:24.800,74:47.530,0]  这个其实大家还有什么要跟这个听他们分享的印度的一些东西因为我觉得我都说的非常那个我打了个比喻我但这个比喻不是我不是不是我原创的啊这是我也是看了就说有人把印度比喻成榴莲就是一种水果了榴莲大概知道喜欢榴莲的人是非常喜欢榴莲
[74:49.320,74:51.260,0]  不喜欢榴莲的人可以
[74:55.160,74:57.090,0]  那那其实是
[74:57.090,74:59.380,1]  喜欢榴莲的人都是吃过榴莲的人
