[0:0.165,0:5.220,1]  欢迎收听地下关今天势必下关的第37大家好我是宜宾
[33:14.510,33:30.880,0]  很大的这个作用第一个大梁启超是这个给他们提供经费对吧这个当时好像就是提供一大笔钱然后第二个就是两就是这个梁先生梁启超都几乎很细节性的策划了他们这个旅行线路
[33:32.060,34:14.030,0]  这个嗯非常的有意思当时当时我是什么呢他路线大概是这么这么走的就是他们就是梁启超梁先生先给就是这这两个年轻人他们先策划到北欧看挪威和瑞典的这些新兴的这些城市的规划呀什么的然后后来就到了这个对到德国然后看那个蓝银河边上这些股宝然后到意大利他们说直播课兴在在带到意大利的这些就说这个文艺复兴的最经典的建筑嘛然后后来巴黎是他们这个两人自己加上去的说是主要是为了看那个埃菲尔铁塔这个新的这个这个这个建筑形式最后两人是从这个做中东铁路从从那个莫斯科然后到西伯利亚回
[34:16.890,34:20.490,1]  对可是为什么是他们要听他那个
[34:20.810,34:26.490,1]  就是赞助人的意见他们这样应该更更有主意吧就是他们作为专业人士
[34:26.490,35:2.580,0]  我我觉得哎呀我看了就因为我看的是二手资料不是看了一手资料是有一个人可能根据一些什么材料写的吧这个梁先生梁启超先生这个学士很渊博呀对这个这个西方的艺术史建筑史这个非常娴熟于心啊他对对对梁思成先生那个各种技术各种写信SF我觉得可以再说在精神上在学术上或者在人生的道路上都在指导这个两层非常了不起的这么一个伟大的思想家
[35:3.030,35:8.990,0]  这个而且写的非常感人因为我看的是二手车我不知道他是可能是摘录的吧
[35:9.780,35:16.780,0]  而且都跟都跟他讲了这个意义在哪你们去看这个怎么样但是一个老人对自己儿子的一个肠子的这么个尊尊教导吧
[35:17.750,35:25.570,1]  等于他这个旅行是三重意义对毕业旅行蜜月旅行然后返乡之旅善乡之旅
[35:25.570,35:33.810,0]  而且另外一个就是说回家而且是对梁先生就是他们在美国学建筑这几年的一个他我觉得他一个总结性的这么一个东西
[35:34.940,36:0.780,0]  嗯而且而且我本来还想因为我我今今天为了这个这个我刚搜索一下也也也可还是发了我的一个误解吧因为前就是去年14年15年不是这个市场上经常出现一些梁先生画的一些西方建筑的素描的一些拍卖吗对对对对我原来还以为这些东西是梁先生他们在这个欧洲旅行的时候当时画的
[36:1.050,36:7.370,0]  都是很经典的建筑呃我刚才查了一下才发现啊这原来不是是这个
[36:7.840,36:18.520,0]  这两项在冰冰大的作业对对对哎这这个估计两人毕业就没有这么闲功夫在这个现场这个话了这都他们宾大的作业队
[36:18.720,36:20.260,0]  所以是这么个情
[36:20.260,36:24.380,1]  对不他们他们可能在那个就是
[36:24.460,36:47.520,1]  并蜜月旅行之前是不是应该也游历过一些地方了肯定我想就是在他们求学这期间吧不太因为我的印象中那个那个年代的这些就是这些民国的初阳这些学学者嘛大多数都是串来串去的一到放假就就跑了就互相串也是有点像我刚才我们说的那种就是一到找老乡啊什么他们也是
[36:47.840,36:59.360,1]  什么到欧洲各国就找找同学然后就住在人家里嗯我看过现在也是呃对其实现在也是一个优良传统中国人优良传统
[36:59.790,37:9.330,1]  对各种那个大师们当年都是这么干的什么什么赵元任啊什么什么加什么这些人所以说起来我你说这我想起那个陈孟佳和
[37:10.090,37:17.790,1]  那个赵萝蕤他们当年也是好像也有过类似这样的旅行在你看那个它不是到呃那那
[37:18.290,37:23.970,1]  对这个不应该算毕业他是访学期间然后在美国遍访那些博物馆什么什么呀什么的
[37:24.630,37:34.020,0]  哎像是那个什么徐志摩呀不在欧洲传来传去和什么事啊是admin切还有这个后来那个呃钱钟书
[37:34.020,37:43.710,1]  啊对对对就像是一副当年的那种图景呀就这些都在那个坏里他们就这样算来算去然后后来都变成变成了传说
[37:47.120,37:56.350,1]  对还有一个哎我刚才想另外想到另外一个那个类似的故事其实就是就是我们之前有一期不是做炉心斋吗轮胎的那个
[37:57.620,38:9.610,1]  小女儿是嫁给了那个杜波秋也是一个法国的外交官也是一个就是研究中国古代艺术算是一个专家吧他他们俩结婚的时候卢勤斋送的这个
[38:9.820,38:26.120,1]  呃礼物就是自助他们的蜜月旅行而且他们的蜜月旅行那个可能比听起来是比比梁先生的蜜月旅行更更加专业更加专注啊对是赞助他们游历全美第博物馆然后两个人是
[38:26.450,38:28.830,1]  这个晚上住在火车上
[38:29.020,38:31.050,1]  然后白天去参观博物馆
[38:31.580,38:35.470,1]  就是用整个蜜月旅行看遍了美国的所有的博物馆
[38:38.840,38:41.900,1]  所以真的挺还这这还真挺有专业精神
[38:43.090,38:52.610,0]  呵呵呵呵对啊赌博秋冬铂金呐他是在就是他先取了那个芦家女儿还是先到中国去做外交官啊
[38:53.260,39:2.580,1]  呃先做的外交官OK对他所以他对中国这个艺术有一定的认识然后他们是在一个这种某一个中国艺术展览会上认识好像
[39:5.190,39:25.650,0]  我昨天上午还查了一个那个就是那个mbi就那个电影网站说的这他这这25个最佳的这个旅行但它不是毕业旅行旅行的这个电影呃旅行电影就就是差额movie吗就是一种电影的那个就是ad只有公路
[39:25.650,39:30.150,1]  电影吗不会有呃他家他家擦抹movie
[39:30.500,39:34.350,1]  哦还有这样一个对他对他还是公路电影
[39:34.350,39:41.690,0]  不是公众号然后他一下会把几个国家或者是一个国家的很多景区这种打包的给你
[39:41.690,39:44.710,1]  你是什么事纪录片吗还是什么呃有故事片有记录
[39:44.710,40:7.860,0]  他她拍成拍成了喜剧啊还有这个什么言言情剧之类的推荐我不知道你们看到没有我我说一个我先说一个那个庐山恋哈哈SF
[40:7.860,40:11.490,1]  反馈我没看过所以我不知道那个庐山恋讲的是什么
[40:11.490,40:30.610,0]  庐山恋讲的是一个就是章鱼拍的模板就是一个美就是一个在美国的一个女孩儿她来回国内寻思an然后回回回祖国寻根然后认识了一个那个有为青年在庐山
[40:30.610,40:32.500,1]  哦还还挺毕业旅行的
[40:32.500,40:58.640,0]  正确match的是就是他们的父辈原来是国共的对头好像是这样这个这是我的印象里是呃这样的那种然后这个男的呢因为接触这个华侨又被那个这个嗯这个文革的这个安全部门盯上了好像你串了你穿着小街nannr
[41:0.640,41:22.350,0]  大概是这么一个其实70年代末80初有些老电影还是挺值得他因为那时候还是挺开放的尺度可能比现在在有些尺度方面现在还要更宽松一些对症录制那那个时候好像是我们就是整个已付我父母的单位然后自己就有个电影院所以我小时候电影不断的就就这些店我应该都看过
[41:22.750,41:24.880,0]  活着我看了
[41:25.350,41:34.540,0]  三点然后Yue太小了不会不是和活着我的确是在家里看的因为我很早就出
[41:35.430,41:39.790,0]  但是活着不是不是个旅行对那个是我还真没有意识到
[41:39.790,41:42.970,1]  有所谓的毕业旅行电影就是专项庐山恋这样子
[41:43.050,41:51.690,0]  呃我看一下其实还挺靠谱真的就是毕业是有还有还有前前几年比较有火的一个就是我上大学是比较火的一个喜剧
[41:51.960,41:55.770,0]  里边有很多莱卡广告就欧洲什么什么旅行
[41:56.210,42:6.570,0]  讲美国人高中毕业之后去幻想欧洲是一个性开放的大陆然后就去欧洲各国旅行然后一路上槽点不多我
[42:6.570,42:18.300,1]  我没看过但是这个电影那个他说你的你的高中地理老师给我推荐推荐他说太好看了但我一直也没看特别搞笑我相信不是很好看但是那个因为它毕竟所以
[42:18.300,42:21.680,0]  哈哈啊
[42:21.680,42:23.750,1]  也是一个毕业毕业旅行是吗
[42:23.750,42:40.810,0]  对那是这根本就是毕业那个那个开篇就是讲他们毕业那个庆祝然后几个人说我们要去那个美国太保守了我们要去欧洲那个见识见识什么是真正的成人世界然后就去了吧
[42:42.430,42:51.460,0]  嗯但是但是实际上我们就是想毕业旅行最最终的这个意思还是要回到旅行所以其实并没有除了这个定价关
[42:51.460,42:56.600,1]  毕业旅行电影是吧就是很难受这种东西嗯对
[42:56.600,43:7.540,0]  哎我们去埃及的时候啊本来那款那个但但是TR的时候我还我还准备了好几个和那个ID有关的电影我相信有很多我见有很多
[43:7.540,43:11.690,1]  势必下关的旅行电影但是很难有地下关的
[43:11.830,43:15.770,1]  毕业旅行电影就符合这两个条件嗯
[43:15.770,43:26.070,0]  但是你你就是我说刚才那个电影就是那个欧洲旅行的那个还是把很多名胜包括梵蒂冈啊各个国家都涵盖了
[43:28.730,43:38.570,0]  比较多的国家荷兰啊然后梵蒂冈什么阿斯洛法克然后好像我我其实有点
[43:38.570,43:44.910,1]  感觉到那个就是美国小孩儿的这个毕业旅行可能大的很多会去意大利
[43:45.250,43:49.420,1]  您在哪里看到的这种美国大学生高中生的这种太多了感觉
[43:49.980,43:52.030,1]  对这有点像是寻根之旅我感觉
[43:52.410,44:19.560,0]  哎那我好像有点印象在法国的时候他们讲他们特别喜欢毕业了就去就去他们的那个殖民地就去越南就法官特别有内存还有那种耳机亮对哎对对对就这两个地方好像是他们因为出去好多人好多人的父辈是就是在比如说就是在二级靓声的他比如说他就是法国人而且是天主教徒但是它就是在二级那样生的
[44:19.730,44:22.710,0]  然后被迁回法国有很多这种人
[44:23.620,44:27.720,0]  然后好多去越南的就可能会一不留神就进中国了
[44:29.040,45:8.840,1]  对呀所以这个我又想到那个就是有一个挺有名的我挺喜欢的一个作家叫儿就是他写那个江城的那个那个就是他写了很多关于中国的比较有名的这个这两年没有明书对对那个他当年也是他在就是读完那个他大学毕业之后就是他做了一个真正的毕业旅行而且是那个很宏伟的毕业旅行他等于从英国出发就是然后横跨欧洲大陆然后乘坐西伯利亚铁路到蒙古中国啊中国游历了很长时间之后又从东南亚渠道什么泰国什么之类的然后又绕回美国去了
[45:9.160,45:12.140,1]  就是基本上是环游了一下这个世界
[45:12.140,45:13.830,0]  那就基本毕业以后没干什么
[45:13.830,45:23.260,1]  啊对呀他毕业以后是没干什么然后过了很长时间以后他就他就去再来中国到那个四川去教书了吗然后写写江城就是学费补助这是在他之前的事情
[45:24.950,45:28.320,1]  对他因为他是一个很热爱旅行的人吧可能嗯
[45:28.320,45:33.140,0]  这这里还得很有钱的人呃应该不需要他不是他们
[45:33.140,45:36.850,1]  这种背包旅行社可它很多时候是露宿的
[45:37.410,45:44.480,1]  就是背着帐篷啊什么的嗯这是他们的那个一个传统啊背包背包的这个传统嗯
[45:45.770,46:4.300,0]  我查了一下这个这个电影网站叫mbib它的最佳25就他他这家是根据他的综合评分吧就是可能观众的这个vo和他的这个点击这个下载量或者怎么样的哎呀遗憾在前25个里头有两两部和印度有关的电影但是没有和中国有关闭
[46:6.020,46:11.190,0]  呵呵您印度是传统的英殖民地这个还是考虑呀
[46:11.190,46:16.800,1]  对是那个西方人对所谓东方主力的这种想象的一个主要的目标其实
[46:16.800,46:46.810,0]  是啊是啊他两个一个叫heroes应该是2013年的一个基础偏说是受到了LP的好评然后怎么讲两个年轻人做的这个呃做了一个十二天的这个red就是那种SF对红包车队黄包车这样的东西然后怎么从孟买到了亲爱这么一个就是怎么说还挺好看的好远啊所以所以争取把他这个片子找来看看我觉得可能还挺有感触的
[46:48.900,46:50.010,1]  然后呢还有吗
[46:50.010,46:55.370,0]  还有我看还有印度教大吉岭的呃呃达君临美瞳零七年
[46:55.370,46:58.840,1]  这个片子太好看了这你们an
[46:58.840,47:1.630,0]  是吗那那非常好看哈哈其实
[47:1.630,47:16.160,1]  对一个美国的一个很奇葩的导演叫WiFi内存太赖风格WiFi的圣对对对对然后那个演员也都很好就是那个叫什么我忘了叫什么Adrian什么SF
[47:17.230,47:23.740,1]  对对SF各方面我我当然我也个人比较偏偏爱这个导演吗哈哈
[47:26.770,47:36.370,1]  但是啊这个这个应该都不算是那种对对这不算是DSD对对嗯
[47:37.510,47:43.030,0]  所以所以低价关注旅行路线我们自己来推荐关注现在旅行对就有点像我们
[47:43.030,47:47.580,1]  其实超人的那种那个大学的他们的那个佛教美术之旅是吧
[47:47.580,47:54.220,0]  对我觉得这个对是或者博物馆之旅也是比较适合这个我们闭关的这个调调的
[47:54.730,48:3.500,0]  哎我我特别怀念我们去埃及的那个那个旅行就是有点短但是那个顺着尼罗河往下然后卢克索那个
[48:6.800,48:12.260,1]  主要是他在那个尼罗河上面的那个部分我觉得还真的是挺好听的忘了
[48:12.260,48:13.480,0]  对啊对啊去
[48:13.480,48:19.110,1]  嗯就是什么那个晚上住在船上白天就吃饭去看什么
[48:20.330,48:24.390,0]  当时我们还说哎呀再来一次然后就就干脆就做一个
[48:24.390,48:27.050,1]  河面上也风光很以你
[48:27.290,48:32.790,0]  我们我我一直在策划再来一次呢哥我也我也一直太忙了呀
[48:33.180,48:43.600,0]  你什么时候这个世界和平一点啊现在很和平人非常少那个我不是有朋友正在那儿嘛然后这个aan
[48:43.990,48:47.900,0]  杨老师也是要去然后那个主要是我们那导游也非常好
[48:49.550,49:11.110,0]  另外我用这个对我又看了一个这个美国美国的网站了当然他我我不太熟悉这个网站我只是Google出来的他像这个大学毕业生推荐了17个最值得这个这个毕业就是毕业旅行最值得去的这个地方你们知道这第一个是哪儿啊他推荐南波万
[49:11.360,49:17.290,1]  就是毕业旅行目的地是吧对对对它是分比如说分海外海他他
[49:17.290,49:29.560,0]  包括在一块儿了因为它美国对美国学生推荐的他对咱们外就是这个CSF
[49:29.560,49:33.750,1]  再说那就很很失望他做因为他就不用拿也不用去了是吧
[49:33.750,49:38.100,0]  那南门测试巴黎哈哈哦是吗居然388
[49:38.100,49:40.560,1]  对呀对呀是啊
[49:40.560,49:42.750,0]  巴黎之前他这个真的就是
[49:42.750,49:45.060,1]  是他们什么票选的吗还是呃
[49:45.330,49:56.670,0]  他是什么考量呢不计学生的第一个假期他他有发截图啦或者还有一些这个SF自然风光呀或者怎么样或者人文历史他都综合考
[49:56.670,50:3.890,1]  对的嘛这也很奇怪为什么因为38可能以两件事情出名一个是他是一个私人的一个好地方呵呵
[50:4.070,50:37.940,1]  另外就是那个38吧这个海边的那个学校风光旖旎然后同时是一个全美国以礼partyschools著称的这么一个地方就是大家那个学生宿舍都在海边的悬崖上呃那个大家那个一到周末就开盘了然后就从那里呃喝呀抽啊然后就经常有人就一开了就是就是从那个栏杆上翻了翻下去就掉下去了就变成重伤什么玩哒这么一个地方啊是可能是开拍的地方那这有点像是春假的这种旅行目的地感觉是
[50:37.940,50:41.240,0]  有点儿像但对呀春假
[50:41.240,50:46.250,1]  Pierre海边不好说不知道嗯是第三名呢
[50:46.490,50:56.550,0]  第三名他是挪威罗伟嗯第四名又又回到了美国主流价值这个毛绒什么就是那个总
[50:56.550,51:2.670,1]  中山那边哦对哎这个太奇怪了所以我们很难理解这种对对对
[51:2.670,51:6.990,0]  考察这个美国的这个sdream反正就是其实是不太
[51:8.350,51:14.210,0]  对其实其实好理解各地也是有各种洗剪吹的
[51:14.700,51:30.980,0]  呵呵同意我就记得我在那呼啸山庄的那个地方那个哈我小镇上看英国小朋友也是那种头发都立起来然后紫色的穿的特别土跟伦敦比起来就吐一大截
[51:32.150,51:34.950,0]  然后我在想唉各国都有洗脸开始
[51:36.340,51:43.900,0]  哎我记得其他古村有一个特别好的美国和中国有关的博物馆
[51:44.080,52:40.880,0]  就是怎么看在美国看中国文物有一个旅就是博物馆的一个旅行推荐来这其实这个跟我们说过这个其实不是说嘛这个挺多的可能值得值得能她说国际值得走了可能有一段时间但是我们就是一年到一零年春天走过一个就是中西部的这个博物馆之旅我觉得这个会比较紧凑嘛而且东西看着也比较多当时但是我们是从这个claes出发就是那个密苏里的圣路易斯然后顺路一次美术馆然后这个啊那行博物馆然后到往往北上走到那个Minneapolis有著名的这个Minneapolis博物馆然后再掉头去那个芝加哥芝加哥几个大博物馆然后到那个硬件那玻璃然后再回到三路就这么一个路这么一圈吧嗯能看到不少就每周的这个路是吧而且因为这个线为什么推荐呢因为第一个东西好第二个就是
[52:41.040,52:42.400,0]  去的人不太多吧
[52:42.400,52:50.990,0]  这个知道的就是说因为大家来美国主要就是两个东西海岸吗如果但是这么走一圈并不是很多人知道的这么一个县
[52:51.390,52:53.250,0]  还还还挺值得推荐
[52:56.730,53:2.030,1]  但这个作为毕业旅行的话对国内的同学可能调费高了点哈
[53:2.180,53:29.520,0]  哎那我们就回到开头我们的这个影子吗就是我们这两位这个其实可以透露更多细节因为我也知道这是因为加了微信了吗就一个男孩儿一个女孩儿我觉得还那个嗯很爱吃啊然后SF很羡慕他们我觉得这个青春无敌而且这么美好时光来作弊下关然后看股
[53:29.520,53:32.040,1]  Bes
[53:32.040,53:51.290,0]  另外一个他们就说他们的计划是事先制制定的嘛然后但是有一点就是他们邂逅其实倒还挺挺挺正常因为他们都加了地下关的微信吗然后每天朋友圈play你也在这儿我也在这儿OK这个就自然遇上了对吧而且我我我觉得我们要
[53:51.460,53:52.740,0]  给这个
[53:52.910,54:4.030,0]  嗯比比如说吧给北首都圈和那个呃长三角珠三角的这个学生们给我推荐一个北京圈儿还可以想想
[54:4.030,54:5.310,1]  是真的对
[54:6.160,54:8.210,0]  北京可以换回正规
[54:8.210,54:11.240,1]  你的意思就是说从北京出发和从上海出发呗
[54:11.690,54:15.920,0]  对对对那不要从珠三角可以大概推荐一个简单
[54:15.920,54:17.450,1]  要从珠三角出发是吧
[54:18.710,54:25.345,0]  可以啊可以啊三个三个三个经济比较发达的地区比较方便去的
[54:25.345,54:27.010,1]  那你就各想一条是吧
[54:28.660,54:31.620,0]  北京我觉得首当其冲的我们应该去山西
[54:31.620,54:38.570,1]  北京的这个线路呢我觉得就是刚才我们八卦的这两位我们的会员的那个线路蛮好的其实就是说
[54:39.380,54:43.340,1]  其实就是北京然后往河北走
[54:43.510,54:48.935,1]  然后可能如果那个时间充裕点就在进入河南再从河南进进东南
[54:48.935,54:50.800,1]  然后从山西这样绕回来
[54:50.900,54:54.310,1]  一直要到晋北大同这样子绕回来就是一个圈
[54:54.620,54:56.320,1]  那这东西太多了可以看了
[54:56.550,55:12.920,1]  嗯这样非常完美的一个B相关的里程其实就是你可以任意挑选就是几百个点目的地可以选从中去选择自己想要看的东西嗯对非常丰富就是北京出发肯定我觉得这是一个应该说是首选
[55:13.510,55:23.250,1]  当然可以可以往那个也可以进入河北之后往东走就是绕那个山东半岛绕回来也是一条线但是可能比这个稍微差一点
[55:24.230,55:26.440,0]  北京还有一条好线路是往北
[55:26.690,55:28.490,0]  从大同这一线
[55:29.440,55:39.090,0]  那就看主题吧我记得还有一个北京挺好线路就是可以北京去看一些那个那个辽代河源带的这个古老的这个古都吧辽上京
[55:39.090,55:48.700,1]  嗯那就往北方走往那边然后从这个吉林就像我们上次去奉国四的时候推荐的一条线其实对
[55:48.700,55:52.080,0]  对从北京出发就400公里化一圈呐那个
[55:52.080,55:52.980,1]  我选择了哈
[55:52.980,55:54.550,0]  就选择太多了
[55:54.980,56:1.460,1]  他们不他们最远的你知道他们有一个很更极端的路线他们说你从北京出发如果你真的想走你开车的话
[56:1.660,56:3.610,1]  呃一天就到了哪儿了你知道吗
[56:3.800,56:4.890,1]  就到黑水城了
[56:4.890,56:9.220,0]  啊到不了黑龙江北京能一天开到黑
[56:9.220,56:10.260,1]  水城
[56:10.770,56:11.590,0]  嗯
[56:11.590,56:12.770,1]  对呵呵
[56:12.770,56:21.370,0]  现在有人在这么早自驾旅行不不太适合推荐这个不是我就说那个毕业里头不太适合推荐自荐
[56:22.240,56:25.510,0]  我们要推荐这个火车线路比较方便
[56:26.200,56:34.280,0]  我看火车和长途车因为我我觉得我当时大学每个假期都在各地做各种长途车
[56:34.280,56:47.360,1]  其实其实我们可以更发散一点因为比如说我们有很多那个内地的会员比如西安出发的西安但是西安就可能更容易设想了因为西安你直接往西走对吧可以走了
[56:47.360,56:50.880,0]  我觉得西安先把自己的心思an
[56:50.880,56:55.750,1]  公园如果是西安人的话他应该先本地应该已经看差不多甚至包括洛阳
[56:55.750,57:2.350,0]  我们会员还好吧但是我觉得我们大部分听众可能西安本地的也没有把西安这个
[57:2.560,57:5.010,0]  哥哥唐龙变了很少要想
[57:5.010,57:12.760,1]  给人设想毕业旅行你说啊你别拿北区你在西安呆着吧听着就很很很紧张了
[57:12.760,57:34.750,0]  再往西走啊到兰州再往那走合期走啦其实可以早一点的走一小西南往南就是好吃的四川呀其实有一条线路我们以前走过我觉得挺值得推荐的可以就是说从从那个西安然后往这个兵线然后去那个呃隆中然后
[57:34.750,57:37.210,1]  对对对平凉服务员
[57:37.210,57:42.990,0]  然后非常好再反过来再可以绕到兰州然后天水怎么回西安这这这个大圈
[57:42.990,57:50.070,1]  啊非常有用非常好嗯这个蛮有深度的嗯超出了一般的那个一般人的这个
[57:50.300,57:53.630,1]  规划的想象力其实这这个挺好的嗯对
[57:54.040,57:56.310,1]  嗯好吧那个长三角呢
[57:57.000,58:12.300,0]  长三角看的东西就有点不太一样长三角我觉得无非就是浙江安徽江苏江苏用苏杭大家都扬州什么镇江大家都去的挺多的可能还是可能皖南可能会更更更更有意思一点吧
[58:13.520,58:15.260,0]  从那个
[58:15.470,58:18.310,1]  呃上海然后到长三角可以去日本
[58:18.480,58:20.630,0]  呵呵呵呵
[58:20.630,58:23.910,1]  上海飞大阪我听说便宜的时候几百块钱就就有了嗯
[58:23.910,58:26.460,0]  嗯对对而且好像一个多小时就到了吧
[58:28.570,58:31.990,1]  就是那个他们的地利优势近水楼台
[58:31.990,58:35.860,0]  然后就直接奔京都奈良就这这一圈就非常丰富了
[58:36.120,58:48.920,0]  对呀长三角对啊上海飞这个汉城或者飞那个东京的话合到北京和到北京差不多好像对对可以一边可以推荐他们赶快去韩国
[58:48.920,58:56.190,1]  嗯那个我还没去我上次说我要去到现在还没去不过马上就要去了嗯九月九月初结束好像是
[58:56.740,58:59.280,1]  9月4号应该是就是开学之前
[58:59.280,59:0.570,0]  你说说看看
[59:0.570,59:11.550,1]  为什么看这个阿富汗的这个呃就是八颗牙就大厦17的一批机器吧嗯手续的话影响比较远比较严重比较明显的那批
[59:11.550,59:14.800,0]  世界巡展这次展到了离我们最近的地儿
[59:14.800,59:19.400,1]  之前是在日本吗其实我们有一些会员好像说已经看过了哦
[59:19.830,59:23.870,0]  哎那这个这个展到什么时候啊9月4号9月4号
[59:23.870,59:27.760,1]  就开学前嘛就是暑假期间都还有有机会嗯
[59:27.760,59:30.680,0]  哎人家的展说不定就是为了毕业率
[59:30.680,59:32.930,1]  行行行呃
[59:32.930,59:34.810,0]  我其实顺便我一直
[59:34.810,59:43.170,1]  没去过我去过韩国但是我没还真没去过他那个国立中央博物馆那是当年的这个朝鲜总督府博物馆的底儿
[59:43.590,59:48.580,1]  所以有一些这个那个大谷光瑞的他们考察队的一些东西在哪
[59:49.120,59:50.280,0]  日月是写的
[59:50.280,59:52.560,1]  因为其实挺值得看的一个博物馆
[59:53.430,59:55.910,0]  对呀是而且中国的东西还不少呢
[59:59.290,60:4.270,1]  我还挺期待我这次那个叫什么旅行也不知道反正就是暑假旅行吧
[60:4.270,60:8.040,0]  呵呵你的重点利息
[60:8.040,60:9.520,1]  SF
[60:9.520,60:34.040,0]  其实我觉得我觉得这边可以这个因为因为我们这些下班聊得比较轻松嘛因为夏天炎炎夏日给大家这个这个黑客不愿意我觉得这边也可以给大家介绍一下你的这个刚刚完成的这个这个每好的这个这个esc夏天
[60:34.040,61:18.290,1]  嗯对这很难因为很有点不太容易描述因为刚刚回来我现在时差还没倒过来然后那个对就还得稍微消化一下我我想说的是什么呢就是其实夏天真的是一个好的选择我去的之前是有点犹豫我当时不太想去因为也没有别的时间嗯就是因为那个看天气预报的时候西班牙的内陆基本上报的七分都是40度左右呵呵啊我特别不想去老师但结果去了以后发现其实还好就是即使是40度吧如果你不在太阳下面即使是在最热的时候你在那个阴影里面嗯比北京或者上海好太多太多就还是能还还是能感觉到地中海的那种影响就是在内陆了其实他在在他的内容
[61:18.600,61:29.860,1]  所以那个白天就OK吧就是你你白天如果你在博物馆或者在那种在室内其实是没有任何问题的早上晚上早上很很美好的但是最美好的其实是晚上
[61:30.360,61:34.590,1]  嗯因为那个我不知道他们的这个是他们的这个时期是怎么安排的就是他们早上
[61:34.880,61:39.890,1]  呃七点多天才刚刚蒙蒙亮然后一直到九点多天还是亮的晚上
[61:40.980,61:47.040,1]  对然后他们的那个生活基本上就是晚上九点钟才开始吃饭八点半以前饭馆是不开的就是晚上
[61:47.630,61:49.550,0]  哎西班牙纬度梅梅是不是
[61:49.550,61:52.080,1]  纬路的问题他的时区安排我觉得有问题
[61:52.590,62:11.400,1]  嗯所以他就是很晚那个就像生活才开始就是大家每一到晚上90点钟的时候看见就在兴高采烈的好像刚下班然后出去准备爽去了那时候气氛也更凉爽一点了嘛呃就是有各种活动然后我因为我那个体验了几个就是他们的
[62:11.620,62:20.370,1]  就是他们比较好的世界遗产估计里面的这个夜游啊还有就是夜晚的一些演出活动嗯
[62:21.320,62:31.300,1]  可能最有印象就是我们我我跟我的家属都到现在还那个有点还没回过味来回味不已的一个体验是在那个
[62:31.690,62:33.825,1]  而罕布拉宫的花园里面
[62:33.825,62:42.680,1]  嗯嗯晚上十点钟有一场演出是一个他们当地的安达露西亚舞蹈学院排的一个
[62:42.910,62:56.850,1]  跟洛尔迦有关的一个弗拉门戈舞剧艾尔佳饰家最有名的一个诗人吧然后他根据他操作了很多明哥什么之类的然后我们也听不懂啊当然就是我们就去看那个我觉得那个是
[62:56.980,63:11.880,1]  就是如果你去看参观二八坎布拉宫的话他那个票价是打了很大的折扣所以我们就觉得理所当然要去看很难得但也没有太大的期待因为不知道确实不知道会是什么样的东西然后我太精彩了然后这个全场
[63:12.190,63:16.990,1]  都是就好像除了我们家一家三口之外都是全都是白人
[63:17.290,63:19.290,1]  就是没有任何其他颜色的人
[63:19.500,63:43.640,1]  也借不到中国游客也接不到任何其他颜色就是一个纯粹就像我们现在有点稍微有点自在其实就是闯入了一个别人的聚会感觉嗯哼嗯那个演出因为也是因为珞珈是他们的相当于一个民族的某种象征或者是很有认同感的一个代言人这样的一个人物然后他们的那个那个演出就是把阀门哥的各种风格的可能性全部展现里边儿是学院派的那种
[63:43.870,63:45.980,1]  就不是小酒馆里的那种范文咯
[63:46.680,63:48.870,0]  啊对就看着就是
[63:48.890,63:51.200,1]  就是浑身及格的然后
[63:51.620,63:53.970,0]  肯定现场气氛特别特别好所以
[63:53.970,64:3.510,1]  都在那个各种叫好吧然后最好的方式我不知道你们有没有看过那个反反正较好的方式非常感人就是它有一种他叫
[64:4.260,64:16.420,1]  就像聊天一样的你跳他好吧他就他就感叹一声就那种就lar然后然后还各种说话然后那个吉他也是出神入化了因为他本身他那个
[64:16.890,64:33.180,1]  学院派的那种方法就是积极复杂就一就是一般的那种我们玩什么玩摇滚然后过那种什么民谣那种就没法看了已经就就各种出神入化和和感人肺腑吧就是梦幻一般的文章而且是在那样的一个场景
[64:33.810,64:37.840,1]  就是旁边全是这个这个故宫就停就是那种
[64:38.390,64:42.210,1]  呃二罕布拉宫的那种那种那种古建筑啊
[64:44.170,64:45.660,1]  对可以可以
[64:46.010,64:53.120,1]  哎太好了就是完全就是没有预料的这么一次超超出预期的旅行
[64:53.980,65:4.660,1]  砸砸各地也是各种世界遗产吧反正我我我觉得因为那个其他之前我们聊过就是说可能这期的会员通讯会把会稍微分享一下就是
[65:5.280,65:7.150,1]  此时的一些一些照片
[65:7.150,65:11.300,0]  那那那我想这个不是不光会员期待我们这些主播也很奇怪
[65:11.910,65:12.660,0]  这个页面
[65:12.660,65:22.040,1]  哎呀你们要赶紧去啊这边而且现在很便宜因为现在经济也不好呵呵e那个您这边讲讲
[65:22.040,65:27.860,0]  Ron歌这这个这个就感觉可以在这个故宫太和殿听雅乐是那种
[65:28.590,65:44.450,1]  哦那我私人认为比那个好多了呵呵ad这是完全个人了就你们可以判我或者是大家都考完但是我是因为因为我确实太
[65:44.700,65:46.860,0]  不太有电影感了没说完了
[65:46.860,65:53.970,1]  嗯这些也不让拍照然后也没有办法效果反正我到时候看试试能不能网上找一些什么图片看看
