[0:0.000,0:4.990,1]  欢迎收听陛下关今天势必下关的第27大家好我事业编
[33:53.050,34:15.780,1]  对我我我胡乱八卦一下你刚才说这个这个人是姓姓陈的这哥们儿这个这个工匠的这这个这个不知道从哪儿来的不是如果是如果是说到濮阳来自福建的话那那这点上也许也许可以可以产生一些联想因为这因为这个你知道就是姓陈的在福建尤其是闽南是非常
[34:15.840,34:44.750,1]  重要的一个姓氏啊其实就有点像呃姓林的是可能可能一半都是都是福建的一样就经臣的在在福建也是有一个非常非常显著的重要的一个PF就是因为因为这是其实涉及到是从那个就是所谓的开漳圣王吗就是就是闽南一带从指导开发就是城市成家过去开发的嘛所以这个陈陈陈陈陈元光还是什么啊是从河南好像是说从河南过去吧
[34:45.460,34:47.060,0]  是是宋代吗
[34:47.480,34:54.610,1]  呃对就我再送那个时间其实就是就是就是闽王王审知吗就是他们那个
[34:54.710,35:17.650,1]  就是建立闽越国的时候建立美美国的时候嗯OK然后你看像那个可能呃姓姓陈的这个什么在在福州有很多那个叫嗯陈龙是很著名的一个一个一个就是就是在在福州都很多庙的啊就是是一个叫什么水部尚书啊就是也是也是成家的
[35:17.860,35:34.920,1]  就是在在为为福建做出巨大贡献的这么一个一个一个官员呃详情也是姓陈的然后包括像什么陈嘉庚啊你看这个这个呀对陈嘉庚也是他都他都追溯自己的祖先就是追溯到这个这个这个开漳圣王啊这个
[35:34.920,35:38.040,0]  哎那成承保称是福建人吧对吧
[35:42.530,35:46.340,0]  是不是他保证不是OK他是那个江西的吧
[35:46.730,35:48.530,0]  就是他假期过关
[35:48.530,35:49.810,1]  亲去他们家是吧
[35:51.580,35:53.110,1]  他是江西的好像
[35:53.620,35:57.160,1]  江西成成家吗不是福建的
[35:58.260,36:1.130,1]  但是我这个是胡乱联系我这个完全没有任何
[36:1.130,36:7.870,0]  但是这个我觉得这个这个这个这个这样联系的非常好应该像想到福建成家对吧林家
[36:7.870,36:12.610,1]  陈家陈家队对然后那个那个呃
[36:13.060,37:13.060,1]  这个这个这个是王王审知闽王王审知对然后这个你要救我又扯远了就是巫山上的那个崇妙保圣坚牢塔哼哼那不是也是五代的建筑吗就是也是这样应该应该来说在福建算是比较早的建筑之一嘛那个那个无奈的石塔那个也是就是王审知的儿子当时要称帝然后就为了为了称帝就要祈福吗就盖了这么一个塔结果他妈的盖了三年还没盖完就已经被人干掉了Leon城对但是他们就是这几个这个比较比较重要的这个这个大姓呃留下的遗迹嗯因为当年他其实是一个蛮荒之地嘛是其实一个要被开发的土地所以从从北方来了很多人这个来来陆续开发这个地方就是他都是一些就是就这么几个家族可能主要是想王审知他们家是王审知不对我刚才说错了王审知是从河南那个
[37:13.061,37:26.810,1]  直线过来了就是在信阳那边附近对嗯对然后这个陈家好像人家是山西的我操亡了总之就是就这么几个家族怎么过来陆续开发然后林家估计也是这样的嗯哼
[37:27.310,37:33.250,0]  哎那说到这个乌塔了我倒想想到一张那个很多人都知道的那个老照片
[37:33.540,37:38.090,1]  嗯对福州的老照片从从屋山上拍下来的是吧
[37:38.090,37:42.535,0]  对那照片是谁拍的不知道但是我就看书上显示1870年
[37:42.535,37:56.640,1]  哦好像是美国人拍的反正这个福州尤其是留下来大量的那个时候影像就是晚清的那个影像就是很多什么像我我我印象比较深是那个张昌村拍了很多福州的照片
[37:57.320,38:0.270,1]  嗯对我不知道这张是不是啊就是因为
[38:0.270,38:4.620,0]  这是那个年代接近嘛说是1870年差不多
[38:4.620,38:5.420,1]  差不多嗯
[38:5.420,38:23.040,0]  就是他拍的有可能这张照片反正是让所有看过的人都觉得印象深刻因为他在这山上就整个俯瞰下面那个福州城嘛然后那个特别有特色的那些闽南那些民居因为它的那个几都像那个像伸开的翅膀一样的
[38:23.040,38:25.140,1]  俏的角度特别高
[38:25.140,38:40.050,0]  你像的对呀起价小队就像波浪似的一层一层一层然后一些大型的一些公共建筑就不在这上面好像是天气线又特别明显然后然后又是一边是那乌塔对吧一边是益白卡对对对
[38:40.050,38:48.900,1]  白塔是在那个鱼山上就离它很近很近两个星期他东面有一个深对于生于上有一个白那个白塔比较晚好像嗯
[38:50.570,38:55.170,0]  但是就是看起来然后那个山两山之间还有一个大的那个文庙
[38:55.480,38:57.400,1]  哦那个那个现在好像就没有了吧
[38:57.400,39:1.240,0]  有有SF
[39:1.240,39:2.520,1]  对对还对
[39:2.520,39:25.400,0]  因为这个这张照片太有名了所以我们一三年的时候专门去找这个角度看看再同样角度能看见什么样然后就往屋山上爬然后还真找到那角度了但是就是因为到了很多这个对但是挺有意思啊就是这照片里所有的重要元素还都在怎么说呢那个照片的经警啊其实就是巫山脚下的有一个庙较高爷庙
[39:26.350,39:31.730,0]  就是嗯对就高兴然后呢现在高岩庙呢其实大部分是附件的
[39:31.730,39:34.500,1]  对我就说也就是安装的嗯
[39:34.610,39:47.340,0]  对也就是按照这个照片啊对啊然后OK远景那个屋塔在对吧白塔摘然后还有那个门票也在然后但是就是不见成已经完全是
[39:47.340,39:57.250,1]  这个面膜现在已经面目全非了对对对然后您还是还是很很感人的一张照片我觉得那种中国中国古城的风貌对
[39:57.480,40:19.760,0]  对呀就是我觉得不管怎么说吧这个不知道近观怎么样至少远看来说那真是感觉非常好这个整个就反映了中国古代这个城市的规划也好整个这个这个建筑的这个这个形式形态也好都是非常非常迷人的怪不得那个老外在生活在这果岭的老外会对这个附件享受的印象那么好
[40:19.990,40:23.130,1]  对念念不忘哈嗯对呀这些不怕
[40:24.740,40:30.790,0]  嗯其实我觉得福建是山多福州市山也很多但很多山都都
[40:31.090,40:37.300,0]  记不得名字但是好像那个那种小山特别多然后山上一定有有寺庙
[40:37.590,40:44.070,0]  有有这种股既然后有有石刻摩崖石刻的也不少巫山上有很多摩崖石刻
[40:44.310,40:57.580,0]  对呀是啊就就是再往下那个南后街都有摩崖吗南宋什么什么嘉定多少年的摩崖ep
[40:57.620,41:1.590,0]  对我想那摩崖叫什么叫光禄路云台
[41:2.480,41:5.220,0]  对啊那个就在香港西巷里头
[41:5.770,41:12.320,0]  那那那个在三坊七巷里面有现现在实际上是个遗迹现在变成一个街心公园
[41:14.330,41:27.920,0]  反正从这些遗迹来说肯定福州这个地方从就像刚刚一边说的从这个唐末五代最开始慢慢开发然后到南宋估计已经开发的挺挺成功了不然不会留下来那么多遗迹
[41:29.250,42:1.810,1]  就是其实后面开始就变得人文荟萃了已经向近代这个三坊七巷对说太晚像出了多少多少名人是吧是啊是啊对你要你要从这个我们我们虽然我们的这个构思这个小系列的线索是龙兴之地啊但是你想看呃其实其实另外还有一条暗线是是这个梁琳对吧就是你们这个孙老师跟学校一直特别感兴趣的这个这个嗯你看那个邻家其实林徽因就是出自再往学校啊
[42:2.550,42:7.250,1]  对它虽然涨价是在杭州长大了但是它其实他们家住在
[42:8.080,42:13.310,0]  嗯就是他父亲是林长明对吧林昌那个邻居名仕清是
[42:13.310,42:25.400,1]  兄弟87是好像是ad兄弟啊我不知道是不是亲兄弟我不太记得了但是肯定是这种嗯同辈很近对嗯
[42:25.820,42:36.580,0]  那哎突然我又想着你发过来这个可能是有点太巴了这个再往下还有一位这个谢女士吗对这个和这个
[42:36.580,42:38.280,1]  互相不对哈哈
[42:38.280,42:40.820,0]  呃特别不对夫的对吧
[42:40.820,42:44.140,1]  呵呵那你说说八卦说说八卦
[42:44.140,43:11.130,0]  哎呦这个好啊我觉得大家自己看吧我就介绍大家看一下这个冰心奶奶的这个这个著名的叫太太的客厅这个这个这个呃那那篇散文也好小说也好反正最后把后面的那位面色苍白怕老婆的这个先生是描写的特别不开这个我每次看完了都这个忍着忍这附近都要都要都要笑死了我就呵呵后来说离婚给给给冰轻松稳定促去
[43:11.130,43:12.550,1]  真的假的
[43:12.740,43:18.030,0]  呃还只是说呀说给她一瓶醋还还还
[43:19.410,43:24.010,0]  说给他带带一瓶山西老陈醋就不知道真的假
[43:24.870,43:27.720,0]  哎但他们住的地方好像就是就是
[43:27.760,43:32.210,0]  那个三管齐下头里那个地方就是挨着杨桥大街
[43:32.710,43:34.010,0]  就是说
[43:34.010,43:38.960,1]  估计再往下的最北边嘛然后那个您家是在南边一点好像嗯
[43:38.960,43:42.120,0]  哎那那为什么说这个是邻居明故居呢
[43:43.210,43:46.170,0]  就现在的冰心住过的地方
[43:46.540,43:53.380,0]  反正是是是很大的牌子写着林觉民故居然后冰心什么
[43:54.760,43:56.660,0]  住过的地方现在就
[43:57.170,43:59.140,0]  都都都是在一个院子里
[43:59.330,44:24.130,0]  才导游是这样介绍的不是我记得三坊七巷当然了现在的上网就像我们也就不不深入他了因为大家这个人云亦云的这个改造的好也好商业化过过分了也好或者以后慢慢的会变成这个妇人的会所也好但我觉得三网迹象至少从中国近代以来就是一个很重要一种文化现象就是说怎么近代特别从这个呃1860年以后
[44:24.160,44:34.270,0]  这个福州这个地方居然出了那么多对近代有影响力的甚至都几乎就是欠着中国这个近代历史的一些重要人物
[44:34.820,44:40.550,0]  对这个我觉得这是很大的文化现象而且相比广东还没有出道这么多人我觉得
[44:40.550,44:42.970,1]  广东什么广东有吧搞得显然有
[44:42.970,44:45.480,0]  我说没有那么多啊我就没有这么多
[44:45.530,44:50.690,1]  也很很多吧那梁家就是广东啊
[44:50.690,44:53.950,0]  这两家gre姐
[44:53.950,44:57.960,1]  呵呵我觉得还蛮多的啊
[44:58.190,45:4.680,0]  OK那至少吧就是广东福建还有一个就是将这三个这个传统地区存在竞价出的人工
[45:4.680,45:7.610,1]  是是是我觉得跟通商石化有关系吧
[45:8.080,45:17.300,1]  就是就是确实因为开埠吧就是通商口岸然后因为突然考就商业商业肯定文化各方面都非常发达嘛包括上海也是
[45:18.510,45:45.000,0]  那还有一个可能是不是就和当时这个就是呃马尾那个附件那个传正的那个就是南洋水师这还有那个学校叫什么我觉得这个挺重要因为好像从1860年代开始就有很多人就是留言好多人都是从那个系统里出来的对然后他们在1860年70年就见得到英国去怎么去学海军什么的然后回来都是开阔了很多眼界然后怎么怎么回来我觉得这是不是一个地方
[45:46.630,45:55.740,1]  嗯对我觉得是而且但是我觉得这两个可能其实是同一件事儿吧就是他制作业有马尾那个军港也跟也跟这个
[45:56.980,46:2.910,1]  通商啊这些有对外开放有关系吧嗯就是就是海洋变得重要了吗
[46:3.830,46:11.630,1]  对吧因为你在之前如果你你这个你没有这种海洋贸易啊什么的就你不会
[46:11.880,46:14.070,1]  就是福州这个地方就不会变的很重要
[46:14.810,46:23.660,0]  哎我想到就是我我我思维又跳跃了一下我想到这个附件最重要的三个城市这个沿海城市一个泉州
[46:23.660,46:25.850,1]  对吧厦门嗯
[46:25.850,46:33.260,0]  厦门泉州然后福州这三个城市还各有特色这个城市的这个性格还有点不太一样
[46:33.880,46:36.090,1]  还挺不一样的嗯拜拜
[46:36.090,46:46.700,0]  还挺不一样的这个哎那个竹子你你能聊聊吗你我觉得这三个地方你都挺其实这个厦门时间还是比较现代的
[46:46.880,47:32.770,0]  我以后对我其实我从厦门只是路过嗯但泉州不一样泉州我感觉就比较比较让人穿越是因为他们的生活方式就泉州人的态度全球人和福州人是完全不一样的福州我感觉是个挺激进的一个一个话哎对对对他是老想跟上时代步伐你比如现在其实我去年去因为泉州要要大张旗鼓要做那个福州要做这个福州学员嘛要跟上倾向的这个号招一带一路吗所以要把海斯跟孩子有关的九个城市联合发布这个海上丝路什么旅游开发然后发表福州宣言
[47:33.080,47:54.720,0]  就他他来做这个带套带头而且从比如香港期间变化或者是嗯之前的就是其实我感觉福州是一个挺挺愿意跟上时代的一个然后泉州市完成另外一个性格泉州就是你外面看好像大城市就城市也都差不多但是呢你和泉州人聊他们就
[47:55.020,48:31.030,0]  他不可能年轻的时候也出海浏阳南洋经商然后四十来岁五岁就回来该唱男人唱南应该玩儿各种古的那些东西然后泉州女人也是前面跟你喝茶聊天卖好茶回去就抱孩子就是特别传统的那个感觉你去寺庙里就就但是可能福州和泉州都是后来我走的越多越发现他们就是民间性还是很剩这两个地其实都挺瘦的但从整个城市样貌和性格来说我觉得去福州和泉州可以说是还蛮
[48:31.590,48:37.620,0]  相对立的一个不是对立了就是就很香逸的两个性格城市的
[48:37.620,48:44.750,1]  我我觉得举个不恰当的例子其实有点其实相当于上海跟北京的这种区别因为福州
[48:44.750,48:45.370,0]  就是
[48:45.370,49:10.760,1]  早年也是闽国的首都嘛对吧闽国美国首都然后这个现在也是省会你泉州一直是一个就是一个商业性的城市嘛就是从对他最繁荣的时代元旦也不过就是一个商业的港口他没有成为一个政治的中心所以他这种这种机器人式一般来说出自就是权力比较集中的地方吗成人文化也比较集中
[49:10.760,50:1.130,0]  这个这个我这个我我我我同意我对福州的印象其实我觉得福州挺这个城市啊大家这个挺夫人之类的比厦门和泉州还不一样和比厦门夫人的累在厦门我有些很CF的感觉但是在全福州我就觉得很一个而已而且我觉得福州的人不太谈了而且对大家都而且好像他就说自古以来而且一直到现在都有很多这个外来的这个这这个人我对福州我也我也有印象挺深的我刚到福州坐公交车嘛然后那个在开着车然后突然这个好像有一个人不遵守交通规则吗差点出事故那个那个司机就破口大骂然后我一听这四千八的是标准的传中话就是那个我说这这这个爱好我我就不下去就是臭
[50:1.130,50:3.400,1]  对对对主管我呃对
[50:3.400,50:10.940,0]  四川人和四川人在在附近在在福州开开公交车哎呦他把我笑死了呵呵
[50:10.940,50:14.520,1]  这个这个这个插板篮球啊什么迪
[50:14.520,50:18.180,0]  这说明什么呢说明福州外来人多吗
[50:18.580,50:33.700,0]  哎我觉得福州外的人还挺多的可能他这个文化就是一方面福州人很自持啊就它因为它有比较长的历史保留了很多很好的传统美食啊什么的这个都都挺多的而且他们也就福州人ran
[50:33.820,50:44.730,0]  人造就是说呃挺挺安逸不都挺好而且就考大学可能或者我来我也不太到福州以外的城市去而另一方面他又包容了很多外来这种这种
[50:44.730,50:50.530,1]  怎么会怎么会查大学不到四以外的福州又没什么好大学嘿嘿
[50:50.530,51:1.270,0]  就说就说如果就说你就一般的人啊因为这个我是苏州人吗我们我们当时这个在我们学校有一个很很不好的传统就是都不愿意考到
[51:1.680,51:16.530,0]  考到外头去好像我我上次跟哪个福建人福州人聊了一下好像也说是他们他们那也就是说除非你考这个什么什么特别好的学校其他他们一般也很安逸的就在福州什么楼口上一个学校就就挺好的怎么样
[51:19.230,51:27.310,1]  哦那那那可能就是这种感性认识不一样因为我我我自己我自己家里我父亲就搞到外面去了可能
[51:27.310,51:32.800,0]  对呀因为朋友比较优秀这种
[51:33.800,52:11.060,1]  我我我对福州有特别多的这种感感性的认识因为我父亲以前是读那个福州一中就是应该是福建省最好的学校吧就是也是那种好像林则徐在那儿上学还不如就是前身之类的就是就是反正就是全国全国重点吧就是那种嗯哼然后他呢他就他就觉得这个他们那个学校是非常的这种就是地址你知道就是OK非常惊异的他们他们的那种认知包括像这个什么三坊七巷当天也都是这种因为全是名人故居吗确实那里住的人还都是比较精的那种人群
[52:11.060,52:17.090,0]  这不你小的时候那里就已经是故居了吗就已经不是那里面住的都是还都是
[52:17.090,53:0.070,1]  有升有比较有身份的那种人在读吧就是望族的那些那些因为我父亲他他自己不是他他是住在那个江边上的台江那边就是上下杭那里那里还是一些比如什么伤人啊手工艺人车的地方对他们属于城外然后那个担保金下的人对他们来说都是属于就是比较积极比较高比他们高的人嗯OK对对嗯就你刚才刚才说的有一个不是有个老照片很著名的老照片你说的除了有一张是在那个呃乌山上那张另外还有一张是ad将中间有一个小庙那样就是我我父亲小时候他生活的区域就是全是那种感觉
[53:1.370,53:3.680,1]  对就很多水然后很多庙
[53:4.950,53:7.650,1]  对现在已经拆的乱七八糟了这就是
[53:8.580,53:40.660,1]  当然我我记得我小时候去很小的时候还有点那种那种感觉嗯包括我小时候那个我我父亲的一个姐姐住在江对岸闽江对岸每天路上就全是农田然后他送的不是不是这个量始终的是茉莉花因为因为因为滁州市出茉莉花茶的你知道下民宅拉米男士这个闽南士官铁观音然后闽北是这个严查但是福州市福建的福州就很惭愧不过就只有这种茉莉花就比较长
[53:40.660,54:0.130,0]  哎那个我呃这一边这让我想起了那个就是盖洛写的那个18省府里介绍福州他那介绍福州就说因为福州也是一个农产品主要是当时就是一呃开户以后主要是出口农产品吗就是一个就是呃呃瓷器一个是茶一个就是花
[54:2.580,54:4.530,0]  好像还还就是茉莉花
[54:4.860,54:21.430,1]  对呀就是15000G的这个茉莉花田是很奇葩的就是非常好闻然后那个就是我我记得我当时我姑姑叫我去摘这个茉莉花就摘哪一种摘下来是可以用来就是做茉莉花茶更没法做花茶吗对不对
[54:24.190,54:33.410,0]  哎这倒让我想起我上次去福州去一个地方其实我还蛮推荐大家去的他他实际上就是在
[54:33.630,54:40.670,0]  在哎呦那是什么地方他应该是在福州的东边他就靠海的地方就现在的那个
[54:40.830,54:43.020,0]  海上贸易
[54:44.030,54:48.080,0]  展览中心就是新开出是新开发的一个地方
[54:49.130,54:51.920,0]  应应应该是在东边吧
[54:52.080,54:56.490,0]  就在这个这个特别有名的这个海上什么贸易展览中心
[54:56.730,55:10.790,0]  就他不是要做这个思路展吗不思思路贸易吗现在有个特别大的新开的一个展览区它的对面就在河的锦江对面有一个小小的村子很像你说的这个感觉
[55:11.170,55:15.040,0]  就是就叫临浦临浦村
[55:15.150,55:26.830,0]  里面有个连江书院就是一过这个桥进到村子里它是它实际上是最早是是一个送的就送在最后的皇帝两个小黄你跑过来
[55:26.960,55:29.240,0]  然后在这边就就
[55:29.240,55:32.220,0]  有有点儿而且它里面到处都姓林
[55:32.470,55:40.100,0]  就光我看林公家庙就一堆就是什么对对对就各种就是从从别地出
[55:40.280,55:58.370,0]  别出来的姓林的人然后在这儿扎根然后翻译呀就就直接说他怎么记在零工家庙什么建群零工佳苗就各种加秒然后它它里面庙特别多而且就在这个海浙江江边还有现在还存留着一个宋代石塔
[55:58.800,56:10.420,0]  就很孤零零的旁边就是非常夸张大马路然后那个是台再再那啥就那个村子有点像你说的感觉而且还有特别古老的石桥
[56:10.800,56:19.790,0]  特别古老的榕树然后那个连江书院历史也很悠久然后还有木的清代留下来的因为它它这里面出了很多近视
[56:20.560,56:55.450,0]  还有坐上书的所以就他出了一个很大的那个就是这个电视牌楼很大的那个就是而且是木牌楼就木牌坊哎他们现在人特有意思我我走在那村里他们在开会就就这个玲珑家面前面还有一个像像泮池就是有个和水池一样他们在里面开会选什么呢就选呃尚书房因为它这个商住房文化什么叫文化协会代表他就在昔日的这个一大堆的近视
[56:55.820,57:1.070,0]  匾额的下面就特别有感觉就他他好像都一直在
[57:1.380,57:4.580,0]  保持原来的那个生活方式然后女
[57:4.580,57:8.500,1]  孙子听起来很不错进来像是一个很好的古村落的感觉
[57:8.500,57:23.030,0]  对对对我我听着我听着竹子这么介绍我也很有霞姐我觉得不管怎么说吧不不见也好福州也好这个都是呃追追根溯源都是一外来移民社会嘛就说当时而且
[57:23.220,57:41.230,0]  不进游戏这样他都是靠这个家庙呀宗旨啊维系的这个原来他们这个肯定得写的这么一个这这个雪人也好这个这个这个籍贯也好的这种关系所以我就联想到刚刚这个竹子说的这就说现在我们讲到这个中国其实有两个省份其实是宝
[57:41.470,57:57.410,0]  明丰相对保守而且宝瑞看了很多很多老的这种传统和这个文化一个就是我觉得就是土生土长的就是一直呆在的一个山西一个就是移民慢慢地一到这儿的一个福建这两个真是特别有意思
[57:57.780,58:3.260,1]  福福建有有吗福建有这种保持特别好嘛我觉得要
[58:3.260,58:11.520,0]  我我觉得福建还是保持的不错的我就举个例子啊那个我在附近我在福州看到有一次就是在看到有人出丧
[58:11.680,58:30.680,0]  就附近这个这个因为现在都是城市了嘛其实原来城中村他们其实还有一村落为这个单位的整个这个初三的就最后就是大脸了就是他们那个棺材要从村里运出去去这个到最后去火葬了就那套程序啊啊那个蔚为壮观啊这和我们在山西看到的很像你
[58:30.680,58:43.510,1]  嗯嗯最后怎么我觉得你说的这点是对的就是他们其实保存的这种他活着的这个传统就文化传统报就是中族啊信仰啊这些就是非常非常的活跃
[58:43.510,58:54.130,0]  李杰从新路这里就能看到这个他很多这个文化的一些一些一些特征吗从这个哎我整个整个一套程序峨嵋岭啊和山西我们看到的基本上是很像的
[58:54.130,59:0.720,1]  可是他们就是鼓励保存的其实要比山西少太多了就是活着的东西还还不错
[59:0.720,59:3.100,0]  跟你说对外嘛他那个发展就快一些
[59:3.100,59:27.670,1]  嗯对不他他男方肯定还是保存起来要要条件上要差很多嘛而且其实就是他那边那个怎么说呢就是它就是保存那些人文传统多一点然后那个所以现在你看一般研究古建筑的就往山西跑你要但是研究什么呢研究什么民族啊民族啊人类学啊这个这个这个霉菌性ariix
[59:27.670,59:45.870,0]  你a大家想干卢湾都保存到1950年代了最后宋代的进度结果他给烧掉了这个呵呵那1950年的我们毁掉的挺多的无论是在哪儿那我觉得这个时间差不多我们就让这个谁页边来然后啪啪啪一下怎么来总结一下我们就这个收了就完了
[59:46.090,60:3.220,1]  总的来说其实福州市一个呃人文荟萃的吧这么一个地方还是挺多东西可以看的嗯咱们今天也就是初步的设立了一下其实还有挺多有意思内容呃呃呃我们下一期下一站
[60:3.740,60:30.930,1]  可能要去哪呢就是龙兴龙兴之地的利深圳来其实刚才其实已经呃稍微点了一下吧其实杭州吧可能呃杭州不仅是也是也是挺有意思的我觉得就是他不仅他也不仅仅是这个隆鑫之力同时在这个我们这个梁琳的线索上面也是一站对吧因为因为离婚姻是在杭州长大
[60:32.040,60:40.970,0]  因为我觉得是我我提个建议啊因为我觉得杭州可聊的东西真是太多我们是不是就是内容我们可以博客新浪再就是说一般
[60:41.120,60:45.940,0]  这个大家去杭州会忽视掉的一些杭州一些有名的这个古建筑你去看
[60:45.940,60:55.860,1]  我我我相信应该是这样的否则的话也没办法就是太内容太多了因为这样嗯好那么
[60:55.890,61:39.000,1]  这一期的地下关就到此结束感谢收听我们的节目逢周四上线推荐大家使用泛用型播客客户端订阅收听另外再次提醒我们已经开通了会员计划请访问B下关点com斜杠版本了解详情在地下关点com可以找到和每期内容有关的链接供大家按图索骥您也可以在微信公众号和知乎专栏关注B下关我们非常欢迎您以各种形式给我们提出意见和反馈如果您喜欢发邮件我们的邮箱是B相关Afghan同时也欢迎收听FM播客网络旗下其他的节目一天世界喂知道博物志内核恐慌太一来了
[61:39.050,61:41.190,1]  流行通讯哈sorry
[61:41.320,61:42.240,1]  映像
[61:42.370,61:45.490,1]  无资源和学美我们下周见
