[0:0.400,0:4.050,0]  今天是低价关的第14期大家好我是竹子
[34:56.725,35:6.850,1]  而且这一站的那个卡下你你看那山嘛正好它是因为它这个拐弯那特别开阔还有那个三面都是山对不对所以这个其实都是好
[35:6.850,35:17.150,0]  就是从预设抬到金山寺这段是最窄所以这这是最最重要的要地嘛角色以南就都是比较平缓的
[35:17.160,35:19.310,0]  那个预设台以北也是
[35:19.860,35:32.510,1]  对反正这条路现在是个国道那时候呢可能就是讲到就是灵丘到可能就这也有人认为就是说普英雄的可能也是跟这条道有一定的关系啊那个
[35:32.880,35:41.560,1]  但是的确这个我第一次我那天我我们走过好几次第一次那个是也是个冬天我们就是从来源
[35:41.560,36:9.600,1]  那个包了个车准备去那个灵丘的路上就走那条路而且是也记得是快春节时候车比较少那我觉得给我非常好的一个感受就是能够领略到太行山的那种特别大的那种气势啊就北方的熊那种那种那种山脉的那种气而且完了转转转转转转转a看见一个寺庙就在一个山上还有塔这个这个风景跟历史的这种结合我觉得是非常完美在哪
[36:10.260,36:15.710,0]  但是就是去年我我跟李老师我们还有梁老师我们又去了一次然后
[36:16.290,36:21.840,0]  现在就是因为这段本身地势也很险要很窄特别容易堵车
[36:22.140,36:24.720,0]  就是堵了全是那个大的玉没车
[36:25.010,36:38.160,1]  对呀所以我就说这只有在什么春节的时候春节那几天完了大家都回家过年了那时候交通最好出去看这种地方是最合适的平时去的话平时的话最大没车能躲一天都不是稀奇的
[36:38.160,36:42.750,0]  对我们在这儿堵了好几个小时下来一直玩嗯还办齐了
[36:43.020,37:5.610,1]  对完了这个呢就讲了这个普行行那么还有呢就是飞户型C户型就是雪山飞狐的那个飞狐啊那个飞户型也挺有意思它是基本上现在就是说有一段咱们还基本上可以就是说领着那感觉就是从那个来源也刚才讲的从涞源县城出发是往北走
[37:6.080,37:8.860,1]  穿过一个叫这个40礼遇啊
[37:9.920,37:11.450,0]  那个地方特别想要
[37:11.450,37:13.230,1]  嗯那个很简单就是说
[37:13.290,37:14.620,0]  高高的旁边高
[37:14.620,37:18.500,1]  山中间有条这个有条窄的一个路就在那个山峡里这么死板
[37:18.500,37:19.860,0]  片片的那种感觉
[37:19.860,37:22.580,1]  解完了这么穿出去以后
[37:22.620,37:23.760,1]  就是哪儿呢
[37:23.830,37:55.300,1]  就是咱们这个河北现在这个也是算是一个旅游热点的一个地方就是与线与与线线蔚县县城因为这个很很明显就是就是就是在一个这个两边都是山的一个古道里面穿着哎一下出去了开朗了开朗了以后那边卖吗就是个就是个县城就是与线与线也是我觉得是挺值得一去的一个地方不仅是因为它这个现在实现去盂县人很多这与些什么号称有800个国宝啊什么他是一个以前古代的一个一个防护种地
[37:55.370,38:6.210,1]  还有一个就是语音县城也挺有意思他这个禹县县城是明代的一个城市城池啊它里面还保存了很多的古迹尤其是他那个县城的北半部
[38:6.470,38:14.630,1]  城墙啊什么的保存的比较完整完了城外呢又是比较原始的农田所以看起来呢就是那种
[38:14.700,38:32.040,1]  有一些时光错留的感觉觉得好像时间在这里并没有改变很多大家看到的这个景象跟古代的景象还很像这个高高的成员成员上面还有一个大的一个玉皇玉皇楼玉皇阁对完了之
[38:32.260,38:33.530,1]  对完了这个
[38:34.270,38:37.810,1]  那这个感觉我觉得在我印象中还是非常美的
[38:38.000,38:42.400,0]  雨轩本身就是一个很原生态的一个一个
[38:42.620,38:59.910,0]  现成的那个感觉我们现在在想70年代80年代那个县城没什么区别他他他也没什么楼然后基本就还是平房这个巷子真的就只能叫巷子特别窄而且他这有个很奇怪的那个那个
[39:0.270,39:6.440,0]  感就习惯的习惯就是这个大家好像就在这个路中间
[39:7.120,39:9.680,1]  倒垃圾特特别喜欢
[39:9.680,39:15.470,0]  所以我们我们冬天去然后就大家都倒水啊什么那些干预就在路中间有个车
[39:15.470,39:18.200,1]  呃山西都这样
[39:18.280,39:26.780,0]  对对他们一直就是这习惯无论你这过车就特别困难走路都还都都得互相破这么走
[39:27.030,39:34.370,0]  哎呀很古朴觉得特别圆生菜但你细细走来呢又每个地方都都可看得更多
[39:34.470,39:38.570,0]  所以他这些一切都的它习俗也也包括他的心思
[39:38.950,39:42.390,1]  对禹县那个他还保存了很多寺庙
[39:42.770,40:10.710,1]  那个县城里面有很多寺庙各种各样什么真武庙啊什么灵岩寺啊什么完了你先外面有资料完了整个与现在这个县域的境内有很多的寺庙还有一些呃这个古堡有些思念很有名与现有一个叫那个故城四他那里面那个壁画那个水陆壁画什么的这个还是很值得一看的一个景点嘛呃禹县那个谁好像
[40:10.950,40:20.710,1]  我忘了是谁的就是专门儿好像写过很多雨倩的书啊完了那个介绍与现在这个什么还什么打这个什么铁花什么民俗啊这些东西
[40:20.710,40:35.690,0]  对对打铁花其实现在已经变成了这个旅游项目了原来是一年的时候才打一次现在就每个月初15都打什么时候去defa呼吁嘛就是走飞狐行最后快到
[40:35.690,40:40.220,1]  对呀就是就是越狱吗就是我们讲的40就我俩40厘米
[40:40.220,40:43.250,0]  特别好就是有有有这个
[40:43.250,40:58.240,1]  但是现在现在有一个有一个山风景的地方什么呢就是说像那条高速就在四是李玉中穿过去他修了个高价又打开就交高价所以现在就是天线全是冲突现在就是你在你在下面是
[40:58.240,40:59.500,0]  这么早啊
[40:59.500,41:3.590,1]  对你看看见上面那个有一个高价就这么这么差怎么
[41:3.590,41:17.720,0]  所以所以听这门要贯彻古村老师说的那个是就是先不要去国外因为他们都不怎么变化那个几十年几百年都那样先把国内的看完了但这个孔老师刚刚去了国外
[41:17.720,41:34.860,1]  我觉得这这个那修高速大概时间这个这个这个沟通这个两边交通的好事但有时候这个有时候也挺煞风景的因为因为这个高速一一桥飞架南北天堑变通途以后这个就把这个整个的这个有些自然景观就完全的给破坏掉
[41:35.420,41:40.710,0]  我我我对那个那个飞狐飞狐行印象比较深的就是
[41:40.970,41:50.390,0]  就是他跟禹县的那关系就像就是他一绝壁吗完全是就是啊对在这个禹县看这个非湖口飞飞狐峪这块
[41:50.510,41:55.130,0]  然后当地不是有个传说说禹县这块古代是海
[41:56.140,41:57.310,0]  你们寄的吗
[41:58.150,42:0.340,1]  这个你你我都不知道知道
[42:0.340,42:6.700,0]  就是说说这边古代是一片海吗就是说飞狐峪那边是高地吗
[42:6.740,42:10.780,0]  然后但是我查了一下的确古代吃海但是是
[42:11.160,42:12.600,0]  300多万年前
[42:12.600,42:22.645,1]  呵呵其实挺有道理的我觉得古人也很很睿智啊因为你看从飞户型那山很高对吧一下平了这与新的全是平的
[42:22.645,42:28.360,1]  对他就像个门一样吗那就像门一样就等于加进去就是就近了大概
[42:28.360,42:34.260,0]  就是西失败那应该还是有这个内陆就巨大的内陆湖的这排生的晚
[42:34.260,42:37.410,0]  我我想可能是这个当地人可能在这个
[42:37.510,42:46.510,0]  飞狐峪附近的山里可能有发现那个化石海洋生物什么有这种有这种那个传说出现
[42:47.020,43:25.360,1]  对完了这个这个呢就是刚刚讲的这个飞狐行那么其实这个我们最后再讲一下这个就是军都行君都行呢实际上这个是跟北京关系比较密切实际上就是咱们北京的那个北边的这个从这个南口啊进去对吧完了居庸关完了八达岭玩这条线一直往北走完了穿过这个完了到达那个等于到达现在应该塞尚塞外或者是蒙古这个草原这这这一条路比较直这个实际上这个实际上已经是什么呢已经是这个太行山山脉跟燕山山脉交界的地方
[43:26.940,43:40.900,1]  呃那么飞狐行呃军都行这个因为去北京去的应该很多因为这个就等于就是去八达岭直接就走这条路现在那个进站高速哎对京藏高速等于也是从这个地方穿过去
[43:40.900,43:42.940,0]  数学失手吧没失手过吧都
[43:43.250,43:45.090,1]  但是里程不就打进来了吗
[43:45.090,43:51.955,0]  呃就是明朝我说明朝您看好失手全是因为飞户型失口失手然后从普音进来的是吧
[43:51.955,44:3.390,1]  三节那个那那边多但是那个代理自成的确是从李自成是从这个居庸关因为军官那边的首架回来投降投降是不是打下来嘛就是说名称
[44:3.390,44:5.630,0]  到时候是菌株永远打不下来
[44:5.810,44:14.090,1]  特别近那是对沈阳那是房子最厉害的一个一个一个一个地方等于就是据此手的一个地方
[44:14.290,44:25.340,1]  那么其实军都行就是我们想这个就是给大家的一个介绍的一个我觉得一个最重要的一个看点呢实际上是在这个居庸关
[44:25.540,44:33.940,1]  军官现在是个景区的其实军官好多关城啊这些都是后来修复的比方那些但军官中间就有一个那个
[44:34.290,44:35.380,1]  云台
[44:36.220,44:39.470,1]  对那个是我觉得整个这个
[44:39.660,44:43.270,1]  就是军都行上一个最重要的一个
[44:43.300,44:54.180,1]  要看的一个历史文物它这个云台实在也是一个就是呃有点像刚才超人那时候讲的也是一个过街楼上面其原来上面也是有建筑的
[44:54.180,44:56.615,0]  邮件主题是汉白玉的
[44:56.615,45:20.680,1]  对但是他是石头做的一个过街楼完了可以看见老照片老照片那个原来的古道就从那个过街楼这么走过去对吧那个建筑呢本身呢他是元代的一个建筑那么呃比较值得看的一个就是说他这个云台的这个就是过街楼这个门洞里面克了好多浮雕还有好像大概有这个几几种文字六种文字666
[45:20.680,45:26.690,0]  肉体罗妮鸡肉啊范文蒙古呃汗
[45:26.690,45:28.790,1]  嗯就是848蒙
[45:28.790,45:35.220,0]  呃汉文然后还有这个回魂呃回鹘文还有一个是什么来着
[45:35.600,45:36.910,0]  藏文对是
[45:36.910,45:41.640,1]  上完后六中文这个是一个就是非常重要的一个
[45:41.640,45:45.410,0]  我们今天还能看见这些字写在一起就是人民币
[45:46.040,45:52.130,1]  呵呵rally什么人民币没有没有烦人
[45:53.000,46:5.930,1]  还有一个就是他的那些那些时刻那个那个浮雕石刻那里边课的这个天网阿克了这个就整个这个是一个我觉得是一个最大的一个就是这个菌株形象的一个
[46:7.480,46:18.260,1]  现在就是比较不幸的就是他现在被包裹在这个呃居庸关景区里面了就是你不买这个不买那军官的门票你是
[46:18.260,46:25.540,0]  老关系门票是晚点去等那个军官景区下班的时候那就没人看守了可以看了我们好几次都是这样
[46:25.690,46:27.320,1]  呃是吧
[46:28.250,46:45.090,1]  嗯不现在我觉得我觉得有一点挺遗憾就是他那就改造了吧跟着老照片都不一样了就是老照片那个他那个就是云台旁边那些老房子什么就他整个行车建议es
[46:45.270,46:47.720,1]  对其实特别大风景
[46:47.720,46:49.580,0]  纪念碑式的东西啊
[46:49.580,47:3.220,1]  对这个特别煞风景其实应该是他是一个观城旁边儿加的有些小房子完了这样子这样看起来感觉就跟你这一个偌大的停车场中间包来一个声音关成那感觉就完全不一样这个是我觉得很失败的游戏
[47:5.220,47:8.780,0]  那么我觉得就是军都行其实就是
[47:8.960,47:20.220,0]  比较重要的是这其实也很难想象的就是1996年的台海危机之前这还是中国最重要的这个战略防御中心
[47:20.680,47:28.400,0]  那个九五年最后九五年的军演还在张家口为了防止苏联俄罗斯俄罗斯入侵
[47:29.520,47:30.380,0]  而且像男
[47:30.380,47:32.450,1]  这个呢历史上一直是这样
[47:32.450,47:38.110,0]  你像南口那个这个都是这个重要的这个军事重地你像那个
[47:38.250,47:41.890,0]  男朋友坦克营啊虽然坦克博物馆都在南口
[47:42.230,47:51.920,1]  对呀那个抗战的时候在南口那边跟那个日本人打了很大的一场占那个那个就是战役吧南口战役好像死了很多
[47:51.920,48:0.160,0]  就是就是太阳吧行这是应该是这个利用的最最后的最晚的就是在1995年这还非常重要
[48:0.580,48:4.750,1]  嗯对这个所以军都行吗这个还跟军事有关系
[48:5.210,48:9.870,0]  就是995年之后这个中俄领导人抱在一起才
[48:10.030,48:11.860,0]  这个解除了这个危机
[48:12.730,48:16.750,1]  那这个谁知道呢以后是不是还会在
[48:16.760,48:22.070,1]  呵呵嗯这没有没有永远的敌人没有永远的朋友对不对
[48:23.520,48:52.240,1]  那个其实这样的我们基本上就跟这个听众朋友我们就把这个整个太行山的从南到北我们这太行吧行实际上并不局限于这八条行到的是吧行那我们跟这个大家的这个粗略的旅了一遍那么其实每调情到呢都有他自己的一定的特色在里面啊这个呃风景啊历史典故人文历史它这个背景都不太一样
[48:52.240,48:58.770,0]  其实咱们这个今天是讲的典故还少一点我觉得记得咱们考察的时候来源特别有意思
[48:58.770,49:0.340,0]  因为来源本身也是
[49:0.500,49:5.190,0]  那那个呃两个行到然后又通往这个
[49:5.220,49:8.190,0]  保定地区很重要的口子所以
[49:8.460,49:9.630,0]  有好多故事
[49:10.690,49:22.540,1]  对呀来源找到来源我们可以再讲一下就是来源有一个里边有一个阁院寺是阁院寺的大殿是我们现存的唯一的八座辽代建筑之一
[49:23.600,49:25.550,1]  对吧对完了这个
[49:25.550,49:29.330,0]  我觉得最有意思就是咱们考察的时候那个是
[49:29.560,49:32.670,0]  他龙猫所所长嘛给咱们找的那个
[49:32.670,49:48.380,1]  面对面的那个呵呵因为这假就各再讲讲清楚点格乐思现在等于是一个文保单位了它里面除了这个阁院寺的婺源他一些收集一些来源其他地方的一些文物放在里面那边
[49:48.450,49:50.740,1]  这里面有一块呗a
[49:50.740,49:56.770,0]  这些都挺震撼的呀那成吉思汗纪年600多年的那个呗还还500多块钱600多
[49:56.770,50:4.980,1]  那也是其实也是那个维蒙人家看着热水器对es维蒙那时候那是属于那个察哈尔
[50:7.240,50:11.070,1]  完了那个有一块什么这个玉碎背啊什么
[50:11.070,50:12.825,0]  腾讯客栈新歌
[50:12.825,50:13.820,1]  呃才行
[50:13.820,50:15.360,0]  嗯小柴俊男
[50:16.200,50:23.510,0]  手机就是当时那个因为有一些那个慢换吗怎么看不太清那个所长给咱们念的特别清晰
[50:24.790,50:29.020,1]  玩尤其是哪里当地方言来念就特别有意思我问你录了没有
[50:29.390,50:31.850,0]  我我大概都背下来了已经呵呵
[50:31.850,50:35.840,1]  我说你但问题就是拿着当地的方言特别有意思
[50:35.840,50:39.270,0]  而且那是就是我我打我军这个
[50:39.350,50:41.340,0]  抗战的一个史记吗
[50:41.700,50:45.800,1]  呵呵什么你把这个碑文给录到网上
[50:46.100,50:48.825,0]  嗯嗯对咱们回头路在网上
[50:48.825,50:53.720,0]  因为一开始我觉得我一直觉得还写的挺有文采的好多人说
[50:53.720,51:8.490,1]  哎你们俩在这聊着呗其实大家如果不不知道背景的听得一头雾水的这个那你说不知道这个那他超人来说超市都能背出来了我这大概是一个什么样的历史背景什么故事可以就是没有简单介绍一下
[51:8.490,51:16.570,0]  这个这个好像哦这个我好像在这个APP上其他节目里说过这块呗还是我忘了那个呃就是
[51:16.670,51:17.760,0]  呃
[51:18.430,51:23.530,0]  日军手这个来源的时候然后就是讲这个
[51:23.750,51:27.675,0]  征用这个文庙啊还有阁院寺这些这个
[51:27.675,51:29.160,0]  这个建筑嘛然后
[51:29.160,51:31.690,0]  当地的这个尾县太爷
[51:31.760,51:35.950,0]  就劝日均不要站这几个屁股垫然后
[51:36.210,51:40.990,0]  不光不战还得派工程兵把这几个古建给维修起来包括那个
[51:41.480,51:44.130,0]  那个孔庙啊什么的
[51:44.190,51:45.120,0]  然后
[51:45.520,51:51.060,0]  那个日军的这个主力就开始修这些庙然后就被我我军
[51:51.270,51:59.800,0]  杨成武部队给琪琪了百团大战嘛然后就基本上全歼日军而且就日军最后就欲睡
[51:59.890,52:2.060,0]  就是集体这个
[52:2.250,52:4.620,0]  自杀了然后他们就有这么一个
[52:5.220,52:8.140,0]  后后来的这个警备队的这个
[52:9.170,52:16.090,0]  是什么大佐应该是然后有一个就是纪念这个玉碎这样是两块碑两通呗
[52:16.450,52:30.505,0]  当时给他念的是那占勋哥另外一个不记得他一开始就写到这个涞源县的那个地理环境跟这个太行吧行这些孔道之间的关系特别重要就是说一开始是越摩天岭涞源县
[52:30.505,52:32.920,0]  然后西方瑶对五台山
[52:32.940,52:36.800,0]  文化一线长城股东与一周到相连
[52:36.910,52:39.420,0]  然后紫金雄关具高岭
[52:39.540,52:43.340,0]  千山万水别地天茶南一卧隐
[52:43.520,52:44.440,0]  然后
[52:44.620,52:57.150,0]  呃就是边境小柴部队此处蒸嗯大概是这样他介绍了这个来源和这个易县和北边儿的这个整个的这个单产品山行是嗯
[52:58.830,53:5.600,1]  完了就讲什么什么共军什么3000人围攻他们几天几夜什么的好像我记得是不是
[53:5.600,53:8.040,0]  是这个什么
[53:8.450,53:13.140,0]  呃词数水手铃木对比处公水杨成武
[53:13.210,53:21.930,0]  然后说咱们去的时候是说杨成武的女儿刚去就是前一年或者是前一段时间刚去看过这同呗
[53:23.080,53:26.330,0]  然后文具城雷山雯珊维汉
[53:26.330,53:28.550,0]  国锦百人的3000
[53:30.920,53:32.830,0]  然后最后他们写的这个
[53:33.390,53:34.340,0]  呃
[53:34.480,53:36.550,0]  要是我想想啊叫什么
[53:36.670,53:37.730,0]  那个
[53:38.140,53:43.530,0]  万事休唯一决战武器烧尽然后话徽因
[53:43.920,53:47.900,0]  然后呃振辉刀枪惨旭日
[53:48.170,53:49.380,0]  然后是
[53:49.920,53:53.540,0]  什么善德任冲的血喷
[53:53.760,53:55.090,0]  碧血剑
[53:55.250,54:2.800,0]  键元岭路山然后英魂哦对对我记得这个比较有意思就是英魂远归晋国停
[54:4.170,54:6.120,1]  就靖国神社了是这意思
[54:6.760,54:8.780,0]  那还有我觉得还有什么
[54:8.980,54:11.990,0]  姚像冬天呗工程就是
[54:12.430,54:16.250,0]  就是都是那个感觉就是宋代的那种状态
[54:17.280,54:21.610,1]  这估计是应该是汉语文学不应该是这个应该是中国人写不应该是
[54:21.610,54:26.400,0]  不是但是说是他是那什么嘛说小柴俊男是中国通吗
[54:27.910,54:31.180,1]  不不有一点就是那个说这个在
[54:31.180,54:38.270,1]  这个日本在中国阵亡的一个什么最高级的一个那个阿布闺秀其实就是再来园附近被这个
[54:38.340,54:49.880,1]  北北北北基地但是这个几率好像是是是这个是这个H的一个炮弹打过去以后只要打到他房间里把它给打打给打死好像是这样就行
[54:50.010,54:53.150,1]  嗯嗯嗯就是应该
[54:53.730,54:56.780,0]  就是北这个北三型的特别
[54:57.460,54:59.100,1]  西北三天
[54:59.200,55:3.280,1]  北三行基本跟这个就是干战争对跟战争
[55:3.280,55:7.990,0]  行行都有关系啊那男三行跟那个先秦战争还有关系吗
[55:7.990,55:23.640,1]  对就北三型的就跟咱们竞价的一些战争对包括这个就是我还就在补充一点就是就是军都行北边就是出去以后到这个张家口路上有一个那个鸡鸣驿嘛对吧居民一线大区居民一附近有一个土木堡
[55:24.050,56:6.520,1]  土木现在的土木村就是发生一个也是重大历史事件的一个地方这个如果喜欢历史的人可以到那里去去凭吊当年这个对民宗民中这个尤其是现在看的这个就是说明妃明妃呃女一明妃传这个电视剧以后对着大家对这个这个米谷老师串肯定句哈哈这个民宗跟那个跟那个明珠后边那个他弟弟对吧就有一个印象这两个帅哥实际上历史的并不是这俩人是这个关系啊这但是这个挺有意思的我觉得结合了历史剧再到那去评价一下历史就更有感觉了
[56:6.780,56:8.610,0]  杂历史教育现实哈
[56:8.720,56:19.610,0]  然后也也经常发现中间的差就是中间有很多误会其实是在重新在解读的过程中才会才会去去这个
[56:20.040,56:22.000,0]  去去去修正的
[56:22.100,56:25.040,0]  像比如说刚才您说这个普通型的
[56:25.260,56:27.560,0]  还有必须在哪一条线上
[56:27.810,56:30.470,0]  嗯这这个古人考察就错了
[56:30.850,56:33.410,0]  今天就就就再重新把它
[56:33.590,56:35.310,0]  去去修着冷敷
[56:35.750,57:1.410,0]  那我们这几天呃这两天这个分两期来来说这个泰航发行实际上就是说给他提供了一个旅游的一个新的方式就是说在游山玩水当中不仅体会这个景色的美丽还是要去发掘更后面更多的历史文化宗教艺术这些那你会觉得旅行可能会带来更大的乐趣
[57:1.600,57:7.320,0]  唐山市作为一个这个中国历史华夏历史上特别重要的一个山特别的
[57:9.830,57:11.920,0]  就像一个山水画一样
[57:11.920,57:36.620,1]  我觉得我觉得我觉得你刚才讲的非常好就是说就是其实太行山就像卷开的一个长卷它既是一个史书又是一个画册等于让我们大家可以个人有个人的很多的解读的方法那我希望大家这个听有没有机会呢也可以跟我们一起也可以自己呢大家在以后再去这个去读太行山这不大的画卷跟史书
[57:37.500,57:52.950,0]  好吧那我们这一期的地下关注到此结束感谢收听也希望大家喜欢我们的节目从周四上线推荐大家使用泛用型播客客户端订阅收听在地下关点com可以找到于每期内容
[57:52.990,58:9.500,0]  相关的链接供大家按图索骥您也可以在微信和新浪微博关注B下关我们非常欢迎您以各种形式给我们提出意见和反馈如果您喜欢发邮件我们的营销是地下关爱ran
[58:9.610,58:21.770,0]  同时也欢迎收听ipad网络旗下其他点it公论喂知道国五智力和狂拍一来了流行同性海尔印象阜阳选美我们下周见
