[0:0.000,0:1.480,0]  欢迎收听陛下关
[33:58.965,34:1.550,0]  就是国内应该叫保管员
[34:2.240,34:15.540,0]  对吧对就是这个他有这个病大有一个专职的一个人员就专门做中国文物的这个保藏宝就是保管啊这个这个的具体工作就像卡片呀像这这个的
[34:15.660,34:26.090,0]  其他的比如说像就服务管理的QQ的这个角色就说特展啦就研究呀科研的那边大还是以这个大学里的老师这个兼任不光中国不加每个不都是这样
[34:26.090,34:27.590,1]  哦那我就
[34:27.670,34:35.900,1]  猜想他们是不是比如说其实就是这些教授带着自己相关做这个中国相关课题的学生大家一起来
[34:36.910,34:40.070,1]  就把这方面的工作就给就是由他们来就给做了
[34:41.600,34:55.350,0]  所以作为宾大的学生来说这是一个比较幸运的事情因为你能够很深入的参与到这个博物馆的怎么说呢馆藏的一个研究工作吧对而且我我可以告诉网银的是就这几年其实呃成果还颇丰
[34:55.540,35:3.430,0]  这个大家还做了很多工作这个有了很多成果这这都是以前不知道的很多事情现在都开始慢慢的接入出来了
[35:3.730,35:5.840,0]  所以所以人多力量大
[35:5.840,35:9.460,1]  啊哈哈和中国快点把逼塞给我
[35:10.080,35:13.280,1]  呵呵呵呵我举个例
[35:13.280,35:18.890,0]  我随便举个例子呃这个在袁经理有两件这个
[35:19.220,35:32.440,0]  东汉就是东汉大概东汉晚期出自河南的两件这个呃有一神兽对我讲的比较学修了比如那这个其实就是这个证不受但是反了
[35:33.500,35:39.650,0]  但是绑的生物少然后就是样子又像诗对象麒麟相天路怎么着然后这个这个
[35:40.490,35:44.970,0]  呃最近就是电大建筑系的一个一个学生他
[35:47.150,35:51.380,0]  就正好就是因为现在这个病大有有这个就是
[35:51.640,36:7.850,0]  就中国部的有一个付款其实也是一个大那个CSF他开一门就宾大博物馆的中国馆藏的这么一个一个专题的一个研究课所以这些学生就在这个研究课里头然后就大家就找一些的就是感兴趣的这些
[36:8.160,36:21.510,0]  八点就是感兴趣的文物自己做研究嘛然后这个建筑系的学生他就呃经过对收藏党的一个研究然后对国内的情况的一个调查然后他就把这两个狮子的出处给搞清楚了这个还是很重要的
[36:21.510,36:24.685,1]  啊所以在他做这个作业之前以前是没有人知道是哪来的
[36:24.685,36:29.150,0]  不知道以前不知道因为以前收藏里因为你知道古董商卖东西他是很
[36:29.990,36:31.530,0]  因为这些文物啊
[36:32.710,36:37.050,0]  就是说他从他的这个发生地它原来的地方被移走
[36:37.060,36:42.560,0]  被人拿走然后再鸡精过很多次转手才到最后出口的那个文
[36:43.650,36:49.375,1]  就是盗墓贼本人是不可能去和国外的博物馆互相通信直接卖给东西对
[36:49.375,37:0.490,0]  哎那当然了这当当中已经转了很多手了现在可能也情况也是这样就是说可能转了两到手三到手然后其实这个文物这个东西从哪出来的
[37:1.070,37:12.330,0]  连最后卖的人他也他自己也不知道他是大概知道一个具体的一个ord河南可能山西或者河北呃他能知道线都已经是很很很很神奇的事情了
[37:12.580,37:55.450,0]  所以你根据收藏党你是他是不会告诉你他是从哪来的因为这个因为这还有一个他从行规来讲他也不希望你知道它的这个来源是哪里因为这样的话它的这个中间环节就没有了嘛你如果这样你直接到地头去买不是他们继续转口的这个转手的这个事情所以很多的文物都是语言不想的对所以这里头就很复杂所以这个这个学生这个这个这个建筑系这些人他把这个两两个大大的这个大大狮子也好大麒麟养大天路也好的这两个的出处找出来我觉得还是很很了不起对然后应该是完全对上了而且还和国内的留他和国内流的意见也对上还和这个集美博物馆的就法国集美博物馆的一件也对上了
[37:57.590,38:23.580,0]  这可能也是冰大的一个优势嘛就是说可以有一些博士生也好硕士生也好意思或者一个本科生也好你可以来修这个课可以有机会接触到文物上手文物可以接受到他的各种票的档案可以再和国内的情况相联系做但如果你说有些博物馆可能你就没有这个条件对吧你看如果你去大都会做一点对呀那就就就说adifferentstory
[38:23.580,38:31.290,1]  那这个我明白了我们接下来就直接说到这个展厅和展览本身吧呃
[38:31.550,38:34.810,1]  他我不知道你说他其实是个圆形的展厅
[38:34.880,39:0.040,1]  但是我在网站上看到这个自己他们餐厅自己的介绍的时候是把中国的和日本的呃这些理财放在了一个的ankx然后里面下面有禅意枕直喷呃差nan那我们具体去参观这个听的时候会不会说走进去之后其实是中国和日本的产品夹杂出现的状况呢
[39:0.080,39:9.310,0]  呃这个不会为什么呢因为这个日本的东西它是以叫做日本的佛教艺术这么一个主题它放在了
[39:10.470,39:14.900,0]  进入园厅的一个通道里然后到了原平里以后全部都是中国的
[39:14.940,39:17.550,1]  嗯那我就放心了呵呵
[39:17.650,39:20.320,0]  但是就有一点会QQ的是什么呢就是说
[39:21.740,39:27.620,0]  日本这活就即使在这个通道里它其实也是哈哈就有一半是日本的东西有一半是中国
[39:29.000,40:2.470,0]  对他这个日本的东西就是有点模仿现在那个上国内提货四的那个展览是他是复原了一个日本的一个庙宇的一个就是那个祭坛的一个一个一个设置吧就是三尊佛有一完全没有一个一个木头的一个一个一个一个一个桌子完了放了一些这样的东西就说他这一组完了比看起来当然可能这东西可能凑起来但是凑成完整的一组展示就是日本庙宇的一个一个佛教祭坛的一个这样子所以他讲这是不会跟中国的东西混在一起
[40:2.980,40:11.400,1]  那我们走进去中国的这个展厅之后呢他是我在网上看到的图片其实呃
[40:12.290,40:14.530,1]  他住宅的方式还是比较
[40:14.970,40:27.200,1]  呵呵e呵呵就是我用一个啪啪的第五个词儿吧传统黑我的脑子里再找这啊安排特hem
[40:27.200,40:36.950,0]  有一点起码他这个中国袁经理他光线完全是自然光没有任何的遮挡或者反正太阳就可以直接晒到这个壁画这个上面
[40:37.670,40:48.540,1]  啊对哎呀这个就是我这个就是我十分那个什么的问题啦那呃其实他就是沿着这个圆形感情的墙绕呃摆了一圈儿然后中间有几个岛形的感
[40:48.540,40:50.850,0]  对对就是就是这样的一个情况嗯
[40:51.180,40:56.730,1]  OK那他比如说他他有什么逻辑呢还是按朝代顺序吗还是按那个什么
[40:58.080,41:19.890,0]  怎么说他在我我给大家补充一个背景吧就说我们其实不能用现代博物馆的这个特产或者返程的这么一个思路来理解查妮丝楼层的就是说冰大的这个博物馆的这个圆听的这个展览为什么因为这个展览的布展是在1920年代就完成了呵呵基本上基本上没有动
[41:20.620,41:23.140,1]  所以产品也没有什么轮换阿梅
[41:23.140,41:28.650,0]  很少就说基本上我可以告诉大家就是当时梁思成先生在园区里看到的大部分
[41:30.910,41:36.830,1]  OK呃能赞助出去对他们ax教育
[41:36.830,41:51.930,0]  Yaya社然后但是他也会有一些变化就是说他两边的这个这个这个这个都是基本上不好的但是它有的时候会在当中放一些零食的展柜会不一些其他展但是这是另外一件事了但是你现在看到了这个周围这一圈的
[41:52.190,42:4.800,0]  这个呈列基本上在1920年代就已经固定了当然啦杨志成还没有来得及看到现在的那两个大的壁画因为那是在1929年装上墙的梁先生是二七年离开并大的所以这个他没有
[42:5.820,42:6.770,1]  嗯
[42:7.070,42:16.750,1]  说到这个壁画那我们继续说壁画他是我呃您应该知道就是多伦多的那个皇家安大略
[42:16.890,42:21.720,1]  对里面不是也有几处那个他们和这个冰蛋的来源是一起的是吧
[42:21.790,42:24.500,0]  呃这个我只能这么说吧
[42:25.280,42:27.450,0]  安大略有三幅壁画对不对
[42:28.910,42:32.320,0]  就是一副是佛教题材的两复式这个道教题材的
[42:32.510,42:41.960,0]  就是我只能告诉你就是说在他们都是出自相邻的这个山西南部地区而且都是大概是以同一批不是同一批吧就是同一个
[42:42.020,42:48.030,0]  画匠做法或者是怎么样的一批匠人画的所以原初就是同出一源
[42:48.370,42:50.310,0]  但是渠道不一样
[42:51.090,42:52.820,0]  你明白吗就是说
[42:53.170,43:20.240,0]  当时在1920年代就是说那些古董商啊在山西新起了一个大的这个攫取古代壁画和古代雕塑的这么一个狂潮他们就地毯式的到山西那个庙里去搜然后看见壁画就憋走看见这个目标就拿走而且同时很多古董商在做这个事情然后分别转手我也告诉你加拿大的那个呢很复杂呃他俩扑倒叫那个是日本山中商社
[43:20.580,43:26.880,0]  这个K金就日本人至少卖给美国人的而宾大的这两步壁画是lujing摘出来
[43:29.810,43:31.960,1]  那就是来源还是区别挺大
[43:31.960,43:37.645,0]  对对虽然他们同出一源但是最后经手的这个这个人和这个渠道都不一样
[43:37.645,44:13.330,1]  OK那加拿大的那个我是去看过的他们到并不是使用的自然光呃是展厅的光但是展厅的光呢也还是很凉的但我没有手里拿着照度一去看到底是多少啊但是呃就是肉感还是很凉的然后就觉得有点不太爽而且他除了那个之外呢他展厅里面还有很多就是那个呃木雕而且是那个彩绘木雕吗像这种都是相对比较光敏就是对光线比较敏感的东西然后所以我当时看到的时候心里有点犯嘀咕呐
[44:13.330,44:22.480,0]  嗯但是我可以告诉你其实你不用犯嘀咕因为这壁画也好目标也好其实都是harrisdog
[44:23.760,44:25.350,0]  修得很厉害了已经
[44:25.640,44:41.950,0]  其实这里面有个问题啊其实呃因为在美国跟北美地区这个中国流程出来壁画有大概大的有七浦小贷个博物馆都有其实相对来说冰大的这个虽然是20年代末帽子在墙上的
[44:42.140,44:46.020,0]  但是不管怎么说从现在来看它的保存状况其实是最好的
[44:46.750,45:46.750,0]  呃我觉得这里面有些原因就是说因为毕竟这个文物在原来它的原产地也不是像温室里的花朵一样的因为它本身也是要放在庙里被人供奉比方他那个壁画如果放在庙里的墙上也是会间接或直接地受到阳光的照射所以他一天他几百年在那里它照射了以后他也没有太多的其实你往往的改变了他以前的这种这种生存状况你改变成一个另外的身上会加速他的一种变化这可能也是一种就是呃间接的说是好心办坏事的一种一种一种方面吧就是说就跟那个就跟这个刀马具墓葬一样他在这个墓里面待了1000多年很稳定了没什么问题但你怕把它挖出来以后你即使进行了很多保护措施但它的这个变化可能比呆在墓葬了1000多年可能还要大一所以这东西很难一言以蔽之所以这个关于这个对话的保护吧因为我还了解的多一些我可以随便给大家再再再补充点儿这个信息吧嗯
[45:46.751,46:21.180,0]  嗯就除了安大略就是加拿大安大略的那个三三铺壁画还有冰袋的这两步壁画然后还有然后下面的比较重要的就是大都会的内部壁画和纳尔逊博物馆那块一共提出他们都是来自山西南部都是同一批假人同一种风格和我们现在留存在山西永乐宫留存在这个这个青龙寺的这些壁画其实都是同出一源对吧这个是一个背景知识那这个壁画其从墙上迁走以后就每个博物馆就是说因为用满意知道从墙上贴走以后其实他他都是分块窃走是的
[46:21.610,46:27.270,0]  大概七八十公分的这么一方然后一块一块一块然后赠送
[46:27.270,46:37.800,1]  今天去看我发在博物志的因素关上就是加拿大那个安大的皇家大略那里面我特地拍了一些拼接的那个细节可以去看我的那边对不对
[46:38.220,46:43.350,0]  OK所以你可以你可想而知它的拼接的就是说他
[46:43.730,46:45.380,0]  就说在切壁画
[46:45.880,46:47.000,0]  再把它
[46:48.390,46:51.065,0]  在运输过程他其实损失了很多
[46:51.065,46:52.810,1]  显然是的嗯
[46:52.810,46:58.780,0]  他不讲他整块损失其实他整个这个拼接的这个原就是说这个边缘部分其实都是损失掉
[47:0.220,47:6.200,0]  因为他很睡吗因为你知道中国的壁画和意大利的变化不一样我们中国的变化是一种干计划
[47:6.700,47:27.305,0]  这是干鸡的它是以这个就是后面用一个这个plus的就是用这个石膏你呀草啊ec英文叫实操职高吧就是一个意思其实就是用这个呢那个或者草你看组成一个大概我觉得我看了一下大概有两三公分厚吧
[47:27.305,47:32.740,0]  这么一个这个驿站记账记账到地上然后在上面再刷白灰
[47:33.200,47:39.420,0]  在他白灰但这个白灰的厚度那就很很很小啦因为白灰上就直接直接划坏了
[47:40.300,47:41.110,1]  对这这
[47:41.110,47:45.680,0]  一层是很很很薄的我觉得大概也就半公分的样子好的
[47:46.350,47:47.020,1]  嗯
[47:47.020,47:55.030,0]  对所以每个博物馆他的处理是不一样的所以冰大有一个好处它保存的他是把整个地上和上面滴话都是
[47:56.150,47:57.790,0]  加拿大当时就是请
[47:58.040,48:9.510,0]  请哈佛的一个专门研究壁画的一个专家在这个1930年代专门对加拿大的这个做了一个他当时把整个地障都给去掉了只留下了那一层这个壁画图片
[48:10.850,48:17.030,0]  把把它贴在了一个这个他们当时特制的一个一个种就说呃
[48:17.410,48:19.040,0]  像石膏量的一个一个
[48:19.040,48:26.330,1]  嗯是的是的是的是的我看到他那边园就是缺损的部分露出来了看到她露出了我还想的是什么东西
[48:27.590,48:31.560,0]  对最近我得到一个消息说加拿大也有问题就加拿大他那个
[48:31.610,48:49.100,0]  这个壁画呀他那个机呀现在时间长了以后也在开始变形所以就影响到了前面的那个会话层所以他这个加拿大也在很在伤脑筋怎么保存这些壁画因为因为你知道他这个分化的很厉害了然后他如果后面这个强就是他的被变变的话他的钱壁画也会
[48:49.100,48:50.710,1]  是啊是啊对啊嗯
[48:51.050,49:3.250,0]  嗯对所以是一个很大的问题所以刚才古筝老师还提到了这个变化的这个保存的现状我可以很负责的告诉大家和大都会的比
[49:3.340,49:4.950,0]  和纳尔逊的比
[49:5.230,49:6.260,0]  呃
[49:6.590,49:10.490,0]  冰大的这两步是保存的最好的现状是最最好
[49:10.870,49:58.370,1]  好吧可是虽然您刚刚说的我是同意的就是说一个文物他不管是在原生的地点还是被挪走的时候他总是要有一个那个DK的过程但是我觉得博物馆还是在有条件的情况下应该尽量的去保护她那我觉得像这样的东西你包括我之前哦我现在那个论文不在我手边我之前看过一篇那个宾大的一个学生写的一篇论文是就是专门研究了壁画的那个颜料的成分然后呢那个还是很新的是2015年这篇文章就根据那篇文章的话呢就是说它的成分其实是不是很确定的所以现在不是太清楚他到底是有机物还是无机物然后分别的比例占多少那我觉得这种情况下还是应该以保护的
[49:59.160,50:3.030,1]  呃角度出发就是我觉得我就是尽量去
[50:3.030,50:4.530,0]  我觉得还是越保守越好
[50:4.530,50:12.760,1]  对越保守越好你至少前面给我照成玻璃吗你不要让大家可以就直接嗯加拿大那个也是哦但是其实玻璃呢其实其实这
[50:12.760,50:16.090,0]  我不同因为你造成玻璃的话其实对壁画未必是一个好事
[50:16.460,50:26.390,1]  那就是我因为可能透气es的意思就是说不是紧挨着就是让人不要就伸手就能摸到啊之类的这样的程度这个没
[50:26.390,50:28.170,0]  这个没有我在
[50:28.390,50:38.560,0]  我经常在这个美的那个袁经理站由我倒还从来没见有人会去摸因为它前面在格折80呃不到一米他还是放了一个栏杆的你不会
[50:38.660,50:44.720,0]  就是走到这个壁画最前面的你不会摸得到就是你想摸到能摸到但是我也没见过有人去摸的
[50:45.170,50:50.790,1]  这个还还SF呵呵
[50:50.790,51:26.970,0]  因为本身它这个宾大博物馆外面来的这个游客并不是很多这两年当然从中国来的游客明显增多啊我觉得因为我几次去都碰上来中国的这个参观的人但总的来说他这个博物馆的这个游览的人数并不是非常多所以人数少的话他自然这个这个破坏的这个或者容易犯规的概率就比较少一点呃人数多呢自然好奇的人就多而且我觉得嗯可能西方观众的素质可能也不是喜欢特别喜欢去摸一下好多这个东西来
[51:27.020,52:13.200,0]  表达一下自己对这个这种目的一种一种一种感观或者怎么样呃呃这这个我我补充的所以我觉得就是有些ta的就是有些人在测测载的时候他因为为了强调这个观众的参与性或者是感体验性嘛他会特别的做一些复制品或者怎么样而且会有很大的标志你可以去摸他去mosf所以对我觉得可能不过不过不过宾大博物馆它有一个特点他基本上展出的东西都是属于这个除了两幅壁画以外另外的好多东西都属于不不损耗的水晶球是没有什么呃没有什么太多纸质的文物啊什么的
[52:13.200,52:19.480,1]  那倒是对对对他如果纸质文物还给我放到一个没有空调自然光的厅里面我真的要炸毛
[52:19.480,52:35.240,0]  嗯嗯这个是呃他的他的卷子的话他当然不会就是这么随便挂在那儿给你看对吧所以它这个都都是在在库房里放着所以所以园厅里除了那俩2B华还有来自另外一个很有意思的一个
[52:35.830,52:39.020,0]  几个地方计划吧其他的都是一些实质雯雯
[52:39.020,52:41.000,1]  OK那好吧那我原谅他们了
[52:41.000,52:47.110,0]  我把照相那个昭陵六骏比方还有那个易县罗汉也都是拿罩子罩起来好像这几年刚造起来
[52:47.840,52:56.110,0]  呃这机械的话因为是因为是那个那个低温釉陶的嘛所以也也不会有这这空气什么不太敏感的这个没问题
[52:57.780,53:7.950,1]  好吧哎呀我原来以为自己这些问题说不定都还挺尖锐的所以我都为您打太极打走了呵呵其实也不是打他了其实我可以告诉你嗯
[53:8.360,53:26.930,0]  在因为这个原听实在是太古老了而且从1920年代基本上就没有动所以基本上现在这个咱俩你说什么不光什么的怎么存着还都是以自然光为主他有一些他拉了一些灯光哈你什么F就不要提了因为在这个园区里都收不到WiFi信号
[53:26.930,53:32.180,1]  哈哈好吧咱
[53:32.180,53:35.690,0]  我把其他的这个一楼二楼都有WiFi信号但是在这个园区里面
[53:35.690,53:38.100,1]  因为原先的那个逗太那什么了吗
[53:38.420,53:48.140,0]  埃斯特我们太大而且他这个砖砌的很厚嘛然后他和其他的几个LV展厅是一个相对独立的状态所以他原先你说连WiFi都没有
[53:48.140,53:53.450,1]  好吧那我就更不要去薛求他有什么那个室内定位之类的东西
[53:53.450,53:56.250,0]  呃对那这个这这这这个就别想
[53:56.250,54:3.760,1]  嗯那他他还是呃可能每周还会有还是有时间那个有固定的时间有讲解员之类的吧
[54:4.990,54:8.780,1]  或者有有那语音导览之类的吗真的就是摆着让你看
[54:12.970,54:16.240,1]  这也太所以博物馆是有多穷
[54:16.460,54:19.930,0]  很穷呵呵很轻松
[54:20.830,54:30.840,0]  你别说你别说这些东西其实我觉得去宾大博物馆有一个我觉得作为咱们国人来说也挺有意思一些就说你跨过一个门儿
[54:31.020,55:24.740,0]  另外一个屋子就是比咱们中国展厅里的东西要早2000年的东西比如在埃及的这个呃老王国老王国时期的什么或者MP4二是的标速啊还有一些马米呀还有这些东西都都在那里就是也是就这么放在那儿那个给大家占成儿那个东西好像我看好像都是你想摸都可以摸因为周围连那个连一圈的那个围栏都没有而且那些东西的这个古老程度或者精美程度实际上也是作为如果是埃及人来讲他们也会觉得这是他们的过吧因为因为那个VIP的二次的像而且它那个虽然没有人讲吧但是好像他们那个保安上次我去的时候那保安还挺有文化的旧址的那些埃及象形文字来给讲这什么什么什么什么怎么怎么读应该怎么怎么背不出来了吗还说这个
[55:24.960,55:32.645,0]  啊对他他们有英文的发音怎么读完了什么意思完了还有就是还说这个这个
[55:32.645,55:42.390,0]  这个你看这个这个这个东西也不是当时的说是在在更老的这个雕像的基础上把它打磨掉以后右侧上了这个新的这个
[55:42.390,55:44.760,1]  我保安大哥好厉害这都知道
[55:45.700,55:57.250,0]  对那保安那保安大哥挺厉害因为可能保安时间做长了耳濡目染的也都知道了好多问题虽然没有语音导览但是它直接给你讲这些事情讲得还挺呃讲的挺多
[55:57.480,56:11.520,0]  讲的挺头头是道的因为因为吃讲的这个挺有意思美国这个博物馆的好多这个这个安保大哥啊他还是挺有文化的比方说讲个小插曲就是那年我跟那个徐霞一块儿去那个
[56:12.140,56:13.710,0]  就是纳尔逊博物馆
[56:13.820,56:33.730,0]  就中国厅去看嘛因为我们因为比较看的关注而且连续了几天然后他那边的安保大哥就就就跟我聊天说哎说说你们是中国来的哎我说是哎他说这个他说这个你们对这个很感兴趣我说我们这个然后就聊起来结果一条街安保大哥这安保大哥本身是哈佛建筑系毕业的
[56:35.280,56:38.160,1]  他她人生发生了是吧
[56:38.160,56:51.020,0]  这个这个这个叫郭老师他是他是什么呢因为前几年这个美国这个经济不好这建筑师也没事干了完了他就他临时打份工他就他就跑到博物馆错草
[56:51.020,56:53.360,1]  嗯哼
[56:53.980,56:56.270,1]  这打工挺好的嗯
[56:56.610,57:8.280,0]  这个在而且这个呃这个人提出来这是对我们安排他说哎他说你们我看你们还是挺挺挺挺专业的说你们要不愿意不愿意认识这个这儿的中国中国部的这个
[57:8.280,57:10.660,1]  我就好呀好呀好呀好呀我
[57:10.660,57:31.830,0]  那南开一会儿他又把另外一个人给讲了他挨着就是这个呃你们可以互相聊聊天什么的这个人后来这个人给我印象很深刻后来后来第二次过了几年我也想去完了我想还找这个安保大哥再聊了后来问他们说不在了干嘛去了说说到这个到哀家到哪去做义工去了就就是
[57:31.830,57:36.140,1]  呵呵他的人生鬼子也太神奇了这个大哥
[57:36.140,57:47.520,0]  所以说所以我就说这个这个千万不要把这个呃美国的安保跟国内的这个保安放在同一个位置来谈谈他们还是长龙卧虎的不太一样
[57:47.520,57:48.820,1]  呵呵
[57:48.820,57:55.830,0]  呃这个哎呀这个我觉得也是KSX那你说我们以前去那克里夫兰博物馆但这些安保大水大
[57:55.980,57:57.360,0]  大班不都是
[57:57.360,58:5.820,1]  我对呀对呀我这边气那个气我在法国的时候看到就是那个枫丹白露的那个中国博物馆里面那个大姐跟他打毛衣
[58:6.560,58:11.510,1]  呵呵他就是说真的在那打毛衣我觉得那个火呀哇
[58:11.560,58:16.610,0]  嗯哎呀法国是法国我们印象也很深刻在集美我觉得这些法
[58:16.610,58:19.200,1]  呃吃这个社会主义大锅饭这个
[58:19.200,59:8.790,0]  这种感觉就是像我们七八十年代这个工作态度和工作方式这个那个漫不经心然后呃五点下班他四点一刻就开始赶你呵呵这个这个不太一样呃但是这个人是的确是不一样啊既然古村老师提到了这个就是其他的埃及吗我可以给大家补充一下就是说宾大这个博物馆吧除了有一流的中国藏品以外他的他在这个我们的所谓的APP就是五点时代的这个几大文明啊就是埃及在两河流域在这个希腊罗马这个方面都有非常非常惊人的我可以说惊人两个字惊人的这个馆藏所以建议大家这个有机会来这个美国参观这个千万不要错过老兵带来这个博物馆来体验一下
[59:8.880,59:21.230,0]  对还有就是说其实他那个他那个你去参观他专门有一个展示还有一个就是说有一个人员一直他的工作其实就是在修呃不是修吧或者是在
[59:21.360,59:22.850,0]  包括这个木乃一
[59:22.960,60:1.320,0]  就导入这个木乃伊完了他一他晚上上班时间就去捣鼓完了你平时你要有兴趣可以坐在旁边看就就一直看着怎么叨咕你可以看一天哎不是是这是他们人类学习的一个这个一个一个一个博士生在修那个木乃伊因为它就一个开放式的这个这个场景让你去看他怎么在一点点一点点再清那个木乃伊里的那个这些东西嘛所以这也是他的一个B类的一个这么一个一个一个一个东西有点像国内那个兵马俑博物馆专门有一块不就是好像在那里拉锯兵马俑什么就是现场的工作你可以在旁边作为一个观众你可以看见就有点这个类似于这样的
[60:1.330,60:36.860,1]  OK我最近学了一个国内的业内用语这个叫做活态展示SF好吧那还有我们那个最后还有一个还有一个问题啊然后今天这些节目就接近尾声了就是呃我想知道从美国把这些东西拉过来跟国内或者我们过去吧反正就是联合办展的可能性就是这件事情如果要做的话由谁牵头做的可能性比较大因为嗯我问这个问题的原因是就是我之前
[60:36.890,60:46.160,1]  就一直是一个嗯就是青少年期还没有过完吗所以我还是比较笨的一个人就会想说这些东西嗯
[60:47.190,61:18.010,1]  放在他们那里去总觉得去的有点名不正言不顺然后呃想说该是哪儿的他就应该回到自己原来MCQ的那个地方去我就觉得他应该回到中国呃但是这两年这个这个想法有变有变有变这个咱们可以具体再聊但是我是觉得即使不能以我原来那个就是很激烈的想法希望他回来的那种方式回来那么可不可以一个冷静一点的就是博物馆的做法取联合办展
[61:18.350,61:19.580,0]  我有此疑问
[61:20.080,61:35.360,0]  对我觉得满意你这个问题问的特是特别好的其实我觉得作为每个中国人来说看着自己的这个像国宝级的这些文物这个放在别地国家的博物馆里展示很多人可能都会有一些想法吧
[61:35.360,61:38.180,1]  尤其是他出去的那个方式是非常的
[61:38.820,61:39.980,1]  让人痛心的
[61:39.980,61:52.650,0]  嗯所以对所以我这里要扩大一下卢成家的一个说法但是我这这并不是我支持他我而且但我只是说卢勤斋呢在一九就他在退休之前啊他给自己
[61:53.060,62:5.040,0]  呃怎么说呢给自己有一个呃excuse吧就是给自己一个说法吧他说哎他说我确实干了几十年这个啊文物出口的事儿
[62:5.730,62:11.470,0]  但是他觉得呃逻辑来说但是我觉得我们所以中国的这些文物其实也是处于泉
[62:11.470,62:15.690,1]  Sfaok然后他下面
[62:15.690,62:35.320,0]  一句话她说她说当然了我他看到的这个效果就说我把这些东西放到这个美国的博物馆然后这么多的这个外国人也能有机会来感受中国文物的这么一个魅力可以体会中国这个古老文化的这个精髓他觉得也是一些正正能量吧就是这张这是卢行摘的一个
[62:35.320,62:37.630,1]  就是怎么说呢这个
[62:37.800,62:39.220,0]  我要上跑
[62:39.690,62:51.420,0]  就如果我们都已很这个民族主义的或者是很很国家至上的这个观点来看这个问题但是到好了那那那那美国就不能收藏法国的印象派绘画啦
[62:52.190,62:53.840,0]  这个那
[62:54.210,63:49.000,0]  对这可能我我我不知道啊怎么来这个觉得这个事情其实我不知道那个万一那个加拿大博物馆怎么样其实西方的博物馆他当然有的人说他是帝国播屋他就属于这个帝国类型的就是像卢浮宫才有全世界各个地方的这个文物对吧什么就是因为他当时是帝国的这种东西但他也关注其实美国的博物馆也有很多比方来自法国的修道院来自西班牙的什么什么目目的的这个什么东西说他也收集了很多就说不完全是就认为就是好像是这种呃被欺负的国家的东西就说他同样比较法国的东西啊意大利的东西这些东西他也他也拿了很多大盘博物馆了把它装起来来去说这是一个意大利的一个什么什么什么家族的一个什么东西完了他们因为什么原因买到这儿来完了就放在这儿来着所以他们并不认为这是一种就是好像
[63:49.100,64:19.980,0]  他认为是这种平平等的交换但如果不平等的交易你是偷来抢来的那是另外回去那大家很很知道在这个美国这个有一个博物馆他就差了一个这个徽派的一个名居然后把它整个装到了这个对吧他这个呃教英语云堂的那个事情嘛对吧这个呃他觉得这个事情没有任何的不对呀你们这个房子都已经拆了要要要要卖了或者怎么样我把它打到这儿来把它修复好把它作为一个展览所以所以这也许有一定的他们的这种就是
[64:20.060,64:26.350,0]  思想嘛就说咱们要两方面来理解其实并不完全是处于一种溢出一种大
[64:26.350,64:32.480,1]  没错而且它其实也是一个casebycase的事情但是反正我我个人的那个
[64:33.280,64:44.430,1]  我个人的那个想法呢基本上就是从一个就是所谓的口水男生的例子往那个抠international的那个方向再去转变了然后我我是
[64:44.430,65:1.560,0]  当然我觉得很复杂每个人都不能说对都不能干就说都不能置身于很多自己的一个就是说自己的土地性也好自己所处的位置或者自己一个民族国家的身份也好或者文化的身份就是很多时候你思考问题都有一些很多的东西在限制
[65:1.560,65:24.600,1]  没错而且这个东西越是去想的你就会发现其实包括不管是比如说国家的概念民族的概念还有就是呃我们中国人传统意义上被文物的概念这个理解的范畴都不一样都是在过去的这个100年间就是一个非常激烈的变化的一个过程所以我们今天其实也我觉得也还没变完呢这是还就还还行
[65:24.600,65:42.270,0]  其实其实其实当然不是说在这个因为我觉得在国内很多人其实把美国看得非常就是不太一样SF其实刚才咱们节目节目开始的时候说过一个问题就是在于在打击这个非法走私文物方面其实美国做的比欧洲要
[65:42.270,65:43.460,1]  是最积极的
[65:43.550,65:49.970,1]  就美国在和中国联合打击就是那个非法流出文物这方面是做的最好的一个国家
[65:50.350,66:29.920,0]  对呀你比方说咱们现在好像几乎就咱们耳熟能详的王处直墓的墓门啊什么那个那个什么李什么飞的那个呃棺椁不都是后来美国查询查查实了以后的确你是这个马马上不管你现在谁收藏他就把它没收了以后把拍卖会上东西拿这相比之下那个欧欧洲有个事情就是那个那个福福建福州那边有一个人那个肉肉生命的迹象这种生活不是他们还在打官司吗这完全是非法取得但是欧洲就没有办法从政府的角度说哎我把你没收了以后呃但美国他的确他是有有这个法律所以这方面来说还是做的
[66:29.920,67:12.650,1]  对是的我们可以给大家稍微普及一下这个事情啊但是法律我也我也不懂但是我只知道这件事情大概的原因就是比如说为什么大家会问像我们比如说圆明园的那些东西拿个什么要不回来那就是他其实从国际法的这个法理上讲是说不通的嗯也不能说吗就是在那件事情发生的时候就是并没有哪一个国际法是规定了这个呃战争中掠夺的这种战利品性质的这些这些这些coordinate我们去然后这个法律本身呢又没有一个追索追溯性就是我这个法律当你是先发送之后呃如果还没有写出来的话那这个法律写出来之前犯的罪就这个法律管不着大概是这个意思
