[0:0.095,0:3.700,1]  今天是第下关的第12期，大家好，我是竹子。
[34:47.700,34:50.940,1]  啊我我其实这个猴子他一天特别大。
[34:51.010,35:3.170,1]  就是说，企业就很大，对吧，那因为他哭叫他高度高了，你走进来，他就直接给了这个看着你呃对对很雄壮，不是我们后来在汉必看的。
[35:3.170,35:8.720,0]  这个呢，这个第七识苦苦也叫也叫克孜尔的这个新衣裤吧，这个是。
[35:8.720,35:13.020,1]  第二，遗憾的就是这个，这个飞天这个后来经过这个秋以后。
[35:13.020,35:14.360,0]  哎，给修坏了。
[35:14.360,35:16.290,1]  效果不太好了，害得。
[35:16.290,35:22.990,0]  你说是这个是修了以后就得了，这个癌症，这个就只就是看他添加起的返利。
[35:22.990,35:24.410,1]  改了对很厉害。
[35:25.130,35:54.320,0]  还有一个那个要指出的就是，一个第77苦第77裤呢，是一个大象裤，但是呢，它的体量非常大，前面大象都已经那个包括前十都已经被这个风化了，那他那个后是就就是所谓的这个有这涅盘的这个地方，它是很大，他是有个涅盘台以前可能有一个呃，立体的一个释迦摩尼的一个涅盘像在上面，那周围呢，也是有很多的这个月寄的这个塑像呃相当的丰富他。
[35:54.440,36:5.930,0]  可以跟这个第38库来媲美啊，也是有这个月季站在这个二层的一个这个画出来的一个平台上，那么拿着各种的乐乐器载歌载舞的这个样子。
[36:6.180,36:8.720,0]  嗯，这个哭呢，呃。
[36:9.280,36:15.470,0]  体量大是一个特点，而且呢，它保存的，相对来说也是比较完整的，而且可以看出很多这个。
[36:15.990,36:35.590,0]  这个细节来这个他这个用绘画来表现的比较一些当时建筑系菠萝格呀，物业呀，这些细部都能够可能看的比较清楚，这是一个地区凄苦这我们这个讲的这些呢，都是西区的这些互相谷西区就是主要是对对外开放的一。
[36:36.220,36:38.170,1]  我们还介绍这个不开放的吗。
[36:38.170,36:49.570,0]  对其他那个不开放的比较那个股东区后山区，但谷中区因为不开放说路难走，我们那，那那次我们也没有取得了谷谷中区对吧，古东区。
[36:51.640,37:9.150,0]  后山区对后山区有几个就是我们去看过的几个洞呃，比方说有一个动物只是值得一提的就是呃，一个叫222ku222库实际上是一个未完成的一个是酷他在未完成石窟呢，就说你能看出来他那个已经拿那个。
[37:9.410,38:0.360,0]  紫红色的这个大的现打了线以后，但是没有完成这个事故一看的就是风格比较晚，还有一个就是他这个石窟上有一个明确的一个唐代贞元七年的一个体积等待贞元七年的体质堂中西了，这个时候，实际上就标示着这个其实贞元七年查询书实际上是好像是没有这个一年的，因为就是因为那时候这个当时的这个秋季地区的这个汉人跟中原地区的汉人已经就是断绝了联系，那么他们就不知道就是中原地区的这个朝代更迭还在延续一些这个严老的这个年号造成这样结果就就证明就是说这个时期这个这个由于这个战乱也好，有一什么各种原因，政治原因哈，这个克孜尔的这个石窟的造像的这个艺术已经就是进入到了他的这个卫生，这是第222。
[38:1.330,38:12.360,1]  对，那我记得在这个后山区啊，很怕这个穆沙集合，然后补办这个车子的这个井下那个塔底下很壮观，他们俩在只有一个对比啊。
[38:12.940,38:23.110,1]  还可以100年前的照片，有个对着这个在那个呃车这个特色石窟的这个价格方面处的一个重要。
[38:23.110,39:23.110,0]  对，因为咱们不是去他们那个库房看了一下嘛，对他们因为那时候因为有何嘛，他们因为因为秋季研究院那些研究人员的这个生活应该是在这个地区呢，虽然是风景绝美，但是其实物质条件应该是还是蛮蛮艰苦的，所以他们那时候领导呢，就是想这个改善生活的就是挖个鱼塘，想养点鱼啊什么的，就他在挖鱼塘的过程中呢就就挖出来一些嗯木啊，其实我觉得一个最珍贵的文物就是挖出一个陶制的一个呃，印度说起来就是灵感或者是咱们中国设计的陶组就是以一个大概有20公分长的一个陶制的很精美的一个就是呃模拟这个男性的一个器官的一个东西，那么这个东西引起了很多争议，因为这个跟佛教的这个好像这个跟这个生殖崇拜这个关系好像不是很大，好像看见印度教的这个比较多一样，这个当然学术界到底怎么样一个争论，这个是还没有一个定论的那里，但是的确就是一个。
[39:23.111,39:34.110,0]  珍贵的一个文物，而且显示就是在那个时期这个地区的这个文化的这个交流或者是来往的人员是很丰富的就是各种各样的人，带着各种各样的东西。
[39:34.410,39:53.710,1]  因为太早东西肯定是个后来屏幕不可能是这个不太可能是撤当地的这个自产的，而且它的教程，看看它的尾部是一个逻辑，英语方向一直这个百里韩荔枝这个占桃组这样的一个形象呃，因为我们这个实在可能也和国家有关，也许和当时。
[39:54.350,39:58.450,1]  嗯，其实你发自己和这个印度的房价应该是卫东发的。
[40:1.080,40:10.610,1]  你现在听那个后期超人烧吧，这个在这个西藏的这个当这个火车里，好像还有一些这个类似的这些作为法系存在的。
[40:13.180,40:45.950,0]  反正那个在这个这个刻字啊，因为这个缎带呢，因为因为我刚才说的，因为这个也这个文字资料缺乏了就不是太好像呃明确，但是呢，从哭行也好，从这个他们化的一些这个呃一些菩萨的这个这个形式或者你能看出这个佛教呢，是在不断的在这个变化，比方说那个股东区的这个第188苦，这个哭呢，实际上是一个不是一个很大的一个小型的哭啊，那这个库里就出现了。
[40:47.430,40:56.370,0]  出现了这个这个大这个大城府，这样的一些这个因素在里头，那么这也说明，就是说按照这个也可以看出来就是说。
[40:57.550,41:8.230,0]  已经是比较呃，有点这个这个背景大乘佛教传入了嘛，已经是相对来说是他这个克孜尔石窟的这个比较晚的一个阶段，呃，那么。
[41:8.800,41:23.640,0]  能从这个来辨别它石窟的一个年代，那么刻字儿时候，专家们大概认为呢，大概到了公元70级到80级的时候，他就基本上就听听只开早这个新的这个事故就可自然的这个事故就。
[41:23.640,41:36.640,1]  对啊，现在看不现在这个课石窟距离这个秋季的王场呢，比较远，他们是一个李家80就是一个比较偏僻的一个地方，所以你私人的这个休息吗。
[41:36.820,41:50.450,1]  没有说法，说是对他的山药其实是和这个土拨鼠亲这个强磁这个是有些关系的，所以以后这个QQ就放着刷的话，像交通的沙拉，我还没有办法直接这个不吐拉的这个不断。
[41:53.100,41:56.220,0]  不是你说的不是你说的就是刻字的衰落是。
[41:56.220,41:58.280,1]  嗯嗯。
[41:58.280,42:58.280,0]  嗯，对，所以这引到了就是我们要讲的第二个这个在秋季地区的这个第二个重要的是裤裙就是就裤筒拉屎裤裙对吧，其实空谈事故群呢，也是在一个这个就是咱们讲这这个木扎提木扎提河木扎提河，其其实是同样的在我所以走起路来是很远，其实如果就说如果淹水走的话，其实乡居相对距离不是很远，就大概呃是几十公里的样子就是如果沿着河走的话，那么它这个这个呢，就离着这个秋字成就更近了，就是您现在的酷车呃，距离更近，那么他呢，也是分布着大大小小有几十处的这个事故，现在可以编上号的，那这个是哭就是这个空土杂石窟跟克孜尔石窟的这个一个很大的一个区别呢，就是空出来是哭的这个形式跟内容更更丰富，更多样，嗯，更多样，既有像这个克孜尔这样的这种这种中心住的这种比方说呃。
[42:58.281,43:0.490,0]  看起来就有邱慈风比较。
[43:1.530,43:6.780,0]  比较浓的这个也有一些呃，大家讲的最有名就是一些汉丰库。
[43:6.780,43:8.920,1]  没有，还有回回风控吗。
[43:8.980,43:27.000,1]  讲到那个和要补充一下学校，我们现在是进到石窟里，然后就就可以看呃，其实他可能90年代初还不是这样，就是河水其实一直慢进了总谱是不是收了水，房子当地做了做了很大的努力，然后才。
[43:28.200,43:39.150,1]  啊，好像是我旁边还有个五元一个，抽水的过程就当时对对对他实际上当时的水可以到到五年中就吓着是不是有飞机。
[43:39.150,43:40.570,0]  那个水大的时候就。
[43:40.570,43:42.130,1]  对一间间的。
[43:42.180,43:47.980,1]  这个这样政府但是研究院的人和我们讲过，然后他们后来又又。
[43:48.460,43:56.160,1]  是的，水引出来，然后有一横那个第16库第17幕孩子有时间了吗，就是原原来。
[43:56.390,44:1.020,1]  有个特别美的图像，我记得，但底下实际上是是对水泡了。
[44:1.040,44:3.050,1]  还有一朵很漂亮的莲花。
[44:3.170,44:6.820,0]  对这里面的这还差不多一个历史的就是为什么就说在。
[44:7.120,44:47.530,0]  这个空出来有这汉风哭呢，因为这里面跟一个呃历史上的一个很有名的一个，这个这一个名称啊，就是叫唐代设立这个安西都护府这个安西都护府就是大概是在唐代的这个一六号690几年一直大概到800多年，这200年间，就这个有大量的这个就是唐代的驻军就是为了这安西都护府吗，在这个住在这个库车地区呃，说是记录上说是大概有3万注聚那么可以想象3万驻军，再加上一些家属啊，一些后勤啊，什么各种各样就当时有可观的一个汉人的一个。
[44:48.020,45:9.030,0]  就是群体，在这个社区在这个库车地区呃，就是现在库存地区秋思地区住宅，那么这样的自然带来了他们很多的这个呃风格，在这个是枯燥智库建设上面，所以出现了很多，这个汉教这个汉丰库在这个游戏在空不出来，呃，短信非常明显。
[45:9.030,45:14.760,1]  对呀，所以那古城你还记得我们去那个柏林，还记得德国人大队这个汉丰湖也是。
[45:14.910,45:37.440,1]  心有独钟啊，他们他们洗澡的汉丰湖，比如说16哭啊，38没呀，大量的这个汉丰枯的这个碧华这个材料，我还记得这个16铺它有一个壁画残片就远处，他就是有这个山水啊，有有有这个这个呃出生的太阳啊，然后这个这是一个对这个非常漂亮的这个。
[45:37.450,45:41.960,1]  松就是这堂峰的一个山水吗，特别特别的有价值。
[45:42.620,45:55.660,1]  还有一些反映中国这个历史故事，这些人物形象全是插着这个中国的这个跨考大秀，然后对呀，然后兵这个士兵的铠甲也全是这个中国式的我记得好像是42哭的这个这个特别有意思。
[45:55.820,46:3.130,1]  像我这我最空出来了，印象太深刻的，实际上是他早期的那个还是四是吧有限拖风格的。
[46:3.130,46:4.510,0]  啊，你是你啊，对。
[46:4.510,46:8.410,1]  说公司啦，第三十四处四小的那个偏房。
[46:8.480,46:11.820,1]  长得卷发就没加希腊的那个海参。
[46:12.710,46:27.310,1]  我印象特别深刻的那可能是因为我们只一进对就进了这个苦，然后就在这屋里呆着酒他他两边是是这种以连环画形式来来来来做的那个壁画，但是它的棱角是。
[46:27.640,46:48.850,0]  嗯，对社群领这个呢，就是说这个这个呢，也有一些说法就说呃，对这个34裤呢，它的这个很这个穹顶呢，就是这个风格呢，是来源于这个更激烈的伊朗高原甚至更远的这个拜占庭，因为在印度我们是没有看见这样的这个穹顶再试库里。
[46:48.850,46:50.520,1]  嗯，O丁申精。
[46:50.520,47:14.490,0]  印度有套头顶就是那个方形菱形这样的没有穹顶，所以专家们认为这这选择来自于这个萨三就是伊朗高原的这个三三王朝甚至更远的地区的一些影响，因为这个也是有句就是也可以有一些线索可以追寻的，那么就跟你讲到的这四个讲的这个天王它的这个面容的形象就完全像是希腊风格的这种海神啊，什么这种。
[47:14.490,47:17.660,1]  嗯嗯，但是想对公塞冬了什么，这种形象。
[47:17.940,47:47.630,0]  对呀饰界，所以就说说明就是说这个风格是非常糅杂的又有这个来自这个东方咱们汉地的一些佛教的这个形象，它的这个表态的，刚才这个呃去霞讲的这个中国式的这个山水啊，又有来自西方的一些这个建筑的这个东西所以更凸显出这个秋词，这个地区它的这个文化的这种包容性跟这种杂糅性是非常丰富，非常非常明显，非常有意思的一个现象。
[47:48.050,48:4.580,1]  呃，我们是不是还应该介绍一下这个公务吐啦，现在还保存着，可以说整个秋实地区这个最好的自由，可观性的一对一这个计划呀，你看能那个呵呵，对呀，这个就是这个是在捡到遗憾的，而且这个。
[48:4.580,48:59.390,0]  就是在70年代的时候说是据说是当地的这个这个民兵是找防空洞还是干什么这个，因为它不再痛苦的，传统的这个咱们讲的那个只是在外面是入口，这个地方，一个山谷里面有些现在编号叫空出来新衣服跟新二府呃比较值得一提的就是，尤其是新二库的那个他的一个穹顶也是个穹顶，对吧员的穹顶，穹顶上有这个12个应该12个这个器乐不算的，这样的对一个个拿各自的这个乐器什么的非常鲜艳，而且彩色那个色彩这个艳丽如新，因为它，它这个损悔的比较早完了，后来被封闭起来，等于是自然的这个封冻了，所以发掘出来以后，他就色彩非常鲜艳，没有受到很多人为的破坏，尤其还新衣裤，原来还有一尊这个比较完整一顿塑像就是原来是这个整个秋菊最完整的一个属性，但是很遗憾的这个说像被偷盗。
[48:59.390,49:2.200,1]  照了对然后又又毁坏了就是。
[49:3.980,49:5.570,0]  现在数量遗憾的是。
[49:6.210,49:10.430,1]  咱这个壁画的确是是是后来发现的最最。
[49:10.600,49:23.280,1]  你最近经典的这一个这个地方就穹顶，还是那个中心是个特别大的莲花，然后还记得第一次对连中文有的特别直观的那个任职，还有他们身上带的。
[49:23.870,49:35.540,1]  接我的这个菩萨是是很难杏仁和我们在各个键的也是差不多多点找找工作，对对对，然后又又又取现有有听。
[49:35.550,49:44.770,1]  只是都都有取现，还有一啊信息啊，还有他们那个服饰服饰也特别头饰，那些璎珞一些这个。
[49:44.770,50:2.740,0]  嗯，他都是那个有个叫讲解，现在都每个人都讲个小蛮腰完了这个这个系一辈有困难了，那完了，头发都是披肩的那个发完带着那种三叶官那个官韩像是这个得是他每个人手里拿那个珠串这个这样的一个。
[50:2.740,50:7.520,1]  好，那法系有的对有的还拿这类似上瓶子啊那个。
[50:7.520,50:9.440,1]  呃，每个人手里都都不太一样。
[50:9.440,50:14.270,0]  对完了向上升级版都是赤裸的下面穿这个裙子一样的一个。
[50:14.270,50:19.060,1]  请问几乎都是透明的，就是感觉这个质感特别好的这个感觉的话。
[50:19.300,50:39.330,0]  所以这个的确是这个有条件去的话，这个到那个课程，因为这个我觉得是完全反映了这个刻字儿这个石窟的一个原来的一个I对原来面貌的一个一个东西，这个还挺有意思，他，我现在拿照片啊，他数了我数了数啊，他还不是。
[50:40.010,50:43.170,0]  13个他是他是不是12个是13个。
[50:43.780,50:50.370,0]  是个13，这个数字哎，他事实我以为还以为是12个塌陷，其实是13个这个。
[50:50.930,51:12.670,0]  这个就是菩萨13个挺有意思的一个一个一个数字，不知道为什么会有这样，因为这些都给我们了，很多的谜团啊，这个有待于这个后来的人来解释，因为这明显能看出来一些个，因为那个镯子你刚才讲到的连珠纹也是就连中文这个文是呃专家考证，这个文是也是来源于伊朗。
[51:12.670,51:18.270,1]  上三这个对这山这些特别痛，特别流行的这样一种装饰木提。
[51:18.590,52:17.650,0]  对那么讲到这个就是我们的客呃，这个是哭呢，就是说，因为我们还要还提一个就是说事故就有的爱是kui是为什么要提呢，就爱是哭基本上可以作为一个整个秋季地区石窟的最后一个角巷的一个代表，他是深藏在一个就是咱们现在讲到这个天山大峡谷对对一个风景区里面，在一个半山腰很不容易发现了一个地方都够都够不着的一个地方，发现了这么一个石窟，那么这个主要也是一个汉丰枯，因为这里面有很多大量的汉汉人的这个题迹，而且它这个佛像啊，他这个经变故事啊，都是基本上是按照这个汉族的这个传统形式来的这个尤其那些经典故事跟敦煌的那个就都都都看起来都是很相似的知道很多，这个还有供养人的名字也都是汗，就说明一个什么问题呢，就是说基本上到了这个那个时期呢，就是说因为政治的变化害人的，基本上跟这个中原地区已经。
[52:18.040,52:40.770,0]  已经没有什么联系，因为唐婉气候这个西域的这个丝绸之路又被这个中断那么那滞留在该讲到有很多几万汉人，原来驻守在安西都护府这些犯人等于跟这个跟这个中原失去联系他们自己按照自己的这个信仰的这个延续性在开凿这个爱是酷就最后一个代表那个时期的一个一个。
[52:40.950,52:50.060,0]  一个风格的一个事故的一个典型吧，也就这么一个在这以后基本上就是说秋思地区的这个石窟的这个建造也就。
[52:53.790,53:24.470,0]  哎，对，就因为它完了，因为到了那时候已经到了大概八九十级了吗，玩到14级以后，因为随着这个11日南边这个北边的这个啊，不是北碚说错西边的这个伊斯兰这个势力的侵入，慢慢地这儿就不稳定了就当然，那时候还还信佛，但是已经就已经处于这种这种兵荒马乱的阶段了，就不可能再开哭了，然后再到了12世纪什么的，拿了这个地区就就开始被伊斯兰化这样的话这个呃石窟的艺术到这个就等于是搞一个段。
[53:24.470,53:26.600,1]  现在我还是讲这个这个最大。
[53:31.660,54:11.020,0]  他是佛是这个这个就说有很多历史在里面啊，这个手把石佛寺也在应该在秋就现在秋那个酷车的这个北边对吧，在一个那个那个和那个和是不是呃呃，那个咱们提和我王乐他来一条大河，把这个佛寺呢，分成了东西，两个大四就东北一部分遗址西边一份一致，那个这个呢，这记载的，就在那个唐僧的这个叫全藏的这个呃，大唐西郡就记载这个这个秋字王成有这个招呼厘大寺大寺分成东西两个这就完全记载就这可以想着他，那个玄奘那是在这还。
[54:12.080,54:17.490,0]  讲不清说过法，那在更早的时候呢，就是咱们知道这个这个。
[54:18.390,54:37.580,0]  课就是酷车就是这个秋字地去出过一个大的一个高升就是就莫罗时就木罗什的母亲呢，他就是本身秋词的王族的一个就是类似于公主将一个人，他的父亲是来自北印度的一个破龙门，那么他母亲带着小的这个周末老师你是就在这个。
[54:37.810,54:44.770,0]  找回大四就这个速80这个大寺这儿曾经这个听假还这个这个。
[54:45.710,55:4.440,0]  就他在这听讲完了以后那个就没落是在这儿出的家什么的，就是说，这是一个非常有这个历史底蕴的一个佛寺啊，呃规模也非常大到现在为止就是所陈所现存的咱们看见的移植在河的两岸也是绵延很多里都有这样的这个呃遗迹在那里。
[55:4.440,55:13.150,1]  不是他很有很多，这个佛塔遗存就你能看到早期国四的那个那个行至就是美，美国塔为中心。
[55:13.950,55:18.170,1]  而且他有很多佛产你能去去应该叫一个佛子群。
[55:18.550,55:37.970,0]  对对对，因为它这个寺院跟咱们咱们都能汉地寺院不太一样，不是这个供电是一进它是一个院落一个月一个塔玩，有一个塔院那旁边可能是个金蛇完了以后，京唐完了，又是一个院落，在一个院落这么组成了因为有点跟现在这个这个这个西藏那边的粉丝有一还有点事情。
[55:38.080,56:11.580,1]  蔡类似，像广场就是肯定是他们用来着急集会，或者汴京这样一个地方就也也能看到，但是我们自己看到一个比较大的一个就是京唐这些建筑对对这个好像是在印度，因为我们是看到有这个金水湖待完善地面脖子好像没有办法类似的范围是全北京都不知道的情况，蛋糕两层就看到这个情况，当然好像在那个苏80的这个这个西四我们看了一个规模很大的相片，经常一下。
[56:13.270,56:47.300,0]  对，除了这个除了金旁边那个呃大解释一下他们那个现在现存遗遗址，它都是属于那种拿那个一个是夯土或者是拿那个就是土坯专这样呃，累起来的这种这种呃，当时以前可能还在外面在粉刷完了，再有会话或者什么，因为现在多了就还剩脱皮，专另外一个就是说我们在那里看到有石窟就有那种就是有点像咱们印度太高了，这个批核楼哭，那样的对经手过一条甬道进去完了一个小的这个小的这个间房一间一间等于就说。
[56:47.300,56:58.540,1]  嗯，这个几乎非常典型，有点心塞短信啊，就是大家都一样没有她的图片是14的积分也得下这个心脏这个照常的前面这个大是在艺龙从来没有见过这样。
[57:0.380,57:16.360,0]  对，这也是他们当地的一个一个特点，就是说把是因为你想收80那时候那个他们经过考古发掘，当然，这是以前日本人这个跟那个德国人都考过发掘出一些比较珍贵的文物比较现代的日本的那个一个茂和。
[57:16.730,57:19.580,0]  啊，一个在在在集美的一个帽盒对吧。
[57:19.580,57:21.310,1]  嗯，好好行里。
[57:21.840,57:31.920,0]  兰上面有这个还上有这个童子巷啊，还有这个各种纹饰，这是在速八是一直发现，但是宿81只限在一个国家也在做一些。
[57:32.050,57:44.360,0]  看看工作就能最好能够把他这个整个的一致的，一个平面上去做一些考古勘探能够发掘能够就说制造一个寺院的一个一个详细的一个布局，我觉得这对于就说来。
[57:44.680,58:25.110,0]  了解当时就是新疆地区就西域地区的寺院的这个形式呃，可以有一个很大的帮助，因为它就规模很大，因为我们我看一下资料就说那当时市场营在这个和田就是原来余钱地区发现那寺院的规模，它大概也是他中间一个托盘都是都把他说大概有的直径是什么，七米的九米的他一个大的寺院，那个热，瓦克那边四月，他大概周边就是他的一圈大概是30几米，就是方建芳或者怎么样一个我看那个像这个在一个输80遗址，我看好多这个就无论是塔院还是金堂他那个有的那个边我看有的50几米甚至更长都有就是说相对规模可能。
[58:26.080,58:49.750,0]  跟和田地区比可能都不相上下，甚至有可能甚至可能会我都怀疑可能速度会更大啊，呃，其实这对于研究这个当时的这个佛寺的这个情况是有很大的这个，因为和田地区那些好多对于因为是有沙漠化的原因吗，被这个风化的破坏的挺挺厉害挺多的，那么这个相对来说80这个一致还是保存的。
[58:51.460,58:55.780,1]  他她，我们可以看到就是能想象出他以前那种繁华。
[58:56.560,59:5.340,0]  完了，那个大现在去因为也是因为我们当时那年去的时候随便可以在这个一适合乱跑，呵呵。
[59:5.340,59:9.800,1]  你说现在现在建了那个战斗啊，呵呵。
[59:10.230,59:17.110,0]  呃，对呀，因为它保护起来了嘛，但是这也是可以理解的，但是对于现在我们气的来说就是没有像我们。
[59:17.110,59:28.740,1]  因为只有三到高处就是学校，我们这些这些体验说能感觉到他是他是一个活字群和清楚的说过说这这不是一个脖子是一个佛城，所以我特别棒。
[59:28.850,59:47.160,1]  对对这个规模特别宏伟，那迪怎么感觉这个宏伟平常是因为我当时站在那个塔的高处，你你能看到他整个的一个布局才有这个赶快如果你在底线是可能就我们大概这种类似的那个最高还包含往那个那个北边咖啡看到别人。
[59:48.910,59:52.380,1]  对吧，你到那个山山山底下对。
[59:52.650,59:57.230,1]  现在说的这些发明的发现在还好差。
[59:57.530,60:37.130,0]  但是我相信就是说如果经济如果真的就给他全面进行考古发掘到我先肯定有这个，呃，经纪人的惊人的，这个发现出现因为这个他这个他这个机制非常大，其实很绵延我，我觉得这个绵延得有的这个几几十万平方米，甚至于这个因为我们去没有全部左边，他那个北边就是往那个山那边去山上还有佛塔啊，各种各样的这一季就是绵延很多好起码我就不能说是几公里吧，没人这个上千米上工上上签笔试，有的这么一个大的一个范围的一个扶持，所以是我期待是会有些考古发掘。
[60:37.300,60:42.450,1]  我现在基本如果现在和教美术和在这个古代这个艺术的我觉得。
[60:42.860,60:52.680,1]  湖南地区古代挑食国际行纪应该是不得不看第前面说到的这这几个当然还小的还有那个分散。
[60:52.930,61:5.280,0]  对还有什么对身上身份证不就也有一些那个一个特点，一个大象哭比较，我们主要去的是那个26库对吧，它是一个等于中心住，但他中心坐标特点就粘他中心注视四面开看的。
[61:6.420,61:13.050,1]  哎呀，后面还有创他前面有有就是买了后面还有床就是这个那个形式也是比较特殊。
[61:14.510,61:28.350,0]  完了，你睡觉一块看观感比较好，它比较凉，而且它那个有些泳道的这些装饰啊，一些话的这个东西还还在还挺有意思，就是说看起来就是说挺丰富，挺直，挺耐看的一个一个食谱。
[61:28.350,61:46.170,1]  你上上那个那个，那个石窟就26哭，他还就周围的墙上，它不仅是中间住开开他周围那个墙是不是这个这个APP也是这个周围啥时候太快了，哎对对对对。
[61:46.840,62:11.230,0]  所以说这个当然还有比如我们去过什么克孜尔赶哈呀台带啊，这这不一而足啊，这个这个细细的讲来就有很多可讲的这个地方，因为我们这个时间有限，也不可能这个这个都一一道来，那么希望这个有有兴趣的听众的，咱们这个一个是我们会随后有一些这个图像会。
[62:11.410,62:21.920,0]  惠济在网站上，另外就是说呃如果有兴趣可以我们在下面开在交流，不想去，这个去刻字儿的一些一些攻略啊，或者怎么样的一些情况。
[62:22.450,62:57.400,0]  那么总的来说呢，就是说整个这个因为我们再回首啊，我们现在等于刚刚讲到这些细部我们再回到一个大历史的范围来看，就是新疆地区是一个非常丰富，文化陈列非常丰富的一个地区，它主要的现在呢，就是说我们讲的秋季地区是一个而且这个地区呢，虽然就说比他其他地区比较和田地区也是各佛教中心比方这个吐鲁番地区也是佛教中心，但是他们这两个地区的这个一纯现在都没有秋瓷炫说，这个地区遗存的这么这么丰富，跟这么爱完整，对吧，因为因为讲到这个很遗憾，其实那个。
[62:57.850,63:34.890,0]  普分地区的这个壁画破坏的更就是说被破坏跟对接起来更基本上就是哎，几乎存对基本上是这样一个情况，那么和田地区没他没有石窟，它只有佛寺这个破坏也是无论自然的迫害，人民一块也就相当厉害，那最近还有些什么打工的发掘啊什么有一些这个少数的一些壁画佛像接入出来，但他这个量跟这个这个方面是没法跟这个秋字地区的壁画跟现存的这些来比较的，所以如果让我首选，如果到到新疆去参观这个历史的这个一词或者怎么样的话，那肯定秋思地区是首选。
[63:35.860,63:39.380,1]  不是从衣服一艺术这个层面来说呢我我。
[63:39.480,64:0.250,1]  我现在对他仍然就每次说起来都特别激动，就还是觉得秋词的艺术实际上是是有自己独特的就他不光是一个融合的多年就多元文化，而且它是有独创的，有自己的就他无论是在雕塑上一树上建筑啥的还是那个会话上来说，它是一串。
[64:2.050,64:10.360,1]  就是他，他都是由他来升发出来自己融合的自己特色的一个新型的艺术，这个是其他地区其实还。
[64:14.550,64:20.280,1]  我也如果让我首选的话也是也是秋实地区的，但应该挺开心，1万真的是。
[64:20.280,64:26.680,0]  其实你如果你用只要简单的这个语言来来归纳一下邱慈的这个女你会怎么来贵呢。
[64:27.330,64:39.810,1]  我觉得这第一个就是他，他有个包容性嘛，就说它第一个它吸收了各方面的来自来自西方的南方的这种这个中原地区的这个营养第二个他就像竹子说的他有很多的这个创法系。
[64:40.140,64:50.520,1]  他就说吸收了以后它又这个这个要创造说他就自己特色的一些很多艺术形式，尤其这个壁画呀，音乐会代表建筑也很有特色。
[64:51.070,64:56.280,1]  这块就太扩散，新他又扩散到了他又去影响到了这个。
[64:56.380,65:24.960,1]  她吸收的这些来源地地区周边地区甚至远及这个我们这么远地区，我们以前有一些聊过这个其他的北齐王朝这个这些国王都是秋磁粉啊，呵呵，这个这北京的技术，这个吸收了很多求子的元素，所以我们这个再放在这个大历史的这个艺术史的背景下，我们家长的这个最近这个我想对修辞艺术的这个理解可能就更更会为深入一点有可能是佛国这个。
[65:25.020,65:39.000,1]  注，佛国的巴黎是他实在是一个就是特别我看完之后，以后我有一个感叹就说国家不在于大小，而在于它的这个创造力，这有的时候这个时候就让我。
[65:39.760,66:1.270,1]  天呐，还有想起这个现在韩国的这个直播课情况，韩国不也是他吸收了很多，这个外来园中园都还有有的自己的一些很多创造力，然后他又这个上外面影响有很多哈韩族嘛，我觉得消磁当时的邱慈也有一些类似的一种一种情况，但是这个比较比他们高明算，但是我就我就。
[66:1.270,67:1.270,0]  我对我这还有一个呢，就是说从看这个东西呢，越看的也是一厨了，我们感感慨以外呢，我们也生出了很多，这个很多的这个疑问跟更更激发我们的这个求知欲呀，因为的确还有很多的谜团需要这以后的学藉呀，什么考古啊什么来进一步来接是他的这个谜底，包括这边地球，此人它的文化，他的当时到底是怎么样的一种因为文字资料比较少嘛，所以他的这个当时的一种一种一种怎么样升怎么样起怎么样王的这样一种好多具体的一些东西，我们只看到了一个表象，但我们还不知道他背后很多隐藏的一些故事啊或者，这就需要我们更多的关注，也需要这个学业可能更多的研究才能才能满足我们去的秋季以后，所以我觉得确实秋季以后回来一方面是得到一种欣赏的满足，另外一个激发的我们很多对这个对这个无这个知识的一种一种一种探求的一种渴望啊，希望要了解更多为什么呀。
[67:1.271,67:4.220,0]  呃，这是咋回事啊，是这样的一种情况。
[67:4.520,67:23.780,1]  所以，所以有的时候历史试一试一起华丽的袍，这个华丽的袍，上面动动太多需要这个高明的这种东西，这，这就是未来学员的人物了，来到我是不是要跟向大家介绍下区我们谈些什么节目给大家一个念一下。
[67:24.310,67:42.190,0]  呃，其实，其实这样嗯像因为那个因为现在真老师这个生产花开的时节吗，我觉得随着这个咱们大家出去踏踏春旅游，我们也想给大家介绍一下就我们把目光再拉回到我们的这个中原地区在我们的这个我们的这个。
[67:42.500,68:7.150,0]  北方的这个华北平原吧，这个地区吧，这中间有一座非常高大的一座山，那他就是我们所讲的叫太行山，对吧，这个太行山实际上是呃，蕴含了我们这个中华民族华夏这个文化很多积累了很多，它的文化跟精髓的一座一种明山那么认为让他我们有很多故事要展开，这可能就是我们下一期主要介绍的。
[68:7.620,68:18.400,1]  那么这一期的比较关注到此结束，感谢收听，也希望大家喜欢我们的节目逢周四上线，推荐大家使用泛用型播客客户端订阅收听。
[68:18.690,68:35.690,1]  在地下观点，Com可以找到于每期节目内容有关的链接，供大家按住锁机，您也可以在微信和新浪微博关注B下关，我们非常欢迎您以各种形式给我们提出意见反馈，如果您喜欢发邮件，我们的邮箱是B下关。
