[0:0.610,0:4.875,0]  欢迎收听B端今天是不相关的第二期大家好约定
[32:48.650,32:53.510,1]  这个新闻报慈在16国的时候重新得到了借完了数了一个
[32:53.900,32:56.080,1]  石柱上面有一段这个
[32:56.130,33:5.010,1]  呃碑文这个16国时期的碑文在宋代的时候曾经被李清照的这个丈夫赵明诚住在他的经十路里面
[33:5.600,33:32.290,1]  但是呃好现在到了这个上世纪后来这块石柱子又被发现了现在陈列在这一生博物馆里面这个上面的铭文跟李清照注入的那个李清照的丈夫赵明诚注入的名额是一模一样说明我们看到的东西就是赵明诚当时认为即使珍贵文物的东西就所以这是非常有意思但邺城博物馆还要写大很多值得一看的人物包括也有一些这个呃北容庄出土的这个造像精品
[33:34.130,33:43.880,1]  这个我我我我稍微差差一下啊这个那个张古村老师说这个新闻报慈的那个石柱啊还特别重要为什么呢因为他对
[33:43.890,33:46.440,1]  确定这个曹操墓的真实位置
[33:48.370,33:56.910,1]  但是围绕这块这个直飞的出土80住的出土有很多很好玩的事儿就是这个这个呢原来是在河南
[33:57.320,33:59.215,1]  就现在河南境内的一个村
[33:59.215,34:5.570,1]  给挖出来了但是当地不重视后来怎么这个转手后来给给拉到河北来了现在在河北
[34:5.990,34:7.680,1]  所以这个河南现在大部分
[34:8.230,34:12.630,0]  其实就是阅城的那个遗址就在现在的河南河北两省交界处
[34:13.020,34:17.820,1]  对原来一层的他是在呃现在漳河的这个南岸
[34:18.360,34:27.025,1]  原来在答案现在后来由于综合改造他就把那个叶城就有有时候往南边也是往北片但现在的章和位置就把原来业南城
[34:27.025,34:29.380,1]  充了一半是叶城有一半在
[34:30.490,34:33.830,1]  现在现在漳香水的南边有一半在北
[34:35.460,34:49.470,1]  而且这个叶城就是说叶城应该说地理严格来说它的这个地理位置是应该属于河北省但是就说就是在两省交界的地方因为呃前不久大家比较轰动一时的这个曹操墓那就又在这个河南省的进
[34:50.260,35:8.880,1]  所以现在等于是把它分成了两个省实际上就是说我们就想讲的就是我们现在讲完河北以后我们如果继续闲钱行的话我们就要进入到河南省的安阳安阳市在那里面其实也遗留了不少他北齐的这个佛教遗迹比方我们刚才讲到的就修
[35:10.250,35:16.730,1]  这就在河南的林州那么除了修定寺塔以外呢我觉得大家还可以看着还有这个
[35:19.480,35:20.940,1]  比如还有灵泉寺
[35:21.080,35:27.170,1]  灵泉寺我觉得是值得非常值得就业面咱们当时是一块儿去的这个这个呃
[35:27.170,35:29.890,0]  其次是夜访我第一次我跟你们
[35:29.890,35:31.120,1]  对特别有意思
[35:32.190,35:34.400,1]  就凌晨四呢它是有这个
[35:35.210,35:40.410,1]  保山荷兰峰山这个两个山脉里头呢有这个大概现在保存了大概
[35:41.780,35:44.560,1]  在摩崖上雕刻的这个浮雕
[35:45.200,35:51.530,1]  就是呢当时一个背景知识吧就是因为末法时代嘛再从北极开始就有一批
[35:53.510,35:57.010,1]  他们就躲在在在这个深山里这个深山老林
[36:0.200,36:2.290,1]  应对这个这个末法时代的来临
[36:2.660,36:5.820,1]  所以他们后来原籍了以后呢他们就把自己的
[36:9.500,36:13.740,1]  所以这个卡要烧声卡或者辉升塔他们的骨灰就放在拿下这套
[36:15.860,36:20.110,1]  这塔呢形式特别丰富这个而且非常好看
[36:20.350,36:22.930,1]  呃另外一个在灵泉寺还有一个
[36:23.120,36:25.070,1]  比较有名的就是他有一个叫
[36:27.760,36:29.210,1]  就有个北西高升
[36:30.820,36:35.150,1]  就是它有一招生产但它这个卡不是浮雕的它是一个立体的一个是焦糖
[36:35.550,36:38.270,1]  这个塔呢是我我国现在现场
[36:39.530,36:41.030,1]  看见的最古老
[36:42.290,36:47.170,1]  在他之前我们知道有北凉食堂但是它那个功能和这个作用都不太一样
[36:48.070,36:50.380,1]  这个和尚墓塔来说他是这样
[36:56.780,37:7.360,0]  哎对其实其实凌晨四的那个暂住证图虽然虽然不是北极但是呃其实时间是很近的它比这个稍微早一点嗯定位
[37:7.360,37:15.550,1]  是东魏开导的应该可以说就说是从大祝圣开始然后生人在在这附近聚集然后再
[37:18.420,37:20.870,1]  后来到谁带又开了大刘胜
[37:21.300,37:27.730,1]  其实大家知道这个没有北区真正的历史只有20几年但前面搭着东魏后面搭着水
[37:27.770,37:37.880,1]  就这段时间就是大概一个大的饭时间范围那么除了这个刚才我讲到灵泉寺灵泉寺的确是一个非常那个就是可值得去的一个句子
[37:37.880,37:38.630,0]  很美好的这个
[37:38.630,37:50.350,1]  嗯你好就是很很这个而且这个这个地方实际上在这个20年代那时候被那个就是那个日本人就是他们在考察的时候就已经写到了这个
[37:54.780,38:1.820,1]  呃除了这个灵泉寺以外呢再往就是山里面走就是红谷山那边就是林虑山
[38:3.620,38:5.850,1]  就是也有北汽的一个小型的这个
[38:6.790,38:16.070,1]  整个来说就是描绘一下呢就是说呃如果把北齐当时都城比喻成现在的北京一样就业成比例上北京一样的话那么他的这个
[38:16.250,38:28.260,1]  西边节奏西山散落着很多的这个佛教遗存都在这个因为很多有很多佛寺啊什么的因为历史记载北齐在这个叶城建都了
[38:28.970,38:50.200,1]  是28年吧大概皇家新建的佛教寺院就有40多岁这是由时可记载的但是回到就是历史的这个因为好多事情还不被历史记载其实我想再提一点呢就是说如果这在越城区的话大家可以寻找一下最近的考古发现就是在这个夜城的南边发现了就是鹏程
[38:50.740,39:11.650,1]  这个村的地方有一个有一个叫陈陈兆广场对收藏赵鹏程有一个发现了一个北齐时期的一个佛寺一致其中发现了一个佛塔的一个一致这个佛塔的遗址比咱们所知晓的这个北魏在洛阳建的这个永宁寺塔规模不相上下但是这个佛塔
[39:16.100,39:19.430,1]  是室内塔机巨大的那个对他打击很大
[39:19.740,39:41.160,1]  四四十米见方的那个是吧嗯40米有没有我不知道反正就是说从这个照片来看的话它的规模跟那个就永宁斯坦大家也知道这这也是个知识点就永宁斯卡这在和呃就是河南省洛阳的这个就是北魏故城的永宁寺塔这个是治金制造的中国古代
[39:41.540,39:43.010,1]  最高的一个
[39:44.140,39:52.760,1]  就是当然具体的高度多少这是大家还有争议的但基本来大家就是专家推测下来这个塔应该是
[39:55.830,39:58.130,1]  到90米之间的这样一个范围
[39:58.470,40:1.190,1]  这个是就是中国古代建筑上的一个
[40:2.070,40:5.070,1]  巅峰吧就是高数上面的一个爱高度重视
[40:5.080,40:6.470,0]  你指定还在
[40:7.450,40:11.350,1]  对因为他有很很详细的这个历史记载就是他的
[40:12.280,40:19.310,0]  对对对所以说这个刚建成不久就烧毁了而且这个时间应该是在对北魏的最后几天
[40:19.740,40:25.300,0]  呃烧完了以后烧两个月吧两个月以后那个他的还冒烟儿呢
[40:26.040,40:46.930,1]  可想而之这个塔到底是有多大有的人他这个记载有哪些洛阳铁栏距离又很明确的记载有的时候它是高离地千尺大概1000吃的夸张应该他1000尺的说法按照现在算法然后1000指教大概两百两百米高100多米高这个是对于这个用咱们中国古代用土木结构来说是达不到的这个
[40:47.420,40:51.860,1]  那是不是我们从这个修定寺然后我们比较近太行山了
[40:52.110,40:54.960,0]  对还得往山西走是吧
[40:56.690,40:59.750,0]  那应该走那应该走壶口行吧
[40:59.750,41:9.530,1]  有一套就是对这个刚才页边讲了这这是呃太行山就说是横亘在中国华北平原的一座主要的山峰啊他这个呃
[41:9.890,41:12.760,1]  跟这个山西之间的联系主要是靠
[41:12.940,41:16.120,1]  呃几条行到行就是这个
[41:18.270,41:29.370,1]  这个道路的像隐身城就是到古道的意思那么连接这个叶城跟这个山西的这个太现在太远以前的敬仰之间的这个
[41:31.990,41:44.100,1]  那么这里面我觉得还要再补充一点就是说在北极的时候实际上实行的是虽然首都是在叶城但是他们高氏家族的这个统治根据地是在今天的这个太原当时叫晋阳
[41:44.270,41:59.410,1]  所以他们晋阳跟业成之间等于就是有点像现在的这个北京跟上海之间这样的这种这种进紧密的联系所以他们之间有一条快到那就这个像京沪高铁一样的等于他就有条幅口型直接联系的这个
[42:1.630,42:6.720,1]  那就是说当时这个高数高数这个家族吧就说在早在东魏的时候
[42:7.660,42:9.440,1]  风味的孝敬的呢是在夜场
[42:10.200,42:12.590,1]  但是呢这个高氏家族他当然
[42:13.460,42:16.710,1]  这个他把自己的根据地能放在了现在的敬仰
[42:16.990,42:20.460,1]  当然有有有几个考虑吧第一个他这个
[42:23.680,42:26.410,1]  因为山西的这个战略位置比较重要一手拿
[42:26.960,42:28.720,1]  所以他把这个根据地方再进啊
[42:29.010,42:35.170,1]  所以他们这个高数的这个皇族啊他们在晋阳和叶城之间经常的这个来回
[42:35.310,42:41.860,1]  这个有历史记载高阳高高欢本人大概十年里头就来回了大概近30天
[42:42.200,42:43.330,1]  是非常频繁的
[42:43.730,42:45.780,1]  那就是控制东北的时候再
[42:45.780,42:49.350,0]  对一直也都在是在北京还是近啊
[42:49.350,42:55.400,1]  北齐呢虽然就是说皇帝后来就是说在在在这个叶城但是它到夏天呢还是打进去
[42:57.450,42:59.280,1]  高原上这个这个太原的
[43:0.200,43:1.380,1]  在下次那是避暑
[43:1.780,43:4.540,1]  对他们经常这个往回这不好心里很热闹
[43:4.640,43:6.750,1]  所以就沿着湖口新沿线吧
[43:6.900,43:9.120,1]  当时就开闸了一系列的
[43:11.240,43:16.670,1]  这个我们也我们基本上都走过有一个比较有名的是在这个
[43:16.790,43:19.660,1]  出口型古道上有一个会开完的一个是
[43:20.000,43:22.040,1]  叫做呃现在学着考
[43:23.610,43:25.000,1]  就刚还运动呢
[43:25.740,43:26.900,1]  气势非凡
[43:27.010,43:30.080,1]  今天我们去看也是这个感觉非常震撼
[43:30.570,43:37.440,1]  呃他呢开在一个这个申建的这个一个山谷啊申建的这个上面大概距离上面大约十几米
[43:38.240,43:41.790,1]  然后今天的国今天的省道就是沿着这个原来的
[43:44.240,43:51.050,1]  前面有个非常开阔的空间四周都是环绕的山脉然后石窟呢就开在这个绝壁上
[43:52.750,43:53.640,1]  开的很大
[43:53.660,43:56.240,1]  然后他的这个形式就基本魔法
[44:0.280,44:1.530,1]  一看就是皇家气
[44:2.220,44:5.670,1]  可惜吧就是没开完就工程工程量太大了吧
[44:6.470,44:10.170,1]  北区国寿又比较短所以现在只是留了个办法但是现在
[44:10.710,44:13.700,1]  即使是这么个就没开完的工程我们看起来是
[44:15.470,44:24.230,1]  就说沿着这个就是户口行的话就是我们串起来的等于刚才我们讲了很多事业上附近的一些事故实际上在太原也有很多的这个
[44:24.930,44:32.020,1]  当然首首推的就是太原西郊的这个天龙山石窟天龙山石窟也是使开于东喂那么
[44:32.670,44:38.390,1]  其那么还有唐代的唐代也遇到了很多的这个事故单这是一个这个
[44:38.680,44:44.530,1]  很有名的一个天龙山石窟这在在咱们在这个了解中国佛教造像使的时候也是
[44:44.710,44:56.220,1]  也是这个必不可少指导的一个地方除了天龙山石窟以外呢还有在这个就是太原的西山还有一个原就是俗称叫西山大佛的一个地方这是在这个
[44:57.010,45:1.170,1]  乐山大佛建造以前应该是中国最大的一尊
[45:2.340,45:16.780,1]  那么他的那个大概现在残存的这个这个有30多米高的制作高后来因为这个山是的崩塌历史的变迁被淹没了那么最近几年呢又被这个重新发现发现了以后呢大家用
[45:17.800,45:31.990,1]  把那个遗失的一个佛头给安上那个佛头就安的那个佛头大概就有十来米高这么一个风头那么现在也是蔚为壮观的一个景观除了这个以外呢就西山还有这个童子思彤此事也在这个
[45:34.390,45:38.090,1]  呃最近做了一些考古发掘也是非常有意思的一个
[45:39.660,45:45.840,1]  那么需要大家有时间也可以关注当历史记载这个童子当时是那个就是
[45:50.010,45:52.880,1]  所以当时早的时候日语日语继业的这个
[45:53.170,46:1.670,1]  焚膏继晷啊这个早这个是酷所以这个在山上燃灯数万盏光照一直可以照到这个晋阳城内
[46:3.630,46:5.930,1]  融通只是现在前面还有一个
[46:6.230,46:8.930,1]  呃保存一下北区的一个燃灯塔
[46:9.470,46:14.720,1]  这样子我稍微补充一下就是晋阳城啊新羊城的地理位置呢大概就在现在
[46:14.930,46:16.330,1]  这个太原附近的这个
[46:17.050,46:18.620,1]  就在西山脚下
[46:18.730,46:22.030,1]  再缝合因为现在太阳太原城市在汾河东岸
[46:22.240,46:23.640,1]  就近阳城是在这个
[46:24.710,46:26.500,1]  就靠近现在的净值很
[46:27.870,46:33.190,1]  信阳信阳城然后晋阳城呢也出土在晋阳城古城村的这个
[46:38.710,46:40.550,1]  现在都在这个山西省博物院
[46:40.620,46:44.500,0]  天龙山刚才股份稍微比较简略其实呃
[46:45.680,46:50.530,0]  到国外看博物馆就是很经常的真的一点是什么呢就是
[46:50.970,46:57.300,0]  新东方给讲了三石窟的造像在散布于世界很多的博物馆里
[46:57.620,47:0.970,0]  嗯这是放手布置这个家装讲讲吧
[47:1.440,47:3.430,1]  对啊是啊呃这个
[47:3.580,47:6.590,1]  想起来了可能要追溯到这个清朝末年
[47:8.990,47:12.170,1]  这个因为大因为国家没有了秩序所以呢
[47:15.470,47:18.490,1]  那古董商的走在了这个考古学家的前头
[47:18.850,47:20.025,1]  古董商他们
[47:20.025,47:21.800,1]  早就知道这个安阳
[47:25.220,47:27.800,1]  他们不了解北京但他们知道有好的意识
[47:27.860,47:30.010,1]  所以他们先去先下手为强
[47:30.260,47:34.100,1]  在附近把一些地面上的保存的遗址重要的
[47:36.380,47:37.880,1]  还有一些里面的一些重要的
[47:38.220,47:39.290,1]  他们都给
[47:45.960,47:49.460,0]  你等一下你说他们不知道那是北京吗不会吧
[47:49.460,47:50.260,1]  不知道
[47:50.330,47:55.070,1]  哦知道了真的不知道因为当时对北齐的艺术的这个认识非常有限
[47:56.360,48:1.620,0]  那天龙山也没有概念他们就是主要还是拿唐代的对吧就是
[48:1.620,48:2.280,1]  呃
[48:2.630,48:7.330,1]  对天龙山的是另外一个配置的天龙山这个这个故事很多啊我们以后
[48:7.800,48:14.870,1]  专题专门来讲讲天龙山天龙山是日本人有关系这个我们现在讲的主要是讲这个安阳
[48:16.340,48:17.050,1]  当然了
[48:17.270,48:18.730,1]  一线的古董商
[48:18.920,48:20.010,1]  都是这个
[48:21.110,48:25.260,1]  中国人为主然后他们呢把这些东西都运到了大概就北京有一场
[48:27.930,48:31.060,1]  减少这个卖到国外真的很复杂啦以后
[48:31.060,48:33.890,0]  您先先悠着点悠着点
[48:33.890,48:34.980,1]  嗯现在咱们先
[48:34.980,48:36.830,0]  这门课少
[48:37.380,48:39.770,0]  好那就该去山东了是吧
[48:39.770,48:49.100,1]  呃去山东以前这个也可以插入这个小的就是跟有讲到国外的这个博物馆嘛那个因为前不久这个我跟这个曲家去这个
[48:49.580,48:54.270,1]  山西仿古啊还碰到这么一个这个可以勾连起国内国外拨
[48:55.860,49:2.540,1]  就是大家知道在这个如果去过这个美国这个纳尔逊博物馆这就会被他雕塑听力有一
[49:2.770,49:23.700,1]  尊有一有一通这个北齐的造像碑印象深刻因为这个造像碑的形制不同于一般我们看到照相呗嗯正面是一个是就是他完全是一个高浮雕的一个造像碑那么这个故事呢就是说呃那个因为瞿霞做了一些研究呃请奇侠跟我们分享一下
[49:24.380,49:29.480,1]  对这个造像碑呢很大然后他正面的价高古村老师说的他是一个高浮雕的一个
[49:31.450,49:33.460,1]  站在一个须弥山下
[49:34.890,49:42.140,1]  嗯照相对上有一篇长篇的题记就点名了这个照相呗是开启了杉杉河南省
[49:42.420,49:43.810,1]  金山的石头
[49:44.930,49:46.880,1]  再请阅城的工匠
[49:48.630,49:54.380,1]  然后就供奉在哪儿呢公产现在在山西晋东南长子县一个叫千佛庵的这么
[49:56.050,49:59.900,1]  呃有意思是我们这次就两个月前吧在山西房
[50:0.440,50:6.190,1]  然后遇到了当地长治县的这个某某局长然后了解这个事儿他说哎他说我知道是坚果
[50:6.930,50:8.440,1]  他说就在这天还
[50:10.410,50:14.320,1]  然后呢他说那庙里呢现在还有一块这个造像碑的一个
[50:15.140,50:16.370,1]  一个基座还在哪
[50:16.440,50:18.600,1]  那我们就很有兴趣然后我们就敢去了
[50:18.900,50:23.090,1]  像一看呢和这个自理的私人医疗我们先看那个上辈子做了
[50:23.440,50:25.840,1]  教的真是不错完全是给曲风格
[50:27.080,50:29.960,1]  可以想象当时的这是一款很燥很巨大的
[50:30.660,50:35.580,1]  后来聊起来那虽然说不对不对说这个方向呗是在十年前
[50:38.650,50:50.230,1]  那所以我们有些失望了但后来一了解他们说哎你们说的那个美北美博物馆的照相费也是我们这儿出的因为老村里的老人都记得就是在民国的时候给军阀
[50:50.440,50:52.890,1]  从这个庙里抢走了一块照相呗
[50:53.110,50:54.410,1]  易捷两段
[50:54.590,50:56.970,1]  这个后来听说怎么怎么运到了美国
[51:3.640,51:6.260,1]  这个仿古中的一个一个一个小发现
[51:7.360,51:8.590,0]  几分钟啦
[51:8.890,51:14.450,1]  对呀山东的就是因为这个其实地上的石窟啊当然没有这个
[51:18.040,51:21.480,1]  在地下的这个出土的这个造像碑那是相当的
[51:22.160,51:29.300,1]  呃不仅是这个青州龙兴寺的这个教材因为青州附近这些地区都是陆陆续续出过很多的这个
[51:30.650,51:33.550,1]  这个页边那个也看了一些吧
[51:33.860,51:38.650,0]  对我我因为经常去机场然后顺路就
[51:38.910,51:42.130,0]  嗯金州附近的什么铂金的
[51:42.130,51:48.360,0]  允许的周城没看你看博物馆就是租房子还是蛮短一点但这个条件很好
[51:48.670,51:50.980,0]  嗯还是很非常非常生气
[51:51.180,51:52.880,0]  哎你们去过吗你们都没去过
[51:52.890,51:58.700,1]  不我们我们去过我们还看过那个比方青州附近的那个这个钟山石窟啊
[51:58.700,51:59.520,0]  对
[51:59.520,52:2.270,1]  呃云龙山这个石窟这些这个
[52:2.270,52:3.160,0]  云南山
[52:3.160,52:4.400,1]  山海云蒙山事故
[52:7.210,52:15.180,1]  但这个讲到这个就要我们叫引申开来一些这个关于这个青州这个照相的一些一些特点啊
[52:15.840,52:16.530,1]  青州
[52:16.530,52:23.000,0]  这块是还都是建国以后出国对吧我记得九六年旅游中心宿舍
[52:23.110,52:25.460,1]  但是也有些冲突对吧
[52:25.460,52:36.200,0]  是在其他像博兴邻居那边都更早一点还有很多就是展呃比较零散的呃做强自主还有送早就发现在今年的都有
[52:37.520,52:40.150,0]  我我发现一个意思问题啊就是
[52:40.210,52:45.340,0]  这个就跟我就回到超跌的那个反馈了啊
[52:45.630,52:46.720,0]  就是
[52:47.170,52:51.325,0]  呃刚才奇侠也说到这个问题就是说在
[52:51.325,52:58.150,0]  解放前文物贩子从安阳地区拿走的很多的这个不像屋
[52:58.360,53:8.980,0]  其实他们没有意识到日本比如说他们其实可能呃拿走以后到了国外到博物馆那边他们没有留下他的位置所以他们很难去判断你到底是什么时代
[53:10.300,53:13.480,0]  呃我发现一个有意思现象就是
[53:15.060,53:17.720,0]  国外的博物馆在呃地方的博物馆
[53:18.460,53:21.760,0]  好像有很多现在我们知道是北京的指标
[53:21.960,53:23.350,0]  但是
[53:24.130,53:26.200,0]  对他的了解其实还是很有限
[53:26.480,53:29.940,0]  嗯因为他们移动其实并不知道那是北京
[53:30.280,53:31.070,0]  喂
[53:31.360,53:34.610,0]  这个教堂大量的发掘是在
[53:34.690,53:36.000,0]  1949年以后
[53:37.550,53:39.230,0]  然后对国内
[53:39.430,53:42.900,0]  对这个北齐的择校美术的认识是
[53:42.980,53:44.050,0]  远远
[53:44.260,53:47.630,0]  剩女这个其他的肯定应该可以这么说吧
[53:48.600,53:50.190,1]  差不多吧因为
[53:50.370,53:53.620,1]  就是在大概1910年代这些
[53:53.980,53:57.600,1]  这些照相刚刚到西方的时候一开始到欧洲吧
[53:57.720,53:59.880,1]  大家都是一普遍认为
[54:1.560,54:3.500,1]  呃一起把他们当作唐代
[54:4.910,54:8.850,1]  以后随着这个我们考古发现我们不断的教堂出现
[54:9.700,54:11.730,1]  这个尤其是这个青州造像
[54:13.480,54:18.590,1]  对北齐造像风格已经有了一定的这个认识所以现在大家才开始把某些这个
[54:18.690,54:25.910,1]  照相的年代再重新把它翻出来好就是这是北区的然后还有一个很有意思的就是大家也正在试图
[54:26.020,54:30.270,1]  喂这些散落在西方各大博物馆的这些倒像寻找他
[54:33.500,54:40.060,1]  天龙山什么那个天龙山石窟来的他从哪个出来的哪个小唐山市过来他是北栋的中中的南栋的
[54:40.940,54:42.360,1]  所以前几年不知道
[54:42.380,54:50.000,1]  芝加哥大学美国芝加哥大学他们做那个项目生命都基本戒了魔对他们就做了这么一个很有意思的像他们就
[54:50.850,54:58.420,1]  他们先去响堂山石窟做3D扫描然后再把这个西方博物馆的这个石窟做3D扫描然后看能不能配上
[54:58.420,55:0.140,1]  这个这个还是很有意思的
[55:1.500,55:8.350,0]  嗯所以就是这其实证明了那个后天师傅的这个意见是吧就是呃
[55:8.610,55:17.895,0]  不可以用都可以用的这个微粒公证处儿呃或者说证明了我的那个意见就是一旦不可移动文物的位置您丢失的话
[55:17.895,55:22.040,0]  对对对就认识的一个物质造成很大的想法
[55:25.280,55:36.330,1]  所以这个我我我我们今年春天去这个美国的这个北卡大学的教堂山分校他们那儿有个小型博物馆然后我在里头看到了一尊这个
[55:37.230,55:48.080,1]  就青州风格的造像我一开始是以怀疑的态度去看然后一看名牌我九二年进入馆藏我想哎这个比较靠谱的一个这个
[55:49.900,55:54.250,0]  所以呢所以现在要讨论忻州风格了吗
[55:54.250,56:3.970,1]  其实这个不仅是轻松风格因为刚才那个页面你提到就是说关于对于北齐时期的这个佛教造像的研究啊大国内的学界也是在不断的在这个
[56:4.660,56:28.490,1]  呃做研究了但是现在还没有取得一个非常就是这个丰硕的一个成果吧那比较讲到青州风格这个呢因为青州的这个造像出土的比较早他是大概是在这个90年代37那么随着这个现在近近些年这个比方那个北北湖庄的这个造像风格的这照相的处理因为北庄的照相他跟青州不一样的他的风格呢比较杂糅
[56:30.120,56:34.700,1]  多样那么有些学者呢就提出一个夜场模式的一个
[56:35.730,56:44.200,1]  这个是会相对于青州模式比较也有些人基础曲阳呃曲阳这个风格对吧这个呢就对了
[56:45.540,56:47.200,1]  这个对于这个
[56:47.320,56:49.180,1]  北汽照相风格的一种
[56:49.990,57:0.210,1]  因为我们回到复印到一开始讲到的就说在北齐短短的这个几十年的这个风这个期间佛教造像就是完全就是他跟这个
[57:1.270,57:38.020,1]  前面的北魏跟后面的唐是不一样的就是说呃这样再扩展一点就说我们知道在这个北魏这个皇室非常尊崇佛教才有了就是我们这个现在大同的这个云岗石窟对吧那么云岗石窟的开凿我们从风格来看它是一个逐渐汉化的一个过程比方说从你开始的这种两种模式的谈笑五铺到后来的这个包一波带甚至到了这个呃拼成签咯以后在龙门召开到这个北魏时期的这个宾阳洞古阳洞这个它就都能看出一种就是说佛教
[57:38.120,57:59.740,1]  照相他有一个逐步跟着这个先背的这个政权一样不住汉化的过程但是到了北极呢我们看见的他是一个反动它是一个反而行渠道是一个幼虫汉化变成了胡话的一个这样的一个一个现象尤其是北汽出土的这些造像它有很明显的一些外来影响的一些风格
[58:2.450,58:5.480,1]  我们不妨就以这个青州造像来做个例子
[58:5.960,58:7.770,1]  呃青州龙星是照相的
[58:11.670,58:15.390,1]  呃上线可以到北外然后有大量的这个东魏造像
[58:17.710,58:20.020,1]  然后以后他的下线当然在送她
[58:21.330,58:24.100,1]  所以我们可以看到一个很清楚的这个在
[58:25.110,58:26.410,1]  忻州这一带
[58:31.560,58:34.490,1]  简单来说我们在看到东魏造像
[58:59.290,59:2.180,1]  后来到了北区以后这个风格一下子就变
[59:2.490,59:4.170,1]  我们看到这个单词
[59:9.700,59:11.270,1]  厚重的袈裟不见了
[59:11.330,59:14.740,1]  穿着非常清薄的衣服而且把这个
[59:14.920,59:16.160,1]  佛像的这个
[59:17.520,59:20.830,1]  优美的身材曲线肌肉这个质感
[59:20.830,59:23.230,1]  新秀的这个生产这个圆润
[59:24.190,59:25.930,1]  而且这个佛像这个开脸吧
[59:27.300,59:38.480,1]  脸脸型也比较丰源不像的表情也比较丰富眼睛一般都是下垂的嘴嘴的小嘴然后V的这么有一点效效益这表情特别特别生动
[59:39.750,59:40.720,1]  这个就是一种
[59:45.500,59:50.350,0]  对一般人而言嘛就是你这个青州风格到底是什么就是直觉上
[59:50.350,59:52.710,1]  我就直接上比较好形容的
[59:55.300,59:57.300,1]  比较熟的就是蒙娜丽莎
[59:57.360,59:59.650,0]  看着那个感觉有点
[60:3.960,60:5.250,0]  嘴不能描写
[60:5.250,60:16.520,1]  这个现在会有程序向飞下列对对对还有一个就是这个国内I用的就是这个页面比较深恶痛绝的槽溢出水呵呵
[60:16.520,60:19.130,0]  对对对一是不是的那种
[60:19.130,60:41.630,1]  对其实我觉得长秋水这个东西呢也就也要看就说他是一个如果就说这里这四个字里呢其实含义还是很多的一个曹一为什么是曹曹这个人潮中达当然这个是说是其实最早是讲的是这画画对吧画画这个画的什么那时候讲吴道子啊讲谁谁那么这个曹重打时尚他只可惜与人
[60:41.790,60:53.700,1]  他是他是这个昭武九姓里面只有炒股人但这这对这个大家就应该就说这也有个知识点昭武九姓石石石现在这个中亚中亚地区的一个半小时
[60:53.700,60:55.390,0]  个人吧应该是七点
[60:56.340,61:0.560,1]  呃对中国人叫叫叫粟特人对对对
[61:1.270,62:0.410,1]  他那个其实他们这些人呢其实因为通过这个呃丝绸之路来到中国完了定居下来他们带来了很多当时这个区域的一些风格呀或者一些艺术的这个流流程就跟刚才我们讲的这个北其实这个皇帝特别喜欢看这个呃这个西域的舞蹈比如他们的这个北朝的这个就是北齐的观致里面专门这个在这个这个就是呃管这个乐府的管理呢专门还设置了这个啊西凉四部什么秋词不就是专门这个演奏这个西凉的音乐秋词的音乐这样的那么可想而知他们当时也引进了很多这个就是西西方的这个区域的人才吧所以说我觉得曹艺术水槽其这意思的希西域来的这个画风那么这个出水怎么演绎呢出水就大家想一下一个人穿的很单薄的衣服从从鱼缸里站起来或者怎么样的一个情况那基本上就是这样的一个
[62:0.410,62:5.640,0]  所以我听出来了就是说钦州风格就是蒙娜丽莎佳培缩水是吗
[62:5.740,62:11.320,1]  呃基本基本上可以咱们咱们这个咱们我我我觉得
[62:11.320,62:14.110,0]  我为什么刚才我说那个为什么给他说我
[62:14.220,62:19.560,0]  业务这个考虑清楚即使谈不上了但是肯定我还是不是很同意
[62:19.630,62:20.650,0]  因为我觉得
[62:20.760,62:24.300,0]  哎我相信曲谱取法也不会同意吧就是
[62:24.510,62:26.070,0]  这个就是说他这个
[62:26.070,62:26.790,1]  它暗示
[62:26.790,62:36.840,0]  这种服饰或者这种雕刻的手法是来自于还是宿舍吗我我不能同意啊嗯对当然Gary
[62:37.840,62:43.220,1]  其实青州的这个从北京开始的这种新新的风格他的预留是非常明显的
[62:43.630,62:47.810,1]  呃我们讲到佛教美术我们当然要讲到佛教的这个发源地印度了
[62:48.250,62:53.310,1]  在这个至少到了公元十世纪以前或者在更早一点公务员80级
[62:53.990,62:57.250,1]  当佛教在印度还非常有活力的时候呢
[62:57.330,62:58.880,1]  这个印度一直是
[63:1.720,63:6.840,1]  再从东汉一直到我们这个唐朝这么大概近1000年的时间里
[63:7.980,63:10.170,1]  七八百年的时间里吧一直在
[63:12.560,63:14.890,1]  以后再通过中国影响这个超享版
[63:15.780,63:19.670,1]  所以说就印度流行一个什么样式然后我们中国哎马上
[63:19.820,63:20.930,1]  渐渐的也开始
[63:20.930,63:23.690,0]  也就是说他是不断的传入的然后
[63:23.760,63:27.030,0]  不是说他过来以后中国人开始发展啊
[63:27.030,63:29.390,1]  对呀对呀不是说我们自己发的因为
[63:30.200,63:31.530,1]  很好理解这
[63:31.600,63:34.610,1]  这么多年你中国不断有生人到印度去求法
[63:35.480,63:41.370,1]  对对SN有名的一个就是南北朝时期的那个法显
[63:41.740,63:49.820,1]  发现不是后来回国的时候他好像就是最后他那个船漂河就在山东上班
