[0:0.165,0:5.140,0]  欢迎收听陛下关今天士兵下关的第15期大家好我事业编
[34:35.140,34:52.000,1]  就是他做的这个东西完全是他拿这个钢筋混凝土对吧然后他整整个外外观虽然是仿了一些这个好像这个传统建筑的样子但是也不尽然反正就是而且他最重要的一个什么他是在他这个原来大雄宝殿的原址上
[34:52.350,35:2.935,1]  等于他等于这个这个房子上面他了吧本来想着这个机制可能还能再他就把那机子整个给冷冻了就这样的话就是大雄宝殿这个
[35:2.935,35:16.230,1]  这个样子就彻底的就是就消失了他把那些就是很精美的住处啊什么的他都都好多都挪了挪了位置了没地方这个也是我觉得是一个呃挺挺遗憾的一个一个事情
[35:16.800,35:39.370,0]  对哎呀其实很可惜啊如果这个这个这个包含两次钱来做的话可能就不太一样其实梁是Liang他们也到录制的但是他们30年代了道路只也到吴城利索去去去看过但是我从我我只能查到他们访问过这儿但是没有对他们有没有他们给我他还没有查到对但我我想他们应该是不满意
[35:40.780,35:45.270,0]  总之就是当时轰动一时的这么一个试卷最后去
[35:45.540,35:53.980,0]  结果并不是特别令人满意啊对另外一个呢就是说建筑其他建筑方案就是我们现在都能这个大家都有自己的判断还有一个
[35:53.980,36:1.640,1]  哎我我在我在插播一下不好意思那个范文照也挺有意思范文照也是毕业于宾夕法尼亚大学
[36:1.920,36:3.710,0]  哇okes
[36:3.710,36:59.360,1]  范文照12点也是建筑这建筑地区建筑学硕士它比那个他他必必须厂家大学他老前辈了是二一年毕业于宾夕法尼亚大学那时候等于那个梁思成还没有去这个这个美国留学呢他呢也做了一些当时为什么找找那个范文照做呢2/3也挺有意思他呢还做了一些复古性的建筑这范围这早期的作品比方说有一个挺有名的就是就是上海那个在西藏南路有一个八仙桥青年会大厦嗯那个就是一个虽然认为是一个就复古性的他是个有点流利坡顶的一个房子他就是等于是他做但是它是中西合璧的一个你现在还在是不是还在这个是也是应该是个文保建筑了就是说他还有一些这个当然因为因为文保事业那时候也是刚刚起步甚至还没有起步所以就以现在的标准来要求当然是过于苛刻啦就觉得这个刚才我说做的这些东西有些
[36:59.360,37:19.940,0]  对呀那比如说我们现在走进去古陈列馆因为它这个钢筋混凝土的这么一个这么个建筑空间呢又比较的因为它限于这个机子的原因吧空间又很小然后那个B速八又是这种比较这个股型的就是两个的这个差感觉就是嗯这个这个那特别是
[37:19.940,38:3.970,1]  这个范围上就是他有一个可能最有名的作品见大家都比较熟悉就是上海那个上海音乐厅这个页面可能到上海去也应该知道吧就是就那个被移了以后又抬高的那个那个范文照那个是范文照的一个那是他是那他设计的对然后他还参加过这个中山陵的方案设计竞选和那个他是得了第二名那个吕彦直得了第一名然后他第二名所以这也是当时也算是ad9225年以前那他这个是1927年那时候也是选了等于是国内一个呃很有名的一个建筑师来进行这个也是一流的一个建筑生产性但现在很多人可能不太知道范文照这个人
[38:5.540,38:15.800,0]  但是古物馆的那不就没什么就像一个像一个农民房也在大体是ad就就这种感觉真是
[38:15.800,38:22.040,1]  所以说这个所以这也看出来就是这个股保护其实是有一个有一个有一个过程的
[38:22.840,38:25.585,0]  哎呀当然了这个
[38:25.585,38:41.610,0]  建筑的方案一方面另外呢其实这个碧素啊也请人修了这个我知道这就是请了一个一个留房一个姓华的一位这个艺术家修的然后这个其实效果来说这个不太好其实
[38:41.610,38:48.160,1]  对我觉得也是因为当初这个怎么修复这个原则问题我觉得是有一定的因为哎
[38:48.190,39:2.620,0]  我我提我有个提议啊我们说了很多那个我们传递了很多负能量那种嘛应该嘛应该说一下我们为什么今天就是这个东西的价值是什么我们呃为什么要今天专门化一期节目时间来讲保证和
[39:2.840,39:26.510,0]  罗汉罗汉想肯定他是有一些他特殊的地位啊或者价值吧我觉得对他对于我们来讲已经就是说现在不存在了但是它还是有价值的就是这个宝盛四大变得这么个建筑这么形态给给我们对于这个北宋江南就江南地区的北宋建筑啊给了我们很多很多的信息因为大家现在知道现在江南地区这个
[39:26.590,39:41.710,0]  保存下来的这个比较原汁原味的这个北宋建筑以保国寺为最著名就是就是保就是宁波的保国寺为著名其实呢我们现在知道其实当时啊原来其实至少有三座
[39:42.220,39:44.300,0]  北宋建筑就在这一期
[39:44.390,39:59.020,0]  这些这个大的这个江南的这个范围内呢有三座被动建筑其实都可以相比较的这三座建筑呢建筑形式很像建筑的建研年代呢也非常接近可惜了两个不存了一做就是宝字还在
[39:59.400,40:6.640,0]  那俩另外是哪两座呢一座就是我们今天谈的这个保胜诉的这个大便另外一座呢也在苏州
[40:6.640,40:10.430,0]  就是著名的这个双塔寺就苏州罗汉院
[40:10.690,40:17.380,0]  他现在有一个对也不在了但是他还还是不少他还在我们谈的是当当中的那个建筑
[40:17.730,40:22.540,0]  这个基本上什么形态呢基本上它是一个就是刚才古城说过了
[40:22.960,40:25.070,0]  他是一个方三天的这么一个
[40:25.510,40:37.970,0]  这个就是平面呃就说这个开间和晋升基本上是等长的基本正常我们现在根据这个机子能判断就是最大的是罗汉院这个建筑
[40:37.970,40:45.620,0]  索爱是苏州刷卡是的这这么个那个大便他大概呃边长一边大概有近18米的样子
[40:45.710,40:49.620,0]  而宝胜是个保国寺的大概都是在进13米
[40:50.500,41:0.550,0]  这两个房子是对非常非常的这个这个大小的态度是非常接近的然后三座建筑它都是这个悬山顶
[41:0.860,41:33.960,0]  单檐悬山然后都是鹿鸣的就是轿车上路名就没有天花的而且基本上已经是以这个作为营造法师讲的这个厅堂造这么一个一个做法啊还有很多这个建筑细节都可以比较就是说懂呀还是用他的才分的大小啊然后他的这个柱础啊他的这个粮价的结构呀呃也也很像宝胜字基本上现在我不知道他是这个用法师的术语就是前后入伏用四柱就它里头
[41:33.960,41:38.420,0]  那不有四根这个这个那住嘛然后是吧假盘子
[41:38.870,41:42.515,0]  啊斗呢他这个
[41:42.515,41:44.790,0]  新间有两两
[41:44.920,42:32.990,0]  两铺这个这个补贴辅佐然后这个柱头上是这个月就有不错然后都是基本上是五五不做担保单下怎么做法然后全是用真狼的里跳这个都是用挑战然后这个接着这个这个上面的这个集团这个都是非常标准的这个宋代的这个建筑做法如果我们再细细的比较一下比较这个宝盛资格保国寺呢我们知道我们现在也大概知道这些感感谢大分析呀如果不是大风下当时拍了这么多照片而且他们下来话了建筑的平面我们现在基本上就是对保证苏州衣衣服概念了现在我还能比较出来这个就说在等级上的可能保国寺要略高因为它的这个才分啊用的财大想啊还有装饰的这个精美和精细程度啊保国寺应该是
[42:33.190,42:36.520,0]  并把上次挺高的阿
[42:36.520,42:39.270,0]  基本上建筑是这么个情况跟你说那个
[42:39.270,42:42.220,0]  江南只有这三座呃宋代的建筑吗
[42:42.360,42:45.530,0]  就是北宋的进度我们当时把那个图片那个花对
[42:46.150,42:59.690,0]  把一个字你点开因为它离这个江南就我们想将来是个小范围的想法就是你这是原来的这些地区就江浙一带的这样的嗯东山那个是南宋是吧你说那个紫金啊
[42:59.800,43:5.690,0]  啊别人建筑就谈不上更软软件都谈不上而且
[43:5.690,43:11.470,1]  我也想想说这书上到底是不是说是那个什么我觉得大家也也有存疑这个
[43:11.470,43:26.790,0]  哦难度也存疑是吧是这样的我们现在知道如果再细细的分吗就是说早期的建筑就江南地区还有还可以讲到这个蓝色的那个玄妙八大件啊那个是一个重要性但它是南宋对不是北
[43:26.790,43:30.360,1]  而且那个修修护士也修的比较多这个
[43:30.360,43:51.780,0]  对对另外还有比如说虎丘的这个二三轮还有东山当时我我昨天可能是指的那个东西啊就东山那个就是叫那个轩辕庙那是元旦轩辕公寓原原公司的狗对他也必须早期的幕布但是第一个他肯定不是北宋第二个他的这个木不是很纯粹
[43:51.830,43:56.030,0]  就是从形态上其实都接近宋元之交了这么个形态
[43:56.690,44:13.910,0]  而宝胜寺保国寺和那个罗汉院是三座建筑我们现在可以推知他是非常非常原汁原味的这个北宋建筑因为他们借钱很接近啊现在大家一般认定啊这个保国寺对吧宁波的他是大概大中祥符六年1013年
[44:13.930,44:16.470,0]  嗯哦几乎同时啊
[44:17.480,44:23.770,0]  早胜也是不是就是这个也是就是大众宣布六年
[44:24.060,44:26.330,0]  对所以非常具有可比性
[44:26.440,44:30.260,0]  嗯还都是宝字辈的还是而且还
[44:30.260,44:53.350,1]  这个还有一个我觉得大家可以看到地方因为毕竟就是说呃虽然刚才那个区嘉奖的就是从用材上来说可能现在的保博士可能用才更大一点但从另外一个角度就是说代表男这个宋代建筑的一些精华因为咱们不仅看不够啊就是他的这个柱子它的施工它的这个池做的这个做法什么那这个这个保证四
[44:53.350,45:17.440,1]  要看起来就说无论宝上次也好还是那个罗汉院的大殿也好这比现在的保保国四的去要要要看的要精美的多因为现在保存的住处也好石柱的也好它里面的这个男贷款代表宋代工艺的这个这个什么这个雕刻工艺啊这个是非常高超的另外我觉得我还想提到一个就是说因为我们看见主因为我一直也也也
[45:17.450,45:30.230,1]  强调这一点就是不能只看他的木构的本事还看他的所有的这一个寺庙的全部保国寺虽然保建筑完整的保留现在非常遗憾的是保国寺里面原来是也是有塑像这个塑像
[45:30.340,45:33.580,1]  据说也大概是毁在了这个
[45:33.840,45:35.070,1]  解放出去
[45:36.110,45:45.370,1]  就是跟这个因为这次去年到那个保护是专门问了他们的他们说那个保国寺那个铁刚解放的时候那个地方是用来关那个的反坏
[45:45.370,45:49.690,0]  对对对对对对像监狱对所以电子版的一个风景如画
[45:49.690,46:40.100,1]  对而且这个地方是南京工学院的人是在五四年进行普查的时候还不如偶遇的机会发现就在这以前大家都不知道保国寺是一个古代建筑只是知道他是一个就是乖坏人就是把这个寺庙等于废物利用来作为关怀那可想而知里面的塑像肯定都没有了就跟那个当初还一张老照片你说就是浙江另外那个五一的那个延福寺是200块钱的梁思成林徽因他们去的时候有老照片工作照片为证那时候有满堂的塑像而且从现在照片来看那个塑像的质量应该是很不错起码是应该是元代的塑像他现在也是空空如也什么都没有说从这一点来讲宝胜是很有意思就是说他虽然建筑没有了但是呢好歹塑像还保存了那么一一些这个残疾给我们等于也我觉得也是非常有意义这是非常我觉得这是非常有
[46:40.100,46:43.820,0]  感谢要感谢顾颉刚了这个药不是还可以
[46:43.820,47:18.030,1]  对所以我觉得这里面还有普及外教也就是说在圣诞的时候其实大家现在学术界公认就说那个营造法式出来以后这个宁波的这个保国寺看着很多东西非常按照营造法式的这个做法来做因为可想而知因为当初南江南地区也是这个在宋代就是非常繁荣发达的地区它的好多做法但是很遗憾呢就是宋代在江南地区整个完整的一路下来宋代建筑现在只有宁波保国是这么一座因为里边有一个很重很重的对因为有一个很大的一个事情就发生在
[47:18.400,47:23.610,1]  大概一般就是太平天国时期那时候太平天国运动
[47:23.760,47:48.590,1]  十卷了整个江南地区刚才那个区讲到的这个罗汉院实际上就是毁于这个太平天国运动就是在1860年的时候被毁掉了那个时候已知的当然回家罗海燕未知的毁掉了有很多很多宝宝上次就是因为太太偏远了那时候很偏远的一个地方他估计可能战乱战火没有波及到所以才幸存这么一个硕果仅存的东西后来又在20年代又被
[47:48.630,47:52.570,1]  自然的这个浑水的这个真是非常遗憾的一件事情
[47:52.570,47:59.500,0]  是啊嗯对所以说了半天这个还是看不着咱们说是ad
[47:59.500,48:9.150,1]  其实其实你还是有看点的大家到那个宝盛四区啊我觉得一个是他那个就是看这个处吧还能一个柱子还有一个经幢
[48:10.080,48:16.860,0]  对他有一个唐代的精致这是这也证明了宝胜寺的这个创建年代至少至少在
[48:16.880,48:19.960,0]  唐卡费用是在854年这么个形式
[48:19.960,48:39.710,1]  这个经常也是江南地区也是不可多见的一个一个把握这个经幢这个它是有两个经幢原来是一对儿就应该有一个唐代的一个宋代但宋代的经验就剩一段儿唐代的经常呢现在还基本完整这是一个经常还有呢其实宝胜次我不知道后来见过以后没有做过这个
[48:39.710,48:44.970,1]  考古勘探因为它这个在这个我印象中应该是在他的这个
[48:45.780,48:48.040,1]  西侧还有一个店址
[48:48.260,49:3.280,1]  那个电子比较完整就是一个住宿都在就说罗列的很清楚就一个一个住处非常漂亮都是那个一看那个住宿就像宋代的这种标准的就是宋代的这种住处但这个店到底是什么电影什么时候回嗯
[49:3.280,49:23.440,0]  我觉得因为因为我因为我我小时候去的时候我对那个没有印象但是我觉得你我觉得你看到的那个住处吧应该就是在那个保持保持大便那个遗址给他就是搬出来的住处应该不是其他的店因为那个是比较非常典型的这个北宋风格的这个这个这个
[49:23.910,49:27.480,0]  这个浮雕的这几个住处但是我
[49:27.480,49:39.940,1]  我不知道因为他那个搬出来的话因为因为它那个就是现场有一些搬出来住他就等于挨个的放在一六这个呢是他是一个就说看起来好像还在原值因为它能看出是个三间
[49:40.380,50:11.860,1]  也是个三天乘三天的一个房子完了每个住处都放的位置似乎是好像是像这个有建筑的价位并不是说这人对这是一个很有趣的一个但没有看有谁来研究过这个问题因为有可能宝生词历史上可能不止一个大雄宝殿可能还有别的店因为它这个住处呃放在那儿而且他这个住宿跟那个就说那个就是大大珠宝建筑单独把这个柱子它是那个缠枝那个联呃牡丹或者是那个化妆桐梓对吧那个住处我说的是大部分基本都是妇联
[50:12.000,50:23.545,0]  就是还不太一样那应该时间可能还会更呃有可能那从呃对了我有印象我看过你拍的照片但是从那个住宿的形式来看当时那个建筑不会很小对呀
[50:23.545,50:24.610,1]  所以但是
[50:24.610,50:28.360,0]  但是等级很高的应该是非常相当于就是有一定等级的一个建议
[50:28.360,51:27.030,1]  我可以把那些我拍的那个注册咱们以后那个把那照片那个发到那个知乎的那个网站大家可以去看一下我觉得这也是一个就是值得大家关注的一个一个看点吧如果我们把这个宝胜寺作为一个一个景点向大家介绍的话它实际上是这样他进来有一个三门三门进去是个天王殿天王殿这个大店呢啊住处也是老的去这个就是同济大学就是我母校的这个成都教授原来研究的说天王殿以前也应该是一个就是也应该跟那个大雄宝殿一样只不过它这个天王殿呢是在您在崇祯年间被被这个改造了就是重建了就是现在变成现在这样完了再过去后面是大雄宝殿单人绑定就是现在的这个这个股陈列馆的这个位置嗯就基本上是这样的现在这样一个格局那我讲的有个有住宿的电机电机遗址就是在他的这个西边等于就是白送保健的这个右手
[51:28.020,51:42.920,0]  对那那我们讲完建筑我们再谈这个B速八是这而且是我们现在能够看到的这个保证书的这个这个北宋一句应该是延误了虽然修过哎那我想问两位你们的这个第一印象是什么呀
[51:43.130,51:47.960,0]  第一印象有点失望吧呵呵apa过去看完
[51:47.960,51:51.685,1]  也可能因为我觉得是一个可能尺度比较小
[51:51.685,51:59.750,1]  觉得大家觉得可能看着比较就说不是他那是好像镶嵌式的再一个再一个这个罗汉山上好像是这样的一个情况
[52:0.900,52:15.710,0]  对对对我主要是因为我去之前我稍微看了一些这个以前他们的这些材料那个就是说的活灵活现说这东西啊简直是就像就像活的一样说有一套
[52:15.880,52:17.430,0]  啊对所以因为
[52:17.430,52:18.810,1]  喂
[52:18.930,52:21.940,0]  他其实在同时代的这个作品里面
[52:22.780,52:30.490,0]  嗯他来说没有觉得是那种就是高于同时代的其他部分比如说灵岩寺的那个济南的灵岩寺呃
[52:30.870,52:35.820,0]  我觉得也也非常好啊或者是包括每天的博物馆里看到过的一些这个罗汉
[52:40.260,52:42.330,0]  主要可能还是保存状况太差了
[52:42.710,53:34.120,0]  对为什么原因我觉得第一个就是刚才古城说的这个当然啦我们觉得他尺度会有点小哎罗汉就是说不是很大对吧第二个就是哎呀这个环境有问题吧走到那个像农民房子似的然后看着这么这么一个东西对吧然后第三个可能就说在修复上也有一些问题其实我现在电脑面前面对了一条这个宝盛紫罗兰的这个老照片我觉得还是很生动的这个没没做没没尊就是侧手这项上面这个呃仰视的那个雅思的这个这个就是有点糊人的那个那个SF对那个好像我记得估计刚当时也认为算是他他肯定的认为那就是羊羊灰的原色因为它认为认为其中有可能有次尊是两回事的原则其他都是厚的后人
[53:35.300,54:20.550,1]  对因为那个我我觉得是这样我我个人观点是因为那个顾及刚那个年代一个那个影像技术等于就照片什么刚开始有所以他们在那个时代他们所见识到的这种中国的这种所留下来的雕塑比较少所能看见的是什么呢可能就是看见的明星的比较多因为明星的雕塑比较流尤其在北京啊什么这这个就相对于明星的雕塑来说呢我觉得这个宋代的雕塑应该是高出了很大一步的这个是这个所以这个这是不同的因为我们现在是因为别别我们是看多了比如您这个是这个走来朝北中外古今都看了以后那你返回来再看这个可能是这冲击力不像这个当时这样这我觉得这是一个鱼
[54:20.550,54:25.660,0]  而且那个我觉得很有意思就是刚才那个就像你说的这一尊的
[54:25.780,54:28.690,0]  呃确实在细节上可能跟其他有
[54:28.690,54:30.410,0]  有挺挺不一样的地方
[54:30.880,54:33.615,0]  包括那个他的服饰啊就是
[54:33.615,55:5.070,0]  佳佳的部分就我觉得我们去看保证书的这个现在现成的B座我们就说也最好大家呢就是说稍微忽视一点细节只看一些大面上的东西我觉得就能得到很多的信息第一个他这堂B座的这个形制啊就不一样我们知道B座B数他是整个整体坐在这个墙壁上的其实这个地区到明和清代都在搞这个B座但是这堂B座和明清两代的不一样在什么地方呢我觉得这个不对能能看出来吗
[55:5.070,55:6.645,1]  顺德站因为因为
[55:6.645,55:28.040,1]  碧素在明星实价大批的被运用尤其像咱山西有很多啊这个小西天或者那个这个长治的观音堂就很多避暑但这个呢相对来说就咱们先远看他这个山石的这个这个布置的方法这个就相对来说就比较明星来说呢看起来更为的这个大区跟更为的便宜一些
[55:28.620,55:53.420,0]  对其实很多时候就是我我现在在看照片我看现在这个备注的这个影子你就能看到当时宋代的那些就是理工零风格的那种白描的这种罗汉化的那种感觉这个这个在里头就在30之间这些罗汉就是各自这个坐在这个这个山石云气之间然后他们在有各种各样生动然后互相也没有这个这个就说有感觉吧
[55:53.420,55:55.290,0]  特别像就感觉是很像
[55:55.810,56:9.310,0]  而不是像以后的这个虽然也是做了这个B座然后山西比较呆板然后堆的也比较这个这个这个码然后这个罗汉一个个都呆呆的这个站姿或者是坐在那儿然后这个好像感觉还是很不一样
[56:10.190,56:11.780,0]  哎他30的这个
[56:11.780,56:14.730,0]  对于数的方法我觉得跟后后代也差别蛮大
[56:15.080,56:23.810,0]  这挺大的挺大的对是那个巨大村西崖是来说他认为这个其实可能还有可能是唐代的或者是
[56:23.810,56:26.560,0]  按照唐代的模式来做的他认为这个
[56:26.890,56:31.050,0]  就是他跟宋华里面的呃山的皴法
[56:31.090,56:35.070,0]  他觉得这个还不一样他认为这个可能要更早
[56:35.390,56:38.960,0]  嗯我觉得反正至少跟明星的肯定差别很大
[56:39.600,56:53.300,1]  因为那个因为很遗憾的就是什么呢因为宋代跟唐代以前的这个碧素的东西和这个实物很少了基本上没有保存下来什么这是唯一的这个在内地地区的顾虑因为呃
[56:53.320,57:8.570,1]  在敦煌那些是唐代的交代他敦煌没有那种B速类型的这样的这个这种东西对ab数基本是它是跟那个跟建筑走在一起的那山西整个地区是有很多宋代的雕塑保呃塑像彩色从保证金但是好像
[57:8.620,57:16.300,1]  这个B数形式的只有明星那个呃那个原以前的都没有所以这个是从这来讲是非常女生
[57:16.300,57:18.700,0]  对我想提提取那个
[57:18.910,57:21.450,0]  呃重庆市是不是有啊
[57:21.450,57:31.855,1]  重庆市那个有B数但是技术那个那个B数是明代的那个电视那个就是那个什以那个地藏殿吗地上店里有B数那个但是那个年代
[57:31.855,57:38.995,1]  不是那个什么对重庆市咱们看到那个十八罗汉跟那个三大士殿那个宋代的那是没有B数
[57:38.995,57:50.700,0]  那没有B组这个没有可能没有没有对因为他是这样的就说重庆市一种做法就是他把罗汉坐在这个这个神台上然后他后面是以绘画的形式来表现到这个30
[57:50.700,58:12.400,1]  对唯一呢就是有一些老照片可以看到就是原来的那个正定的隆兴寺他那个大悲阁原来是有这个宋代的毕宿后来一大悲阁不是他了嘛所以那塑像也都没有但是呢呃有些老照片保留下来那是又是另外一种风格的呃据说认为那是应该是宋代的避暑的一种
[58:13.100,58:41.290,1]  呃这个大家可以翻一些那个不久前有人贴过很多那个隆兴寺老照片吗那个里面有一些这个就是宋代的这个避暑因为龙兴自考证也是宋代典型的宋代寺院他的那个但是很遗憾他那个也都没有保存下来所以从这点来讲的话这个不管是不是唐素那么即使讼诉的话这个保证书的这个碧素的这个十八罗汉的一半还是非常的这个就是
[58:41.660,58:54.020,1]  有这个研究价值的我觉得确实这一点肯定因为它观赏价值不高可能是因为他跟陈列的关系啊他这个不打这个直达自然光没有没有登的那个原因啊或者怎么样还有她
[58:54.020,59:1.560,0]  很多细节已经还还就是我看了这张老照片的这个这个细节你现在对这个新的照片就完全不是那么回事儿
[59:1.560,59:5.140,1]  修复的一些原因啊什么这都都都有都有原因了
[59:6.070,59:20.170,0]  对我看这张老照片就是这个这个呃这这尊罗汉的这个脸部的这个表示这个鸡肉这个骨感那完全不是想灵岩寺那个送所谓的送送做还可以比的这个应该要高很多
[59:20.170,59:26.300,0]  哦你是说保证四这这个至尊还要更高对对S那个是重装过的好像是吧
[59:26.300,59:30.740,1]  每一次呢灵岩寺那个罗汉不全部都是送的像有一些送的有些
[59:30.740,59:48.190,0]  因为我们看有补有后来会除了看他的开脸看到加油啊他的神态还要看他的一些姿势啊动作啊然后和他这个背景的一个一个就是配合的一个状态啊因为我们看到就说他这个保证特别有意思就是说就像在做画室的这个罗汉都
[59:48.250,59:57.425,0]  就说自己做自己的事情根本就是说也不是就是说把它固定的放在一个位置或者同一个动作同一个角度就感觉就是特别特别的
[59:57.425,59:59.190,0]  这个自然的
[59:59.490,60:4.080,0]  哎对说到这个我刚才为什么说那些这个
[60:4.140,60:13.560,0]  这几这几个罗汉好像是后来拼拼凑在一起吗因为因为我也是看到有一些老照片里面就是呃能看到哈现在的那个
[60:13.910,60:16.930,0]  就拼好了这这这这个备注里面
[60:16.930,60:19.870,0]  右下角有两次是相对的罗汉
[60:20.030,60:26.910,0]  嗯在老照片里看起来完全不是那么回事儿就是对那个左边那村它其实正面朝着你然后那个
[60:27.460,60:48.580,1]  他是就是他是期在那个页面你知道吗因为他这个整个这个罗汉墙的位置已经都改变过了因为这个现在他现在古城利索进去以后他这个这个等见面详细变成这个这个正正面的便冲着男的实际上这个强原来是应该是西山墙
[60:48.920,60:57.400,1]  他整个都都他都把它转那个转了个90度完了整个重新弄过所以他跟原貌已经我觉得大相迳庭了很多了
[60:57.550,61:17.250,0]  是的而且他的这个就是说这个作为这个罗汉的背景的这些这些B座B啊啊我觉得他这个也不是原来的这个结构和样子它只是把一些很多种岁历史这些这些然后再把它重新再拼起来就按照他怎么把他给起来了所以说这个其实也差别挺大的然后罗汉的位置也并不是原来的位置
[61:17.440,61:25.960,1]  很多所以这一点反正也是挺遗憾的因为毕竟可能他了以后要把这些碎渣给他都都都把它弄在一起也不容易可能
[61:29.980,61:54.280,0]  而且听说在30年代还没做完这个工程然后以后呃当然我是小时候看这个杂志啊那个又说说这个进华这位画家发到了文科以后说还念念不忘报社还想回来再继续工作后来到陈列馆一看哎呀这个现状也没法再做了然后就就就放弃怎么怎么样啊现在是一共只有九尊了对吧
[61:55.670,62:13.770,0]  对我记得这个说起来应该是应该是原来是十十六或者18对吧应该原来是16宋元送达人数肯定是16但是后来可能到了新干啊或者怎么样又加了两次18所以怎么样来但我为什么看到文献里一直都说是18呢
[62:14.390,62:17.550,0]  说就是什么地方志里面说是18
[62:18.970,62:24.620,1]  他那个地方治时尚有都是那个咱们看到地方志都是清代修的地方只
[62:24.820,62:42.030,1]  那个厅耐心的地方志呢它里面就是我想因为罗汉变成18个好像就是明天以后才开始有这个情感是很晚的所以他可能不排除后来又加了两个因为的确能看出来这这这现在留的九折罗汉也是这个质量
[62:42.470,62:44.290,1]  呃就是呃
[62:44.290,62:47.720,0]  哎不太一样不太一样对服务器上也能看出差别
[62:47.720,62:59.450,1]  对对对这个其实可以再提一句就是苏州那个那个在那个东山那边有另外一个订单紫金庵野相传有这个很有名的也有十八罗汉
[62:59.490,63:17.530,1]  对吧那个罗汉呢大概在江南地区这个现有的这个保存下来罗汉里面质量应该算是不错的但但是把它称为这个有人也把它拔高到这个讼诉的最高东西或者甚至于什么或者是刘銮塑啊或者这种
[63:17.870,63:52.230,0]  啊对比如说也是有名的工匠是吧有没有性质的对哎呀但是那个罗汉呢怎么说呢就是说从形态上来说基本上我我个人认为啊也肯定是报不了动态可能也是原名之间的另外一个后代装备也很厉害所以你现在去看一个都精装了好多层了都肥头大耳的这个看着呵呵没什么细节呵呵但是它姿势很生动的就不是像这种敏感字的这种就是比较版的这种样子他的这个坐姿呀这个首饰呀什么还是相当的自然但是就是
[63:52.230,64:20.690,1]  细节没有说这个说是号称说是南宋的一个什么雕塑高手叫什么雷潮夫妇素的这这这都是这都是传说啊就跟传说这个什么好多塑像安妮哥啊什么刘銮什么技术但他呢就跟刚才去讲的就是这个的确后世的重装重装在重装这个这个把它这个原来的精神气儿就给这个这个装没了但是也能看出一些那个就是
[64:20.710,64:22.960,0]  古老的影子
[64:23.020,64:49.130,1]  葫芦岛影子就跟那个因为讲了这咱插一句就说前两天那就前不久那个页边宁波去了那个北京的这个有名的这个大悲大大大慧寺的大悲舍对吧那应该大悲阁八大悲宝殿大悲宝它不是隔了他其实看起来有点像RV保定这个应该是应该是北京地区现存
[64:49.130,64:50.370,1]  最老的属相
[64:52.000,64:53.290,1]  远大啊明代的
[64:53.290,65:4.080,0]  啊明白不能算最少北京有元代的东西啊那个东西庙对面不是远东对面没有像也是那是曾经有过浏览的据说是
[65:4.080,65:8.410,1]  据说是但是现在都不没有了就好像我印象中北京市
[65:8.410,65:11.950,0]  录像不会更早吧不会最早吧那肯定还有更早的
[65:11.950,65:15.490,1]  呃北京好像没有了北京因为北京北京
[65:15.490,65:28.590,0]  怎么说啊你比如说你比如说天宁寺塔上面天宁寺毯上面就L呗我说的应该是建筑里面的那尺度很大的力度很大而且基本上是不能算是就是鱼也高不掉或者援交了
[65:28.590,65:47.610,1]  对那个因为那个就说也能看出就是明代他有名单的特点我觉得那个就是标准的一个明代建筑明代那个雕塑的一个一个一个词而且在京城的话应该算是这个比较这个比较标准的明代范儿的一个饺子就跟就跟法海寺现在大家在在在
[65:47.700,65:56.360,1]  谈那个法海寺的这个壁画多么多么那当然是个标准的法海死你也是敏感人生很遗憾叫法海是其实前面也是有思想在文革中都被毁
[65:58.430,66:5.960,0]  你说起这个大会是我想我觉得我觉得其实有一个是挺有意思就因为大慧寺里面的这个留了有28尊的
[66:6.130,66:16.550,0]  呃就于明代的塑像但是就是关于这28寸数量到底是什么就是他的这个姓名啊有问题嗯对还是其实其实挺挺有争议的
[66:16.550,66:21.470,1]  我看了那个谁发的照片我觉得应该是是不是应该是四大天王加24天
[66:21.920,66:27.750,0]  嗯不不24周天里面包含了400平方所以其实我想说的一个问题就是说现在
[66:27.800,66:30.850,0]  其实我们现在研究这些佛教的
[66:31.090,66:33.070,0]  键注意好不要美术要很多
[66:33.200,66:34.710,0]  很多东西其实
[66:34.710,66:38.140,0]  研究的不是很清楚因为那个对这些宗教的
[66:38.220,66:47.870,0]  呃传承其实断了中间有一段头这也不太了解而且包括那个这个罗汉其实罗汉的这个图像也是一个
[66:48.440,66:49.960,0]  呃也是很有意思的话题
[66:50.640,66:52.370,0]  但我觉得这个
[66:52.650,66:58.250,0]  呃你比如说16楼它为什么变成18楼哈这中间也是有很多很复杂的现象
[66:59.380,67:3.410,0]  呃就是就是在在这个这种罗汉崇拜的本地化
[67:3.570,67:9.470,0]  呃不是本地话就是在在传承延续的这个过程里面你看为什么会出现然后还有500罗汉
[67:10.260,67:11.240,0]  呃
[67:11.760,67:25.880,0]  还有什么24罗汉SF40个罗汉然后龙门石窟那个看经寺里面有29楼哈哈哈这很有意思为什么会是为什么是16为什么是18
[67:25.880,67:44.560,1]  是500这其实是从这个佛教佛教的这个图像学跟这种好像这个的确还是有很多这个这个关于这个研究我觉得不是特别够了但是但是罗汉相对还是清楚这个蛮蛮难的这个首先我就首先要对铂金特别了解才能够研究这个罗汉乡
