[0:0.780,0:2.245,0]  欢迎收听地下关。
[31:34.020,31:39.640,0]  这个其那叫稍微有点争议啊，起码叫那这个创教的这个所谓的大熊。
[31:39.800,31:46.270,0]  嗯，他其实跟胡都是同时代的人，但是他们也往前追溯，他们有前面有还有20袋的组织，但是这个。
[31:46.360,31:47.240,0]  
[31:47.290,31:48.440,0]  是有争议的吧。
[31:49.250,31:56.390,1]  嘻嘻，那叫也是我们可以读教研室，我们以后给他的政策哈，他在那个时候其实不叫学历，他今天应。
[31:56.390,31:59.000,0]  嗯中教本身太别非常非常多。
[31:59.080,32:0.180,1]  非常长的。
[32:0.180,32:5.080,0]  嗯，其他的是吠陀时代，那个时候是有好多的思想有派。
[32:5.970,32:31.020,1]  对啊，所以我们说的我婆婆在成套之间，它不是尝试了各种各样的这个叫害的教育嘛，他自己这个苦修啊什么的就是，然后他还知道这个正觉的嘛，所以他也经历了一个很多的一个过程，其实这里面就是说其实应就是佛教的艺术有很大程度是跟他那个引进就除了门将或者后来的印度教是有很多的这个联系和相似的地方大互相有很多借鉴对不对。
[32:31.570,32:35.065,0]  对我觉得应该是有两个两个主要的源流吧，一个是。
[32:35.065,32:40.960,0]  就是它本土的这个宗教艺术，另外，另外一个特别特别重要，其实就是嗯。
[32:40.990,32:42.220,0]  从这个。
[32:42.340,32:48.600,1]  从从中亚流传过来的，从就是亚历山大东征以后的这个事情是不是。
[32:48.600,32:50.300,0]  嗯，希腊化的艺术。
[32:50.340,32:53.990,0]  所以我们现在知道就是非常重要的就是箭头罗艺术。
[32:54.760,33:7.990,1]  嗯嗨，是不是可以这样说就说，在早期的时候，我知道就是说据我所知就是早去佛陀时代或者再晚一点的那个时代的时候，那时候其实那个佛教还是不太讲究这个中，呃呃，偶像崇拜的。
[33:7.990,33:10.380,0]  但是反对啊，我想说卖的对那个是。
[33:10.380,33:17.290,1]  所以说，那时候是没有活的形象的服务形象的出现，都是到了就是到了你讲的希腊化以后才开始出现的是。
[33:17.290,33:22.315,0]  嗯，应该是这个时代，但是不是西兰花带来的那这个也还是有声音。
[33:22.315,34:1.470,1]  你见到希腊人的这个塑像是这样的啊，这个这个问题其实有点复杂，但是就我们不能简单地说，就是我叫他是反对这个偶像崇拜或者他就是在他的艺术表达，你是樊偶像的这个呢，是有点不太准确，为什么呢，就是我们现在其实跟我们不谈了，这个箭头罗艺术是希腊化以后给这个的这个这个艺术其实啊，因为有些印度这个早期啊，就是特别在这个孔雀王朝以后，还有在咱们买那些地区其实他其实印度的这个秘书成就还是挺高的，他有很多这个本土化的东西，只是有些东西我们看不到，因为毁了，因为它很多是目标。
[34:3.140,34:25.790,1]  而且进度还有一个特点啊，印度是就是我们这边死鬼对吧，是版本旧版本，它是这种上层人用的一种语言，它的流行的口语是巴黎文对吧进度有一个特点，他是不是以文字的他很少把它写下来，它比较口是很长的这个口述的这个这个这个传统，所以他的艺术表现上就是他和其他这个口述谈的是结合的为什么。
[34:25.790,34:32.290,0]  嗯，巴利文不是就是巴利文其实是一个地方的方言吗，就是是国家的国国的方言是当时。
[34:32.290,34:34.890,0]  佛陀所生活的那个地区的一个方面。
[34:34.890,34:39.700,1]  所以八点钟为什么后来重要的因为后来再有一次集结的时候，我精准都是用巴利文。
[34:39.940,34:41.240,1]  查一下来的，所以。
[34:41.240,34:47.340,0]  不是那个那个，其实这么理解吗，就是巴黎完事，他们认为是佛陀使用的语言。
[34:48.110,34:49.610,0]  嗯，说吧，里面不是。
[34:49.610,34:51.790,1]  因为口语的东西对对，OK。
[34:53.400,35:27.150,1]  反正就是说这个舅舅早期佛教的时候，那时候就留下来，因为就跟刚才去像你讲的就是有些木头的东西也没有传下来，现在还在做考古发掘，对吧，发现我们也不可能知道，但是我们为什么知道他有丰富的这个艺术表达，就是说他和他的这个口语化的这个这个传统很像，所以进度的这个在他的这个雕刻呀，他很多事这个事实性的调课，所以我们从公元前二世纪的这个比如象棋啊，八二胡大大卡的这个那么那么丰富那么复杂的这个雕刻我们就可以推啥，他不会使。
[35:27.980,35:38.230,1]  风大出来的，他一定有比较长的一个一个传统，然后传统到这个时候，很多时候，您都能看到他应该是从仿木就是说只有从目标怎么演变过来。
[35:38.230,35:38.980,0]  对对对对。
[35:38.980,35:47.080,1]  对，而且这个呃这个里面就是说就得到了一个信息，就是说其实印度的佛教的艺术在。
[35:47.510,36:15.145,1]  就说养现在东征那时候就是说就是说受到外来的影响以后，其实佛教就是等于有两个派别，一个就是好像西北部那边儿，巴基斯坦那边的这个键陀罗就有这个希腊化的这影响这个老师，因为这个问题比较多说几句，因为我们下学期讲到国家也会上就把这个箭头拿出来镜头的比较晚了，为什么后来箭头一直会在印度是产生这么大影响，其实这个桂芳有关系。
[36:15.145,36:18.400,1]  如果没有贵商的话就镜头艺术产生不了。
[36:19.450,36:32.640,1]  在在贵霜之前的这么就是说阿育王到会双之间的大概官衔30G到公园出这么300多年里，其实印度有很丰富的这个这个国家艺术，而且我们这次去印度很多这种看这部分的内容。
[36:33.340,36:46.280,1]  就是和这个键陀罗和希腊还不泰山本土本身自身的东西，这个主要是自身的这个好像是不是就是以这个以这个拿出了为为为为这个。
[36:46.280,36:49.120,0]  在马路啦，之前有很对，也还有很。
[36:49.120,36:49.920,1]  对对。
[36:50.220,37:2.540,1]  对艾狠抓艺术，比如说，比如说我们刚才谈到印度建最大限度实力是石窟对不对，受到波斯的影响，就像页边区的那个铺地嘉业北北边那个叫哎，你是叫那个拉马斯威士那个K。
[37:2.540,37:6.430,0]  不是不是阿拉斯V是它的一个哭的名字。
[37:6.700,37:10.450,0]  他这个凯德这个地方的这个石窟被称为。
[37:10.480,37:11.590,0]  哈拉尔十个。
[37:12.160,37:29.470,1]  大大失火，哎系虽然就这个石窟，因为这个呃喇嘛是允许这个就是夜间刚才说的这个事故是保存的比较好的阿姨王时代开的一个早期的事故的形式，就是说他这个时候我我查一下资料，因为昨天这个听一边说过有查一下资料，他其实。
[37:29.840,37:38.135,1]  基本上是一个室外盗用佛教的一个来说是一个外套的一个一个口是叫一个iptv卡一个X一个苦修的这么一个。
[37:38.135,37:41.700,0]  嗯，他是他是那个齐那叫的一个流派。
[37:42.430,37:49.860,0]  这个石窟是阿育王时期修建的，而且是一开始是给佛教徒使用的，只不过就是说因为爱王就是恐惧。
[37:49.900,37:51.165,0]  你去王朝的时候。
[37:51.165,38:3.030,0]  对各个宗教的流派是比较宽容，所以他们有很多其他教的教徒宅使用这个后来来使用这个事故，但是这个石窟明显是佛教的是个为什么呢，因为。
[38:3.110,38:5.100,0]  像你刚才说的他是其实很多。
[38:5.100,38:9.750,0]  嗯，早期的那种迹象它，因为它是它的拱门是仿木结构的。
[38:9.970,38:12.210,0]  他做了一个那种仿木结构的。
[38:12.210,38:16.470,1]  这房子结果不能说出他所下的这么当然说这个房子。
[38:16.470,38:19.890,0]  嗯，这个员工下面的士叼了一排这个。
[38:19.890,38:21.050,0]  有一个浮雕的。
[38:21.050,38:23.110,0]  对浮雕是两两排白色。
[38:23.110,38:24.945,1]  下什么白象，然后。
[38:24.945,38:29.910,0]  中江中间的中间是一个读卡就是一个那个舍利塔。
[38:30.190,38:35.950,0]  然后两边的这个白降汞，为的这个冬天的手机卡正起来是佛教的那个。
[38:35.950,38:44.250,1]  那很有意思，哎，那收到收藏了佛爷是不是啊，佛经理是有记载对不对，这个阿育王就大厦都跑对不对。
[38:44.250,38:45.550,0]  所有的这个阿姨王。
[38:45.550,38:46.980,1]  大概是省力。
[38:47.510,38:55.840,0]  八分设立是在佛陀呃涅盘的时候吧，分手就是有那种八个国家来争夺设立，然后那个阿姨王是在安阳市。
[38:55.840,38:57.880,1]  又吞了几千分是吧。
[38:57.880,39:0.900,0]  八所有的吧，这个扒粪水有全部。
[39:2.030,39:9.190,0]  没有人所谓的分了84000分884300K这个单，这是一个区数吧，我觉得是就是在大概全。
[39:9.190,39:9.610,1]  就是。
[39:9.610,39:10.515,0]  全国各地。
[39:10.515,39:15.150,0]  嗯，建这个建塔，然后店阿育王石柱所有的阿姨王石柱都是这个。
[39:15.510,39:19.250,0]  跟这个设立相关的呃，一个一个一个建筑。
[39:19.900,39:31.160,1]  哎，但是这样是有一个很有意思的这个问题啊，就是你比如说这个罗马fish这个洞上面有这个搜他的形象，那为什么我们现在基本上看不到啊，以往时代的收藏。
[39:31.850,39:39.050,0]  呃，不，你这个你是一个误解吧，就是著名的桑吉大塔就是阿育王始建的，而是阿育王的夫人。
[39:41.060,39:43.200,0]  只不过在后面的。
[39:43.200,39:47.210,0]  百乘王朝和这个巽加王朝又又。
[39:47.680,39:52.370,0]  继续把他这个用用新的材料覆盖起来，但是，但是当期大卡。
[39:54.130,40:1.680,1]  哎，不是我好像有这么个印象，桑吉桑吉，他是好像现在我能看到的，一个是公元前一世纪的一个方向。
[40:1.680,40:3.630,0]  他的下面的基础上。
[40:3.630,40:20.910,1]  啊，这样这样okokok是其实我们有这边都在你我说的就是说对三级是阿姨我们的时代的一个，但是我们现在看到的这个形式是以后的一个叫我们现在说是大雁塔是的，我们说是塘高中时候店的，即使我们看到了其实并非常大都是12点开始的始建于高中时。
[40:20.910,40:25.340,0]  嗯，哎哎，王时期的谈应该还是蛮多的吧，就是。
[40:25.480,40:26.500,0]  呃。
[40:26.500,40:28.150,0]  在那个。
[40:28.410,40:35.025,0]  八次，那附近的那个叫什么来着，叫呃的舍离瓶水离的那个手机卡。
[40:35.025,40:37.040,0]  也是阿育王时期的，而且现在那个。
[40:37.040,40:38.430,1]  他是土星的吗。
[40:38.430,40:41.980,0]  主新的，而且旁边还有包装，哎，对包。
[40:41.980,40:43.390,1]  嗯嗯，哼哼。
[40:43.390,40:45.460,0]  然后有旁边就立即阿育王石柱。
[40:47.940,40:54.320,1]  不是就是说传说共建84000谈嘛，对吧，不是还有在建的中国来着。
[40:54.320,40:55.490,0]  这就是中国。
[40:55.490,41:5.810,1]  嗯嗯嗯，乡情运费，但是肯定是吧，有时差，后来经过很多很多，但是改造就是收集就是留了三座是吧。
[41:5.900,41:10.580,1]  我我大剪发大侠对对对对，对大专。
[41:10.580,41:13.110,0]  嗯嗯，做吧，对三座嗯。
[41:13.110,41:56.920,1]  对，哎，那个这个因为是我们这次旅行的一个重头戏啊，去康这个桑奇大塔，因为我也前面跟那个就到那个就到瞿霞，他们那个学校的图书馆翻了一下那个出纳桑奇大，那本大书，那里面就是介绍一下，哎，有些照片挺有意思，就桑奇大塔周围有不有些那个早期的一些一些，也不是很早的公务员可能公元一世纪到30几吧，那些有些那个就是呃，佛教的寺庙，那个寺庙的那个样子啊，就跟那个就跟那个神庙埃及选调就跟那个就是咱们的大都会博物馆不有1000件的一个ID小的ID神庙吗，看着坎儿呢课和卢克索那个什么要和修。
[41:57.590,42:3.350,0]  哎，但你说的这个你们难道不觉得你们要去西印度看的那些石窟寺。
[42:3.400,42:5.730,0]  跟埃及的神庙也很像吗。
[42:6.190,42:10.990,0]  这个这个像我这个事是必然的，因为你考虑他们的地理位置就是印度在。
[42:10.990,42:15.220,0]  在很很早的时候就跟非洲有具有非常密切的联。
[42:15.720,42:18.310,0]  这个这个这个影响是必然的，我觉得。
[42:18.810,42:22.090,0]  不是你看他为什么石窟都在鸡海。
[42:22.490,42:23.380,0]  这个其实。
[42:23.380,42:25.390,1]  哎，这是有道理的。
[42:26.130,42:43.590,1]  其实是为什么呢，就是说我们去看这些石窟啊，基本上集中在呃，孟买，孟买着问完台地买高铁的地方，这个很有意思，因为就是说孟买一直在一股运动是一段的海港对制作的贸易港。
[42:44.030,42:51.550,1]  所以他从孟买发散性的，有很多广告的商务通向印度大四大陆的这个众生。
[42:51.730,42:57.070,1]  石窟的介绍，其实我们中国人这个概念事故就现在这个古道上面重要的商路上。
[42:57.070,43:7.160,0]  嗯，那个你看天海的港口外面的那个向导上就还有这个就是这这样的说明我觉得他这个影响是非常直接的。
[43:7.410,43:20.000,1]  那他是不是跟比方说有些跟那个海上跟那个跟这个阿拉伯或者半岛或者跟那个应那个埃及那边也都通过海上因为跨啦渤海吗，就可以到那边了，对吧。
[43:20.140,43:30.750,1]  因为你像那个私人斯里兰卡上面就很多，这个这个就是这个人的迁徙长就是从非洲来的吗，印度南部也很多岛上都是。
[43:30.750,43:32.070,0]  都有很多印度人。
[43:32.080,44:15.420,1]  对，嗯，哎，简单，虽然看你看前两天有一个不前两天了，说有一个人拍了一个卫星照片就说就说好像从斯里兰卡到印度次大陆，他其实有一条巷的按一样的东西，说这根好像什么是佛，金还是什么印度教的金额里面讲的这么猴子填海什么好像还能契合上这呵呵，他是这样，他就说就有点跟这个有点狗过去了，就是那个叫什么，呃，就是枯水就是带有大红冰河期的时候就能走过去了，对对对，陈露出来射能看出来就是有那么一条连接的一个东西，但现在因为海滨限高了就就挺没底的，这种这种东西就是路桥都是那个冰河期的时候会露出来的。
[44:15.530,44:32.720,1]  对，就跟可能台湾跟大陆都说也是有这样的这个就就是大成大陆应该连不上，嗯，这还还嗯，还是回到刚才页面那问题，为什么就是说大量石窟都集中在这个慢慢附近哪有一个我觉得啊就开始不实在是非常的。
[44:33.010,44:42.840,1]  这个昂贵要花大量的人力物力，这个你没有一定的经济实力是开不出来的，而孟买那边因为有商住啊，所以有这个这个。
[44:42.840,44:53.660,1]  时间多，所以他才能获得能看得我我我川渝小白的话，咱们看的哭中国的是不是都开得好开的东西上沙盐什么的，我看。
[44:53.660,44:56.410,0]  即使是这样也是非常费工的也都是。
[44:56.410,45:0.100,1]  但是我看什么埃及，印度都开花岗岩，生是吧。
[45:0.360,45:3.700,1]  就是俄罗斯男职工啊，哎。
[45:3.700,45:4.440,0]  一部是吧。
[45:5.140,45:8.080,1]  哎，已经是埃及那些十项全花岗岩做的。
[45:9.250,45:12.590,1]  对他时效ID实际上是化妆也是妙拒难度。
[45:12.590,45:13.720,0]  有都是开在。
[45:14.680,45:17.010,1]  不是他那些石头都是滑轮严啊。
[45:17.550,45:23.910,1]  不是说开他不开哭，就是说那些切的塑像全是欢乐聚难度。
[45:24.480,45:40.110,1]  嗯，那你看咱们都挑好弄得石头中国弄咱们而且现在有些学者在研究这个石窟的开发过程我我看了几篇文章家挺有意思的，他是非常就是，我要来你的，然后他是从上。
[45:40.190,45:46.630,1]  哇，下班早向上面找出来一个空间有他就已经开始雕刻了，然后交完了，然后他在网上。
[45:46.670,46:0.085,1]  这个再往下小开一段掉一段开一段掉一半，最后开到底就说它不是说是把这整个空间掏出来我们中国其实不不，不是这样，我们中国是先把一个大的送抄出来，然后再在里头在做浮雕。
[46:0.085,46:23.140,1]  这中国做那种大型的也得是从尚德下作估计不是因为我们现在有很多，比如像敏感，我们看了很多大的这个大湖根本就一点调课都没有说什么素的，只是把洞掏出来了，然后不是印度不一样，印度就是开一家掏一点早一点超好一点，早一点，这个非常的菲欧这个那那个瞿霞你给我们描绘一下我们的这个路线。
[46:23.400,46:37.120,1]  是啊，我大概想看我路线吧，我们那儿这个和一般的就是现现在大家最多的到印度去的呀，就是呃德里，然后就是所谓的博八大姨1G，然后现在还有一些这个。
[46:37.880,47:26.790,1]  年轻人爱去什么，可是米尔爱去打蓝色啦，这个地方这个单子，我们不再我们这次这个he这个考虑新的范围之内，还算都有提供城市不知道您对我们的以后呢，我们就往南走，我们大概全程我们都是包一车，然后运作也没告诉我们就慢慢开，大概每天开个200公里左右，然后会经过码头拉马拉当然是印度的一个重要的历史名城，一是这个码错了造像的一个发源地是贵霜时代的一个猪啊玛出啦，看过博物馆看过又把他拉博物馆一层有一次有一个印度就是最有名的一个非常有名的雕像之一就是那个呃，肯定喜客的那个那个暑假，利特嘉怡色差王的那个那个什么叫王特别有意思。
[47:26.790,47:37.910,0]  桂芳最少王朝的一个伟大的君主吗，就是也是对佛教的弘扬功不可没，它是跟跟阿育王基本上是齐名的就是佛教的大护法。
[47:39.920,47:54.660,1]  然后，呃马斯拉完了以后呢，我们就到安德拉，安哥拉的这个大家知道最有名的这个印度艺术和文化的象征，这个泰姬陵他今晚好就是在安哥拉，所以我们因为沿途吧，所以我们也会。
[47:54.660,47:58.620,0]  嗯，翻译有点儿对吧，不能叫安哥拉啦，是哪个国家的首都吧。
[47:59.070,48:0.460,1]  那就阿拉。
[48:1.770,48:7.710,1]  OK，那可能按照我们老板都乱翻的，哎，他叫阿莱格，OK。
[48:7.760,48:10.450,1]  啊gran。
[48:11.140,48:35.890,1]  那肯阿拉尔，哎，然后阿龙会看一些这个艺术文化的这个建筑当然是以泰姬陵为主的还有一些铃木因为是伊斯兰化伊斯兰教的艺术主要也就是三三大类吧，顶没宫殿和城堡，这个都会对吧啦的都会看一下，然后继续往南行，然后组下面就到了这个博帕尔。
[48:35.960,48:39.010,1]  Bopa就是咱们伤及就在刮擦手巾。
[48:40.030,48:43.455,1]  呃，看完三集，我们就在去这个。
[48:43.455,48:54.340,1]  看来加班的路上到奥兰加巴德很重要来加班得他就会附近有俩印度两大著名石窟是个都是世界文化遗产，这个一个就是著名的二三吐舌头。
[48:54.400,48:58.120,1]  他当时开导与这个居多王朝时代的这个。
[48:58.640,49:1.190,0]  嗯，不，他使劲应该还更早吗。
[49:1.190,49:13.230,1]  时间更少，但是最新盛世再去做的时候，而当土地一个大的看点就是它保存在印度最早着小白脸的这个这个赶紧比划，嗯会会话就是。
[49:13.390,49:17.350,1]  不光是壁画，印度最大的绘画的这个数量就是从。
[49:18.730,49:24.320,1]  他们我们中国那个卷头发，他就是喜不喜欢这个形式，哎，对对以后这个我插进去。
[49:24.670,49:26.750,0]  这个我非常感慨，因为。
[49:26.830,49:28.120,0]  那个。
[49:28.310,49:33.170,0]  英国啊，还有其他国家的一些考古队都去过安图很早就去过。
[49:33.230,49:36.410,0]  但是非常神奇的是他们去了以后呢。
[49:36.420,49:37.825,0]  他们看到这些壁画。
[49:37.825,49:45.350,0]  当然也都非常惊艳，但是他们好像没有起这个把他们给切下来，带走的这个念头。
[49:45.490,49:47.410,1]  都是做卡壳。
[49:47.970,49:51.890,1]  我，我觉得我们可以做一个很好的比较，为什么呢。
[49:52.130,49:54.590,1]  直接跟刚才我们不是聊到乐康里含。
[49:55.120,49:56.830,1]  其实。
[49:57.430,50:0.430,1]  八大湖特大塔河啊，单词距离不远。
[50:0.530,50:12.820,1]  那为什么网线啥啊，我们下来发车这个安排大巴走你现在没法去看那个buff没有啊，我还能去看安妥呢，因为它那个还发现那个buff大成那个大大已经被印度大师的土。
[50:13.030,50:15.580,1]  就本地人也破坏殆尽了。
[50:15.580,50:17.840,0]  不在他还是发掘出很多那个。
[50:17.840,50:21.010,1]  嗯，发截图，很多东西他很多他都是可烂。
[50:21.810,50:23.260,1]  对，而且他其实在预订。
[50:23.260,50:27.240,0]  没有带走他都现在都在那个价格达的印度博物馆。
[50:27.690,50:30.010,0]  只有不利尔有好像说有两块。
[50:30.560,50:36.790,1]  一点半出第二个我，我我刚看过嗯，呵呵，对，特别特别有，然后那个。
[50:36.790,50:40.590,0]  嗯，这个，这个，这个，这个叫什么阿旃陀的壁画呢。
[50:40.830,50:44.300,0]  我不知道是这个怎么怎么过去的啊，但是。
[50:44.420,50:47.560,0]  好像说，只有波士顿美术馆有一块。
[50:48.130,50:48.910,1]  哦，是吗。
[50:48.910,50:53.190,0]  对不是美术馆有一块这个就是印度海外就唯一这么一。
[50:55.750,51:9.470,1]  所以这次毕业我觉得那边提了一个很好的一个想法就是我们这次去运动，我还真想看看印度的石窟的保存的现状，特别是他在19世纪以来它是不是受到一些破坏啊，或者是怎么样，这个和我们中国这是形成的一个阶段想法。
[51:9.470,51:12.860,0]  嗯，可能是还是针对根植名有关系吧，就是印度人。
[51:12.860,51:14.150,1]  英文。
[51:14.150,51:15.650,0]  就没把自己当外人。
[51:15.720,51:18.990,0]  北京至我的地盘啊，我干嘛要那个破坏的。
[51:19.490,51:23.550,1]  但是你打印博物馆里不是好多印度什么极多的什么东西。
[51:23.550,51:27.070,0]  就出来了，就是不是说那东西本身好好的，然后他就给他。
[51:27.070,51:41.720,1]  嗯嗯，什么咋下来，是不是印度恋歌也没有社交，我们中国流行摘这种像古董商这这些人哈哈，关注很多，呵呵，白白色阿富汗主要都靠这个吗。
[51:42.200,51:48.170,1]  你现在的这个健陀罗艺术在国外的他，这是安叛军，原来塔利班的出口这个。
[51:48.170,51:55.390,0]  这个来这个数就要先要扯一句啊，就是你看那个集美集美博物馆的这个电磁炉的艺术。
[51:55.400,52:1.730,0]  呃，其实他都是合法的渠道，他是当时那个他们发起大事，但是法法国的那个。
[52:1.870,52:3.910,0]  别法国在阿富汗是有势力。
[52:4.230,52:11.370,0]  然后法国考古代表团就跟阿富汗政府有一个协议就是我来发掘，发掘完了这个东西呢，一家一半。
[52:11.560,52:18.920,0]  对极美的箭头罗全是就是法国考古队发掘出来的，然后另外一半当然是在阿华的家婆。
[52:19.090,52:22.260,0]  这有点像埃及的就埃及当年那个西瓜霜。
[52:22.940,52:28.040,0]  也是嘛，就请请各国的考古队过来抢救性发掘然后了以后就能看。
[52:29.040,52:31.860,0]  所以现在全世界的博物馆都有埃及的那个。
[52:31.860,52:39.150,1]  嗯，到时要去了，也有嗯，呵呵，这个我们班就是很不是这么发觉呢，不知道有没有一人一半。
[52:39.150,52:40.470,0]  嗯，应该有吧。
[52:40.560,52:54.100,1]  呵呵，这个哎那说这个咱们再扯的远一点就就离婚了，太远了，但是我觉得呃很很有意思和大家说一说就是讲到这个阿富汗的这个电磁炉一说我就想到了这个法国人耳朵这个人。
[52:54.280,52:55.955,1]  那页面知道他耳朵吗。
[52:55.955,52:59.130,0]  嗯，对，离个这个作家是吧，我记得是。
[52:59.130,53:3.950,1]  对啊幼师啊，应该是啊，一个作家，然后他结果毛主席。
[53:4.770,53:18.590,1]  对啊，然后他在六五年的时候，这个是不是和戴高乐一下看孩子来访问的到到国家然后建了这个伟大的笑，然后还特别有意思就吗罗这个人年轻时候是个挺挺没底线的人。
[53:18.850,53:41.580,1]  怎么回事儿呢，这个我最近在我们图书馆发街道一批就是找到一批资料了原有很好奇对它上面写的就是一批重要的箭头罗艺术的这个泥塑造像，但他说他的出土地点是这个我们中国就是新疆说是在呃，这个喀什噶尔的南边就是现在他是库尔干附近出土的。
[53:41.800,53:46.030,1]  这他，这这上面写的资料上写的是尊贵双的东西吗。
[53:46.030,53:47.010,0]  这个肯定很不可。
[53:47.010,53:55.250,1]  好了，那不是已经已经在已经在这个贵州之后，对已经在这个这个大概是公园45实际的东西，但这批东西。
[53:55.280,53:59.440,1]  第一个数量很多第二个非常的精美。
[53:59.590,54:6.290,1]  就是完全是这个这个就说是建筑罗艺术的一个就是在后期的一个巅峰之上。
[54:6.290,54:10.620,0]  发达的那个风格的那种是吧，就是他说考场极速的。
[54:10.620,54:15.740,1]  所以以后的这个佛教美术专家呢，这个他们都觉得这批都应该就哈出来。
[54:16.170,54:19.450,1]  啥不是下马罗说的是在这个。
[54:19.450,54:36.325,1]  中国这个这个他是干出的那为什么他要说他是不好看处的这个叫和这个马楼这个人的这个人品有有关系，就他说呀，他给自己编造一个故事，他说他是自己带的人去他是干挖出来的，就这个大而且直到他最后。
[54:36.325,54:39.270,1]  他到最后生命的最后一个他都没把这批东西的。
[54:39.270,54:43.560,1]  真是处处加大出来就应该就他在安徽汉从这个。
[54:43.970,55:12.650,1]  从非法渠道购买的应该是这样，换句话说，如果这东西真的像是这在中国境内反正那不就改写了就佛教美术史的一个篇章了吗，是吧是吧，那个女子阿富汗不叫孙海购买就挺就嗨，这个其实这个还有这因为这个嘛，而且其实挺没底线的他还出过一个很空洞的事情，他还跑到了吴哥窟去偷了拿东西还可以把和当时警察就抓起来给他判你上了法庭判的群。
[55:13.300,55:26.265,1]  说什么人物，呵呵，而且这个这批就是我在昨晚发的资料是怎么回事儿呢，是就是他把这批东西啊，就是他的按患者这些东西拿到美国来卖就当时出的这么一笔。
[55:26.265,55:29.970,1]  一个特色，然后现在很多的这个。
[55:29.970,55:38.880,1]  照相，所以就后来她的屁屁上周留到了美国的公家或者是私人的收藏家手里比较著名的就是现在这个服务阁的美术馆。
[55:38.890,56:6.740,1]  差，现在那个三周一次的，但是弗利尔都有这个马路就比较像法国还让这种人当文化部整好豆，法国人浪漫的含这个年轻时候大二十岁的时候干的事儿任务，既往不纠吧，而且可能他们也不觉得怎么样，呃，我看了一下老照片就是马罗在自己家里啊，他有一尊敬特别好的一尊尊享他没舍得卖，后来这次像后来我在集美看到了说他可能在死后或者生前他就。
[56:9.030,56:28.340,1]  那那个大家是不是也可以就是说除了印度以外，大家也可以梳理梳理，比方说在美洲大陆或者在欧洲哪些博物馆还常有这个一些印度的这些方面的一些时间有限，我们就简单说说吧，因为夜间可以给大家介绍一下英国的这个欧洲的欧我们给大家介绍交易美国的可以。
[56:28.340,56:32.230,0]  嗯，反正我自己个人印象最深的其实就是答应保管。
[56:32.470,56:41.160,0]  大英博物馆的那个当然，其实印度艺术就是印度佛教艺术品是汗牛充栋了，但是它有一个特别特殊的展馆，而且。
[56:41.240,56:43.070,0]  他每天只开放半天。
[56:43.330,56:47.890,0]  对去的时候，你可以稍微注意一下它那个它有一个单独的展厅。
[56:47.890,56:50.580,0]  讲的是这个叫阿玛拉瓦蒂的。
[56:50.730,56:52.690,0]  嗯，大概有120块。
[56:52.780,57:0.860,0]  就是无法就是这个大塔上面的浮雕，然后，嗯这个特别特别重要，就是因为它的年代非常早啊，他也是。
[57:1.010,57:4.830,0]  嗯，应该是就是阿育王就是孔雀帝国之后。
[57:4.930,57:7.050,0]  的训嘉禾。
[57:7.080,57:10.910,1]  新盖的是主要是新加坡和安德拉。
[57:11.070,57:15.770,0]  和那个对啊啦，就是就是百乘王朝嘛，就是它吧哈呢。
[57:15.810,57:22.540,0]  对也就安德拉王朝的时候，这是非常早就公园一公元前一世纪到公元后羿是大概这个。
[57:23.560,57:32.400,0]  嗯，早期的说教艺术，那时候还没有就是典型的他都是没有活像的图片，就是婆婆本人的形象是不允许出现。
[57:32.630,57:40.500,0]  嗯，就用象征的方式用用这个脚印啊，用菩提树啊，用佛做来象征，嗯，佛陀本人。
[57:40.910,57:44.070,0]  对这个也是多少非常精美，而且他。
[57:44.150,57:48.380,0]  关键是他，他这个大英博物馆呢，他把他做了一个更好的复原就是。
[57:48.570,57:50.830,0]  他把这些呃浮雕的。
[57:50.830,57:54.810,0]  按照在当年在这个大卡上的位置，它是在。
[57:56.450,58:8.470,0]  那个这个这个墓冢上还是在这个座位的栏杆上，他把这个位置都都复习的很好，所以你就能能有一个很直观的印象，这个这个书法当年是一个大概一个什么什么样子。
[58:9.500,58:11.840,0]  另外，还有一批这个。
[58:12.350,58:14.470,0]  嗯，就是马拉地的。
[58:14.500,58:16.500,0]  那个那个浮雕是在。
[58:16.630,58:22.230,0]  就是啊，马马地的本地附近的一个博物馆就是千代也是马拉斯。
[58:22.510,58:24.660,0]  嗯，就是印度南部的那个。
[58:26.750,58:29.970,0]  泰米尔纳德邦吧，他秒杀的帮到首府。
[58:30.810,58:34.660,0]  博物馆里面，但主要的最精彩的部分，其实是在大营宫。
[58:34.970,58:35.750,0]  而且每。
[58:35.750,58:46.540,1]  那那一边，我听你说的这个特省了啊，在我给你补充一个你下回来美国啊，一定去一下克里夫兰美术馆呃对不上，因为刚去过对他爷爷，那你注意到。
[58:46.540,58:48.390,0]  很少有一块还是两块的。
[58:48.820,58:51.590,1]  不止一块两块啊，我看到了好几块了，反正。
[58:51.590,58:55.790,0]  嗯，不多吧，而且他那个保存的状况不是很好，就是磨损的很厉害。
[58:55.790,58:59.460,0]  但大英是极其精美，就是所有的部位上。
[59:1.080,59:8.730,1]  所以我有点好奇这个普客，不然这个阿玛拉阿玛拉拉蒂这个大卡的这个东西在哪儿，还得以后可以稍微。
[59:8.730,59:10.010,0]  嗯，是就是。
