[0:0.100,0:5.170,0]  大家好今天是低价关的第11期我是竹子大家好我是古村
[35:49.330,35:59.600,1]  呃卖掉了一批这个当时他们从那个那个那个新家拿来的东西卖给谁呢卖给一个当时一个中中西方混血的一个一个
[35:59.700,36:10.890,1]  一一个呃古董商叫做白威廉这个这个这个人然后他呢又转手把这批东西卖到了美国所以我们现在美国除了在德国的柏林能看到
[36:10.900,36:24.430,1]  克孜尔的壁画以外在美国的几个博物馆者大都会呀我们宾大也有然后在这个那训练还有好多博物馆甚至私人手里都有各自的一些笔画的一些产品所以这是一个一个一个故事
[36:24.430,36:46.970,0]  对这里面呢就是说这里面加就就反映这个这个一个听众有时候反馈的一个问题啊包括我们这个上次在这个这讲广上次什么因为也看到这个壁画跑到了国外的博物馆但是有些机构会认为这个啊这个说不定留在国内的东西就会在文革啊或火车站乱啊到国外博物馆的东西对
[36:47.220,37:9.460,0]  呃呃这个呢这个实际上也是也是这个这个没有一个必然的关系因为也有可能比较拿到美国的拿到这个英国的可能还可以但是不幸的是拿到德国的呃因为这个世界大战的原因实际上呃也并不是有一个非常好的一个结果这个呢奇侠你再跟我分享
[37:9.460,38:8.080,1]  这个可以补充一点就是说当时就德国后来渡过了难关以后吧既经济又腾飞了在这个纳粹的这个领导下所以呢后来他们就印度艺术博物馆又决定这个扩建原来的他们就把新的管制就选择现代那个达利模就是那个自由大学隔壁这么一个非常环境优美地一个地方后来他们取消了这个计划他们就在原来的人类学博物馆旧址又新建了一个建筑新建了一个填写就在当时的柏林市中心距离著名的这个柏林火车站非常近就是走路都能到的这么一个地方或见然后见了十几个新的展厅然后当时阁楼过道已经去世了嘛有勒柯克主持他已经到了这个进度艺术博物馆的馆长了他做了好多会员把那个他从柏孜克里克接着那个大型的那个那个壁画然后把这个克孜尔的孔雀洞76孔雀洞飞哥嫌烦哭什么的都把那些壁画呢都把它用
[38:8.480,38:14.310,1]  三点起来然后就固定在墙上然后都几乎做了一个整个富源非常非常的对
[38:14.310,38:17.570,0]  有个石窟可我看老照片是很壮观
[38:17.570,38:25.430,1]  对老师很多对非常壮观就在这个展厅里头后来很有意思的是什么呢就是因为当时
[38:25.660,39:6.160,1]  第三帝国当时也搞了一个文物普查要把所有他们这个馆藏的文物定级就说一级一级是重点保护二级三级后来这个可能因为当时管理的一些这个政治斗争吧所以这批吐鲁番收藏一些壁画呢只会定为三起所以就不是重点保护后来这个大战爆发了以后呢这个这个很多东西就是说比如说原来那个东亚一个博物馆的很多文物就给放到动物园的地库里了嘛但是因为作为三级文物呢很多这个我们这些新疆文物呢就没有得到就没有在第一时间放到地库里后来这个形势越来越不好哄下越来越密集了吗后来很多
[39:6.260,39:12.030,1]  文物呢也开始往地库里转移但是那些已经给固定在墙上那些十几米
[39:12.150,39:54.270,1]  大聚福的这些壁画就拆不下来没法一走就只能放在这个这个这个款里面另外呢就是说就是说这个轰炸他就就很很没办法所以当时他们能做的只是一些沙包怎么把它这个这个这个这个这个藏起来但是根本没有用还有一个就是说轰炸越来越厉害了然后他们那些那些那些博物馆的这些人也冒风险去收一些文物然后装了乡准备晕后来有一次韵放在这个这个这个走道上正准备往外弹这个轰炸又来了吧一下子把很多人我又又给炸掉了所以呢现在就有一些搞不清楚就是当时轰炸到底炸掉了多少另外一个就是部分文物呢也确实转移到了地库里
[39:55.150,40:1.180,1]  这个就是就是那个动物园的那个地库里所以在战争结束以后呢因为为什么这个
[40:1.180,40:11.080,1]  这个博物馆遭到这么多的轰炸的第一个他就在柏林市中心第二个他当时这个位置在柏林是很重要他就在当时纳粹党部的隔壁
[40:11.370,40:33.410,1]  所以这个遭到封杀是这个这个非常的这个必然的对我们对对对我们一年去柏林的时候专门去看了那块你现在他那个地方没有任何建筑还只是一个这个这个像街心公园的一个但是他就他就没有在建房子吗那是个快控制这个相接近公园一个一个街角所以我们去看过
[40:34.020,41:27.150,0]  因为那个补充一下这个博物馆呢这个有老照片那个20元间的说相当还是挺壮观的一个博物馆这因为刚才就跟徐家讲因为他是在那个纳粹的那个党部的这个就纳粹党部的这个边上所以遭到了这个很大的这个轰炸但是呢一直到了二战结束的时候呢他那个房子的整个框架都还在那么后来又用什么样的一个情况因为大家知道二战结束以后柏林被分成了东西两部分那么正好那个柏林墙呢是从他的这个就是博物馆前面就是这么这么过去他这个本身博物馆的哎他这博物馆的本身是在西柏林的范围内但是他旁边就是柏林墙所以后来这个博物馆是在战后呢也没有办法因为他就他就靠这个柏林墙等于也没有办法把它再恢复起来变成一个博物馆因为因为那时候冷战嘛谁也不可能到这玻璃墙边上来这个活动了后来呢就是
[41:27.220,42:3.860,0]  经过后来就是60年代后来就西不灵的当局就后来就把这个博物馆整个把它拆除了现在呢就变成一块空地那现在当然这个柏林墙已经被被被拆掉了但是那个地方现在还能看到有些这个遗址什么所以我觉得到柏林区也挺有意思的尤其是这个看看那时候的这些遗迹因为刚才那个讲的他他不远的地方就原来柏林的一个最大的一个火车站后来也在二战中被炸掉以后现在呢还有一个一个正面的一个立面就是海宝着那堵墙还在它后面那个全都是没有了就是说战争的遗迹在柏林到目前还是看得非常清楚
[42:5.110,42:23.750,0]  包括这个包括那个小陈儿咱们那个你吃那个罗那个就是那个那个博物馆党啊它那个有些那个博物馆得墙上那个蛋蛋啊什么都是非常清晰当时的那个破损状况都留着我有一个疑问啊就是咱们看那个就是印度学博物馆的老照片很大
[42:24.210,42:29.550,1]  那德国人那个资料档案建立的那么完善他当时那个墙上那些壁画
[42:32.400,42:42.605,1]  有有有他们当时这个都对对都这个超人问了这个还特有意思因为当时格伦歪着喝都分别出版了好几个这个黄防具
[42:42.605,42:58.750,1]  去做比如说这个这个格伦导出的是高昌然后那个那个那个勒柯克出了好多期限本地本地那个那个叫什么的就特别特别重要的这个图片资料当时到时候方向是他们
[42:58.750,43:5.260,0]  当时拍的还是黑白吧没拍套索吧有有特色有特色的
[43:5.640,43:11.250,0]  是是因为那种那个那个玻璃则色的那种玻璃负片
[43:11.860,43:15.520,0]  就是说他他有很多这个这个照片帮
[43:15.700,43:21.190,0]  可以反映一下因为因为咱们不是看过他那批吗他那批在新疆拍的都非常正
[43:21.870,44:12.670,0]  对呀是挨着新疆的那个屏幕对他的资料保存的还是相当完整的而且那个就是刚才讲的就是在30年代那个德国出了一大批这个关于这个新疆吐鲁番这边的这个这个书籍啊资料啊这个像高昌这种书现在都是相相当珍贵的这个书呃这个也应该说也是属于外文善本书一类的这种这种书籍了那么还有要讲一个就是说他那个挺可惜就是我们刚才讲到就是说不是克里克实际上损失的东西更多因为处在新家现在咱们新疆范围内除了这个秋词这个石窟以外就是吐鲁番那边还有一大批的这个石窟那么这批石窟尤其是这个柏孜克里克接触他的这个有好多的这个他们接触了很多很巨大的这个壁画这些壁画现在基本上都没有保存下来这个是非常遗憾的一件事
[44:12.670,44:46.630,1]  对所以后来这个在1960年代成立的这个当时叫印度艺术博物馆在达利不成立的所以他当时的管他是什么呢一个就是从原来就博物馆废墟里拯救出来的那些那些文物另外一个就是当时在那个他们放到那个地库里的这个文物啊一部分被苏联红军拿拿到书店去了还一部分被当时的西方门禁控制了后来就七八文件就把他们控制的这批文物还给了这个这个西当局所以这批文物也是在这个这个
[44:48.360,44:56.220,1]  病毒艺术博物馆里这个这个展览所以现在我们去柏林到新的亚洲艺术博物馆能看到的就是这批东西主要这屁股
[44:58.140,45:0.900,0]  哦你们都去过这个博物馆
[45:0.900,45:4.170,1]  加那个超人这个那个
[45:4.170,45:6.170,0]  成人应该还去过地库你们两个
[45:6.170,45:7.980,1]  对我们也进不去的地库对
[45:7.980,45:25.150,0]  也去了他那个衣裤他那个倒不不认识他就应该叫特长使人家不能完全叫地库它就是一个也其实也是呃放在这个不是不是像一般咱们都放在抽这边方向他等于也是展示在一个假日抽屉里有好多东西啊
[45:25.480,45:27.430,0]  也对也有对也有对
[45:30.310,46:20.770,0]  我觉得那个因为他这个东西是非常的丰富因为好多东西因为德国人做事情吗当时就做的比较仔细他们在这个那个就是呃克孜尔那边做考古发掘什么就就就不能说掘地三尺吧反而基本能能带走的都都都弄走了所以好多东西都在德国包括对非常小的这种木头构建啊什么这种东西但不包括不完全是只是刻字儿那边求职的那个东西还有包括他们在这个图那个吐鲁番的那些东西好多东西特别有意思而且可能还没有很多人呃研究就是比方那些木口径因为你还记得咱们如果到那个秋字石窟去看就是看墙上有好多就是哭脸对吧好多这个窟窿好多这种洞是这种动物园都是差这些木构件的
[46:20.930,47:2.110,0]  这个东西其实很重要因为这些木构件当初在这个石窟被毁坏以后啊因为这个木构件有的就被人为的拆下来比方说呃烧了火了呀比方说这个这个做了别的用处啊什么的就残存的非常少他们那基本上这个在现在的这个呃新疆那个就是特图那个客那个那个那个研究所求见医院就没有什么这些东西保留下来这这是我印象比较深刻看见的这个还有就是好多这个一竖对吧那些小的泥塑因为现在在整个的这个刻字儿这个石窟群里就就没有一个完整的民宿保留到的包括他
[47:5.620,47:9.910,0]  石窟所有的时候死包括佛寺一智力其实已经
[47:11.490,47:19.110,0]  这个照相基本没有照相性质唯一就是那个新二库有一个照相好像被发现后来被人给偷走了
[47:19.630,47:22.130,0]  然后被盗了还是那种
[47:22.130,48:22.130,1]  所以我们觉得这个当然啦这个现在的这个玻璃那个亚洲艺术博物馆他当时他现在有一个很大的厅是呈列就当时的这些壁画的平均而论这个咱俩做的还不错这个还行比我们那次去正好还他还有一个展就是阁楼歪着他的那些素描呀那些那些笔记啊这个有一些展还是这个嗯这个印象挺深刻的因为我想说的一个挺好的就是他们其实这个柏林这个这就博物馆还有一个秉承这个挺开放的这么一个一个一个一个态度你只要是专业对口的比如说是大学里的或者博物馆的你想去看一下研究一下特长使的东西就是那个课堂使的东西他都是还是开放的这种这种心态所以还是还是确实挺值得赞许的不像这个国内有些就说博物馆他可能或者哪他都不让你看什么的这个我觉得是别人做的比较对对对比较到位的这么一个但是它也有一个遗憾的是什么呢这个
[48:22.131,49:22.131,1]  呃就是我们现场看这些现在的这些壁画残片吗比如说著名的这个化石洞那个几个就是那个有这个话是在那座画的还有几个这个就那些比较好的这些大便的很多配件者哭16配件的哭都基本上都是在展厅里长的然后就感觉就是他的这个现在藏在柏林的这些壁画的这个颜色呀和现代人保存在洞窟里的壁画的这个颜色真是没有办法因为据我们了解吧因为当时德国人为了就是说管修复就是他在最后就说整理这些壁画的时候他做了一些清洁工作可能当时用了一些化学颜料吧就这个化学的成分所以当时看是清洁了但是以后产生的化学反应了以后把很多壁画褪色啊非常厉害因为POS这些这些这些矿物质颜料其实是非常不容易褪色的但是你所以我们到那个
[49:22.132,49:29.660,1]  您这个事故现场对吧看着洞狐狸现在那些那些残疾那颜色多咸鸭蛋带动更更信任是吗
[49:30.660,49:35.790,0]  挣大钱也多了我以为没去过因为我觉得柏林那已经很信任我觉得保存特别好
[49:35.790,49:53.350,1]  就柏林的洞窟都没有办法比那洞窟里面就像昨天画的似的那那蓝色那蓝的那个红色那你看看就是太太太醒目太便宜但是柏林那个就已经像是就已经颜色很尴尬感觉洞窟照顾怎么样你们去洞窟里的瘦子
[49:53.350,49:58.810,0]  还行没有没有没有照明就是主主要都是人工就是什么
[49:59.010,50:59.010,0]  对主要是自然光这个洞窟呢是这样就咱们用户因为咱们这个节目可能要分上下两期来讲这个就现场的东西我们可能要下一期来讲这个呢我们主要先讲这个一些这个考察的一些经过跟这个柏林的一个情况就刚才那个区讲到这个柏林的这个就对话的一些一些一些保护的情况但其实他们德国人对这个壁画保护当然因为在保护方面肯定是有很多的经验跟教训的刚才那个区讲到的就等于是有一定的教训吧可能就是在用的一些选择一些饮料啊或者选择一些保护的措施上可能对壁画本身有有一些伤害但是呢他们的确对这个保护呢还是还是应该应该说德国人做事情还采取了非常严谨的一个态度对吧他们有一点比方说这个保护的这个呃因为有些壁画受到了损坏因为这个损坏并不是说是只是自然损坏也有一些人为的损坏在这个新疆的这个历史上那么这些损坏那么有些
[50:59.011,51:14.230,0]  展示他们这个因为一些损坏你不进行一些修补对于展示来说是有一定的缺陷的比方说少了个很大一部分那么他们在做这个展示的时候他们专门那个就是那些修复工作人员就给我们看这它这个展示
[51:14.610,51:23.400,0]  就是展示就是说做这个修复的时候完全要一种可识别性他的这个新的跟旧的你仔细看他这个这个新的比方
[51:23.520,51:41.240,0]  修复的这部分是明显跟这个旧的是有一定的区别的这样使得什么呢使得他可以可以回还原如果以后发现了一个更好的一种修复手段以后他可以把现在的修复的这部分东西给他拿走完了再把更好的东西给他弄而不是说这个就相对来说其实
[51:41.610,51:51.100,0]  其实邱慈也就刻字也不是没有教训的这个新发现的那个第几库啊呃我忘了是67块多少库第一库呢就是
[51:51.640,52:19.440,0]  PF是那个是那个是在那个是也是等于是阁楼味道他们走以后他好像是50年代40年代那时候发现有一个什么还有一个残存的一个涅盘像什么那个叫他顶上顶上的那个那个飞天本来是非常鲜艳的就后来他们也用了一种不太成熟那种一种手段等于是得了像现在就等于像得了癌症一样只能看着它一点点的那个
[52:20.010,52:25.700,1]  西甲颜色就不对了就是跟那个完全不是原来的颜色就像死
[52:25.700,52:28.330,0]  黑色的就可以呃对而且好像
[52:28.950,52:37.410,0]  坞城了附上了一层油彩就只这个也是国内等于也是就是我们国内的角度其实还是
[52:37.940,53:7.350,0]  昨天据说是那个敦煌的研究院的指导错了但因为我觉得是这样因为任何一种技术肯定是还有更好的就在后面等着所以他这个东西所以修复这个东西是这样你当时看着修复的肯定是特别的你万一你这是不可订了以后就无法挽回的损失这个所以我觉得这个呃两个地方都有这样的这种经验跟教育的了但我个人觉得就是说这批性存在这个德国的这个博物馆的亚洲博物馆的这个文物还是得到了比较好
[53:10.150,53:30.260,0]  保护跟展示吧对吧因为当时我记得是你们谁回来跟我说就是说现在幸存的就是在这个过程中命运也也比较悲惨但是定损了以后谁跟我说就是哪怕有指甲盖那那一大一块儿就是用棉花包起来盒子盖起来然后说明都很清楚这个能
[53:30.260,53:41.430,1]  对我们就是看了他们那个现在的那个主要的那个那个那个技师在做会员吗他虽然他大概我看他花了几年时间高尔夫来做了大概不到一平方是
[53:41.430,53:42.500,0]  是那个会
[53:42.500,54:12.715,1]  哎哎哎对是就这个只是做研究另外一个就是那个那个大胖子他在那儿做我们就看到他就是大概几天时间只做了不到一平尺然后这就指甲盖那么大的那些碎片他们都没扔了就放在那儿他说在一点点做一点当时不是人为性的胖不胖然后再怎么把它怎么补上然后根据有些照片吗然后怎么怎么样所以就看他特别的喝干这个事情
[54:12.715,54:18.570,0]  所以这这要要改进那个就是格兰威尔他自己的秒就是他的素描
[54:18.750,54:51.660,0]  素描其实有两个方面一个是它确实都做的非常非常因为它本身也是有美术的工地但实际上就是按照他这个他的临摹画因为很多给了这个后期的修复很大的帮助然后我记得是你们带回来的一段录像吗就是我觉得他们在可逆的这个过程中还动了很多的你比如说要Yue然后要怎么样几层对就是你远观对观众来说对参观人来说是完全没有
[54:52.940,54:57.590,0]  就是完完全没没有那种但你你看进了的话就
[54:57.590,55:3.940,1]  对凑到钱上看起来看到什么事姥姥什么就不是很清楚对对对当时在德国
[55:3.940,55:10.280,0]  看那个是绝对是真可丽后来在国内看的是嘴上说可你指不定可不可呢
[55:11.060,55:17.220,0]  呵呵这我们需要说这大多数课也推荐关注
[55:17.220,55:56.930,1]  格林有机会去看一下那个博物馆而且还有一个消息是什么呢就是现在大家都知道柏林有一个柏林市中心有一个著名的博物馆岛那个老婆皖新博物馆还有那个配龙门博物馆几个大博物馆在那儿袖子就是在这个现在他们德国方面在正在规划了就是已经规划做好了但是现在只等以后有了钱就开始就见了就是现在它的这个国家大教堂的这个内测就是在老博物馆对过就在那个国国家广场另一侧那个空地上以后就要见我们这个他们这个新的叫柏林亚洲艺术吧就从达姆完全搬过来所以它并不是一个二战遗迹嘛
[55:56.940,56:35.850,1]  哎对呀以后就要在这个这块遗址上建成这个新的玻璃亚洲艺术博物馆说以后我们这个再去柏林就能就不用去搭理我了在西郊了就能和罗林旅游推进一下真以为随便尤其博物馆这个看博物馆的特别好的城市因为它周末什么商业都没有对啊是啊然后所以以后大家就很方便的在市中心在博物馆打我想也许五年后几年后这个博物馆总会变成所以就很方便让我们亚洲艺术中国的这个古老艺术也能就是在人家这个首都的中心地带就能够这个得到站
[56:35.850,56:51.940,0]  但是这个因为还有一个就是其实如果我们现在达利姆的话他的这个二楼就是现在的这个中国的这个成立在里面当然这个没有这个这个历史上的这么这么震撼了但是也还是有些可看的地方吧应该应该怎么说
[56:51.940,57:33.140,1]  主要就是说再再再讲一个什么花絮呢就是这个达姆Bo就是说现在的这个新的这个亚洲艺术博物馆有印度颇有中有有亚洲部的东亚部对吧这是新的这个就像古城讲那个二楼他有些什么特色其实挺有意思他其实有一批文物是是我们国家在1959年为了庆祝呃德意志民主共和国成立十周年给他们送了200多件这个国宝级的这个国礼里头有很多青铜器啊福气呀这个赠格兰red里头有这些东西而且其实呢其实其实我们也不亏了其实这是一个交换当时这个
[57:33.180,58:3.570,1]  这个这个中德政府把他们这个原来朴实国家这个图书馆了一批有个大点的这个产产产本呃回传给我们所以哎呀我要嗯迪尔所以所以就是有这么个故事还有一个就是说因为当时中国中国交流还是挺多的当时我们国家不断给他们送东西就是说给一些近现代画家尤其是像什么呃七八十呀什么理科染压缩到十啊这这批画家的一些作品大概有
[58:3.680,58:10.930,1]  几百书所以他这个博物馆现在存的这批话也是也是水平相当高可以说是欧洲最高的职业
[58:11.640,58:17.410,0]  那还有一个问题就是它作为博物馆的一个功能我想起来实际上他是要对外展出
[58:18.000,58:26.170,0]  对外展出的我所知道是你们从美国给我带回来那一本就大都会八八十年代去做的一个窄然后出的一本书
[58:26.170,58:47.470,1]  哦对那是大概在1970年的这个这个晚期嘛他们当时当当时还叫这个西柏林国家印度艺术博物馆当时把这批这个这个刻字收藏了就是吐鲁番收藏这些壁画什么的为主来雕塑在大都会博物馆做了对对对
[58:47.470,59:12.440,0]  其实这个也挺有意思这个这本书啊因为我很早就在美国的那个就书店买到呃甚至于早过这个知道这个去克孜尔去这个柏林以前所以这本书是等于是第一让我知道哦在这个柏林还有这么一批这个新疆的这个文物的这么一个信息这是这是我这本书得到的一个最早的一个信息所以我觉得这
[59:12.740,59:14.520,1]  这还是很震撼的
[59:14.520,59:24.670,0]  有名的最有名的最有名的这个这个这个两个这黑白黑白两个这个这个这个这个月季啊什么不算这样的一个这个
[59:24.670,59:41.970,1]  对所以告诉大家一个好消息就是说因为这个舒适这个西柏林当时的这个博物馆和大都会共共同书的而大都会的这个资料这个网上的信息特权所以大都会把这本书完全做成PDF可以在网上供大家自由下来所有鞋子对有兴趣的朋友可以到这个
[59:42.300,59:46.240,1]  呃对对对对对对对而且是高兴的非常好的
[59:46.240,60:7.770,0]  因为我觉得因为我觉得这个这这批文物估计要在离开德国的可能性不太大所以大家这个这个因为当初到那个到这个美国来展览这个我觉得也有这个当时这个冷战的原因啊什么在在里面我觉得现在这批文物如果要在想到任何国家去展览我觉得都是一都有一定的难度
[60:7.770,60:18.710,1]  所以呢我们只期待以后这个的苏联怎么怎么不不是苏联等额国这个得俄国人长进太多了可以把他们an
[60:18.710,60:24.420,0]  我刚才查询文一三年普京还是没可谓这批文物打折吵架呢
[60:24.860,60:30.890,0]  这个普通说这是我们苏联红军流了鲜血换回来绝对不能还
[60:35.450,60:40.210,0]  这个普希金博物馆就是普希金造型艺术博物馆有一批
[60:40.210,61:6.200,1]  对就是对就是这个就是在莫斯科的吗这个就是莫斯科那个模板就有人就有那那个测漏仪和什么古埃及的都是从德国强的都涨了为什么这个新疆这批没有很奇怪因为我觉得这可能涉及到德国和中国三方因为俄罗斯人也不想让德国人知道还有多少东西在他手里也不想让中国制造在他手里特别复杂这个额度
[61:6.200,61:13.380,0]  哎中国那批东西还有好多没涨呢在就是那个俄国皇家地理学会抢走还有好多东西没涨
[61:13.380,61:35.250,1]  对呀所以这就是成历史所以现在德国人只能根据他原来的答案估计就是说我们再说一下就是原来的就是钱东亚艺术博物馆德国人觉得有90%的以上的文物在俄国人手里园运独处博物馆德国人觉得有30%起的东西在一直在德国人这种能力实在是太可怕了对对对对
[61:35.250,61:38.610,0]  我们当时在那东德的一些小镇然后就是
[61:38.860,61:43.130,0]  还是那个两个统一之后恢复的状态然后那个
[61:43.220,61:46.185,0]  他们都是拿着那个二战之前的
[61:46.185,61:49.540,0]  照片一点点把那整条街区恢复出来
[61:49.540,61:58.100,1]  是啊所以有一个很遗憾的就是钱那个亚洲艺术博物馆就东亚艺术博物馆的文物虽然都移到第处理但是可惜他的档案馆没有
[61:58.130,62:16.680,1]  没有搬走所以那批档案因为那个博物馆不像那个那个印度艺术博物馆那个杂那个模板发给也是大的鸡巴啦都都都都都烧掉了所以他当时拍了好多中国在1910年的二零年代那些老照片老的影像资料现在都已经退掉了是这个是肯定知道是毁掉了所以也很很傻
[62:16.680,62:31.100,0]  他们那个管长不是元旦说就是说呃就是一个在加州艺术博物馆是拥有最全面的北四路的艺术品收藏然后而且他特别强调说还保留了很多他们在新疆带回的档案资料
[62:32.250,62:40.430,1]  不我就主动假设我讲的是两回事我讲的是钱亚东亚艺术馆不是那个印度艺术博物馆你说的那个都在印度艺术博物馆
[62:40.430,62:51.750,0]  因为我我想知道你们在在那个博物馆就是这个亚洲艺术博物馆去参观的时候看没看到这些就是比如说就除了壁画除了文物
[62:52.170,63:5.640,0]  和他相关的一呃老老照片老照片看到没没他们都已经Leon然后而且对他们后来就回来又做了很多摄影存档
[63:6.460,63:28.700,1]  包括当时新疆的风光其实我没有看到延误但是在那个他们那个那个QH的这个电脑里我看到一些他也考虑我们一些就是那个数字化的一些一些一些照片另外一个就是说那个国际敦煌项目的那个网站上有一些他们的那个白色的资料所以大家有兴趣可以到那个网站去查对对对那个APP直接点com
[63:30.870,63:33.360,0]  那我们今天就到这里
[63:33.650,63:43.790,0]  那么这一期地下关注到此结束感谢收听也希望大家喜欢我们的节目逢周四上线推荐大家使用泛用型播客客户端订阅收听
[63:44.540,64:15.990,0]  在地下关点com可以找到于每期节目内容相关的链接空大点按图索骥您也可以在微信和新浪微博关注B下关我们非常欢迎您以各种形式给我们提出意见和反馈如果您喜欢发邮件我们的邮箱是陛下关爱en.i同时也欢迎收听FM播客网络旗下的其他节目it公论喂知道博物志内核恐慌差一来了流行通讯还sorry影像五次圆弧选美我们下周见
