[0:0.170,0:4.130,0]  今天是第下关的第21期大家好我是徐霞
[34:12.050,34:44.840,1]  瑰宝吧一个就是这个广州四的一个壁画还有一个呢是一只木雕的这个南海观音跟这个刚才说的智化寺这个凿井另外再加上一些它收购的北京的授课的某王府的这个格扇窗他把这些东西完了组合在一起变成了一一个就是非常富有中国特色的一个大厅对吧上的是凿井完了前面的前面是门窗里面是壁画壁画前面放了一个南海观音就这个
[34:45.190,34:57.570,1]  到现在我们来看也是非常就说那人一看以后世界上也很震撼非常有这种气氛的一个展览这个开始马上就成为了这个看似这个一个热点就当
[34:57.870,35:5.230,1]  全程的人都用过来看这个中国庙宇的这个展厅呃甚至于很多活动啊什么都在这举行啊什么的
[35:6.460,35:28.170,0]  然后这个可以再补充一下什么呢这个这个查呢是突破的这个创意啊有可能是他们自己的但是这个展厅的设计者还有一位这个很有名的人参与了尤其是那个凿井怎么把它复原把它挂上去那个就是一个很有名的一个德国的一个艺术史家也是研究东方有常年在北平生活的这叫古斯塔夫艾克
[35:28.460,35:42.545,1]  嗯因为贾塞克他他之所以能够对这个因为他对这个中国的这个木器木料家具这个它出的很有名利本来就是中国话题考对吧这本书这个三十四十年代就出版了就
[35:42.545,35:59.370,1]  对于中国古代家具的一些研究所以他对这个没结构的这个东西肯定是有很好的一个知识而且这个人而且我们也讲过啊他而且还是营造学社的会员社员等于是是是呃所以这个人也是以后我们可能有机会也可以专门讲解
[35:59.370,36:2.910,0]  也可以跟大家介绍一下这位乘这位老先生也是爱客
[36:2.910,36:33.280,1]  包括他的夫人这个都是一个非常有传奇色彩的一个故事嗯那么我们再回到就是这个食客们这儿吧这个那儿熏那熏就是短短的在三四年的时间内汇集了很多的中国的这个规模最大从这事情都两头啊对中国来说我们就损失了很多的这个艺术生吧对那些来说他们就获得了很多对吧除了我们刚才讲到了这三样这个非常这个现在也是来说是非常珍贵的这个
[36:33.980,36:50.040,1]  转了产品以外呢还有很多一个就是刚刚讲的会话是他们的非常大的一类这个呢我觉得就是非常有兴趣呢还跟大家聊一聊就是说在锦呃至少在几年前两年前是吧我们有机会去反正呃
[36:50.250,37:18.510,1]  再到重访纳尔逊这个博物馆那么有机会呢得又看了一些这个比较系统性的吧看了一些他们收藏一些高古会话呃他们这个就是产产品就是说大概现在就数量来说但是跟国内没法比他们大概可能是200多天吧好像但是其中有些很高质量很高质量的一些这个宋元时期甚至更早的一些比方说有一个那个船是那个
[37:21.130,37:37.310,1]  就关事关同吧就那幅那个就是那个那个微信号对经常那个就是好像都转不起来了就那个话只能摊着呐因为设置成什么目的科技大也是也是一些一些说是最早的一幅什么图对吧
[37:37.310,37:41.150,0]  说有可能是最靠谱的星号的这个教学景山水之类的
[37:41.520,37:43.490,1]  这是这是大这是
[37:43.490,37:50.680,0]  他她都想不起来了现在只是给忙他在一个一个大的一个木板上所以现在博物馆怎么样修这个话还是个大问题
[37:51.610,37:57.450,1]  那这是一个刚才讲到的渠道您的这个桥洞长的那么还有
[37:58.630,38:0.970,0]  唐或者北宋的那个八公图卷
[38:0.970,38:8.730,1]  对那里面有一些对呃这个还包括元代的一些很很有名的一些绘画
[38:9.070,38:15.190,0]  对呀盛茂盛脑的也是山居纳凉图着这个也是让人印象非常深刻的
[38:17.190,38:25.120,1]  那么这个当然其实从另外一讲来讲就他们也就是这些会话当然现在在这个那训这个
[38:25.610,38:28.800,1]  不管嗯怎么说呢
[38:30.010,38:40.120,1]  也因为现在这个博物馆毕竟就是不像别的地方他现在好像经费啊什么的有问题对他们这些会花的这个研究我觉得这个工作做的现在不是很到位
[38:41.040,38:44.280,0]  对但这也是现在美国博物馆界的一个普遍现象吗
[38:44.790,38:52.910,0]  这个人力呀物力呀这个都都有问题所以这个哎呀只希望他们能够保存好就就就就我我在我这
[38:52.910,38:59.380,1]  但我的意思就是这个保存我觉得都需要有一定因为他们没有专门会保管中国这个
[38:59.870,39:1.110,1]  绘画的专门
[39:1.110,39:27.060,0]  这个是挺奇怪的我们发现他没有专门的保管中国文物的这不仅是会话了整个节目类的文物的这个保专职保管人都没有他马上就是管理两个就是几个就专门就是就是就是这个人刚刚开刚刚签到完提箱然后就来做渠道呢反正就是这么一个好像很很很跨界很跨越的这么一个叫这这这个这就是这个反正就是我就说是
[39:28.780,39:32.330,1]  嗯比较spa地方因为他们毕竟因为
[39:32.590,40:4.580,1]  从现在来讲可能中国不在他们的这个整个博物馆收藏来说还应该是不是很大的一个部门只是一小块业务所以可能又没有经费来支持专门的这个保管员做一些研究啊什么的所以他们不是当时还请了这个弗利尔的这个一个那个裱画专家来来看这些话的一些情况是不是需要进行一些这个坑死微信的工作还是说可以就这样我觉得这个是这方面人才其实在西方我觉得还是挺全
[40:4.580,40:13.800,0]  对呀不光是卷轴画吗因为你知道他还有嗯除了这个那儿那个广生四的这个炽盛光佛也他还有著名的古代壁画蚊香图
[40:13.980,40:35.580,1]  对吧如意轮观音对对对还是这些另外这就讲的这个这个是另外一个就是说跟那卷子的话不一样的他们还有这个五代的这个这个这这些这一批东西这些东西当初如今该卖出来这个也是因为编了故事以后就搞不清楚他的真实面目所以对于现在对于研究它的断代研究它的这个东西都是
[40:35.830,40:39.090,1]  就是有些迷惑重重的一个一个感觉
[40:40.550,41:11.200,0]  那我们再回过头来其实还可以再聊聊继续聊聊时刻门市看门这个人啊还挺重要的他呢在因为它的表现特别好了在三零到30年之间给博物馆收了那么多东西所以他三五年从北京回来以后呢他就这个博物馆就聘请他担任中国部的这个qa的其实就是算我们翻译成这个主任吧所以其实他是新长就是说呃心愿如愿以偿了所以三五年以后他就当大学博物馆的这个东方部的主任了
[41:11.840,41:26.320,0]  以后到了很有意思他到了这个第二次世界大战期间啊他们都食客们也好华大也好其实都参军入伍了为美国这个打世界大战作贡献去了当然华尔纳的这个这个人品他的
[41:26.630,41:49.680,0]  惊险更高了是课文但是他们都是在当时的盟军的这个总司令部里中国战区呃只跟自己就在中国战区发展大厦是在盟军的总是在卖咖啡的总司令部里做一些文化方面的一些一些顾问工作所以一个很传奇的一个故事就说怎么呃两两个陈先生他们怎么保护了东京的这个这个这个
[41:50.740,42:24.130,0]  东京京都奈良的这些文物啊古建啊里头就有通用哪有花儿那的这个这个事儿所以很有意思的是什么呢就是在抗日战争结束第二次世界大战结束以后呢食客们作为一个盟军的一个军官吧他的第一批作者美国飞机在北平降落的这么一个美国军官嗯所以他他当时其实他他虽然是军人但他还其实还肩负着那性博物馆的重任落生活馆当时就给他开了一张巨额的一个信用证就是让他去收这个中国的龙
[42:24.390,42:31.490,0]  特别是会话所以他到他的飞机降落在了这个北平以后他什么事也没做他就
[42:31.680,42:34.510,0]  去找他以前那些老熟人就是那些
[42:34.710,42:43.600,0]  欧洲的古董商银行中国的古董商当时在北平的去买他们的存货所以好像现在档案里记载他当时
[42:44.210,42:57.270,0]  好像买了一大批这个很重要的作品然后呢当时因为很多要看要要要现金他没现金还问彤彤飞机来的这个美国的这个军需官戒零食戒了25万美元的现款付了这些这个
[42:58.480,43:11.720,0]  所以可以看到这个食客们对这个呃这个欲望啊输对是非常这个强烈的对你说他的责任心也好或者他自己的怎么样也好反正这也是一个特别有意思的
[43:13.440,43:20.320,0]  所以到了1954年1950年代初吧他就容忍了这个那性博物馆的馆长
[43:20.780,43:23.450,0]  一直到1978年
[43:27.600,44:10.110,0]  但是还还还还可以值得说的是什么呢只跟这个人呢他虽然眼眼光很毒而且对文物挖的特别对中国艺术有很深的这个理解但这个人可能也比较懒散所以他的呃写下来的这个学术文章不足学术文章不多现在也检索不到太多然后他有一本专著是讲这个呃中国的建筑和雕塑适合意味着受苦这位这位先生和谐的一个他主要负责可能雕塑部分然后建筑部分其实瘦不写的但这个豆腐这个人呢就是研究日本的一个转嫁所以这本书其实是有很多缺陷的但是这本书其实1960年代出版以后影响还是相当大的
[44:10.730,44:12.480,1]  这本书好像再版了很多次
[44:14.100,44:22.680,0]  还是影响很大的然后史克门这位先生的然后他呢呃其实他后来又来了又回过一次中国
[44:22.680,44:31.210,1]  那是好像那是在中已经就中美等于尼克松访华以后完了又又一次完了美国的这些这些这些这些老朋友们
[44:31.210,45:3.120,0]  哎对对对其实就是在1973年当时这个美国学界和中国这个科学呀当时还叫这个科学技术协会怎么对口然后就邀请了一个叫美国考古与艺术一个代表团以考古和艺术的名义代表团来这个中国访问然后当时请了十几位博物馆界大学借的这些美国研究中国艺术的这些和解决中国考古的这些学者吧然后当时团长是克利夫兰的那个学门丽是叫雪漫这位然后
[45:3.120,45:5.820,1]  西里什么好像二战社也是在东京
[45:6.480,45:9.010,0]  嗯七点半理解但是但是我们
[45:9.010,45:13.200,1]  你什么东西反正就是挺这不还跟王驶向有点一面之源
[45:13.200,45:27.620,0]  哎对对对因为理解办就是门禁就麦咖啡在东京总司令部专门负责管理这个文物研究保护的这么一个美国军官所以当时王世襄不是代表中国政府民国政府到
[45:27.620,45:29.430,1]  是索要这个索要
[45:29.430,45:33.550,0]  嗯对李雪饭就不理她所以这个就是也是挺帅一点
[45:35.730,45:54.210,0]  所以当时1973年这个代表团呢然后是课文理解万他们还有一些一些一些一些人嘛很多人像罗谈呀这些大牌教授然后他们都访问了这个中国在北京啊上海呀苏州啊西安啊广州啊就这么转了一圈看博物馆看一些重要的一致
[45:57.920,45:59.000,0]  呃
[45:59.410,46:10.310,0]  他们回国以后1974年中国的话就组织了一个中国在美国的第一次就是中华人民共和国的一个叫考古收获大展这个展也非常的轰动
[46:10.310,46:16.800,1]  嗯这是因为它是中美还没建交吗当时我第一次这个样子这好像出了好多画册对
[46:16.860,47:7.190,0]  就测第一站当然了第一站就在华盛顿嘛第二站就放到了这个纳尔逊博物馆所以这个也是堪萨斯城人民非常有眼福啊这个当时看到了但是结合食客们有很大的关系了也和石头也很脑性博物馆这么伟大的这个中国收藏有关系对所以当时其实这个还有一些小的花絮吧就是当时我们这个带团的就带带斩的那个那个人然后到了他们那个大学博物馆的展厅看到了这个皇后礼佛图那位老师那现在就不乐意说你们这里抽来了怎么怎么怎么样后来就是闹得很僵然后后来那些模板就做了一个康复吗就是说把这个那就皇后礼佛图把他用那个帘子遮起来就是展厅里就是在我们中国内文物展布展期间这个这个这个这个李波途径给遮住了就是不让看到
[47:7.190,48:7.190,1]  因为这个这个因为皇后礼佛足这个事情后来变成一个政治事件对吧因为这个再见过以后完了那个因为这个网络礼佛图的事情因为涉及到这个域这个这个月冰股总伤害被判了死刑对吧什么就是等于当时的政权拿这个东西作为一个政治事件来做了一些一些呃做做一些文章所以这样的话这个随时都是皇后礼服都变成一个非常政治性的一个一个标志这可能也是可以可以理解的其实现在只是回回过来了就是如果就咱们的听众如果有兴趣有机会到这个那是一看那训他除了这些大名头的这些表就是传统的这些艺术收藏以外它其实收藏的这个中国家具的质量相当高它有一个展厅不止中国家具布置相当好另外呢还有一些他收藏了很多的中国的这些杂项的东西就是比方说我是相对说喜欢的那种什么那种雕虫小技的那些东西他们也很多去孤儿啊虹路啊
[48:7.191,48:30.870,1]  啊什么就他们这个收藏的这个兴趣跟范围门类非常广这个可能也跟他们当时这个眼镜因为中国这个博物馆里呃真的涉及到这民俗涉及到家具的东西其实还真是很晚才开始比方现在上坡有家具停了都多晚了对吧那个嗯所以这个这个是我觉得是这个
[48:31.330,48:48.640,1]  他们这个国外博物馆好多地方眼光比较独到的一个地方所以当你不在收藏人家收藏的时候这也不能算是人家偷群因为你不注重这些东西可能这些东西就淹没了被别人收藏可能也是这样呃怎么说呢印制肺腑的事情吧
[48:49.160,49:11.500,0]  哎所以但是但是我们觉得我们在讨论这个时候就说也得客观的看其实还有一个当时有一个时代的一个局限性比如我讲再讲这么一个故事这食客们这个人呢也是一个我觉得也是一个矛盾题吧他年轻时候在中国拿那么多文物其实他呢这个人其实你说他有私心吧其实也未必但是它真的是一个还是爱他是热爱中国艺术的这么一个
[49:12.190,49:40.760,0]  他当时就说不光为博物馆收藏文物他自己也有一些也很好的私藏了就是说他也可来平就属于他自己的然后他把这些卡片其实他也不很多重要的就是收藏他也不放在家里他就在博物馆批了一块地方就专门放它自己的这些收藏在博物馆东城练后来他也立下遗嘱死后这些他这些东西因为食客们这个有意思他一辈子也没有结婚然后就是以以艺术为生吧
[49:40.920,49:46.170,0]  这是一个艺术人生然后就他死后这些东西也都全捐赠给了这个博物馆
[49:46.620,49:54.420,0]  还有一个不得不提的是什么呢就是1981980年的时候就是那性博物馆和克利夫兰博物馆
[49:55.100,49:58.330,0]  就是我们刚才提到那位李雪漫就是克利夫兰博物馆的馆长
[49:59.100,50:7.650,0]  他们两个博物馆合作办了一个叫做八代仪征这么一个两馆收藏的中国宋代到清代的这么一个字
[50:7.730,50:10.850,0]  他们讲吧代码这个这个这个
[50:11.220,50:29.910,0]  绘画的真堂当时正是轰动了这个东方这个美术界现在看起来这个展览还是一个非常传奇的一个展览而且就在这个展上然后因为嗯咱们再还还得再引入一个人物就是在乎洛夫这么一个人我们前面提到过落户它是一个收藏
[50:29.910,50:32.080,1]  杂交纽约的时候讲过这个人
[50:32.130,50:53.480,0]  对对对然后就是在这个展上然后食客们因为知道布罗夫手上有很多画儿呼噜又把他的话全部palminn给了这个大都会博物馆但是课文就坚决的要顾落户发他的那个调正常的这个后赤壁赋图给转给他所以后来就在这个发展仪征这个大展上过落户就把这幅这个调正常的这个话因为十个人惦记了半个世纪
[50:53.480,51:5.760,1]  第一个字母就其其实你想到食客们的话也还有一个小小故事其实也是值得讲一讲的就是这个还是跟这个跟云岗有关系对吧对是因为这样
[51:5.760,51:44.080,0]  是这样这个就是我们现在到云岗我们知道云岗石窟开了一个博物馆在云岗博物馆我们在里头可以看到一个呃陶制的一个黑桃做一个很大的一个佛的眼珠原来是在云岗那个大佛那个眼眶里的这个眼珠哪来的呢其实也有这么一段故事就是课文1930年代到云岗区然后他在他在这个古董商那儿买了这么个眼珠后来他这个一直是他自己的私藏不是这个博物馆的收藏后来1985年这个王世襄先生到美国去看华然后当时他虽然已经退休了但其实他还在博物馆
[51:46.220,51:52.750,0]  留用吧所以食客们接待老师香先生要特别把这个眼珠交给王志强先生让他带回去交给您
[51:53.610,52:14.530,1]  没有就有这么一个故事所以反正他这个咱们这个这个故事是真实的而且这件东西在现在在云岗石窟的这个博物馆里面但也就是也能说明一个问题啊当然其实其实好多这些这些他们所得的如果就是说当初他们在市场上买这些东西如果没有一些中国
[52:15.570,52:17.830,1]  个人去把它从
[52:18.290,52:23.060,1]  从这个上面扒下来或者抠出来的话那外国人也是买不到这样的就是
[52:23.910,52:29.225,1]  所以嗯所以有些金融可能会有因为我们
[52:29.225,52:40.040,1]  遇到这种问题很多好多人会去选择这个西方人的一些啊各种各样的这些人其实我觉得好多时候如果没有咱们中国人的这个配合没有这些
[52:41.280,53:17.750,1]  汉奸吧或者怎么样的这个其实是不可能把这事情做成的包括现在那些盗墓的人那些流失海外各种各样的这些我觉得没有人去当默认去偷那系统博物馆是不可能去的而且现在西方博物馆对这这些事情非常小心他们就怕买到这个来路不明的东西他们会要付出代价因为好像博物馆之间有这个大家都有协议呃另外其实这一点来说其实美国我相对来说我觉得个人做的这几年做的还是比较好的因为这几年美国海关查过了很多走私的文物而且都这个还给了这个中国
[53:18.080,53:22.030,1]  这个好像是我觉得欧洲好像我没听说过出现这个事情
[53:22.190,53:27.230,0]  对呀这个上次荷兰为了那个就是那个从福建偷出去的那个
[53:27.230,53:40.500,1]  他那个什么经济啊植入式辐射之类的像这其实嗯其实相对来说还是有差别的我觉得这个所以大家还要比较客观公正的来看这些问题
[53:42.670,53:53.520,1]  就多说一点就是说呃因为有些因为我们这些话题涉及不止一次因为有些听众这个这个有非常两两个极端的好多的这个
[53:53.940,53:59.010,1]  看法我觉得我们都不房这个更加公正客观的来看待这个
[54:0.830,54:5.240,1]  当然嗯对于现在的这些东西我觉得我们还是应该是
[54:5.940,54:14.960,1]  强烈的这个反对去偷盗或者去贩卖这些文物就引用一句原来我说的这个呃对野生动物的这个
[54:15.750,54:23.400,1]  嗯有口号一样的这也是那么讲没有买卖就没有杀戮那么我觉得这网木器珍贵我为啥没有买卖就没有到期
[54:26.430,54:42.760,1]  那么呃我们当然因为进我们学校有点远就讲到这个纳税的这个这个博物馆因为它这个博物馆呢的确就是说呃一般来说嗯从中国到美国来的人去那儿是不太方便这样的也给点这个小气死啊如果
[54:42.760,54:43.760,0]  真的大家
[54:43.910,54:46.180,1]  要去的话嗯
[54:46.180,55:6.460,1]  最好的方法当然是你能够比方说飞到喀什成对吧其实这个博物馆呢嗯大概一期你再看好时间因为它好像星期一星期二都不开两天不开好像是吧那个原来不知道现在完了那个所以大概你就看一天时间飞到那儿
[55:6.480,55:16.700,1]  其实都不用过夜看完以后表格就可以走或者或者如果你比较他最近的城市呢它离芝加哥实际上不是太远不是太远的目的
[55:16.700,55:18.660,0]  其实最近的还是那个艺术类
[55:18.660,55:29.800,1]  吴宇森绿带类似可能中国人本身就不是很熟悉对芝加哥可能稍微比较熟悉一点如果大家有机会到芝加哥从芝加哥租车开车过去的话大概打个来回两天时间
[55:30.550,55:39.830,0]  呃路上怎么的这个还是要100多乐开车对对因为你想那个孙芝加哥过去一走顺路一直走明年MF那还挺远的
[55:39.920,56:18.150,1]  啊对反正每家本不给人家都闹到北边去那个反正就是这个地方呢的确抽奖不是很方便但是非常值得非常值得因为所以那个因为这里面有很多东西比较还说一个东西他们也是这个这个属于他们的镇馆之宝就是辽代的三彩罗汉这个罗汉当然也是一个很大的故事啦他这个在1917年从义县发现的这个两三台的这个罗汉罗汉的这个大小大部分跟真人比真人稍微再大一点那么大概一共流出去了有十来分吧可能到现在有据可查的有酒
[56:18.750,56:35.060,1]  其中应该是保存的最好大家认为比较完整的和也是比较这个这个看起来比较这个速度也比较好的这就是纳尔逊的这一尊罗汉之类嗯是这种还是他们的这个也是非常非常非常
[56:35.250,56:56.610,1]  这个不错的一件这个艺术品啊这个代表中国那受的西方认为是抄写的一种一种一种一种一种作品啊就是在在辽代那个时候大概是要在最近大概900年到1000年的这样一个一个时间这是一个非常就是值得看的一个看点另外一个就是
[56:56.730,56:58.300,1]  他的这个刚才
[56:58.450,57:1.180,1]  那个曲家已经讲了就是无贷的壁画
[57:2.580,57:5.200,1]  对吧这个确实你你现在在在
[57:5.760,57:7.830,1]  充一点这个币换的这个故事
[57:8.020,57:15.900,0]  这个五代的变化也非常传奇啊这个现在博物馆呢都把它叫做来自河南省
[57:17.600,57:21.660,0]  温县温县慈胜寺其实呢这个
[57:21.870,57:36.260,0]  现在大家这个学界认为的其实这是不是特别靠谱的一件事儿就是当时因为呃有些这个研究上的一些问题吧把它给归纳到归为词甚至壁画其实这个呢是有问题的嗯但是
[57:36.500,57:40.080,0]  怎么说呢这个壁画就是来路不明吧
[57:40.430,57:57.435,1]  从他的风格上呢断翅因为词上次我们我们去实地采访要返货就是辞职公司应该说是不应该是从那个地方有这个可能性因为他这个现在慈胜寺这个建筑本身它都是元代才重建的他
[57:57.435,58:2.310,1]  不太有可能有五代的对话那种保存而且也没有当地有这样的这个
[58:4.730,58:8.070,0]  就现在订他五代呢也主要从风格上经过和这个
[58:8.070,58:13.630,1]  会有一个出了风格不还有一个但是那个自考那个款就在那个那上面有一个
[58:13.870,58:24.595,1]  偏什么元年的那个就是那个款那个好像就是但是有人认为那可能是后人为了共同上为了提高这个固定的价格或者怎么样把它这个
[58:24.595,58:26.780,1]  人为的写上去的一个款
[58:27.880,58:32.100,0]  这个反正怎么说呢但是那个对话的这个水平是相当高的
[58:32.400,58:50.960,0]  图上画的都有这个真人大写an对对而且很有意思是什么呢这个当时用的古董商啊也是把这个壁画拆开卖所以这个博物馆慢一点这都是当然和旅行家有关系了这个博物馆慢一点那个博物馆送送一件所以现在在美国很多博物馆
[58:51.410,58:56.290,0]  都已经包括在法国集美博物馆岩都有部分这这就这
[58:56.320,58:58.460,0]  这铺壁画的这个部分的
[58:59.120,59:0.880,0]  嗯所以而且还
[59:0.880,59:9.970,1]  还我觉得还很慢一定的事情就是当他们那那些博物馆的壁画再做修复的时候就从这个壁画下面又接出来了衣服
[59:10.130,59:12.000,1]  更早的一幅壁画
[59:12.220,59:15.500,0]  对对但是内部对话好像没完成这个岘港
[59:15.580,59:43.735,1]  这个我不知道别的包括有没有对这个东西进行一个一个一个这个就是ad在这个因为它同时在咱咱这是一个我觉得很很因为就是它下面有一个壁画壁画向上的在意风儿下面的壁画是没有完成完了覆盖在上面又换了另外的一个壁画他们把他接出来放在那儿占了所以能看出这个当然有人说那个就如果这五袋那下面那个可能更早要到塘边如果真的是这样的话那真是了不得了因为这个在
[59:43.735,59:47.540,1]  整个咱们中国除了敦煌以外
[59:48.120,59:51.140,1]  再见祝自愿里面有唐代
[59:51.310,60:0.900,1]  壁画的好像现在想不出来没有因为唐代他除了这个佛光寺因为唐再见他有一些公隐蔽的壁画什么的有些是唐代的那个
[60:1.370,60:3.960,1]  那个塞子很小了那尺寸非常小
[60:4.120,60:6.380,1]  完全跟这个是不能够同日而语
[60:9.780,60:13.570,0]  咱进大学博物馆这个怎么说呢长的中国的
[60:14.210,60:32.170,0]  这个产品的如果要介绍的话可以可以介绍一些时间就很多都是非常传奇的就是说如果对玉器感兴趣的朋友也知道当时这个洛阳金村出土的大幕嘛然后时刻轮胎得到了当时青春预期里最可以说最精美的一件玉璧特别特别的漂亮
[60:32.430,60:56.380,1]  还有就是那个呃就是课吗时刻它有些那个小汤山那些就是我们曾经也提到过就是他有一间这个石造像碑的那张圣杯的情节特别他就照相呗是来自这个山西的对吧买房子狭长主线这个这个强昱我们去年的时候到张子新还跟跟他们
[60:56.540,61:22.710,1]  提起过这个事情而且落实了这个的确是成长组建的一个县一个庙里面这个呗在民国的时候被这个军阀拿走了以后说是切成两半了以后卖到国外去的呃的确这个那甚至这个呗就是被分成了两段啊这个是就是说这个都是能够勾连上而且呃这个背的这个出处这个地方现在这个寺庙还在
[61:22.910,61:36.650,1]  这个当时这个庙里面有两块呗嗯另外一块幸存的呗结果很遗憾在20这个本世纪初又被人盗走了所以你说怎么来说明这个其
[61:37.120,61:45.960,1]  以前的这个盗走的东西现在咱们还可以像现在是盗版的多成了赃物不知道他买在谁家的院子里或者在谁家的这个房家里面就是再有
[61:46.360,61:48.430,1]  键贴士所以这就是更可
[61:51.850,62:6.560,0]  另外还有一件这个就就就成立在这个壁画附近就有一个很有名的一个北北朝的所谓的北魏孝子故事限课时关上面这也是一个在美术史上有相当传奇色彩的一件这个重要的一个文
[62:7.250,62:28.680,0]  这反映了当时北朝的这个绘画艺术因为我们现在北朝的直本的这个话看得很少但是那个石宽是关注这个构图啊非常的精美然后线条而且非常的准确和生动啊和这个波士顿美术馆那著名的那个宁茂石棺直播室齐名的而且他他那个直观的那个那个风格还更有很多
[62:29.070,62:34.850,0]  比如说我们看到这个南朝的很多艺术的一些一些影响所以这个也是一个非常传奇
[62:35.690,62:55.590,1]  反正这个总总总体来说呢就是那训这个博物馆的的确是一种非常呃非常我们叫他那边宝藏啦等于是非常丰富的很多还有中国的这个个贷的各种类型的各种这个门类的文物都有
[62:56.530,63:7.180,1]  综合性的一个博物馆所以说来到美国我非常强烈建议如果真的喜欢中国文化的朋友的话一定要去造访一下这个那儿选博物馆
[63:12.940,63:14.620,1]  那么我们
[63:21.400,63:38.710,0]  嗯差不多以后我们还有机会还可以介绍比如说呃和那姓博物馆比较类似的收藏中国艺术特别好的我们可以介绍就如比如克里夫兰博物馆啦也可以顺带介绍一下传奇人物学门丽对吧还可以介绍一下比如说波士顿美术馆啊
[63:38.710,63:53.840,1]  因为这个博物馆感觉这也是一个福利呃这个也是我们的一个系列当然我们也非常希望这个听懂听了我们这些节目以后给我们一些反馈比方或者你们的建议或者因为我们也会因为我我想这个取消我们也会要
[63:54.470,64:1.400,1]  重点介绍一下卢勤斋我觉得这也要专门做一些我觉得就是很多博物馆都离不开这个卢勤斋的这个
[64:1.400,64:9.590,0]  想到海外的讲到流水海文物流是海外讲到海外的博物馆的收藏史卢勤斋是个绕不开的人物
[64:9.590,64:19.830,1]  对所以这个所以好多事情当然我们只是普通的一个一个这个我们认为是一个粉史史诗的东西但具体的这个
[64:20.320,64:22.470,1]  是非曲直怎么觉得打架来
[64:23.290,64:25.250,0]  好吧好嗯好好
[64:25.250,64:29.350,1]  那么就这样我们的这一期的这个碧霞关呢就到此结束
[64:29.640,64:33.040,1]  欢迎感谢大家收听也希望大家能够喜欢
[64:33.180,64:35.270,1]  我们的节目逢周四上线
[64:35.330,64:38.490,1]  推荐大家使用泛用型播客客户端订阅收听
[64:38.900,64:44.480,1]  在地下关点com可以找到于每期节目内容相关的链接供大家按托所
[64:45.050,64:48.620,1]  你也可以在微信和新浪微博关注B下关
[64:49.590,64:58.370,1]  我们非常欢迎你各种形式给我们提供意见和反馈如果您喜欢发邮件我们的邮箱是陛下关爱ipand
[64:58.710,65:3.150,1]  同时也欢迎收听ipn播客网络旗下的其他节目
[65:13.610,65:14.530,1]  我们下次见
