[0:0.210,0:3.800,0]  今天是第下关的第13期大家好我是独子
[37:31.020,38:20.250,0]  对所以现在其实那边也在大力开发旅游吗比如说这个云台山对吧还有一些其他的这个著名的旅游点我相信大家可能去过云台山的这个孙总还挺多的但是我们因为经常在山西仿古考察碰到很多有意思的故事比如说这个因为很有意思因为山西在上边儿这个河南在下边儿然后就常山呢其实是一家一半儿景区的入口一般都是大家都是从河南上学所以其实山西没有什么收入但是这个风景的都是山西给他另外啊也就是说你云台山比较漂亮的有水吗这个瀑布也好流水匆匆的我猜司法的水转着喝点儿就没水了所以说这款要经常两腿之间会有一些挺挺纠纷的事情哎呀
[38:20.250,38:44.780,1]  这个纠纷多了讲到这个纠纷那个刚才我讲的那个泰航型的那个那个呃晚自成也是河南跟山西两方面打架一个说这个管子生水河南一个说晚的时候属于山西这个互相之间也有很多的这个纠纷因为因为在那个地方原来山区可能话计划的不是很清楚现在呢因为有这个资源稀缺所以大家就比较这个计较一些事情
[38:44.780,39:0.210,0]  哎最最近我我我听说这个河南还做了一些比较人性化的安排就是说好像你就是焦作呀那边儿这个风景区如果你是拿山西的这个身份证的话好像门票有优惠什么的我觉得这也是挺好的一件事儿
[39:1.130,39:10.310,1]  对我们再具体讲啊这个就是我们沿着那个公路上去上去以后呢就在一个山上等于在河南跟这个山西交界那边有个叫宝泉水库
[39:11.080,39:18.030,1]  呃他就结了一段和完了那个建了一个水库这个地方是风景相当漂亮阿
[39:18.030,39:22.530,0]  我已经被状态在这个地方我我体会到
[39:22.960,39:25.170,0]  我突然体会到那个
[39:25.430,40:13.290,0]  最后自杀也是有欲望哈哈呵呵因为的确是在那儿就觉得就觉得太美了我那是在悬崖的时候我真是有点一直自己不下去因为真的觉得底下就像天堂一样然后就那一方持水很大人家很广阔然后旁边白茫茫的你又站站在那么高的那个峭壁之上就在边缘人特别难讲他当时我我我一个就是我刚开始的感觉是超人在那儿吗他在拍那个片子我我感觉就哎呀他千万就不要下去还是还转来着然后到了自己真的到边上的时候真的有那个欲望所以那个感觉一说到白行我就会想到那个D是不是觉得他他是吸引人要要纪念
[40:13.290,40:17.380,1]  是一个是一个有可能一失足成千古镇的地方
[40:17.380,40:19.880,0]  不见得是千古恨啊
[40:19.880,40:21.390,1]  那个那个
[40:21.390,40:29.180,0]  嗯咱说白行我想着就不是说状就是秀美呀给我感觉就是挺酷的挺
[40:29.380,40:31.550,0]  挺动人心魄的女
[40:31.550,40:40.950,1]  嗯所以说白行那边其实真的就是非常漂亮就那个后来那个我们摄影师陈新宇拍了一个那个就是白色那边就是什么72拐
[40:41.830,41:2.440,1]  那个七十二百那个地方那个就是他等于是借用了一个就是弯弯曲曲的之字形的录音为那个山要爬上来以前对于马道来说他只能走这个之字形的路子慢慢慢慢爬上来很很高的一个就这还是算是古道的一部分那个旁边的山是拍出来以后简直就跟古话里面那个画的那些那些
[41:3.140,41:4.960,1]  什么那个金浩啊关
[41:4.960,41:7.830,0]  Ess对对对
[41:7.830,41:32.410,1]  呃非常的这个像这个照片我们可以后天在网上给大家分享因为这样想的就是说白行跟白行附近啊就是我我刚才讲到就白行不能不能只看到它是一条路啊他这个其实白兴附近这个河南这个一直往那个北走他有几条古道我们也曾经徒步过啊就在白云附近白金附近那个在网
[41:32.580,41:42.950,1]  就是河南的零零现就是现在林州市的那个地方有一个就是太阳太阳山的一个就是等于它分出来一个山叫叫林虑山
[41:43.430,42:20.790,1]  领域上有一个叫李丽下来再分出一个小三比较红谷山他就山景这个套着山那个地方传说是这个经耗在里面归隐画画的奖金好是那个咱们中国古代五代时期的一个大画家这个这个可以说是山水画的这个鼻祖那么传说他在那话他是北方人所以北方的这个山水的这个大山的这个形象啊就来源于咱们的这个太行山那么有一年我们那个结伴从那个和呃山西从山西曾经就徒步从山西太行山怎么一路走下来
[42:21.160,42:56.290,1]  走到这个河南大概走了有走了半天吧那因为往山下走呢相对来说比较容易一点那个那个这个感受是非常的这个政策因为那条路古道就要想起来就那条路上就没有任何的这个呃人工的这个很急因为他现在不同汽车也不那个什么所以完全是有自然的风格在这个人就完全在大自然的这个包裹一下我们从那个山西上面的一个叫金灯寺的地方这么往下走走到下面去红谷山这么怎么一旦有人河南河南有人上去反过来
[42:56.710,43:15.240,1]  爬到山上京东是稍微乡以后再返回大概一一呃提交好的话一天也可以来回我们是花了半天时间从上面走下来这个体验也是相当美妙的就是一种就是一种跟自然融合的一种体验吧这个也在这个就是广义来说他也是这个
[43:15.740,43:59.100,1]  白型的这个范围之内因为这个互相之间这个太行山中间联系山西跟这个河南的这个路很多而这些股道边上有很多特别值得看的风景也有很多古迹比我们刚才讲到那个白行车宝泉水库上去上去就到了那个山西的陵川就临川就有很多的这个古建筑而且大部分都不见得都是这个在呃宋金时期遗留下来估计上我们去的叫马克当乡马克马克当那个乡那就有好多那个什么二仙庙啊什么的这些都是属于当时这个遗留在这个咱们这太行山群山之中的一些
[44:0.710,44:19.120,0]  哎那就是刚才古筝其实讲道理密山那个距离密山里头就是就是红谷山淋浴红谷里头有这个北开开到于北朝的石窟然后北边儿一点儿其实就是我们很著名的一条叫红旗渠的一个一个一个这个
[44:19.120,44:35.965,0]  就是这个红旗总干到就在就在那他从山上从山西当时这个六七五六十年代开发的这么一条这个灌溉工程引水渠嘛然后那还有一个很重要的估计我觉得股市应应该给大家介绍一下就是这个究竟宿州电子卡呀
[44:35.965,44:43.660,1]  对那个因为那个等于就等于又往北一点了到了这个刚才那个徐家讲的这个
[44:43.880,45:7.850,1]  红旗渠宏宇讲到就是说有一条就是水很重要的张水其实红旗区引的是浊漳河的水从山吸引到了这个河南的这个林州就林州那边当时那个缺水吗所以后来在50年代时候就是开了一条这个红旗渠把山西的水引到了这个河南那么林州因为这个大家听过我们这个以前的这个
[45:8.290,45:20.570,1]  节目的知道就是说呃我们讲过一期是北朝艺术对吧这个林州这个地方只有离着我们这个北朝的那个古都邺城就很近了他等于广义来说是属于夜城的这个
[45:21.010,45:23.980,1]  郊区林州附近有很多的这个
[45:25.200,45:33.720,1]  名胜古迹讲到这个修定寺塔对吧讲到这个小南海石窟林泉寺他都在这个
[45:34.670,45:46.570,1]  等于都在这个林州靠近太行山的山这个山脉的这个部分呃嗯呃修定寺塔因为是比较特别因为他是一个呃
[45:47.090,46:3.570,1]  应该说是这个北朝时期的一个使借但后来又重修的一个一个四方形的一个卡了他的这个上面的这个砖雕啊相当有名呃还有就是我们也讲过这个红谷呃林率就是那个
[46:4.360,46:11.400,1]  灵泉寺的这个摩崖和那个和尚的这个学生学生塔这个等于也是一个
[46:11.510,46:14.390,1]  呃佛教的一个非常著名的一个
[46:16.350,46:28.600,1]  这样我们因为这次我们讲的主要是这个山水啊行政啊我记得那个呃李老师跟我一块走的时候他讲的一个一个事情很有意思他说已删订水沂水定路
[46:29.660,46:57.330,1]  对这个是古人的一个一个很重要的一个就是说山之间两山之间必然有一条水道有古人一般那时候这个走路都是沿着这个水稻来走路所以你看我们刚才讲到的这个呃白行我们走为什么好像也是因为旁边有一条河河沿着河旁边就有路怎么完全上去那么刚才那个区嘉奖的这个红旗渠这儿也是其实红旗渠这儿也是一条
[46:57.760,47:50.610,1]  古代的一条水道就是说呃张水张水的愤青张根着装两条着张的是沿着这个长治县的这个一个山谷自个慢慢往这个河南这边旅游反正到了河南到了河南河北交界那边有个叫河张的一个地方就清漳水和张水在这合二为一变成张和完了再往这个往东流那个这些地方所以那是我应该很深刻就是那听着李老师这个这些这个这些古代的这些这个地理上的一些词汇我觉得李老师拿的不是水晶住在那里一边走一边看完了再来找这些东西呃对我们来说也是一个像这个大师学习的机会啊讲到这个浊漳河对吧刚才有一部分就是说呃被引到了这个河南那个红旗区其实服装和李岩啊是非常漂亮的一个景色那边叫做太行水乡那个现在大家给那条盒子
[47:50.860,48:37.360,1]  岩岩路山西到这个河南中间那条河谷短短十几公里何不大概有七八处这个全国重点文物保护单位的古建筑另外还加上这个什么保啊还有不是保的这个古先生相当的这个秘籍如果有机会大家在那边走的话可以看到很多的这个很有意思的国家包括什么呃五四坐堂够之一的天台安娜什么建筑博物馆之一的这个龙门寺啊还有什么佛头寺的壁画呀还有这个大云院的壁画都在那个地区那个地区就是河谷之间不仅自然风景好而且人文这个比喻是相当疯狂这个是我们相当推荐的一条这个旅游景点的这个线路
[48:37.760,48:45.630,0]  对我觉得白行我们要差不多其实其实还可以最后再补充一下这个就是可能
[48:45.750,48:49.710,0]  有点儿就是说得往南在移动一点儿就是那个百家岩
[48:50.890,49:19.800,0]  百度上百家岩对那个也是对这个百家银行就应该在云南在在云台山的这个也是一个标志性的一个这个也是一个重要的在历史上面是有重要意义的现在风景也很漂亮一个巨大的一个一个山岩然后上面一个经代的一个密檐式的一个佛塔非常漂亮对山色掩映啊这个就像一副古画似的儿摆摊人为什么那出名因为它是个几康有关系
[49:20.240,49:21.290,1]  竹林七贤
[49:21.290,49:28.260,0]  对在手里提前和基康有关系然后这个呃那个
[49:28.260,49:55.260,1]  等一下吉林齐全的这个典故啊这个在这个西晋时期这个因为那时候这个师大府门比较崇尚这个玄学跟进空谈那么那时候有竹林七贤有这个有七个这个当时这个文雅是经常在这个就是百家岩附近的这个一片竹林的这个里面进行雅集大家这个喝酒啊吟诗啊弹琴啊
[49:55.390,50:1.350,1]  就是或者是这个做一些各种各样的风雅之事吧这七个人其实但是它
[50:1.350,50:10.510,0]  是什么呢其实他们就是摆设不愿意和这个司马家族说把这个经朝这个合作的态度消极对抗这媳妇儿这个
[50:10.510,50:56.470,1]  但是但是这个在租赁期间这个变成了一个中国文化第二个一个象征对一个象征就是到处就是说都有这个一一说竹林七贤这个好多这个山西或者民居什么这个大家这个这个像复印一下风雅索克的砖雕也好啊什么这个木雕也好啊一般都愿意科这个什么竹林七贤的这样这种典故已显示这个非常这个风雅之事啊这个的确在这个历史上传为美谈夏季康啊这个软软件及啊这个这这个这些人名字我不能都取出来但有这么这些人那么他们当时这个具体地方肯定是一个非常风景名胜的地方就是刚想去百家岩也是等于是在这个咱们这个
[50:56.470,50:58.150,1]  白型的这个范围
[50:58.150,51:29.390,0]  对就是现在在这个百家园就白鹿山那边儿现在叫山阳县吗韩山阳县那个汉献帝方不就分成三阳公吗你说那个轿车是中国历史的一个这个魏晋时期的核心地区啊现在那还有所谓的什么鸡康故居呀还有其他那些什么呃七贤祠呀什么的然后还有一些竹林啊什么各种各样的东西也不错而且我觉得还是挺值得去看茂林修竹婉言溪水蜿蜒流淌着哎非常有意思
[51:29.390,51:48.380,1]  所以所以这个讲的这个就是说这个如果就是把这些景点再跟咱们所读的历史和在一起去欣赏我觉得这就更能给人家给给自己一个一个体验这就是这个有说这个旅游所蕴含的一个文化的一个
[51:48.830,52:4.080,1]  陈呃底蕴在那里你如果抽开了这些文化你看啊可能就是一个很平常的一个一个风景但如果你能够在历史上联想到曾经发生过的这些事情的话给大家这个感受可能就纯粹只是单独的看一个风景可能就不太一样
[52:5.480,52:14.725,0]  对对对我记得那个曹峰教授他就说过他说那个他在美国看大峡谷的时候出了那个
[52:14.725,52:41.260,0]  他一点都没觉得好多人去美国觉得哎呀这幢破的不得了但他说他走这个就中国的宣传达可他说有的时候要太行山那种就是他们每个喘不上气来这他就就这样说实际上就是因为他对自己历史文化这个了解再和他现实景观的那个对象能让他这个最后的这个比喻能让他感觉就是更有共鸣吗
[52:41.260,53:16.400,1]  呃这个共鸣跟联系一下就跟就跟这个地方比方说就跟你到了这个你到了鹳雀楼你你这个一一想起这个王之涣的这个登鹳雀楼的诗你眼前的景色立刻就觉得好像增色了很多对就是这样的一种情况就是在这个太行山行走的时候也有这样的这种感觉因为太行山有很多的这个历史遗留在这个这段这种大山上啊还有就是我们在这个提一点就是咱们现在有一个很有名的一个呃太行绝壁公路其实也在白型的这个
[53:17.310,53:20.750,0]  关闭工作直接关闭工作其其实在他第三部
[53:20.750,53:29.300,1]  一条是这样子的话屁股嗯我们也走过一条挂壁公路是从这个从这个山西的这个红泥村
[53:29.730,53:35.455,1]  往这个林州走现在因为有一条高速公路了对血压至上一条溪水这么
[53:35.455,54:24.760,1]  瀑布这不挂下来这大概几十米深而那个悬崖因为现在遗憾了就照了好多新房子我们第一次去的时候还都是没有什么太多新房远远看去就是宛如就是一副这个山水画我记得我回来的时候有一个网友还把那个把我们的照片跟一个那个那个控盘带来困难的话乡里面一盘非常就简直就是就是好像就是画的写生一点但这其实是典型的一种中国的这个呃这个画家心目中的一种理想的一种风景就是悬崖峭壁有一个古村落呃一条瀑布挂下来完了这么一条小道这种就是这个像世外桃源一样的一个一个生活的环境这种环境呢在这个现在在这个在太行山的这个深处还是可以有的就跟现在不有这个这个呃
[54:25.190,55:8.220,1]  呃国内现在有一个就是叫很有名的一个就是举起手来拍拍那个电影的那个地方现在变成一个很火的一个逻辑es过来过来姑娘是在河南那个他们咱们所讲这个有人讲就挂壁公路在河南其实我们那年从那个呃从山西出那个就是长治出来以后到那个到那个就是红旗村来到这个河南路上我们也经过那个有一条这个国道似的这也不是国道省道就像挂壁公路一样他就在悬崖李涛路那个冻完了那个路等于就就这个公路就等于在里面等于在选项掏了一个洞怎么怎么开过去他因为他他那个冻隔不久他又有个亮窗等于就可以看你下面就是万丈悬崖一边是
[55:8.880,55:22.900,1]  绝壁千仞啊中间就就一条这个路那个挺危险的我们那个做的是一个车我往外都看着都觉得这个如果万一这个刹车不灵的话就就就就就就抽出去了
[55:22.900,55:25.660,0]  哎呀所以非常好我觉得
[55:25.720,55:48.290,0]  我们我们不是今天聊了三三个行吗其实再往北就是福口了其实马上到了伏口以后你就感觉看的东西也不一样了风景不一样了就说估计也不一样好像感觉的这个心理感受也不一样这个我我不是今天时间差不多了我是不是把这个出口型上个五星留到下周再和大家交流
[55:48.480,55:53.020,1]  对我因为我们其实讲到的现在就是说我们今天讲的这个
[55:54.080,56:7.980,1]  太行吧行的南三行啊就是直观形态航行一个白行实际上基本上都是在这个河南跟山西的这样一个交界的区域对吧这个区域等于河南就是等于境遇交界的这个
[56:7.990,56:23.960,1]  区域的这个太行山的一个山师这个山市呢基本上就是属于一个风景秀美呃这个历史遗迹也非常多这个非常密集这个非常适合这个驴友徒步的这样一个
[56:25.180,57:14.130,1]  这个是呃现在这个国家的什么几栋几横的这个公路修啊以及修的使的这个地方交通变得非常发达了就说以前从河南到山西可能很麻烦现在很方便但是呢方便之余呢我觉得大家也可以在房租这个走走老路好像我记得在那个72拐那边现在好像开发了一个这个什么古道就是国家公园啊什么的那国家公园挺多的讲到这个这个山西做广告的像那个王莽岭王莽岭就在这个地区王猛岭这个是相当漂亮的这个太行山算是这个风景绝美的一处这个风景区吧就这个地区这个国家公务员也多水也多这个呃主要是山水形胜非常漂亮几条古道我们反正刚才都跟大家分享了这个
[57:14.490,57:51.150,1]  从山西的这个长治就山西主要是长治跟晋城这个对应的河南的就是安阳把它到新乡把它到济源这三个这个地级市就互相之间的这个大家可以通过地图啊去查询一下这些路这个如果再定位一下国宝的话也可以看见他这个相当多的这个播放基本上我们这里面这几条路嗯或多或少都走过吧所以非常向大家推荐这个可以安排一个比较好的一个道路甚至我们那边在那边山西河南河南山西
[57:51.560,57:56.330,1]  来回来去的这个穿梭呵呵非常得多
[57:56.570,58:6.550,0]  我当然可以选一段比如说选择题这一段或者把它连起来就是说它既可以适合像现在这种小长假也也适合就
[58:6.550,58:14.160,0]  总体的总结这个就是他就他他因为很近嘛是这样现在交通也比较发达
[58:14.180,58:43.240,1]  对我就特别好的就是他是一个非常结合的他又有自然风光又有人文景观还有这个历史的这个东西这些东西结合在一起就是和特别适合如果你广式智慧的生动自然的话有可能就跟那个染汤老师讲哎这个水平对反正有些这个人文的东西包括他民风民俗啊这些东西都很有意思就包括什么过量过量但是河南这边开发的比较多的是山西这边还有很多这样的这个村落啊什么的值得大家去
[58:43.240,58:54.330,0]  像我们这个路上提到了几个小时没呀天井天井关啊从门口都是我觉得还还现在先存不多的古意很强的这么一些小村子
[58:54.330,59:3.050,1]  但是不知道但不知道现在咱们去的时候已经好几年前的事了对所以呃所以不知道现在
[59:3.050,59:8.730,0]  不是这个现在山西和河南之间的就是这个就是穿越太行山现在太容易了
[59:8.830,59:12.870,0]  就是高速公路越来越发达了我们上回看的不是
[59:12.900,59:15.730,0]  六层还是八号就是那个
[59:15.740,59:18.535,0]  就是可以从山西到到到
[59:18.535,59:20.560,0]  呃河南人
[59:20.580,59:25.410,0]  山西和河北之间几乎是直线通过
[59:26.500,59:45.100,1]  对那个咱们这个有一个就是呃从林州出来到那个就是长治不是原来有这个红红机关那个地方走古路是非常难走的现在不高速修好了吗中间有一段是有一个呃13公里长的一个隧道
[59:46.000,59:50.840,1]  啊就相当可观得13公里俩就一下就把太阳还得管通了
[59:50.840,59:54.190,0]  对但是现在这套餐就到处都是水大
[59:54.660,60:2.310,1]  呵呵是是方便了不少这个但是这个但是有时候但是我觉得他还设计挺好他这个
[60:2.420,60:24.530,1]  13公里桥隧道下来完了他在那个红旗村就有一个出口啊出口你等于下来以后再给返过来再去那个红旗村去玩但是因为这个现在太方便了所以红军村那边就就变得特别不像我们那时候去的时候那么幽静了因为因为很方便一踩油门就到了所以现在那就是农家乐呀什么就特别多那就就没有以前那么那么清油了
[60:24.960,60:32.770,0]  所所以可能更需要去走这个古道去重复下像普通推荐的去重复一下对
[60:33.790,60:44.480,0]  那么这一期的地下关就到此结束感谢收听也希望大家喜欢我们的节目逢周四上线之前大家使用泛用型播客客户端进入收听
[60:44.520,61:3.760,0]  在地下观点看可以找到与季节内容相关的链接供大家按组您也可以在微信和新浪微博关注地下关我们非常欢迎您以各种形式给我们提出意见反馈如果您喜欢发邮件我们的邮箱是地下关爱oyan
[61:4.860,61:10.400,0]  也欢迎收听L播客网络下其他的节目IP公论类型到
[61:10.400,61:17.650,0]  服务制那和恐慌拍一来了独行同品牌泽尔定襄五次元选美我们下周结
